Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
66.59,66.8,65.41,65.7,1427516,0.0,0.0,K,Kellanova,Consumer Staples,Packaged Foods & Meats,2020-10-26
65.47,65.96,64.89,64.93,1542732,0.0,0.0,K,Kellanova,Consumer Staples,Packaged Foods & Meats,2020-10-27
64.5,64.76,63.48,63.49,2576352,0.0,0.0,K,Kellanova,Consumer Staples,Packaged Foods & Meats,2020-10-28
63.78,64.7,62.65,63.08,3498127,0.0,0.0,K,Kellanova,Consumer Staples,Packaged Foods & Meats,2020-10-29
62.8,63.59,62.56,62.89,2552140,0.0,0.0,K,Kellanova,Consumer Staples,Packaged Foods & Meats,2020-10-30
63.76,64.6,63.28,63.94,1962714,0.0,0.0,K,Kellanova,Consumer Staples,Packaged Foods & Meats,2020-11-02
64.41,65.49,64.08,64.38,1593109,0.0,0.0,K,Kellanova,Consumer Staples,Packaged Foods & Meats,2020-11-03
64.58,65.2,63.49,63.58,1876764,0.0,0.0,K,Kellanova,Consumer Staples,Packaged Foods & Meats,2020-11-04
64.07,65.21,64.0,64.3,2139817,0.0,0.0,K,Kellanova,Consumer Staples,Packaged Foods & Meats,2020-11-05
64.32,65.13,64.05,64.35,1364215,0.0,0.0,K,Kellanova,Consumer Staples,Packaged Foods & Meats,2020-11-06
64.57,65.05,62.86,62.96,2975739,0.0,0.0,K,Kellanova,Consumer Staples,Packaged Foods & Meats,2020-11-09
62.93,64.26,62.1,64.19,3303571,0.0,0.0,K,Kellanova,Consumer Staples,Packaged Foods & Meats,2020-11-10
64.42,65.67,64.12,65.6,1672685,0.0,0.0,K,Kellanova,Consumer Staples,Packaged Foods & Meats,2020-11-11
65.6,65.67,64.56,65.1,2047492,0.0,0.0,K,Kellanova,Consumer Staples,Packaged Foods & Meats,2020-11-12
65.67,65.78,65.09,65.76,1067751,0.0,0.0,K,Kellanova,Consumer Staples,Packaged Foods & Meats,2020-11-13
65.46,66.63,65.01,66.58,1753639,0.0,0.0,K,Kellanova,Consumer Staples,Packaged Foods & Meats,2020-11-16
66.21,67.02,65.88,66.32,1271612,0.0,0.0,K,Kellanova,Consumer Staples,Packaged Foods & Meats,2020-11-17
66.4,66.62,65.0,65.02,1234166,0.0,0.0,K,Kellanova,Consumer Staples,Packaged Foods & Meats,2020-11-18
64.98,65.4,64.39,65.21,1163050,0.0,0.0,K,Kellanova,Consumer Staples,Packaged Foods & Meats,2020-11-19
65.21,65.39,64.49,65.01,1845343,0.0,0.0,K,Kellanova,Consumer Staples,Packaged Foods & Meats,2020-11-20
63.1,64.3,63.1,63.67,2677231,0.0,0.0,K,Kellanova,Consumer Staples,Packaged Foods & Meats,2020-11-23
64.05,64.25,62.42,62.47,3494591,0.0,0.0,K,Kellanova,Consumer Staples,Packaged Foods & Meats,2020-11-24
62.93,64.16,62.83,63.26,2256950,0.0,0.0,K,Kellanova,Consumer Staples,Packaged Foods & Meats,2020-11-25
63.69,63.77,63.0,63.48,824307,0.0,0.0,K,Kellanova,Consumer Staples,Packaged Foods & Meats,2020-11-27
62.88,63.92,62.49,63.91,3306484,0.0,0.0,K,Kellanova,Consumer Staples,Packaged Foods & Meats,2020-11-30
63.71,63.97,63.29,63.68,2777106,0.0,0.0,K,Kellanova,Consumer Staples,Packaged Foods & Meats,2020-12-01
63.53,63.82,62.51,62.72,2141523,0.0,0.0,K,Kellanova,Consumer Staples,Packaged Foods & Meats,2020-12-02
62.6,63.07,62.45,63.0,1765634,0.0,0.0,K,Kellanova,Consumer Staples,Packaged Foods & Meats,2020-12-03
62.92,62.92,61.99,62.37,2762498,0.0,0.0,K,Kellanova,Consumer Staples,Packaged Foods & Meats,2020-12-04
62.45,62.72,61.77,61.95,2854268,0.0,0.0,K,Kellanova,Consumer Staples,Packaged Foods & Meats,2020-12-07
62.11,62.61,61.75,62.55,2909343,0.0,0.0,K,Kellanova,Consumer Staples,Packaged Foods & Meats,2020-12-08
62.67,62.84,61.56,62.0,3094822,0.0,0.0,K,Kellanova,Consumer Staples,Packaged Foods & Meats,2020-12-09
62.13,62.31,61.69,61.98,2145168,0.0,0.0,K,Kellanova,Consumer Staples,Packaged Foods & Meats,2020-12-10
61.64,62.46,61.52,62.11,2172097,0.0,0.0,K,Kellanova,Consumer Staples,Packaged Foods & Meats,2020-12-11
62.5,62.85,61.88,61.92,2063637,0.0,0.0,K,Kellanova,Consumer Staples,Packaged Foods & Meats,2020-12-14
62.02,62.12,61.04,61.24,2321791,0.0,0.0,K,Kellanova,Consumer Staples,Packaged Foods & Meats,2020-12-15
61.62,61.98,61.25,61.5,2541973,0.0,0.0,K,Kellanova,Consumer Staples,Packaged Foods & Meats,2020-12-16
61.92,62.72,61.78,62.48,2099116,0.0,0.0,K,Kellanova,Consumer Staples,Packaged Foods & Meats,2020-12-17
62.5,62.77,61.56,62.08,5362121,0.0,0.0,K,Kellanova,Consumer Staples,Packaged Foods & Meats,2020-12-18
61.66,61.68,60.64,61.53,1937631,0.0,0.0,K,Kellanova,Consumer Staples,Packaged Foods & Meats,2020-12-21
61.4,61.51,60.82,61.19,1744002,0.0,0.0,K,Kellanova,Consumer Staples,Packaged Foods & Meats,2020-12-22
61.51,61.98,61.36,61.61,1676580,0.0,0.0,K,Kellanova,Consumer Staples,Packaged Foods & Meats,2020-12-23
61.58,61.9,61.42,61.78,524805,0.0,0.0,K,Kellanova,Consumer Staples,Packaged Foods & Meats,2020-12-24
61.93,62.36,61.8,62.34,970542,0.0,0.0,K,Kellanova,Consumer Staples,Packaged Foods & Meats,2020-12-28
62.48,63.08,62.01,62.29,1030628,0.0,0.0,K,Kellanova,Consumer Staples,Packaged Foods & Meats,2020-12-29
62.15,62.21,61.45,61.53,1104649,0.0,0.0,K,Kellanova,Consumer Staples,Packaged Foods & Meats,2020-12-30
61.53,62.29,61.33,62.23,1827807,0.0,0.0,K,Kellanova,Consumer Staples,Packaged Foods & Meats,2020-12-31
62.02,62.21,60.95,61.45,3202521,0.0,0.0,K,Kellanova,Consumer Staples,Packaged Foods & Meats,2021-01-04
61.49,61.97,61.26,61.8,1665065,0.0,0.0,K,Kellanova,Consumer Staples,Packaged Foods & Meats,2021-01-05
61.2,61.75,60.89,61.32,2666525,0.0,0.0,K,Kellanova,Consumer Staples,Packaged Foods & Meats,2021-01-06
61.54,61.66,60.77,60.89,2571969,0.0,0.0,K,Kellanova,Consumer Staples,Packaged Foods & Meats,2021-01-07
