Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
85.13,85.23,82.73,83.44,716467,0.0,0.0,LDOS,Leidos,Industrials,Diversified Support Services,2020-10-26
83.58,83.9,82.25,82.7,588584,0.0,0.0,LDOS,Leidos,Industrials,Diversified Support Services,2020-10-27
81.18,81.63,79.15,79.34,736403,0.0,0.0,LDOS,Leidos,Industrials,Diversified Support Services,2020-10-28
79.4,81.65,79.21,81.25,1006997,0.0,0.0,LDOS,Leidos,Industrials,Diversified Support Services,2020-10-29
81.28,83.37,81.28,83.0,1487760,0.0,0.0,LDOS,Leidos,Industrials,Diversified Support Services,2020-10-30
84.95,87.43,84.16,85.73,1367790,0.0,0.0,LDOS,Leidos,Industrials,Diversified Support Services,2020-11-02
86.13,88.48,85.98,87.96,1064161,0.0,0.0,LDOS,Leidos,Industrials,Diversified Support Services,2020-11-03
88.69,93.7,88.69,92.32,1815436,0.0,0.0,LDOS,Leidos,Industrials,Diversified Support Services,2020-11-04
92.95,93.35,91.22,91.4,1059420,0.0,0.0,LDOS,Leidos,Industrials,Diversified Support Services,2020-11-05
90.91,90.91,89.1,90.47,816903,0.0,0.0,LDOS,Leidos,Industrials,Diversified Support Services,2020-11-06
94.37,97.5,94.06,94.63,1078356,0.0,0.0,LDOS,Leidos,Industrials,Diversified Support Services,2020-11-09
94.43,96.05,93.92,94.94,655891,0.0,0.0,LDOS,Leidos,Industrials,Diversified Support Services,2020-11-10
95.58,96.25,94.01,94.99,596509,0.0,0.0,LDOS,Leidos,Industrials,Diversified Support Services,2020-11-11
94.37,94.79,93.42,94.16,631064,0.0,0.0,LDOS,Leidos,Industrials,Diversified Support Services,2020-11-12
95.07,98.66,94.88,98.47,797526,0.0,0.0,LDOS,Leidos,Industrials,Diversified Support Services,2020-11-13
99.2,100.91,98.86,100.63,1359082,0.0,0.0,LDOS,Leidos,Industrials,Diversified Support Services,2020-11-16
99.77,100.76,97.88,100.28,1475148,0.0,0.0,LDOS,Leidos,Industrials,Diversified Support Services,2020-11-17
100.16,102.53,99.28,99.53,1104034,0.0,0.0,LDOS,Leidos,Industrials,Diversified Support Services,2020-11-18
99.34,100.59,98.52,100.34,872027,0.0,0.0,LDOS,Leidos,Industrials,Diversified Support Services,2020-11-19
100.39,101.76,98.87,100.37,1051219,0.0,0.0,LDOS,Leidos,Industrials,Diversified Support Services,2020-11-20
100.28,102.59,99.91,102.38,748227,0.0,0.0,LDOS,Leidos,Industrials,Diversified Support Services,2020-11-23
102.68,103.52,101.97,102.57,718091,0.0,0.0,LDOS,Leidos,Industrials,Diversified Support Services,2020-11-24
102.8,102.99,101.12,102.64,537464,0.0,0.0,LDOS,Leidos,Industrials,Diversified Support Services,2020-11-25
102.34,103.18,102.04,102.28,282790,0.0,0.0,LDOS,Leidos,Industrials,Diversified Support Services,2020-11-27
101.68,101.71,100.22,100.7,1794051,0.0,0.0,LDOS,Leidos,Industrials,Diversified Support Services,2020-11-30
101.14,102.65,100.55,101.64,926612,0.0,0.0,LDOS,Leidos,Industrials,Diversified Support Services,2020-12-01
101.53,103.13,101.06,103.1,523305,0.0,0.0,LDOS,Leidos,Industrials,Diversified Support Services,2020-12-02
102.5,103.5,101.69,102.89,799857,0.0,0.0,LDOS,Leidos,Industrials,Diversified Support Services,2020-12-03
103.0,104.88,102.78,104.81,395760,0.0,0.0,LDOS,Leidos,Industrials,Diversified Support Services,2020-12-04
103.78,104.7,103.31,103.5,660239,0.0,0.0,LDOS,Leidos,Industrials,Diversified Support Services,2020-12-07
102.89,104.22,102.84,103.95,535326,0.0,0.0,LDOS,Leidos,Industrials,Diversified Support Services,2020-12-08
103.96,104.5,102.88,104.11,703378,0.0,0.0,LDOS,Leidos,Industrials,Diversified Support Services,2020-12-09
103.2,105.42,103.2,104.82,1016759,0.0,0.0,LDOS,Leidos,Industrials,Diversified Support Services,2020-12-10
104.03,106.57,103.46,105.42,857433,0.0,0.0,LDOS,Leidos,Industrials,Diversified Support Services,2020-12-11
105.49,106.66,104.13,104.13,868092,0.0,0.0,LDOS,Leidos,Industrials,Diversified Support Services,2020-12-14
104.73,104.87,103.07,104.84,1035926,0.0,0.0,LDOS,Leidos,Industrials,Diversified Support Services,2020-12-15
105.3,106.64,104.76,105.09,967394,0.0,0.0,LDOS,Leidos,Industrials,Diversified Support Services,2020-12-16
105.14,105.71,104.15,104.83,778516,0.0,0.0,LDOS,Leidos,Industrials,Diversified Support Services,2020-12-17
104.94,106.67,104.17,105.67,2229067,0.0,0.0,LDOS,Leidos,Industrials,Diversified Support Services,2020-12-18
104.23,104.36,101.59,103.13,798209,0.0,0.0,LDOS,Leidos,Industrials,Diversified Support Services,2020-12-21
102.65,103.22,101.34,102.35,816290,0.0,0.0,LDOS,Leidos,Industrials,Diversified Support Services,2020-12-22
103.05,105.36,103.05,104.61,653215,0.0,0.0,LDOS,Leidos,Industrials,Diversified Support Services,2020-12-23
105.09,105.12,103.4,104.24,198163,0.0,0.0,LDOS,Leidos,Industrials,Diversified Support Services,2020-12-24
104.91,105.41,103.86,104.78,418955,0.0,0.0,LDOS,Leidos,Industrials,Diversified Support Services,2020-12-28
105.42,105.55,103.47,103.59,375601,0.0,0.0,LDOS,Leidos,Industrials,Diversified Support Services,2020-12-29
103.67,104.99,103.67,103.98,287924,0.0,0.0,LDOS,Leidos,Industrials,Diversified Support Services,2020-12-30
103.85,105.23,103.26,105.12,350367,0.0,0.0,LDOS,Leidos,Industrials,Diversified Support Services,2020-12-31
105.05,105.38,101.7,102.44,678693,0.0,0.0,LDOS,Leidos,Industrials,Diversified Support Services,2021-01-04
102.5,103.27,101.11,102.49,706026,0.0,0.0,LDOS,Leidos,Industrials,Diversified Support Services,2021-01-05
102.02,105.14,101.68,103.99,1134277,0.0,0.0,LDOS,Leidos,Industrials,Diversified Support Services,2021-01-06
103.82,104.62,103.11,104.18,707418,0.0,0.0,LDOS,Leidos,Industrials,Diversified Support Services,2021-01-07
104.42,105.84,103.62,104.66,589863,0.0,0.0,LDOS,Leidos,Industrials,Diversified Support Services,2021-01-08
105.5,106.28,103.78,103.99,696174,0.0,0.0,LDOS,Leidos,Industrials,Diversified Support Services,2021-01-11
103.61,105.53,102.95,105.38,588821,0.0,0.0,LDOS,Leidos,Industrials,Diversified Support Services,2021-01-12
105.57,106.55,104.5,105.59,673873,0.0,0.0,LDOS,Leidos,Industrials,Diversified Support Services,2021-01-13
105.49,108.22,104.67,106.27,621720,0.0,0.0,LDOS,Leidos,Industrials,Diversified Support Services,2021-01-14
