Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
170.37,170.51,167.15,169.83,1367219,0.0,0.0,LHX,L3Harris,Industrials,Aerospace & Defense,2020-10-26
169.19,170.03,166.19,166.26,1270365,0.0,0.0,LHX,L3Harris,Industrials,Aerospace & Defense,2020-10-27
164.56,166.19,161.13,161.32,1234440,0.0,0.0,LHX,L3Harris,Industrials,Aerospace & Defense,2020-10-28
160.65,163.54,160.18,162.95,1216031,0.0,0.0,LHX,L3Harris,Industrials,Aerospace & Defense,2020-10-29
163.0,164.4,158.09,161.11,1995812,0.0,0.0,LHX,L3Harris,Industrials,Aerospace & Defense,2020-10-30
164.24,171.95,163.82,170.4,1889189,0.0,0.0,LHX,L3Harris,Industrials,Aerospace & Defense,2020-11-02
172.2,178.99,171.45,178.81,1878877,0.0,0.0,LHX,L3Harris,Industrials,Aerospace & Defense,2020-11-03
180.45,188.2,180.43,183.3,2852484,0.0,0.0,LHX,L3Harris,Industrials,Aerospace & Defense,2020-11-04
184.47,185.31,180.26,181.04,2515070,0.0,0.0,LHX,L3Harris,Industrials,Aerospace & Defense,2020-11-05
180.56,181.01,176.94,178.94,1278115,0.0,0.0,LHX,L3Harris,Industrials,Aerospace & Defense,2020-11-06
187.99,190.51,182.18,185.85,2071074,0.0,0.0,LHX,L3Harris,Industrials,Aerospace & Defense,2020-11-09
187.89,192.54,185.53,189.53,1831713,0.0,0.0,LHX,L3Harris,Industrials,Aerospace & Defense,2020-11-10
189.28,190.1,186.36,187.71,2080748,0.0,0.0,LHX,L3Harris,Industrials,Aerospace & Defense,2020-11-11
186.7,190.55,185.47,189.3,1219217,0.0,0.0,LHX,L3Harris,Industrials,Aerospace & Defense,2020-11-12
190.0,195.27,189.65,194.3,1284612,0.0,0.0,LHX,L3Harris,Industrials,Aerospace & Defense,2020-11-13
197.2,200.18,195.72,200.0,1515015,0.0,0.0,LHX,L3Harris,Industrials,Aerospace & Defense,2020-11-16
197.89,200.58,195.66,198.43,1399126,0.0,0.0,LHX,L3Harris,Industrials,Aerospace & Defense,2020-11-17
199.29,199.78,196.23,196.35,1162315,0.0,0.0,LHX,L3Harris,Industrials,Aerospace & Defense,2020-11-18
194.5,196.68,193.1,195.76,1247248,0.0,0.0,LHX,L3Harris,Industrials,Aerospace & Defense,2020-11-19
195.43,196.88,191.49,191.5,1239977,0.0,0.0,LHX,L3Harris,Industrials,Aerospace & Defense,2020-11-20
193.7,195.95,193.48,194.1,1095095,0.0,0.0,LHX,L3Harris,Industrials,Aerospace & Defense,2020-11-23
196.8,197.36,195.26,195.83,1009519,0.0,0.0,LHX,L3Harris,Industrials,Aerospace & Defense,2020-11-24
195.5,195.87,193.68,194.98,873892,0.0,0.0,LHX,L3Harris,Industrials,Aerospace & Defense,2020-11-25
194.72,195.41,192.08,194.47,407991,0.0,0.0,LHX,L3Harris,Industrials,Aerospace & Defense,2020-11-27
193.51,194.53,189.85,191.99,1517741,0.0,0.0,LHX,L3Harris,Industrials,Aerospace & Defense,2020-11-30
193.45,195.45,191.7,191.84,1114195,0.0,0.0,LHX,L3Harris,Industrials,Aerospace & Defense,2020-12-01
191.53,192.15,189.23,191.54,997787,0.0,0.0,LHX,L3Harris,Industrials,Aerospace & Defense,2020-12-02
191.98,194.55,191.53,192.7,1334618,0.0,0.0,LHX,L3Harris,Industrials,Aerospace & Defense,2020-12-03
193.46,197.24,193.46,195.04,1161190,0.0,0.0,LHX,L3Harris,Industrials,Aerospace & Defense,2020-12-04
194.64,194.79,190.76,191.63,1035030,0.0,0.0,LHX,L3Harris,Industrials,Aerospace & Defense,2020-12-07
190.13,192.23,189.12,189.25,1027909,0.0,0.0,LHX,L3Harris,Industrials,Aerospace & Defense,2020-12-08
189.68,189.99,187.24,188.3,1224489,0.0,0.0,LHX,L3Harris,Industrials,Aerospace & Defense,2020-12-09
188.02,190.43,186.16,187.5,1239741,0.0,0.0,LHX,L3Harris,Industrials,Aerospace & Defense,2020-12-10
186.75,189.97,185.41,189.18,1066380,0.0,0.0,LHX,L3Harris,Industrials,Aerospace & Defense,2020-12-11
190.67,193.3,189.1,189.95,1319993,0.0,0.0,LHX,L3Harris,Industrials,Aerospace & Defense,2020-12-14
186.1,189.46,184.67,188.32,1517147,0.0,0.0,LHX,L3Harris,Industrials,Aerospace & Defense,2020-12-15
187.74,188.64,185.43,186.13,1075032,0.0,0.0,LHX,L3Harris,Industrials,Aerospace & Defense,2020-12-16
186.14,186.68,184.51,185.71,1142585,0.0,0.0,LHX,L3Harris,Industrials,Aerospace & Defense,2020-12-17
185.35,187.76,185.33,187.21,3806327,0.0,0.0,LHX,L3Harris,Industrials,Aerospace & Defense,2020-12-18
184.33,186.5,183.32,185.04,1731633,0.0,0.0,LHX,L3Harris,Industrials,Aerospace & Defense,2020-12-21
185.04,185.43,183.68,184.11,1397540,0.0,0.0,LHX,L3Harris,Industrials,Aerospace & Defense,2020-12-22
185.13,187.31,184.41,185.85,837342,0.0,0.0,LHX,L3Harris,Industrials,Aerospace & Defense,2020-12-23
186.0,186.61,184.46,185.16,281768,0.0,0.0,LHX,L3Harris,Industrials,Aerospace & Defense,2020-12-24
185.98,188.18,185.43,187.32,578603,0.0,0.0,LHX,L3Harris,Industrials,Aerospace & Defense,2020-12-28
188.6,189.24,184.82,186.29,618718,0.0,0.0,LHX,L3Harris,Industrials,Aerospace & Defense,2020-12-29
186.93,188.37,186.9,187.65,541473,0.0,0.0,LHX,L3Harris,Industrials,Aerospace & Defense,2020-12-30
188.13,189.35,187.34,189.02,738071,0.0,0.0,LHX,L3Harris,Industrials,Aerospace & Defense,2020-12-31
187.96,187.96,180.21,180.44,1490746,0.0,0.0,LHX,L3Harris,Industrials,Aerospace & Defense,2021-01-04
181.19,183.26,179.57,182.35,1330091,0.0,0.0,LHX,L3Harris,Industrials,Aerospace & Defense,2021-01-05
181.11,183.55,179.42,182.77,1623597,0.0,0.0,LHX,L3Harris,Industrials,Aerospace & Defense,2021-01-06
179.84,182.31,179.15,181.25,1539339,0.0,0.0,LHX,L3Harris,Industrials,Aerospace & Defense,2021-01-07
181.62,181.62,177.42,180.7,1424670,0.0,0.0,LHX,L3Harris,Industrials,Aerospace & Defense,2021-01-08
180.1,184.2,179.23,183.49,1593298,0.0,0.0,LHX,L3Harris,Industrials,Aerospace & Defense,2021-01-11
183.06,185.62,182.18,184.98,1233829,0.0,0.0,LHX,L3Harris,Industrials,Aerospace & Defense,2021-01-12
184.76,187.15,184.64,186.73,1257964,0.0,0.0,LHX,L3Harris,Industrials,Aerospace & Defense,2021-01-13
188.5,192.29,188.5,190.77,1772184,0.0,0.0,LHX,L3Harris,Industrials,Aerospace & Defense,2021-01-14
190.75,192.62,188.35,188.58,1589612,0.0,0.0,LHX,L3Harris,Industrials,Aerospace & Defense,2021-01-15
189.83,191.87,189.1,190.1,1078828,0.0,0.0,LHX,L3Harris,Industrials,Aerospace & Defense,2021-01-19
190.79,191.19,188.13,188.38,1057856,0.0,0.0,LHX,L3Harris,Industrials,Aerospace & Defense,2021-01-20
187.66,188.09,182.75,183.13,1415192,0.0,0.0,LHX,L3Harris,Industrials,Aerospace & Defense,2021-01-21
182.62,185.25,182.2,183.8,1075019,0.0,0.0,LHX,L3Harris,Industrials,Aerospace & Defense,2021-01-22
183.37,186.13,181.78,185.23,1064154,0.0,0.0,LHX,L3Harris,Industrials,Aerospace & Defense,2021-01-25
186.0,186.49,179.85,179.92,993031,0.0,0.0,LHX,L3Harris,Industrials,Aerospace & Defense,2021-01-26
178.13,180.84,175.73,179.14,1348946,0.0,0.0,LHX,L3Harris,Industrials,Aerospace & Defense,2021-01-27
180.87,180.87,176.56,176.66,1667657,0.0,0.0,LHX,L3Harris,Industrials,Aerospace & Defense,2021-01-28
175.0,175.98,168.7,171.51,3093776,0.0,0.0,LHX,L3Harris,Industrials,Aerospace & Defense,2021-01-29
173.55,175.13,172.15,173.56,2038826,0.0,0.0,LHX,L3Harris,Industrials,Aerospace & Defense,2021-02-01
175.59,182.28,175.04,180.54,1828952,0.0,0.0,LHX,L3Harris,Industrials,Aerospace & Defense,2021-02-02
179.65,181.05,178.3,179.51,1670311,0.0,0.0,LHX,L3Harris,Industrials,Aerospace & Defense,2021-02-03
179.78,185.26,179.36,184.9,1585639,0.0,0.0,LHX,L3Harris,Industrials,Aerospace & Defense,2021-02-04
186.08,187.1,182.59,182.83,1766092,0.0,0.0,LHX,L3Harris,Industrials,Aerospace & Defense,2021-02-05
183.68,186.69,182.06,186.27,1278165,0.0,0.0,LHX,L3Harris,Industrials,Aerospace & Defense,2021-02-08
186.07,188.23,184.67,186.17,1597404,0.0,0.0,LHX,L3Harris,Industrials,Aerospace & Defense,2021-02-09
186.49,188.59,186.17,187.52,1309634,0.0,0.0,LHX,L3Harris,Industrials,Aerospace & Defense,2021-02-10
187.6,188.41,185.49,187.5,1020163,0.0,0.0,LHX,L3Harris,Industrials,Aerospace & Defense,2021-02-11
186.39,187.76,185.19,185.92,848977,0.0,0.0,LHX,L3Harris,Industrials,Aerospace & Defense,2021-02-12
186.85,187.19,184.07,184.49,938996,0.0,0.0,LHX,L3Harris,Industrials,Aerospace & Defense,2021-02-16
184.24,189.64,183.21,188.46,1470832,0.0,0.0,LHX,L3Harris,Industrials,Aerospace & Defense,2021-02-17
186.6,189.96,186.6,189.21,1052401,0.0,0.0,LHX,L3Harris,Industrials,Aerospace & Defense,2021-02-18
190.0,190.15,187.74,189.09,1076052,0.0,0.0,LHX,L3Harris,Industrials,Aerospace & Defense,2021-02-19
188.08,189.75,186.3,188.32,1071644,0.0,0.0,LHX,L3Harris,Industrials,Aerospace & Defense,2021-02-22
190.0,190.99,185.7,187.83,1432588,0.0,0.0,LHX,L3Harris,Industrials,Aerospace & Defense,2021-02-23
188.44,192.49,187.98,191.38,1049847,0.0,0.0,LHX,L3Harris,Industrials,Aerospace & Defense,2021-02-24
191.38,192.37,186.63,187.0,1458258,0.0,0.0,LHX,L3Harris,Industrials,Aerospace & Defense,2021-02-25
187.0,187.0,181.6,181.91,1776802,0.0,0.0,LHX,L3Harris,Industrials,Aerospace & Defense,2021-02-26
185.46,186.65,183.59,184.62,1225822,0.0,0.0,LHX,L3Harris,Industrials,Aerospace & Defense,2021-03-01
184.0,187.48,184.0,186.0,1068907,0.0,0.0,LHX,L3Harris,Industrials,Aerospace & Defense,2021-03-02
185.63,188.42,185.45,186.07,1367593,0.0,0.0,LHX,L3Harris,Industrials,Aerospace & Defense,2021-03-03
185.8,187.8,182.24,183.73,1007010,0.0,0.0,LHX,L3Harris,Industrials,Aerospace & Defense,2021-03-04
184.7,187.72,182.8,187.09,1161679,0.0,0.0,LHX,L3Harris,Industrials,Aerospace & Defense,2021-03-05
188.53,193.87,187.25,191.04,1369184,0.0,0.0,LHX,L3Harris,Industrials,Aerospace & Defense,2021-03-08
191.11,192.11,187.58,187.97,999589,0.0,0.0,LHX,L3Harris,Industrials,Aerospace & Defense,2021-03-09
188.72,192.22,186.7,190.99,1365867,0.0,0.0,LHX,L3Harris,Industrials,Aerospace & Defense,2021-03-10
188.5,190.06,186.2,188.25,1407227,0.0,0.0,LHX,L3Harris,Industrials,Aerospace & Defense,2021-03-11
189.24,192.8,189.24,192.02,929258,0.0,0.0,LHX,L3Harris,Industrials,Aerospace & Defense,2021-03-12
192.14,193.92,190.6,192.0,759458,0.0,0.0,LHX,L3Harris,Industrials,Aerospace & Defense,2021-03-15
191.77,192.43,189.06,190.52,967880,0.0,0.0,LHX,L3Harris,Industrials,Aerospace & Defense,2021-03-16
191.59,194.82,190.85,192.04,1115194,0.0,0.0,LHX,L3Harris,Industrials,Aerospace & Defense,2021-03-17
191.77,196.5,191.61,196.47,1244111,0.0,0.0,LHX,L3Harris,Industrials,Aerospace & Defense,2021-03-18
196.87,198.08,191.78,197.5,3305574,0.0,0.0,LHX,L3Harris,Industrials,Aerospace & Defense,2021-03-19
195.4,199.87,194.69,198.04,1742984,0.0,0.0,LHX,L3Harris,Industrials,Aerospace & Defense,2021-03-22
197.18,198.95,195.58,196.15,932569,0.0,0.0,LHX,L3Harris,Industrials,Aerospace & Defense,2021-03-23
197.0,199.42,195.71,195.96,968669,0.0,0.0,LHX,L3Harris,Industrials,Aerospace & Defense,2021-03-24
196.69,199.07,193.1,198.61,1322708,0.0,0.0,LHX,L3Harris,Industrials,Aerospace & Defense,2021-03-25
199.56,200.97,196.31,198.94,888727,0.0,0.0,LHX,L3Harris,Industrials,Aerospace & Defense,2021-03-26
198.94,204.0,198.6,202.84,1046658,0.0,0.0,LHX,L3Harris,Industrials,Aerospace & Defense,2021-03-29
202.81,204.28,201.77,203.08,935279,0.0,0.0,LHX,L3Harris,Industrials,Aerospace & Defense,2021-03-30
202.15,203.16,201.07,202.68,914346,0.0,0.0,LHX,L3Harris,Industrials,Aerospace & Defense,2021-03-31
202.83,205.03,201.06,203.62,1009465,0.0,0.0,LHX,L3Harris,Industrials,Aerospace & Defense,2021-04-01
205.54,208.47,204.88,207.85,968816,0.0,0.0,LHX,L3Harris,Industrials,Aerospace & Defense,2021-04-05
206.28,210.14,206.28,209.32,1105793,0.0,0.0,LHX,L3Harris,Industrials,Aerospace & Defense,2021-04-06
208.94,208.94,206.78,208.65,807174,0.0,0.0,LHX,L3Harris,Industrials,Aerospace & Defense,2021-04-07
206.59,208.74,206.22,207.49,1060356,0.0,0.0,LHX,L3Harris,Industrials,Aerospace & Defense,2021-04-08
208.5,208.8,206.84,208.12,983482,0.0,0.0,LHX,L3Harris,Industrials,Aerospace & Defense,2021-04-09
208.34,209.62,207.14,209.59,767636,0.0,0.0,LHX,L3Harris,Industrials,Aerospace & Defense,2021-04-12
208.55,209.57,207.25,208.97,565501,0.0,0.0,LHX,L3Harris,Industrials,Aerospace & Defense,2021-04-13
209.05,209.94,207.89,208.99,664988,0.0,0.0,LHX,L3Harris,Industrials,Aerospace & Defense,2021-04-14
209.04,211.92,208.49,210.76,920051,0.0,0.0,LHX,L3Harris,Industrials,Aerospace & Defense,2021-04-15
211.73,212.0,208.9,210.72,1538748,0.0,0.0,LHX,L3Harris,Industrials,Aerospace & Defense,2021-04-16
211.06,211.2,208.22,209.73,964948,0.0,0.0,LHX,L3Harris,Industrials,Aerospace & Defense,2021-04-19
209.39,210.4,207.51,210.2,827936,0.0,0.0,LHX,L3Harris,Industrials,Aerospace & Defense,2021-04-20
210.12,212.21,209.49,212.05,911936,0.0,0.0,LHX,L3Harris,Industrials,Aerospace & Defense,2021-04-21
210.96,212.2,209.96,210.71,1032336,0.0,0.0,LHX,L3Harris,Industrials,Aerospace & Defense,2021-04-22
211.07,211.25,208.65,211.02,1029793,0.0,0.0,LHX,L3Harris,Industrials,Aerospace & Defense,2021-04-23
211.02,211.13,207.05,207.65,956068,0.0,0.0,LHX,L3Harris,Industrials,Aerospace & Defense,2021-04-26
204.86,208.12,203.92,207.73,1123257,0.0,0.0,LHX,L3Harris,Industrials,Aerospace & Defense,2021-04-27
208.08,208.08,204.8,205.01,1061527,0.0,0.0,LHX,L3Harris,Industrials,Aerospace & Defense,2021-04-28
206.06,210.1,205.64,209.22,1069086,0.0,0.0,LHX,L3Harris,Industrials,Aerospace & Defense,2021-04-29
208.56,213.0,206.44,209.23,1118017,0.0,0.0,LHX,L3Harris,Industrials,Aerospace & Defense,2021-04-30
208.56,212.08,207.8,211.74,960704,0.0,0.0,LHX,L3Harris,Industrials,Aerospace & Defense,2021-05-03
212.37,216.85,211.92,216.4,1750840,0.0,0.0,LHX,L3Harris,Industrials,Aerospace & Defense,2021-05-04
216.13,217.99,214.58,217.68,1238080,0.0,0.0,LHX,L3Harris,Industrials,Aerospace & Defense,2021-05-05
218.33,219.62,215.75,216.99,1177974,0.0,0.0,LHX,L3Harris,Industrials,Aerospace & Defense,2021-05-06
215.99,219.78,215.76,219.25,1078498,0.0,0.0,LHX,L3Harris,Industrials,Aerospace & Defense,2021-05-07
220.0,221.49,217.0,217.02,1177136,0.0,0.0,LHX,L3Harris,Industrials,Aerospace & Defense,2021-05-10
216.96,216.96,212.04,213.33,1015689,0.0,0.0,LHX,L3Harris,Industrials,Aerospace & Defense,2021-05-11
213.73,215.11,211.01,211.06,891764,0.0,0.0,LHX,L3Harris,Industrials,Aerospace & Defense,2021-05-12
210.47,215.97,209.89,214.63,898844,0.0,0.0,LHX,L3Harris,Industrials,Aerospace & Defense,2021-05-13
215.74,217.65,214.17,217.04,678143,0.0,0.0,LHX,L3Harris,Industrials,Aerospace & Defense,2021-05-14
216.64,218.65,215.52,218.1,952429,0.0,0.0,LHX,L3Harris,Industrials,Aerospace & Defense,2021-05-17
216.86,217.85,214.82,214.92,955586,0.0,0.0,LHX,L3Harris,Industrials,Aerospace & Defense,2021-05-18
213.74,214.66,209.94,214.34,940650,0.0,0.0,LHX,L3Harris,Industrials,Aerospace & Defense,2021-05-19
214.64,216.83,214.64,216.09,961911,0.0,0.0,LHX,L3Harris,Industrials,Aerospace & Defense,2021-05-20
217.15,219.44,215.48,216.04,888280,0.0,0.0,LHX,L3Harris,Industrials,Aerospace & Defense,2021-05-21
217.13,217.84,215.44,216.29,732042,0.0,0.0,LHX,L3Harris,Industrials,Aerospace & Defense,2021-05-24
216.72,217.84,216.12,216.55,732796,0.0,0.0,LHX,L3Harris,Industrials,Aerospace & Defense,2021-05-25
215.92,216.98,213.94,214.83,862585,0.0,0.0,LHX,L3Harris,Industrials,Aerospace & Defense,2021-05-26
217.0,219.36,215.96,218.91,2904537,0.0,0.0,LHX,L3Harris,Industrials,Aerospace & Defense,2021-05-27
218.49,219.3,217.08,218.06,833772,0.0,0.0,LHX,L3Harris,Industrials,Aerospace & Defense,2021-05-28
219.48,220.75,216.59,217.19,1094851,0.0,0.0,LHX,L3Harris,Industrials,Aerospace & Defense,2021-06-01
218.37,219.64,216.58,218.72,971971,0.0,0.0,LHX,L3Harris,Industrials,Aerospace & Defense,2021-06-02
218.04,220.51,217.18,219.94,880996,0.0,0.0,LHX,L3Harris,Industrials,Aerospace & Defense,2021-06-03
220.7,223.87,219.52,222.75,839331,0.0,0.0,LHX,L3Harris,Industrials,Aerospace & Defense,2021-06-04
223.14,223.24,217.68,218.55,1147439,0.0,0.0,LHX,L3Harris,Industrials,Aerospace & Defense,2021-06-07
219.54,219.54,217.36,219.06,1032145,0.0,0.0,LHX,L3Harris,Industrials,Aerospace & Defense,2021-06-08
