Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
32.47,32.54,31.32,31.72,1865462,0.0,0.0,LKQ,LKQ Corporation,Consumer Discretionary,Distributors,2020-10-26
31.49,31.58,30.84,30.9,1822370,0.0,0.0,LKQ,LKQ Corporation,Consumer Discretionary,Distributors,2020-10-27
30.23,30.56,29.6,29.77,3552093,0.0,0.0,LKQ,LKQ Corporation,Consumer Discretionary,Distributors,2020-10-28
30.45,31.96,30.36,31.68,3233285,0.0,0.0,LKQ,LKQ Corporation,Consumer Discretionary,Distributors,2020-10-29
31.24,32.25,31.0,31.99,2905249,0.0,0.0,LKQ,LKQ Corporation,Consumer Discretionary,Distributors,2020-10-30
32.49,33.12,32.19,32.94,2376057,0.0,0.0,LKQ,LKQ Corporation,Consumer Discretionary,Distributors,2020-11-02
33.63,34.57,33.17,34.39,2488262,0.0,0.0,LKQ,LKQ Corporation,Consumer Discretionary,Distributors,2020-11-03
34.01,34.27,33.34,33.36,1715776,0.0,0.0,LKQ,LKQ Corporation,Consumer Discretionary,Distributors,2020-11-04
33.91,35.0,33.83,34.84,1202558,0.0,0.0,LKQ,LKQ Corporation,Consumer Discretionary,Distributors,2020-11-05
35.0,35.0,33.81,33.96,1352704,0.0,0.0,LKQ,LKQ Corporation,Consumer Discretionary,Distributors,2020-11-06
35.3,38.38,35.3,35.44,3260219,0.0,0.0,LKQ,LKQ Corporation,Consumer Discretionary,Distributors,2020-11-09
35.55,37.28,35.32,37.01,3535650,0.0,0.0,LKQ,LKQ Corporation,Consumer Discretionary,Distributors,2020-11-10
37.0,37.0,35.59,35.8,1736990,0.0,0.0,LKQ,LKQ Corporation,Consumer Discretionary,Distributors,2020-11-11
35.86,35.88,34.41,34.86,2020964,0.0,0.0,LKQ,LKQ Corporation,Consumer Discretionary,Distributors,2020-11-12
35.33,36.11,35.2,36.04,1968758,0.0,0.0,LKQ,LKQ Corporation,Consumer Discretionary,Distributors,2020-11-13
36.73,36.89,35.82,36.8,1226209,0.0,0.0,LKQ,LKQ Corporation,Consumer Discretionary,Distributors,2020-11-16
36.28,36.61,35.54,36.49,1853439,0.0,0.0,LKQ,LKQ Corporation,Consumer Discretionary,Distributors,2020-11-17
36.54,36.9,35.66,35.66,1733191,0.0,0.0,LKQ,LKQ Corporation,Consumer Discretionary,Distributors,2020-11-18
35.47,35.7,34.67,35.33,1639196,0.0,0.0,LKQ,LKQ Corporation,Consumer Discretionary,Distributors,2020-11-19
35.26,35.46,34.98,35.08,2241116,0.0,0.0,LKQ,LKQ Corporation,Consumer Discretionary,Distributors,2020-11-20
35.48,35.89,35.21,35.85,1435892,0.0,0.0,LKQ,LKQ Corporation,Consumer Discretionary,Distributors,2020-11-23
36.42,37.4,35.99,36.8,2028278,0.0,0.0,LKQ,LKQ Corporation,Consumer Discretionary,Distributors,2020-11-24
36.62,36.62,36.07,36.22,1108423,0.0,0.0,LKQ,LKQ Corporation,Consumer Discretionary,Distributors,2020-11-25
36.26,36.71,35.43,35.98,732679,0.0,0.0,LKQ,LKQ Corporation,Consumer Discretionary,Distributors,2020-11-27
35.62,35.71,34.98,35.22,2929854,0.0,0.0,LKQ,LKQ Corporation,Consumer Discretionary,Distributors,2020-11-30
35.76,36.47,35.53,36.14,1730162,0.0,0.0,LKQ,LKQ Corporation,Consumer Discretionary,Distributors,2020-12-01
36.1,36.1,35.17,35.84,1331225,0.0,0.0,LKQ,LKQ Corporation,Consumer Discretionary,Distributors,2020-12-02
36.01,36.58,35.66,36.18,1589383,0.0,0.0,LKQ,LKQ Corporation,Consumer Discretionary,Distributors,2020-12-03
36.45,37.1,36.12,37.09,1640200,0.0,0.0,LKQ,LKQ Corporation,Consumer Discretionary,Distributors,2020-12-04
36.92,37.1,36.4,37.09,1059195,0.0,0.0,LKQ,LKQ Corporation,Consumer Discretionary,Distributors,2020-12-07
36.76,37.18,36.63,36.96,2006455,0.0,0.0,LKQ,LKQ Corporation,Consumer Discretionary,Distributors,2020-12-08
37.22,37.63,36.92,37.21,1264457,0.0,0.0,LKQ,LKQ Corporation,Consumer Discretionary,Distributors,2020-12-09
36.84,37.01,36.28,36.57,1154042,0.0,0.0,LKQ,LKQ Corporation,Consumer Discretionary,Distributors,2020-12-10
36.17,36.75,36.08,36.66,1446505,0.0,0.0,LKQ,LKQ Corporation,Consumer Discretionary,Distributors,2020-12-11
37.02,37.56,36.53,36.61,1606734,0.0,0.0,LKQ,LKQ Corporation,Consumer Discretionary,Distributors,2020-12-14
36.8,37.29,36.32,37.25,1104711,0.0,0.0,LKQ,LKQ Corporation,Consumer Discretionary,Distributors,2020-12-15
37.45,37.59,37.0,37.12,979960,0.0,0.0,LKQ,LKQ Corporation,Consumer Discretionary,Distributors,2020-12-16
37.23,37.27,36.62,37.12,1556288,0.0,0.0,LKQ,LKQ Corporation,Consumer Discretionary,Distributors,2020-12-17
36.96,37.15,35.93,36.15,4007919,0.0,0.0,LKQ,LKQ Corporation,Consumer Discretionary,Distributors,2020-12-18
35.42,35.98,34.79,35.92,1344320,0.0,0.0,LKQ,LKQ Corporation,Consumer Discretionary,Distributors,2020-12-21
35.88,36.36,35.45,35.98,1570783,0.0,0.0,LKQ,LKQ Corporation,Consumer Discretionary,Distributors,2020-12-22
36.27,36.52,36.06,36.25,1258892,0.0,0.0,LKQ,LKQ Corporation,Consumer Discretionary,Distributors,2020-12-23
36.4,36.4,35.84,36.26,334603,0.0,0.0,LKQ,LKQ Corporation,Consumer Discretionary,Distributors,2020-12-24
36.52,36.96,36.18,36.25,898732,0.0,0.0,LKQ,LKQ Corporation,Consumer Discretionary,Distributors,2020-12-28
36.74,36.74,35.24,35.34,1812361,0.0,0.0,LKQ,LKQ Corporation,Consumer Discretionary,Distributors,2020-12-29
35.42,35.96,34.79,35.37,2829747,0.0,0.0,LKQ,LKQ Corporation,Consumer Discretionary,Distributors,2020-12-30
35.5,35.5,34.89,35.24,1542211,0.0,0.0,LKQ,LKQ Corporation,Consumer Discretionary,Distributors,2020-12-31
35.44,35.86,34.11,34.72,2374876,0.0,0.0,LKQ,LKQ Corporation,Consumer Discretionary,Distributors,2021-01-04
34.8,35.56,34.55,35.19,3050287,0.0,0.0,LKQ,LKQ Corporation,Consumer Discretionary,Distributors,2021-01-05
35.64,37.61,35.61,37.1,2112925,0.0,0.0,LKQ,LKQ Corporation,Consumer Discretionary,Distributors,2021-01-06
37.09,38.25,36.9,38.15,3693133,0.0,0.0,LKQ,LKQ Corporation,Consumer Discretionary,Distributors,2021-01-07
38.16,38.53,37.8,38.39,1833697,0.0,0.0,LKQ,LKQ Corporation,Consumer Discretionary,Distributors,2021-01-08
37.99,38.49,37.67,37.96,1527219,0.0,0.0,LKQ,LKQ Corporation,Consumer Discretionary,Distributors,2021-01-11
38.07,40.04,37.81,39.82,2611407,0.0,0.0,LKQ,LKQ Corporation,Consumer Discretionary,Distributors,2021-01-12
39.52,39.7,38.99,39.36,1640769,0.0,0.0,LKQ,LKQ Corporation,Consumer Discretionary,Distributors,2021-01-13
39.55,39.71,38.99,39.07,1482734,0.0,0.0,LKQ,LKQ Corporation,Consumer Discretionary,Distributors,2021-01-14
38.74,38.9,37.69,37.85,2022511,0.0,0.0,LKQ,LKQ Corporation,Consumer Discretionary,Distributors,2021-01-15
37.8,38.34,36.96,37.15,1623820,0.0,0.0,LKQ,LKQ Corporation,Consumer Discretionary,Distributors,2021-01-19
37.3,37.79,36.91,37.6,1719854,0.0,0.0,LKQ,LKQ Corporation,Consumer Discretionary,Distributors,2021-01-20
37.52,37.78,37.15,37.61,2413348,0.0,0.0,LKQ,LKQ Corporation,Consumer Discretionary,Distributors,2021-01-21
37.49,37.49,36.73,37.15,1178104,0.0,0.0,LKQ,LKQ Corporation,Consumer Discretionary,Distributors,2021-01-22
37.24,37.42,36.0,37.07,1482247,0.0,0.0,LKQ,LKQ Corporation,Consumer Discretionary,Distributors,2021-01-25
37.63,37.63,36.67,36.75,1028444,0.0,0.0,LKQ,LKQ Corporation,Consumer Discretionary,Distributors,2021-01-26
36.33,36.33,34.79,35.69,2474090,0.0,0.0,LKQ,LKQ Corporation,Consumer Discretionary,Distributors,2021-01-27
36.08,37.13,35.92,36.37,2325137,0.0,0.0,LKQ,LKQ Corporation,Consumer Discretionary,Distributors,2021-01-28
36.26,36.62,34.99,35.09,2268242,0.0,0.0,LKQ,LKQ Corporation,Consumer Discretionary,Distributors,2021-01-29
35.55,36.16,35.09,35.96,1899648,0.0,0.0,LKQ,LKQ Corporation,Consumer Discretionary,Distributors,2021-02-01
36.09,36.6,36.05,36.4,1313142,0.0,0.0,LKQ,LKQ Corporation,Consumer Discretionary,Distributors,2021-02-02
36.35,37.03,36.22,36.84,1080321,0.0,0.0,LKQ,LKQ Corporation,Consumer Discretionary,Distributors,2021-02-03
36.83,37.83,36.81,37.71,962873,0.0,0.0,LKQ,LKQ Corporation,Consumer Discretionary,Distributors,2021-02-04
38.03,38.32,37.84,37.91,665585,0.0,0.0,LKQ,LKQ Corporation,Consumer Discretionary,Distributors,2021-02-05
38.01,38.48,37.88,38.24,1323884,0.0,0.0,LKQ,LKQ Corporation,Consumer Discretionary,Distributors,2021-02-08
38.4,38.4,37.36,37.4,934353,0.0,0.0,LKQ,LKQ Corporation,Consumer Discretionary,Distributors,2021-02-09
37.47,37.82,37.21,37.62,1091225,0.0,0.0,LKQ,LKQ Corporation,Consumer Discretionary,Distributors,2021-02-10
37.81,37.81,36.85,37.35,975829,0.0,0.0,LKQ,LKQ Corporation,Consumer Discretionary,Distributors,2021-02-11
37.21,37.69,36.41,36.92,2271326,0.0,0.0,LKQ,LKQ Corporation,Consumer Discretionary,Distributors,2021-02-12
37.21,37.93,37.17,37.46,1977522,0.0,0.0,LKQ,LKQ Corporation,Consumer Discretionary,Distributors,2021-02-16
37.48,37.48,36.33,36.78,1301558,0.0,0.0,LKQ,LKQ Corporation,Consumer Discretionary,Distributors,2021-02-17
37.76,39.68,37.05,38.61,3193127,0.0,0.0,LKQ,LKQ Corporation,Consumer Discretionary,Distributors,2021-02-18
39.43,39.43,37.12,38.79,2793534,0.0,0.0,LKQ,LKQ Corporation,Consumer Discretionary,Distributors,2021-02-19
38.42,39.68,38.02,38.99,2330459,0.0,0.0,LKQ,LKQ Corporation,Consumer Discretionary,Distributors,2021-02-22
38.97,39.06,38.15,38.54,1593439,0.0,0.0,LKQ,LKQ Corporation,Consumer Discretionary,Distributors,2021-02-23
38.33,40.1,38.33,39.98,1334390,0.0,0.0,LKQ,LKQ Corporation,Consumer Discretionary,Distributors,2021-02-24
39.84,40.21,39.19,39.57,2632411,0.0,0.0,LKQ,LKQ Corporation,Consumer Discretionary,Distributors,2021-02-25
39.85,40.19,39.23,39.39,3127793,0.0,0.0,LKQ,LKQ Corporation,Consumer Discretionary,Distributors,2021-02-26
40.03,40.75,39.76,40.33,2071903,0.0,0.0,LKQ,LKQ Corporation,Consumer Discretionary,Distributors,2021-03-01
40.17,40.5,39.68,39.87,1744387,0.0,0.0,LKQ,LKQ Corporation,Consumer Discretionary,Distributors,2021-03-02
39.91,41.29,39.85,40.26,2064326,0.0,0.0,LKQ,LKQ Corporation,Consumer Discretionary,Distributors,2021-03-03
40.16,40.83,39.35,40.05,2955503,0.0,0.0,LKQ,LKQ Corporation,Consumer Discretionary,Distributors,2021-03-04
40.59,42.18,40.07,41.96,2418503,0.0,0.0,LKQ,LKQ Corporation,Consumer Discretionary,Distributors,2021-03-05
42.36,43.97,42.18,43.02,2119572,0.0,0.0,LKQ,LKQ Corporation,Consumer Discretionary,Distributors,2021-03-08
42.99,43.78,42.64,42.77,3205545,0.0,0.0,LKQ,LKQ Corporation,Consumer Discretionary,Distributors,2021-03-09
42.86,43.28,42.58,42.67,3409578,0.0,0.0,LKQ,LKQ Corporation,Consumer Discretionary,Distributors,2021-03-10
42.67,43.06,42.22,42.58,2429140,0.0,0.0,LKQ,LKQ Corporation,Consumer Discretionary,Distributors,2021-03-11
42.86,43.1,42.6,42.98,1533429,0.0,0.0,LKQ,LKQ Corporation,Consumer Discretionary,Distributors,2021-03-12
42.91,43.33,42.2,43.3,1965528,0.0,0.0,LKQ,LKQ Corporation,Consumer Discretionary,Distributors,2021-03-15
43.09,43.34,42.73,43.25,1458711,0.0,0.0,LKQ,LKQ Corporation,Consumer Discretionary,Distributors,2021-03-16
43.26,43.94,43.14,43.76,1792493,0.0,0.0,LKQ,LKQ Corporation,Consumer Discretionary,Distributors,2021-03-17
43.54,44.88,43.39,43.6,1556420,0.0,0.0,LKQ,LKQ Corporation,Consumer Discretionary,Distributors,2021-03-18
43.16,43.8,42.75,43.4,3161184,0.0,0.0,LKQ,LKQ Corporation,Consumer Discretionary,Distributors,2021-03-19
43.43,43.54,42.43,42.98,1624907,0.0,0.0,LKQ,LKQ Corporation,Consumer Discretionary,Distributors,2021-03-22
42.51,43.01,40.96,41.2,1498002,0.0,0.0,LKQ,LKQ Corporation,Consumer Discretionary,Distributors,2021-03-23
41.52,42.38,40.98,41.03,1213106,0.0,0.0,LKQ,LKQ Corporation,Consumer Discretionary,Distributors,2021-03-24
41.05,41.98,40.38,41.86,1627907,0.0,0.0,LKQ,LKQ Corporation,Consumer Discretionary,Distributors,2021-03-25
41.92,42.77,41.68,42.75,884607,0.0,0.0,LKQ,LKQ Corporation,Consumer Discretionary,Distributors,2021-03-26
42.58,43.03,41.64,42.06,1165186,0.0,0.0,LKQ,LKQ Corporation,Consumer Discretionary,Distributors,2021-03-29
42.08,42.88,41.92,42.86,1088740,0.0,0.0,LKQ,LKQ Corporation,Consumer Discretionary,Distributors,2021-03-30
42.78,42.83,42.11,42.33,1280513,0.0,0.0,LKQ,LKQ Corporation,Consumer Discretionary,Distributors,2021-03-31
42.45,42.99,41.98,42.95,1481346,0.0,0.0,LKQ,LKQ Corporation,Consumer Discretionary,Distributors,2021-04-01
