Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
42.08,42.48,40.4,41.1,9876821,0.0,0.0,LUV,Southwest Airlines,Industrials,Passenger Airlines,2020-10-26
40.7,41.02,39.78,39.93,6609355,0.0,0.0,LUV,Southwest Airlines,Industrials,Passenger Airlines,2020-10-27
38.87,39.38,37.48,38.14,12244986,0.0,0.0,LUV,Southwest Airlines,Industrials,Passenger Airlines,2020-10-28
38.09,39.87,37.95,39.57,8462398,0.0,0.0,LUV,Southwest Airlines,Industrials,Passenger Airlines,2020-10-29
39.39,40.2,38.98,39.53,11304555,0.0,0.0,LUV,Southwest Airlines,Industrials,Passenger Airlines,2020-10-30
39.93,39.94,37.95,38.4,11448968,0.0,0.0,LUV,Southwest Airlines,Industrials,Passenger Airlines,2020-11-02
39.23,39.4,38.66,38.85,7456204,0.0,0.0,LUV,Southwest Airlines,Industrials,Passenger Airlines,2020-11-03
38.85,39.65,38.05,38.93,9075215,0.0,0.0,LUV,Southwest Airlines,Industrials,Passenger Airlines,2020-11-04
39.44,41.25,39.38,41.05,8160772,0.0,0.0,LUV,Southwest Airlines,Industrials,Passenger Airlines,2020-11-05
40.74,40.93,39.77,40.01,6076422,0.0,0.0,LUV,Southwest Airlines,Industrials,Passenger Airlines,2020-11-06
46.85,49.47,43.79,43.89,31050957,0.0,0.0,LUV,Southwest Airlines,Industrials,Passenger Airlines,2020-11-09
43.88,45.12,43.33,44.81,17229731,0.0,0.0,LUV,Southwest Airlines,Industrials,Passenger Airlines,2020-11-10
44.9,44.91,42.66,43.22,10484932,0.0,0.0,LUV,Southwest Airlines,Industrials,Passenger Airlines,2020-11-11
41.78,43.28,41.4,41.92,11240431,0.0,0.0,LUV,Southwest Airlines,Industrials,Passenger Airlines,2020-11-12
42.17,44.14,42.11,43.88,7965562,0.0,0.0,LUV,Southwest Airlines,Industrials,Passenger Airlines,2020-11-13
46.06,46.2,44.54,45.58,14672729,0.0,0.0,LUV,Southwest Airlines,Industrials,Passenger Airlines,2020-11-16
44.86,46.24,44.43,45.66,8560001,0.0,0.0,LUV,Southwest Airlines,Industrials,Passenger Airlines,2020-11-17
46.82,47.28,45.6,45.6,11620308,0.0,0.0,LUV,Southwest Airlines,Industrials,Passenger Airlines,2020-11-18
45.53,46.46,45.41,46.08,6780068,0.0,0.0,LUV,Southwest Airlines,Industrials,Passenger Airlines,2020-11-19
46.05,46.05,45.04,45.54,6744504,0.0,0.0,LUV,Southwest Airlines,Industrials,Passenger Airlines,2020-11-20
46.11,46.95,45.28,46.81,10241182,0.0,0.0,LUV,Southwest Airlines,Industrials,Passenger Airlines,2020-11-23
48.9,49.23,47.65,48.25,12407604,0.0,0.0,LUV,Southwest Airlines,Industrials,Passenger Airlines,2020-11-24
48.47,48.57,47.5,48.27,7443450,0.0,0.0,LUV,Southwest Airlines,Industrials,Passenger Airlines,2020-11-25
48.25,48.74,47.65,47.73,4051900,0.0,0.0,LUV,Southwest Airlines,Industrials,Passenger Airlines,2020-11-27
47.65,47.7,46.04,46.34,8895506,0.0,0.0,LUV,Southwest Airlines,Industrials,Passenger Airlines,2020-11-30
46.55,48.09,46.5,47.27,7692652,0.0,0.0,LUV,Southwest Airlines,Industrials,Passenger Airlines,2020-12-01
46.88,47.76,46.46,47.44,6150815,0.0,0.0,LUV,Southwest Airlines,Industrials,Passenger Airlines,2020-12-02
47.95,49.53,47.66,47.82,9995316,0.0,0.0,LUV,Southwest Airlines,Industrials,Passenger Airlines,2020-12-03
48.37,48.79,47.07,47.59,7731264,0.0,0.0,LUV,Southwest Airlines,Industrials,Passenger Airlines,2020-12-04
48.34,48.43,47.5,47.89,8248209,0.0,0.0,LUV,Southwest Airlines,Industrials,Passenger Airlines,2020-12-07
47.3,47.92,47.06,47.28,9257456,0.0,0.0,LUV,Southwest Airlines,Industrials,Passenger Airlines,2020-12-08
47.34,47.54,45.25,45.76,20856710,0.0,0.0,LUV,Southwest Airlines,Industrials,Passenger Airlines,2020-12-09
45.09,47.0,45.02,46.8,8486392,0.0,0.0,LUV,Southwest Airlines,Industrials,Passenger Airlines,2020-12-10
46.0,46.59,45.16,45.88,7782745,0.0,0.0,LUV,Southwest Airlines,Industrials,Passenger Airlines,2020-12-11
46.58,46.6,45.24,45.26,7040110,0.0,0.0,LUV,Southwest Airlines,Industrials,Passenger Airlines,2020-12-14
45.68,46.49,44.95,46.42,6035571,0.0,0.0,LUV,Southwest Airlines,Industrials,Passenger Airlines,2020-12-15
46.42,46.42,45.27,45.73,6562593,0.0,0.0,LUV,Southwest Airlines,Industrials,Passenger Airlines,2020-12-16
45.8,46.4,45.45,46.39,6445398,0.0,0.0,LUV,Southwest Airlines,Industrials,Passenger Airlines,2020-12-17
46.22,46.34,45.66,46.03,8903808,0.0,0.0,LUV,Southwest Airlines,Industrials,Passenger Airlines,2020-12-18
44.76,46.13,44.45,45.8,7877946,0.0,0.0,LUV,Southwest Airlines,Industrials,Passenger Airlines,2020-12-21
