Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
258.15,259.02,252.07,254.25,396716,0.0,0.0,MLM,Martin Marietta Materials,Materials,Construction Materials,2020-10-26
254.88,258.64,253.74,255.53,372320,0.0,0.0,MLM,Martin Marietta Materials,Materials,Construction Materials,2020-10-27
249.14,252.17,243.75,247.45,559136,0.0,0.0,MLM,Martin Marietta Materials,Materials,Construction Materials,2020-10-28
250.91,269.03,250.0,263.6,1121106,0.0,0.0,MLM,Martin Marietta Materials,Materials,Construction Materials,2020-10-29
260.76,269.78,259.29,266.35,609868,0.0,0.0,MLM,Martin Marietta Materials,Materials,Construction Materials,2020-10-30
269.84,275.49,268.4,270.99,869566,0.0,0.0,MLM,Martin Marietta Materials,Materials,Construction Materials,2020-11-02
275.5,278.0,271.61,276.16,486731,0.0,0.0,MLM,Martin Marietta Materials,Materials,Construction Materials,2020-11-03
252.64,266.39,239.7,253.76,1860766,0.0,0.0,MLM,Martin Marietta Materials,Materials,Construction Materials,2020-11-04
256.12,266.06,255.04,260.21,948985,0.0,0.0,MLM,Martin Marietta Materials,Materials,Construction Materials,2020-11-05
256.92,265.7,253.35,256.18,537486,0.0,0.0,MLM,Martin Marietta Materials,Materials,Construction Materials,2020-11-06
270.97,275.96,257.01,261.43,659555,0.0,0.0,MLM,Martin Marietta Materials,Materials,Construction Materials,2020-11-09
263.45,277.42,263.25,266.02,603265,0.0,0.0,MLM,Martin Marietta Materials,Materials,Construction Materials,2020-11-10
266.69,266.69,258.32,265.99,469403,0.0,0.0,MLM,Martin Marietta Materials,Materials,Construction Materials,2020-11-11
263.88,263.99,258.83,260.57,488235,0.0,0.0,MLM,Martin Marietta Materials,Materials,Construction Materials,2020-11-12
262.46,270.0,260.59,264.14,450702,0.0,0.0,MLM,Martin Marietta Materials,Materials,Construction Materials,2020-11-13
270.82,274.71,266.68,271.21,478089,0.0,0.0,MLM,Martin Marietta Materials,Materials,Construction Materials,2020-11-16
268.81,270.67,265.97,269.33,299123,0.0,0.0,MLM,Martin Marietta Materials,Materials,Construction Materials,2020-11-17
270.74,274.63,268.11,269.36,310651,0.0,0.0,MLM,Martin Marietta Materials,Materials,Construction Materials,2020-11-18
268.05,274.23,266.41,269.55,288406,0.0,0.0,MLM,Martin Marietta Materials,Materials,Construction Materials,2020-11-19
266.56,266.81,259.12,265.6,426434,0.0,0.0,MLM,Martin Marietta Materials,Materials,Construction Materials,2020-11-20
269.0,271.18,265.98,266.89,326786,0.0,0.0,MLM,Martin Marietta Materials,Materials,Construction Materials,2020-11-23
270.15,277.56,267.33,274.92,590792,0.0,0.0,MLM,Martin Marietta Materials,Materials,Construction Materials,2020-11-24
272.56,274.09,265.25,272.68,263557,0.0,0.0,MLM,Martin Marietta Materials,Materials,Construction Materials,2020-11-25
272.45,272.92,268.17,271.01,157997,0.0,0.0,MLM,Martin Marietta Materials,Materials,Construction Materials,2020-11-27
269.28,269.28,261.82,265.63,503601,0.0,0.0,MLM,Martin Marietta Materials,Materials,Construction Materials,2020-11-30
270.46,278.9,268.17,275.47,727075,0.0,0.0,MLM,Martin Marietta Materials,Materials,Construction Materials,2020-12-01
273.46,275.46,270.01,273.46,378912,0.0,0.0,MLM,Martin Marietta Materials,Materials,Construction Materials,2020-12-02
271.94,282.84,268.08,281.15,550310,0.0,0.0,MLM,Martin Marietta Materials,Materials,Construction Materials,2020-12-03
282.0,287.15,281.38,284.94,442493,0.0,0.0,MLM,Martin Marietta Materials,Materials,Construction Materials,2020-12-04
283.01,286.42,281.08,284.94,382825,0.0,0.0,MLM,Martin Marietta Materials,Materials,Construction Materials,2020-12-07
282.27,287.5,280.41,282.83,408531,0.0,0.0,MLM,Martin Marietta Materials,Materials,Construction Materials,2020-12-08
281.0,281.6,274.55,277.18,595583,0.0,0.0,MLM,Martin Marietta Materials,Materials,Construction Materials,2020-12-09
274.67,274.67,264.58,266.74,733750,0.0,0.0,MLM,Martin Marietta Materials,Materials,Construction Materials,2020-12-10
266.71,268.92,264.18,267.2,441256,0.0,0.0,MLM,Martin Marietta Materials,Materials,Construction Materials,2020-12-11
270.16,270.42,258.18,259.7,579662,0.0,0.0,MLM,Martin Marietta Materials,Materials,Construction Materials,2020-12-14
262.11,266.85,259.26,266.56,604067,0.0,0.0,MLM,Martin Marietta Materials,Materials,Construction Materials,2020-12-15
266.67,267.32,261.64,262.23,497736,0.0,0.0,MLM,Martin Marietta Materials,Materials,Construction Materials,2020-12-16
263.86,266.36,262.45,265.73,455270,0.0,0.0,MLM,Martin Marietta Materials,Materials,Construction Materials,2020-12-17
267.6,277.38,267.06,276.35,1292619,0.0,0.0,MLM,Martin Marietta Materials,Materials,Construction Materials,2020-12-18
270.72,278.85,269.08,275.67,459080,0.0,0.0,MLM,Martin Marietta Materials,Materials,Construction Materials,2020-12-21
277.39,278.77,272.98,273.3,582713,0.0,0.0,MLM,Martin Marietta Materials,Materials,Construction Materials,2020-12-22
273.11,275.61,270.76,273.79,288016,0.0,0.0,MLM,Martin Marietta Materials,Materials,Construction Materials,2020-12-23
274.94,275.75,271.07,275.05,79469,0.0,0.0,MLM,Martin Marietta Materials,Materials,Construction Materials,2020-12-24
276.34,281.97,274.25,278.69,289200,0.0,0.0,MLM,Martin Marietta Materials,Materials,Construction Materials,2020-12-28
279.5,281.18,273.21,274.08,361842,0.0,0.0,MLM,Martin Marietta Materials,Materials,Construction Materials,2020-12-29
276.03,282.4,275.5,280.94,337348,0.0,0.0,MLM,Martin Marietta Materials,Materials,Construction Materials,2020-12-30
279.65,284.61,278.11,283.97,300966,0.0,0.0,MLM,Martin Marietta Materials,Materials,Construction Materials,2020-12-31
284.0,288.85,276.33,277.8,715578,0.0,0.0,MLM,Martin Marietta Materials,Materials,Construction Materials,2021-01-04
277.54,283.39,274.64,280.87,735257,0.0,0.0,MLM,Martin Marietta Materials,Materials,Construction Materials,2021-01-05
300.0,307.4,297.03,302.66,2519841,0.0,0.0,MLM,Martin Marietta Materials,Materials,Construction Materials,2021-01-06
309.46,309.87,302.06,307.82,764533,0.0,0.0,MLM,Martin Marietta Materials,Materials,Construction Materials,2021-01-07
307.21,311.45,304.85,310.43,505021,0.0,0.0,MLM,Martin Marietta Materials,Materials,Construction Materials,2021-01-08
305.74,311.46,303.79,310.06,375091,0.0,0.0,MLM,Martin Marietta Materials,Materials,Construction Materials,2021-01-11
310.06,319.01,308.26,314.81,446421,0.0,0.0,MLM,Martin Marietta Materials,Materials,Construction Materials,2021-01-12
312.14,313.81,303.0,305.03,605126,0.0,0.0,MLM,Martin Marietta Materials,Materials,Construction Materials,2021-01-13
307.09,308.36,301.18,302.83,673456,0.0,0.0,MLM,Martin Marietta Materials,Materials,Construction Materials,2021-01-14
300.83,304.43,296.44,303.58,556446,0.0,0.0,MLM,Martin Marietta Materials,Materials,Construction Materials,2021-01-15
305.0,309.48,302.58,307.0,622925,0.0,0.0,MLM,Martin Marietta Materials,Materials,Construction Materials,2021-01-19
307.41,311.03,306.52,310.0,621995,0.0,0.0,MLM,Martin Marietta Materials,Materials,Construction Materials,2021-01-20
308.39,314.68,307.08,310.0,605081,0.0,0.0,MLM,Martin Marietta Materials,Materials,Construction Materials,2021-01-21
307.59,311.92,305.61,309.6,647863,0.0,0.0,MLM,Martin Marietta Materials,Materials,Construction Materials,2021-01-22
309.0,310.08,303.49,308.0,930968,0.0,0.0,MLM,Martin Marietta Materials,Materials,Construction Materials,2021-01-25
309.94,310.0,292.93,293.09,676561,0.0,0.0,MLM,Martin Marietta Materials,Materials,Construction Materials,2021-01-26
287.73,292.74,280.38,284.99,693847,0.0,0.0,MLM,Martin Marietta Materials,Materials,Construction Materials,2021-01-27
288.94,291.58,286.29,288.9,434451,0.0,0.0,MLM,Martin Marietta Materials,Materials,Construction Materials,2021-01-28
286.58,292.07,282.55,287.41,717062,0.0,0.0,MLM,Martin Marietta Materials,Materials,Construction Materials,2021-01-29
289.57,297.06,287.65,295.86,518757,0.0,0.0,MLM,Martin Marietta Materials,Materials,Construction Materials,2021-02-01
298.26,298.81,294.59,294.64,348276,0.0,0.0,MLM,Martin Marietta Materials,Materials,Construction Materials,2021-02-02
295.52,297.25,293.07,294.88,475269,0.0,0.0,MLM,Martin Marietta Materials,Materials,Construction Materials,2021-02-03
295.94,298.09,292.91,295.19,406345,0.0,0.0,MLM,Martin Marietta Materials,Materials,Construction Materials,2021-02-04
299.28,299.32,294.69,297.6,350322,0.0,0.0,MLM,Martin Marietta Materials,Materials,Construction Materials,2021-02-05
300.0,303.32,297.57,300.91,467566,0.0,0.0,MLM,Martin Marietta Materials,Materials,Construction Materials,2021-02-08
302.26,311.74,300.1,305.92,546264,0.0,0.0,MLM,Martin Marietta Materials,Materials,Construction Materials,2021-02-09
309.02,317.23,305.38,316.0,668445,0.0,0.0,MLM,Martin Marietta Materials,Materials,Construction Materials,2021-02-10
317.75,321.61,315.11,318.56,526538,0.0,0.0,MLM,Martin Marietta Materials,Materials,Construction Materials,2021-02-11
317.18,332.31,317.18,330.83,582358,0.0,0.0,MLM,Martin Marietta Materials,Materials,Construction Materials,2021-02-12
332.22,333.99,321.62,325.65,475337,0.0,0.0,MLM,Martin Marietta Materials,Materials,Construction Materials,2021-02-16
322.74,325.77,315.8,325.3,364797,0.0,0.0,MLM,Martin Marietta Materials,Materials,Construction Materials,2021-02-17
322.83,325.94,319.58,325.15,287990,0.0,0.0,MLM,Martin Marietta Materials,Materials,Construction Materials,2021-02-18
328.14,338.77,326.81,336.34,638452,0.0,0.0,MLM,Martin Marietta Materials,Materials,Construction Materials,2021-02-19
