Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
112.71,112.72,110.35,111.09,1447962,0.0,0.0,MMC,Marsh McLennan,Financials,Insurance Brokers,2020-10-26
111.33,111.99,110.41,110.41,1100104,0.0,0.0,MMC,Marsh McLennan,Financials,Insurance Brokers,2020-10-27
108.83,109.4,107.29,107.53,2540938,0.0,0.0,MMC,Marsh McLennan,Financials,Insurance Brokers,2020-10-28
107.32,107.86,102.86,102.95,3084978,0.0,0.0,MMC,Marsh McLennan,Financials,Insurance Brokers,2020-10-29
102.59,104.64,102.11,103.46,2818905,0.0,0.0,MMC,Marsh McLennan,Financials,Insurance Brokers,2020-10-30
104.0,105.44,103.27,104.89,2590006,0.0,0.0,MMC,Marsh McLennan,Financials,Insurance Brokers,2020-11-02
106.43,107.43,105.48,106.57,2364169,0.0,0.0,MMC,Marsh McLennan,Financials,Insurance Brokers,2020-11-03
106.86,111.38,106.65,109.0,2254099,0.0,0.0,MMC,Marsh McLennan,Financials,Insurance Brokers,2020-11-04
109.92,110.73,107.85,108.4,1593425,0.0,0.0,MMC,Marsh McLennan,Financials,Insurance Brokers,2020-11-05
109.14,110.73,108.17,109.56,1422906,0.0,0.0,MMC,Marsh McLennan,Financials,Insurance Brokers,2020-11-06
116.0,117.13,110.17,110.58,3306120,0.0,0.0,MMC,Marsh McLennan,Financials,Insurance Brokers,2020-11-09
110.68,113.08,109.97,112.51,2136292,0.0,0.0,MMC,Marsh McLennan,Financials,Insurance Brokers,2020-11-10
113.32,113.96,112.71,113.36,1245108,0.0,0.0,MMC,Marsh McLennan,Financials,Insurance Brokers,2020-11-11
112.99,113.28,111.58,112.33,1383623,0.0,0.0,MMC,Marsh McLennan,Financials,Insurance Brokers,2020-11-12
112.94,113.95,112.84,113.31,1397177,0.0,0.0,MMC,Marsh McLennan,Financials,Insurance Brokers,2020-11-13
114.12,115.72,113.75,115.66,1824034,0.0,0.0,MMC,Marsh McLennan,Financials,Insurance Brokers,2020-11-16
114.4,114.88,112.92,114.24,1494014,0.0,0.0,MMC,Marsh McLennan,Financials,Insurance Brokers,2020-11-17
114.04,114.86,111.96,112.0,1875351,0.0,0.0,MMC,Marsh McLennan,Financials,Insurance Brokers,2020-11-18
112.08,114.94,111.44,114.48,2302567,0.0,0.0,MMC,Marsh McLennan,Financials,Insurance Brokers,2020-11-19
114.76,114.98,112.9,112.98,1360403,0.0,0.0,MMC,Marsh McLennan,Financials,Insurance Brokers,2020-11-20
113.58,113.96,112.05,113.28,1129631,0.0,0.0,MMC,Marsh McLennan,Financials,Insurance Brokers,2020-11-23
114.28,115.38,113.5,115.1,1690619,0.0,0.0,MMC,Marsh McLennan,Financials,Insurance Brokers,2020-11-24
114.8,115.27,113.44,115.23,1656140,0.0,0.0,MMC,Marsh McLennan,Financials,Insurance Brokers,2020-11-25
115.0,115.79,114.15,114.36,564007,0.0,0.0,MMC,Marsh McLennan,Financials,Insurance Brokers,2020-11-27
114.26,114.74,113.32,114.64,2858017,0.0,0.0,MMC,Marsh McLennan,Financials,Insurance Brokers,2020-11-30
115.35,116.99,115.17,116.34,1538465,0.0,0.0,MMC,Marsh McLennan,Financials,Insurance Brokers,2020-12-01
116.38,116.58,114.97,116.02,986228,0.0,0.0,MMC,Marsh McLennan,Financials,Insurance Brokers,2020-12-02
115.98,117.0,115.12,116.54,2465696,0.0,0.0,MMC,Marsh McLennan,Financials,Insurance Brokers,2020-12-03
116.39,117.39,115.34,117.32,2090065,0.0,0.0,MMC,Marsh McLennan,Financials,Insurance Brokers,2020-12-04
117.03,118.43,115.69,116.06,1527649,0.0,0.0,MMC,Marsh McLennan,Financials,Insurance Brokers,2020-12-07
114.18,117.0,114.09,116.7,1906788,0.0,0.0,MMC,Marsh McLennan,Financials,Insurance Brokers,2020-12-08
116.49,116.93,115.25,115.9,2108106,0.0,0.0,MMC,Marsh McLennan,Financials,Insurance Brokers,2020-12-09
116.11,116.3,114.93,115.37,3373604,0.0,0.0,MMC,Marsh McLennan,Financials,Insurance Brokers,2020-12-10
114.66,116.32,114.43,115.44,2400390,0.0,0.0,MMC,Marsh McLennan,Financials,Insurance Brokers,2020-12-11
116.28,116.79,114.87,114.92,1745002,0.0,0.0,MMC,Marsh McLennan,Financials,Insurance Brokers,2020-12-14
115.5,117.29,115.15,116.65,2131796,0.0,0.0,MMC,Marsh McLennan,Financials,Insurance Brokers,2020-12-15
117.01,118.32,116.58,117.12,1766362,0.0,0.0,MMC,Marsh McLennan,Financials,Insurance Brokers,2020-12-16
117.57,119.31,117.56,118.69,1449292,0.0,0.0,MMC,Marsh McLennan,Financials,Insurance Brokers,2020-12-17
118.36,118.62,115.22,116.27,4171284,0.0,0.0,MMC,Marsh McLennan,Financials,Insurance Brokers,2020-12-18
115.62,116.05,112.54,115.05,1516378,0.0,0.0,MMC,Marsh McLennan,Financials,Insurance Brokers,2020-12-21
114.63,115.08,113.88,114.4,1188334,0.0,0.0,MMC,Marsh McLennan,Financials,Insurance Brokers,2020-12-22
114.65,115.16,113.68,113.69,858402,0.0,0.0,MMC,Marsh McLennan,Financials,Insurance Brokers,2020-12-23
114.14,115.29,113.92,115.13,372388,0.0,0.0,MMC,Marsh McLennan,Financials,Insurance Brokers,2020-12-24
115.68,116.11,114.84,115.2,980345,0.0,0.0,MMC,Marsh McLennan,Financials,Insurance Brokers,2020-12-28
115.66,115.94,114.77,114.8,787320,0.0,0.0,MMC,Marsh McLennan,Financials,Insurance Brokers,2020-12-29
115.21,115.66,114.71,115.01,659481,0.0,0.0,MMC,Marsh McLennan,Financials,Insurance Brokers,2020-12-30
115.34,117.19,114.74,117.0,914418,0.0,0.0,MMC,Marsh McLennan,Financials,Insurance Brokers,2020-12-31
116.43,116.81,112.62,113.51,1694993,0.0,0.0,MMC,Marsh McLennan,Financials,Insurance Brokers,2021-01-04
113.93,114.0,112.11,112.72,1154054,0.0,0.0,MMC,Marsh McLennan,Financials,Insurance Brokers,2021-01-05
112.95,114.49,111.89,113.5,2133947,0.0,0.0,MMC,Marsh McLennan,Financials,Insurance Brokers,2021-01-06
113.45,114.06,112.42,113.34,2633016,0.0,0.0,MMC,Marsh McLennan,Financials,Insurance Brokers,2021-01-07
111.83,114.3,111.83,113.48,2480156,0.0,0.0,MMC,Marsh McLennan,Financials,Insurance Brokers,2021-01-08
113.82,113.82,111.9,112.59,2022899,0.0,0.0,MMC,Marsh McLennan,Financials,Insurance Brokers,2021-01-11
112.47,114.11,111.97,113.0,2048293,0.0,0.0,MMC,Marsh McLennan,Financials,Insurance Brokers,2021-01-12
112.6,113.78,112.02,113.48,1528009,0.0,0.0,MMC,Marsh McLennan,Financials,Insurance Brokers,2021-01-13
113.69,113.9,111.88,111.99,1384162,0.0,0.0,MMC,Marsh McLennan,Financials,Insurance Brokers,2021-01-14
111.53,112.76,111.06,111.84,2718896,0.0,0.0,MMC,Marsh McLennan,Financials,Insurance Brokers,2021-01-15
112.12,113.09,111.56,112.22,1679945,0.0,0.0,MMC,Marsh McLennan,Financials,Insurance Brokers,2021-01-19
112.19,113.93,111.54,113.44,1722815,0.0,0.0,MMC,Marsh McLennan,Financials,Insurance Brokers,2021-01-20
113.12,113.44,111.81,111.83,1266305,0.0,0.0,MMC,Marsh McLennan,Financials,Insurance Brokers,2021-01-21
111.59,112.24,110.71,111.52,1507599,0.0,0.0,MMC,Marsh McLennan,Financials,Insurance Brokers,2021-01-22
111.52,112.91,110.79,112.03,1256935,0.0,0.0,MMC,Marsh McLennan,Financials,Insurance Brokers,2021-01-25
112.12,112.41,110.97,111.26,1159172,0.0,0.0,MMC,Marsh McLennan,Financials,Insurance Brokers,2021-01-26
110.44,110.59,106.95,107.6,2399265,0.0,0.0,MMC,Marsh McLennan,Financials,Insurance Brokers,2021-01-27
108.6,110.87,107.6,108.83,2163728,0.0,0.0,MMC,Marsh McLennan,Financials,Insurance Brokers,2021-01-28
