Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
39.67,40.14,39.03,39.42,3101630,0.0,0.0,MNST,Monster Beverage,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,2020-10-26
39.9,40.54,39.66,40.2,3812734,0.0,0.0,MNST,Monster Beverage,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,2020-10-27
39.35,39.57,38.62,38.68,4345196,0.0,0.0,MNST,Monster Beverage,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,2020-10-28
38.53,39.26,38.27,38.77,3060640,0.0,0.0,MNST,Monster Beverage,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,2020-10-29
38.42,38.61,37.72,38.28,6512058,0.0,0.0,MNST,Monster Beverage,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,2020-10-30
38.92,39.17,38.46,38.96,3053858,0.0,0.0,MNST,Monster Beverage,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,2020-11-02
40.17,40.26,39.02,39.76,11307526,0.0,0.0,MNST,Monster Beverage,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,2020-11-03
40.45,41.71,40.2,41.36,5447236,0.0,0.0,MNST,Monster Beverage,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,2020-11-04
42.02,42.34,41.32,41.84,5788346,0.0,0.0,MNST,Monster Beverage,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,2020-11-05
42.24,42.29,41.32,41.63,4282780,0.0,0.0,MNST,Monster Beverage,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,2020-11-06
43.9,44.2,40.45,40.67,6738220,0.0,0.0,MNST,Monster Beverage,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,2020-11-09
40.48,41.38,40.26,40.79,5245430,0.0,0.0,MNST,Monster Beverage,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,2020-11-10
40.88,42.39,40.76,42.25,4652090,0.0,0.0,MNST,Monster Beverage,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,2020-11-11
42.25,42.4,41.2,41.48,2897138,0.0,0.0,MNST,Monster Beverage,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,2020-11-12
41.72,42.06,41.44,42.01,3730582,0.0,0.0,MNST,Monster Beverage,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,2020-11-13
41.99,42.66,41.61,41.79,4823160,0.0,0.0,MNST,Monster Beverage,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,2020-11-16
42.42,42.94,41.99,42.77,4410486,0.0,0.0,MNST,Monster Beverage,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,2020-11-17
42.46,43.02,42.06,42.11,3784360,0.0,0.0,MNST,Monster Beverage,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,2020-11-18
41.69,42.1,41.42,41.86,3605964,0.0,0.0,MNST,Monster Beverage,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,2020-11-19
41.8,42.2,41.72,41.76,3064574,0.0,0.0,MNST,Monster Beverage,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,2020-11-20
41.96,42.36,41.64,42.04,4277038,0.0,0.0,MNST,Monster Beverage,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,2020-11-23
42.15,42.5,41.76,42.1,2868954,0.0,0.0,MNST,Monster Beverage,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,2020-11-24
42.28,42.47,41.92,42.04,1889012,0.0,0.0,MNST,Monster Beverage,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,2020-11-25
42.24,42.57,41.95,42.08,2232314,0.0,0.0,MNST,Monster Beverage,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,2020-11-27
42.1,42.42,41.64,42.39,5308972,0.0,0.0,MNST,Monster Beverage,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,2020-11-30
42.74,43.51,42.49,43.34,4998320,0.0,0.0,MNST,Monster Beverage,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,2020-12-01
43.92,44.23,42.91,43.13,3482392,0.0,0.0,MNST,Monster Beverage,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,2020-12-02
42.86,43.38,42.78,43.26,4931046,0.0,0.0,MNST,Monster Beverage,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,2020-12-03
43.07,43.8,43.06,43.72,3642660,0.0,0.0,MNST,Monster Beverage,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,2020-12-04
