Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
317.9,324.44,310.56,316.95,241645,0.0,0.0,MPWR,Monolithic Power Systems,Information Technology,Semiconductors,2020-10-26
319.34,321.68,316.24,319.88,260624,0.0,0.0,MPWR,Monolithic Power Systems,Information Technology,Semiconductors,2020-10-27
313.54,319.5,303.55,303.76,298003,0.0,0.0,MPWR,Monolithic Power Systems,Information Technology,Semiconductors,2020-10-28
304.7,324.38,304.7,318.63,450686,0.0,0.0,MPWR,Monolithic Power Systems,Information Technology,Semiconductors,2020-10-29
307.62,320.29,302.88,319.6,561866,0.0,0.0,MPWR,Monolithic Power Systems,Information Technology,Semiconductors,2020-10-30
325.84,326.91,313.05,315.26,342767,0.0,0.0,MPWR,Monolithic Power Systems,Information Technology,Semiconductors,2020-11-02
319.8,322.48,313.33,314.39,391276,0.0,0.0,MPWR,Monolithic Power Systems,Information Technology,Semiconductors,2020-11-03
319.49,338.92,318.27,335.86,667263,0.0,0.0,MPWR,Monolithic Power Systems,Information Technology,Semiconductors,2020-11-04
342.25,357.47,338.26,356.6,729065,0.0,0.0,MPWR,Monolithic Power Systems,Information Technology,Semiconductors,2020-11-05
356.3,358.68,347.19,357.18,285493,0.0,0.0,MPWR,Monolithic Power Systems,Information Technology,Semiconductors,2020-11-06
356.8,358.29,316.01,316.84,826736,0.0,0.0,MPWR,Monolithic Power Systems,Information Technology,Semiconductors,2020-11-09
314.56,319.94,302.49,309.76,567696,0.0,0.0,MPWR,Monolithic Power Systems,Information Technology,Semiconductors,2020-11-10
313.53,322.0,313.35,317.44,599678,0.0,0.0,MPWR,Monolithic Power Systems,Information Technology,Semiconductors,2020-11-11
318.78,319.58,309.44,310.75,309575,0.0,0.0,MPWR,Monolithic Power Systems,Information Technology,Semiconductors,2020-11-12
314.92,317.6,303.24,306.95,368095,0.0,0.0,MPWR,Monolithic Power Systems,Information Technology,Semiconductors,2020-11-13
304.86,307.34,296.21,306.0,489773,0.0,0.0,MPWR,Monolithic Power Systems,Information Technology,Semiconductors,2020-11-16
306.13,306.65,300.0,302.85,298368,0.0,0.0,MPWR,Monolithic Power Systems,Information Technology,Semiconductors,2020-11-17
302.69,307.13,299.83,300.11,230780,0.0,0.0,MPWR,Monolithic Power Systems,Information Technology,Semiconductors,2020-11-18
301.1,313.93,300.45,312.32,416518,0.0,0.0,MPWR,Monolithic Power Systems,Information Technology,Semiconductors,2020-11-19
313.21,320.21,309.69,315.73,292092,0.0,0.0,MPWR,Monolithic Power Systems,Information Technology,Semiconductors,2020-11-20
317.36,322.2,309.8,318.9,382057,0.0,0.0,MPWR,Monolithic Power Systems,Information Technology,Semiconductors,2020-11-23
318.42,319.4,301.39,304.69,765134,0.0,0.0,MPWR,Monolithic Power Systems,Information Technology,Semiconductors,2020-11-24
309.88,310.8,300.55,306.42,696082,0.0,0.0,MPWR,Monolithic Power Systems,Information Technology,Semiconductors,2020-11-25
