Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
70.36,71.32,68.7,70.24,3872799,0.0,0.0,MRNA,Moderna,Health Care,Biotechnology,2020-10-26
70.45,71.35,68.81,70.67,3812879,0.0,0.0,MRNA,Moderna,Health Care,Biotechnology,2020-10-27
68.95,69.47,65.49,65.74,6043991,0.0,0.0,MRNA,Moderna,Health Care,Biotechnology,2020-10-28
68.35,74.54,66.23,71.28,13776433,0.0,0.0,MRNA,Moderna,Health Care,Biotechnology,2020-10-29
70.8,71.49,66.85,67.47,7085797,0.0,0.0,MRNA,Moderna,Health Care,Biotechnology,2020-10-30
68.02,68.6,66.55,67.11,4650268,0.0,0.0,MRNA,Moderna,Health Care,Biotechnology,2020-11-02
66.75,69.25,66.59,69.08,4366542,0.0,0.0,MRNA,Moderna,Health Care,Biotechnology,2020-11-03
68.97,71.55,68.92,69.81,5442067,0.0,0.0,MRNA,Moderna,Health Care,Biotechnology,2020-11-04
71.09,71.59,70.16,71.48,4449850,0.0,0.0,MRNA,Moderna,Health Care,Biotechnology,2020-11-05
71.42,74.16,70.87,72.45,5841047,0.0,0.0,MRNA,Moderna,Health Care,Biotechnology,2020-11-06
77.75,80.25,75.42,77.74,20240413,0.0,0.0,MRNA,Moderna,Health Care,Biotechnology,2020-11-09
80.0,80.38,73.52,76.05,10496595,0.0,0.0,MRNA,Moderna,Health Care,Biotechnology,2020-11-10
77.05,83.98,76.13,82.44,18576496,0.0,0.0,MRNA,Moderna,Health Care,Biotechnology,2020-11-11
85.18,87.93,83.83,87.81,21750394,0.0,0.0,MRNA,Moderna,Health Care,Biotechnology,2020-11-12
86.62,90.53,85.22,89.39,14176721,0.0,0.0,MRNA,Moderna,Health Care,Biotechnology,2020-11-13
100.31,103.2,93.3,97.95,70853055,0.0,0.0,MRNA,Moderna,Health Care,Biotechnology,2020-11-16
97.23,97.8,91.6,93.15,26171963,0.0,0.0,MRNA,Moderna,Health Care,Biotechnology,2020-11-17
93.87,94.0,88.61,88.89,21823450,0.0,0.0,MRNA,Moderna,Health Care,Biotechnology,2020-11-18
90.0,94.65,89.51,92.77,16002015,0.0,0.0,MRNA,Moderna,Health Care,Biotechnology,2020-11-19
95.0,98.43,94.82,97.61,15306303,0.0,0.0,MRNA,Moderna,Health Care,Biotechnology,2020-11-20
100.77,101.77,98.62,101.03,16359624,0.0,0.0,MRNA,Moderna,Health Care,Biotechnology,2020-11-23
98.4,99.89,93.54,98.56,12515336,0.0,0.0,MRNA,Moderna,Health Care,Biotechnology,2020-11-24
99.03,109.29,98.65,109.18,25850691,0.0,0.0,MRNA,Moderna,Health Care,Biotechnology,2020-11-25
115.12,130.06,114.86,127.03,43428295,0.0,0.0,MRNA,Moderna,Health Care,Biotechnology,2020-11-27
144.0,153.87,141.05,152.74,73203064,0.0,0.0,MRNA,Moderna,Health Care,Biotechnology,2020-11-30
177.66,178.5,130.33,141.01,125552341,0.0,0.0,MRNA,Moderna,Health Care,Biotechnology,2020-12-01
138.63,149.8,128.1,143.0,51217334,0.0,0.0,MRNA,Moderna,Health Care,Biotechnology,2020-12-02
143.5,159.11,143.01,157.26,38656507,0.0,0.0,MRNA,Moderna,Health Care,Biotechnology,2020-12-03
157.59,157.82,148.51,152.52,27704832,0.0,0.0,MRNA,Moderna,Health Care,Biotechnology,2020-12-04
155.03,163.98,152.97,159.52,31409838,0.0,0.0,MRNA,Moderna,Health Care,Biotechnology,2020-12-07
165.75,170.51,164.3,169.86,27738717,0.0,0.0,MRNA,Moderna,Health Care,Biotechnology,2020-12-08
170.2,170.8,147.2,156.59,40951695,0.0,0.0,MRNA,Moderna,Health Care,Biotechnology,2020-12-09
151.13,159.5,148.01,155.69,22059469,0.0,0.0,MRNA,Moderna,Health Care,Biotechnology,2020-12-10
159.7,163.75,155.89,156.93,22069857,0.0,0.0,MRNA,Moderna,Health Care,Biotechnology,2020-12-11
163.4,163.76,152.56,155.07,22467742,0.0,0.0,MRNA,Moderna,Health Care,Biotechnology,2020-12-14
157.0,157.28,142.46,147.22,36451258,0.0,0.0,MRNA,Moderna,Health Care,Biotechnology,2020-12-15
137.75,141.33,134.31,137.03,28476275,0.0,0.0,MRNA,Moderna,Health Care,Biotechnology,2020-12-16
