Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
172.48,173.03,169.42,172.3,855770,0.0,0.0,MSI,Motorola Solutions,Information Technology,Communications Equipment,2020-10-26
172.04,175.24,171.92,172.36,861126,0.0,0.0,MSI,Motorola Solutions,Information Technology,Communications Equipment,2020-10-27
169.14,170.42,164.35,164.49,1126396,0.0,0.0,MSI,Motorola Solutions,Information Technology,Communications Equipment,2020-10-28
163.9,165.39,160.89,162.89,1153913,0.0,0.0,MSI,Motorola Solutions,Information Technology,Communications Equipment,2020-10-29
160.5,161.82,156.3,158.06,1102464,0.0,0.0,MSI,Motorola Solutions,Information Technology,Communications Equipment,2020-10-30
160.0,164.77,159.88,163.47,1101740,0.0,0.0,MSI,Motorola Solutions,Information Technology,Communications Equipment,2020-11-02
165.66,169.28,165.41,166.0,978395,0.0,0.0,MSI,Motorola Solutions,Information Technology,Communications Equipment,2020-11-03
166.23,166.38,160.18,160.33,1422869,0.0,0.0,MSI,Motorola Solutions,Information Technology,Communications Equipment,2020-11-04
163.13,165.57,160.52,160.85,1105441,0.0,0.0,MSI,Motorola Solutions,Information Technology,Communications Equipment,2020-11-05
162.27,165.79,161.2,164.48,1003599,0.0,0.0,MSI,Motorola Solutions,Information Technology,Communications Equipment,2020-11-06
171.94,175.71,169.92,170.26,1302327,0.0,0.0,MSI,Motorola Solutions,Information Technology,Communications Equipment,2020-11-09
170.07,170.66,165.96,166.8,986863,0.0,0.0,MSI,Motorola Solutions,Information Technology,Communications Equipment,2020-11-10
169.04,170.0,167.24,169.73,547308,0.0,0.0,MSI,Motorola Solutions,Information Technology,Communications Equipment,2020-11-11
168.58,169.73,166.5,167.53,417050,0.0,0.0,MSI,Motorola Solutions,Information Technology,Communications Equipment,2020-11-12
169.32,172.42,168.7,170.5,500105,0.0,0.0,MSI,Motorola Solutions,Information Technology,Communications Equipment,2020-11-13
172.36,173.92,171.25,173.9,588678,0.0,0.0,MSI,Motorola Solutions,Information Technology,Communications Equipment,2020-11-16
172.08,172.93,169.43,169.57,774971,0.0,0.0,MSI,Motorola Solutions,Information Technology,Communications Equipment,2020-11-17
169.95,170.19,167.28,167.45,549904,0.0,0.0,MSI,Motorola Solutions,Information Technology,Communications Equipment,2020-11-18
166.61,169.28,165.39,169.16,409876,0.0,0.0,MSI,Motorola Solutions,Information Technology,Communications Equipment,2020-11-19
169.35,170.58,166.0,167.3,1277486,0.0,0.0,MSI,Motorola Solutions,Information Technology,Communications Equipment,2020-11-20
168.09,169.8,166.18,169.38,665590,0.0,0.0,MSI,Motorola Solutions,Information Technology,Communications Equipment,2020-11-23
170.96,172.58,170.47,171.87,869549,0.0,0.0,MSI,Motorola Solutions,Information Technology,Communications Equipment,2020-11-24
172.0,175.41,171.33,172.13,1217113,0.0,0.0,MSI,Motorola Solutions,Information Technology,Communications Equipment,2020-11-25
173.63,174.73,172.38,173.46,287616,0.0,0.0,MSI,Motorola Solutions,Information Technology,Communications Equipment,2020-11-27
172.6,174.63,170.27,171.53,1524360,0.0,0.0,MSI,Motorola Solutions,Information Technology,Communications Equipment,2020-11-30
172.78,173.44,169.78,170.5,1210452,0.0,0.0,MSI,Motorola Solutions,Information Technology,Communications Equipment,2020-12-01
