Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
51.15,51.28,49.8,50.32,15686784,0.0,0.0,MS,Morgan Stanley,Financials,Investment Banking & Brokerage,2020-10-26
50.25,50.28,48.58,48.59,11684704,0.0,0.0,MS,Morgan Stanley,Financials,Investment Banking & Brokerage,2020-10-27
47.56,48.11,47.19,47.57,13790332,0.0,0.0,MS,Morgan Stanley,Financials,Investment Banking & Brokerage,2020-10-28
47.05,48.43,46.55,48.12,11022951,0.0,0.0,MS,Morgan Stanley,Financials,Investment Banking & Brokerage,2020-10-29
47.96,48.26,47.01,48.15,14957472,0.0,0.0,MS,Morgan Stanley,Financials,Investment Banking & Brokerage,2020-10-30
48.88,49.84,48.44,49.38,16456179,0.0,0.0,MS,Morgan Stanley,Financials,Investment Banking & Brokerage,2020-11-02
50.41,51.46,50.41,51.18,13262758,0.0,0.0,MS,Morgan Stanley,Financials,Investment Banking & Brokerage,2020-11-03
50.53,52.32,50.51,51.43,16766753,0.0,0.0,MS,Morgan Stanley,Financials,Investment Banking & Brokerage,2020-11-04
52.0,52.78,51.58,52.2,9537102,0.0,0.0,MS,Morgan Stanley,Financials,Investment Banking & Brokerage,2020-11-05
52.58,52.62,51.51,51.7,6571344,0.0,0.0,MS,Morgan Stanley,Financials,Investment Banking & Brokerage,2020-11-06
55.4,56.91,55.06,56.02,24641175,0.0,0.0,MS,Morgan Stanley,Financials,Investment Banking & Brokerage,2020-11-09
56.59,56.82,54.9,55.75,15890164,0.0,0.0,MS,Morgan Stanley,Financials,Investment Banking & Brokerage,2020-11-10
55.94,56.67,55.39,56.34,9867902,0.0,0.0,MS,Morgan Stanley,Financials,Investment Banking & Brokerage,2020-11-11
55.5,55.92,54.99,55.55,9974006,0.0,0.0,MS,Morgan Stanley,Financials,Investment Banking & Brokerage,2020-11-12
55.96,57.04,55.9,56.61,10025132,0.0,0.0,MS,Morgan Stanley,Financials,Investment Banking & Brokerage,2020-11-13
57.76,58.14,57.03,58.11,12413572,0.0,0.0,MS,Morgan Stanley,Financials,Investment Banking & Brokerage,2020-11-16
57.51,58.88,57.2,58.81,9691122,0.0,0.0,MS,Morgan Stanley,Financials,Investment Banking & Brokerage,2020-11-17
59.0,60.13,58.77,58.81,11651299,0.0,0.0,MS,Morgan Stanley,Financials,Investment Banking & Brokerage,2020-11-18
58.56,58.69,57.86,58.63,7369811,0.0,0.0,MS,Morgan Stanley,Financials,Investment Banking & Brokerage,2020-11-19
58.36,58.74,57.5,57.81,7957366,0.0,0.0,MS,Morgan Stanley,Financials,Investment Banking & Brokerage,2020-11-20
58.67,60.76,58.61,60.27,12747799,0.0,0.0,MS,Morgan Stanley,Financials,Investment Banking & Brokerage,2020-11-23
61.14,63.66,60.64,63.6,22518717,0.0,0.0,MS,Morgan Stanley,Financials,Investment Banking & Brokerage,2020-11-24
63.0,63.77,62.25,63.48,11655339,0.0,0.0,MS,Morgan Stanley,Financials,Investment Banking & Brokerage,2020-11-25
63.48,63.96,63.06,63.84,5581487,0.0,0.0,MS,Morgan Stanley,Financials,Investment Banking & Brokerage,2020-11-27
63.58,63.83,61.59,61.83,15736101,0.0,0.0,MS,Morgan Stanley,Financials,Investment Banking & Brokerage,2020-11-30
63.12,63.8,62.77,63.28,15998035,0.0,0.0,MS,Morgan Stanley,Financials,Investment Banking & Brokerage,2020-12-01
63.07,64.26,62.89,64.02,10855277,0.0,0.0,MS,Morgan Stanley,Financials,Investment Banking & Brokerage,2020-12-02
64.06,64.62,63.82,64.06,11851666,0.0,0.0,MS,Morgan Stanley,Financials,Investment Banking & Brokerage,2020-12-03
64.51,65.19,64.28,65.0,10249486,0.0,0.0,MS,Morgan Stanley,Financials,Investment Banking & Brokerage,2020-12-04
64.54,65.18,63.88,64.26,10483199,0.0,0.0,MS,Morgan Stanley,Financials,Investment Banking & Brokerage,2020-12-07
63.47,64.38,63.41,63.91,6520014,0.0,0.0,MS,Morgan Stanley,Financials,Investment Banking & Brokerage,2020-12-08
64.7,65.42,64.1,64.37,10277567,0.0,0.0,MS,Morgan Stanley,Financials,Investment Banking & Brokerage,2020-12-09
63.6,64.55,63.33,64.44,8970498,0.0,0.0,MS,Morgan Stanley,Financials,Investment Banking & Brokerage,2020-12-10
63.4,63.72,62.7,63.32,9141488,0.0,0.0,MS,Morgan Stanley,Financials,Investment Banking & Brokerage,2020-12-11
64.25,64.3,61.86,61.88,10272639,0.0,0.0,MS,Morgan Stanley,Financials,Investment Banking & Brokerage,2020-12-14
62.49,64.03,62.16,63.95,9820842,0.0,0.0,MS,Morgan Stanley,Financials,Investment Banking & Brokerage,2020-12-15
63.76,64.37,63.59,64.23,8880821,0.0,0.0,MS,Morgan Stanley,Financials,Investment Banking & Brokerage,2020-12-16
64.41,64.75,64.07,64.67,7276164,0.0,0.0,MS,Morgan Stanley,Financials,Investment Banking & Brokerage,2020-12-17
64.83,64.93,63.35,64.18,16594161,0.0,0.0,MS,Morgan Stanley,Financials,Investment Banking & Brokerage,2020-12-18
66.01,68.3,65.8,67.83,15113061,0.0,0.0,MS,Morgan Stanley,Financials,Investment Banking & Brokerage,2020-12-21
68.25,68.25,66.59,66.64,9985559,0.0,0.0,MS,Morgan Stanley,Financials,Investment Banking & Brokerage,2020-12-22
67.0,68.97,66.97,68.21,8905951,0.0,0.0,MS,Morgan Stanley,Financials,Investment Banking & Brokerage,2020-12-23
68.36,68.58,67.76,68.09,3126691,0.0,0.0,MS,Morgan Stanley,Financials,Investment Banking & Brokerage,2020-12-24
68.56,68.84,67.97,68.05,7518668,0.0,0.0,MS,Morgan Stanley,Financials,Investment Banking & Brokerage,2020-12-28
68.31,68.49,67.31,67.71,4762199,0.0,0.0,MS,Morgan Stanley,Financials,Investment Banking & Brokerage,2020-12-29
67.83,68.19,67.57,67.84,5339026,0.0,0.0,MS,Morgan Stanley,Financials,Investment Banking & Brokerage,2020-12-30
67.8,68.74,67.41,68.53,5326584,0.0,0.0,MS,Morgan Stanley,Financials,Investment Banking & Brokerage,2020-12-31
69.28,69.93,67.72,68.33,14238448,0.0,0.0,MS,Morgan Stanley,Financials,Investment Banking & Brokerage,2021-01-04
68.16,70.08,68.08,69.49,11212367,0.0,0.0,MS,Morgan Stanley,Financials,Investment Banking & Brokerage,2021-01-05
71.41,74.88,70.56,73.68,18581374,0.0,0.0,MS,Morgan Stanley,Financials,Investment Banking & Brokerage,2021-01-06
74.8,76.51,74.8,74.94,13750557,0.0,0.0,MS,Morgan Stanley,Financials,Investment Banking & Brokerage,2021-01-07
74.47,75.34,73.85,75.25,13085010,0.0,0.0,MS,Morgan Stanley,Financials,Investment Banking & Brokerage,2021-01-08
74.24,76.5,73.67,76.06,9227919,0.0,0.0,MS,Morgan Stanley,Financials,Investment Banking & Brokerage,2021-01-11
76.56,77.17,75.52,75.8,11993813,0.0,0.0,MS,Morgan Stanley,Financials,Investment Banking & Brokerage,2021-01-12
75.81,76.43,75.01,75.56,9975632,0.0,0.0,MS,Morgan Stanley,Financials,Investment Banking & Brokerage,2021-01-13
75.85,76.84,75.72,76.47,9951195,0.0,0.0,MS,Morgan Stanley,Financials,Investment Banking & Brokerage,2021-01-14
75.07,75.57,74.15,75.24,13483602,0.0,0.0,MS,Morgan Stanley,Financials,Investment Banking & Brokerage,2021-01-15
76.52,76.6,74.69,74.99,15106232,0.0,0.0,MS,Morgan Stanley,Financials,Investment Banking & Brokerage,2021-01-19
76.51,77.76,74.3,74.84,16348167,0.0,0.0,MS,Morgan Stanley,Financials,Investment Banking & Brokerage,2021-01-20
75.0,75.89,73.74,74.7,13773154,0.0,0.0,MS,Morgan Stanley,Financials,Investment Banking & Brokerage,2021-01-21
72.55,74.7,72.41,74.13,16203889,0.0,0.0,MS,Morgan Stanley,Financials,Investment Banking & Brokerage,2021-01-22
73.52,74.02,71.92,72.38,16156395,0.0,0.0,MS,Morgan Stanley,Financials,Investment Banking & Brokerage,2021-01-25
72.74,73.32,71.14,71.21,11045287,0.0,0.0,MS,Morgan Stanley,Financials,Investment Banking & Brokerage,2021-01-26
69.73,70.26,67.85,68.42,17186487,0.0,0.0,MS,Morgan Stanley,Financials,Investment Banking & Brokerage,2021-01-27
69.44,70.77,68.65,69.32,14895704,0.0,0.0,MS,Morgan Stanley,Financials,Investment Banking & Brokerage,2021-01-28
69.01,70.06,66.84,67.05,17755982,0.0,0.0,MS,Morgan Stanley,Financials,Investment Banking & Brokerage,2021-01-29
67.88,68.12,67.27,67.67,12088305,0.0,0.0,MS,Morgan Stanley,Financials,Investment Banking & Brokerage,2021-02-01
69.12,71.37,69.02,70.95,14038327,0.0,0.0,MS,Morgan Stanley,Financials,Investment Banking & Brokerage,2021-02-02
70.87,71.33,70.31,70.6,8161220,0.0,0.0,MS,Morgan Stanley,Financials,Investment Banking & Brokerage,2021-02-03
70.93,72.32,70.77,72.29,8992659,0.0,0.0,MS,Morgan Stanley,Financials,Investment Banking & Brokerage,2021-02-04
