Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
52.4,52.89,51.4,52.14,11678896,0.0,0.0,MU,Micron Technology,Information Technology,Semiconductors,2020-10-26
52.03,52.32,51.54,51.96,8964755,0.0,0.0,MU,Micron Technology,Information Technology,Semiconductors,2020-10-27
50.75,50.85,49.57,50.0,15463712,0.0,0.0,MU,Micron Technology,Information Technology,Semiconductors,2020-10-28
49.71,50.91,49.38,50.48,12420700,0.0,0.0,MU,Micron Technology,Information Technology,Semiconductors,2020-10-29
50.01,50.43,49.3,50.34,15961140,0.0,0.0,MU,Micron Technology,Information Technology,Semiconductors,2020-10-30
50.79,50.79,49.44,49.71,13103224,0.0,0.0,MU,Micron Technology,Information Technology,Semiconductors,2020-11-02
50.13,51.59,50.01,51.08,11428516,0.0,0.0,MU,Micron Technology,Information Technology,Semiconductors,2020-11-03
51.73,52.5,50.93,51.96,13554355,0.0,0.0,MU,Micron Technology,Information Technology,Semiconductors,2020-11-04
52.88,54.78,52.78,54.58,16373614,0.0,0.0,MU,Micron Technology,Information Technology,Semiconductors,2020-11-05
54.46,55.41,54.33,55.16,13866596,0.0,0.0,MU,Micron Technology,Information Technology,Semiconductors,2020-11-06
56.47,57.83,55.87,55.96,20968501,0.0,0.0,MU,Micron Technology,Information Technology,Semiconductors,2020-11-09
55.13,55.94,54.36,55.41,14502115,0.0,0.0,MU,Micron Technology,Information Technology,Semiconductors,2020-11-10
55.97,56.94,55.85,56.36,14765542,0.0,0.0,MU,Micron Technology,Information Technology,Semiconductors,2020-11-11
56.6,56.97,55.89,56.25,13766299,0.0,0.0,MU,Micron Technology,Information Technology,Semiconductors,2020-11-12
56.79,58.19,56.75,57.93,14328409,0.0,0.0,MU,Micron Technology,Information Technology,Semiconductors,2020-11-13
59.72,61.91,59.61,61.86,31397249,0.0,0.0,MU,Micron Technology,Information Technology,Semiconductors,2020-11-16
61.0,62.2,60.3,61.99,17703614,0.0,0.0,MU,Micron Technology,Information Technology,Semiconductors,2020-11-17
61.5,62.04,60.62,60.74,18734474,0.0,0.0,MU,Micron Technology,Information Technology,Semiconductors,2020-11-18
60.04,61.97,59.65,61.83,12723552,0.0,0.0,MU,Micron Technology,Information Technology,Semiconductors,2020-11-19
61.48,62.64,61.35,61.4,14122261,0.0,0.0,MU,Micron Technology,Information Technology,Semiconductors,2020-11-20
62.61,64.5,62.3,64.18,20612569,0.0,0.0,MU,Micron Technology,Information Technology,Semiconductors,2020-11-23
