Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
75.32,75.74,74.4,75.66,5798984,0.0,0.0,NEE,NextEra Energy,Utilities,Multi-Utilities,2020-10-26
76.14,76.43,75.02,75.78,4911983,0.0,0.0,NEE,NextEra Energy,Utilities,Multi-Utilities,2020-10-27
74.74,76.05,74.29,74.46,7625876,0.0,0.0,NEE,NextEra Energy,Utilities,Multi-Utilities,2020-10-28
74.38,75.03,72.94,74.01,7844463,0.0,0.0,NEE,NextEra Energy,Utilities,Multi-Utilities,2020-10-29
73.73,74.35,72.5,73.21,8887976,0.0,0.0,NEE,NextEra Energy,Utilities,Multi-Utilities,2020-10-30
74.1,75.45,73.72,75.13,9380307,0.0,0.0,NEE,NextEra Energy,Utilities,Multi-Utilities,2020-11-02
76.05,76.93,75.39,76.02,7061644,0.0,0.0,NEE,NextEra Energy,Utilities,Multi-Utilities,2020-11-03
74.51,74.91,73.0,73.32,12332344,0.0,0.0,NEE,NextEra Energy,Utilities,Multi-Utilities,2020-11-04
75.3,76.25,74.49,74.75,8772468,0.0,0.0,NEE,NextEra Energy,Utilities,Multi-Utilities,2020-11-05
75.0,76.06,74.12,75.72,6244216,0.0,0.0,NEE,NextEra Energy,Utilities,Multi-Utilities,2020-11-06
81.09,83.34,75.35,75.51,13291379,0.0,0.0,NEE,NextEra Energy,Utilities,Multi-Utilities,2020-11-09
77.39,77.53,75.31,75.99,8921462,0.0,0.0,NEE,NextEra Energy,Utilities,Multi-Utilities,2020-11-10
76.51,78.38,76.21,77.54,7028128,0.0,0.0,NEE,NextEra Energy,Utilities,Multi-Utilities,2020-11-11
77.61,77.9,76.02,76.67,6100724,0.0,0.0,NEE,NextEra Energy,Utilities,Multi-Utilities,2020-11-12
77.0,77.73,76.79,77.19,6332411,0.0,0.0,NEE,NextEra Energy,Utilities,Multi-Utilities,2020-11-13
78.2,78.28,76.32,77.75,7887539,0.0,0.0,NEE,NextEra Energy,Utilities,Multi-Utilities,2020-11-16
77.75,78.47,76.39,76.61,6036930,0.0,0.0,NEE,NextEra Energy,Utilities,Multi-Utilities,2020-11-17
