Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
24.13,24.28,23.94,24.25,2638768,0.0,0.0,NI,NiSource,Utilities,Multi-Utilities,2020-10-26
24.26,24.52,24.14,24.26,3322468,0.0,0.0,NI,NiSource,Utilities,Multi-Utilities,2020-10-27
23.95,24.3,23.12,23.18,4594024,0.0,0.0,NI,NiSource,Utilities,Multi-Utilities,2020-10-28
22.84,23.22,22.48,22.96,3342826,0.0,0.0,NI,NiSource,Utilities,Multi-Utilities,2020-10-29
22.9,23.12,22.65,22.97,3617626,0.0,0.0,NI,NiSource,Utilities,Multi-Utilities,2020-10-30
23.22,23.6,22.95,23.45,3114247,0.0,0.0,NI,NiSource,Utilities,Multi-Utilities,2020-11-02
23.79,24.26,23.64,24.03,2887283,0.0,0.0,NI,NiSource,Utilities,Multi-Utilities,2020-11-03
23.95,24.35,23.56,23.65,4188798,0.0,0.0,NI,NiSource,Utilities,Multi-Utilities,2020-11-04
23.84,24.22,23.64,23.65,3446481,0.0,0.0,NI,NiSource,Utilities,Multi-Utilities,2020-11-05
23.62,23.85,23.18,23.22,3833085,0.0,0.0,NI,NiSource,Utilities,Multi-Utilities,2020-11-06
24.24,24.99,24.09,24.11,4629369,0.0,0.0,NI,NiSource,Utilities,Multi-Utilities,2020-11-09
24.24,25.12,24.11,25.07,4401606,0.0,0.0,NI,NiSource,Utilities,Multi-Utilities,2020-11-10
25.17,25.21,24.52,24.64,3044216,0.0,0.0,NI,NiSource,Utilities,Multi-Utilities,2020-11-11
24.51,24.51,23.68,23.87,2877733,0.0,0.0,NI,NiSource,Utilities,Multi-Utilities,2020-11-12
23.99,24.5,23.89,24.47,2535293,0.0,0.0,NI,NiSource,Utilities,Multi-Utilities,2020-11-13
24.92,24.92,24.42,24.62,3549721,0.0,0.0,NI,NiSource,Utilities,Multi-Utilities,2020-11-16
24.38,25.05,24.34,24.75,3152807,0.0,0.0,NI,NiSource,Utilities,Multi-Utilities,2020-11-17
25.04,25.12,23.93,23.96,2495702,0.0,0.0,NI,NiSource,Utilities,Multi-Utilities,2020-11-18
23.86,23.93,23.46,23.6,1814103,0.0,0.0,NI,NiSource,Utilities,Multi-Utilities,2020-11-19
23.57,24.0,23.5,23.9,2710023,0.0,0.0,NI,NiSource,Utilities,Multi-Utilities,2020-11-20
23.92,24.47,23.87,24.31,3227585,0.0,0.0,NI,NiSource,Utilities,Multi-Utilities,2020-11-23
24.52,25.29,24.34,24.94,3436348,0.0,0.0,NI,NiSource,Utilities,Multi-Utilities,2020-11-24
24.95,24.98,24.56,24.9,2076733,0.0,0.0,NI,NiSource,Utilities,Multi-Utilities,2020-11-25
24.77,24.78,24.34,24.51,880069,0.0,0.0,NI,NiSource,Utilities,Multi-Utilities,2020-11-27
24.36,24.5,24.02,24.2,3618348,0.0,0.0,NI,NiSource,Utilities,Multi-Utilities,2020-11-30
24.33,24.69,24.29,24.49,2130283,0.0,0.0,NI,NiSource,Utilities,Multi-Utilities,2020-12-01
24.41,24.7,24.31,24.62,1965310,0.0,0.0,NI,NiSource,Utilities,Multi-Utilities,2020-12-02
24.53,24.8,24.33,24.36,2583630,0.0,0.0,NI,NiSource,Utilities,Multi-Utilities,2020-12-03
24.38,24.47,23.96,24.0,2542504,0.0,0.0,NI,NiSource,Utilities,Multi-Utilities,2020-12-04
23.9,24.06,23.76,23.92,3238749,0.0,0.0,NI,NiSource,Utilities,Multi-Utilities,2020-12-07
23.78,23.9,23.19,23.21,4301910,0.0,0.0,NI,NiSource,Utilities,Multi-Utilities,2020-12-08
23.26,23.46,23.08,23.2,3309207,0.0,0.0,NI,NiSource,Utilities,Multi-Utilities,2020-12-09
23.13,23.19,22.46,22.57,4369986,0.0,0.0,NI,NiSource,Utilities,Multi-Utilities,2020-12-10
22.5,22.93,22.5,22.89,3967672,0.0,0.0,NI,NiSource,Utilities,Multi-Utilities,2020-12-11
23.13,23.39,22.65,22.65,2711756,0.0,0.0,NI,NiSource,Utilities,Multi-Utilities,2020-12-14
22.76,23.25,22.56,23.2,2087045,0.0,0.0,NI,NiSource,Utilities,Multi-Utilities,2020-12-15
23.31,23.47,22.76,22.8,1733574,0.0,0.0,NI,NiSource,Utilities,Multi-Utilities,2020-12-16
22.9,23.11,22.81,22.81,1743751,0.0,0.0,NI,NiSource,Utilities,Multi-Utilities,2020-12-17
22.81,22.93,22.3,22.4,4698415,0.0,0.0,NI,NiSource,Utilities,Multi-Utilities,2020-12-18
22.09,22.29,21.42,21.53,4143274,0.0,0.0,NI,NiSource,Utilities,Multi-Utilities,2020-12-21
21.54,21.74,21.18,21.71,2886152,0.0,0.0,NI,NiSource,Utilities,Multi-Utilities,2020-12-22
21.78,22.16,21.73,21.91,3599357,0.0,0.0,NI,NiSource,Utilities,Multi-Utilities,2020-12-23
21.9,22.13,21.63,22.09,1097752,0.0,0.0,NI,NiSource,Utilities,Multi-Utilities,2020-12-24
22.18,22.48,22.1,22.3,2417461,0.0,0.0,NI,NiSource,Utilities,Multi-Utilities,2020-12-28
22.32,22.57,22.27,22.34,2653547,0.0,0.0,NI,NiSource,Utilities,Multi-Utilities,2020-12-29
22.31,22.61,22.16,22.55,2230131,0.0,0.0,NI,NiSource,Utilities,Multi-Utilities,2020-12-30
22.59,22.96,22.48,22.94,1832429,0.0,0.0,NI,NiSource,Utilities,Multi-Utilities,2020-12-31
22.93,22.95,22.47,22.58,3385807,0.0,0.0,NI,NiSource,Utilities,Multi-Utilities,2021-01-04
