Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
129.06,129.62,126.68,128.37,5486198,0.0,0.0,NKE,"Nike, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods",2020-10-26
128.78,129.49,127.9,127.99,3034975,0.0,0.0,NKE,"Nike, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods",2020-10-27
125.28,126.4,121.04,122.08,8714236,0.0,0.0,NKE,"Nike, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods",2020-10-28
122.28,124.19,121.15,122.86,5018863,0.0,0.0,NKE,"Nike, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods",2020-10-29
123.66,123.66,118.8,120.08,7867200,0.0,0.0,NKE,"Nike, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods",2020-10-30
122.37,124.1,121.1,122.39,4849252,0.0,0.0,NKE,"Nike, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods",2020-11-02
124.01,125.5,123.19,124.59,3556711,0.0,0.0,NKE,"Nike, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods",2020-11-03
125.33,128.93,125.26,127.34,5138796,0.0,0.0,NKE,"Nike, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods",2020-11-04
129.19,130.41,128.46,129.7,4045730,0.0,0.0,NKE,"Nike, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods",2020-11-05
129.91,129.91,128.35,128.9,3028832,0.0,0.0,NKE,"Nike, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods",2020-11-06
135.06,136.35,128.77,128.95,7712903,0.0,0.0,NKE,"Nike, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods",2020-11-09
130.05,130.12,126.25,127.71,8153316,0.0,0.0,NKE,"Nike, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods",2020-11-10
128.69,129.8,127.18,127.66,6131619,0.0,0.0,NKE,"Nike, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods",2020-11-11
126.62,127.84,125.62,126.64,4912704,0.0,0.0,NKE,"Nike, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods",2020-11-12
127.91,128.6,126.83,128.28,4046916,0.0,0.0,NKE,"Nike, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods",2020-11-13
129.46,130.32,127.37,130.11,6273397,0.0,0.0,NKE,"Nike, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods",2020-11-16
130.48,132.6,129.11,132.21,7124558,0.0,0.0,NKE,"Nike, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods",2020-11-17
133.07,133.98,131.53,131.63,5717371,0.0,0.0,NKE,"Nike, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods",2020-11-18
131.92,132.11,129.93,131.91,4737089,0.0,0.0,NKE,"Nike, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods",2020-11-19
