Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
46.41,46.68,44.23,44.93,2416425,0.0,0.0,NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals",2020-10-26
44.76,45.06,43.92,44.05,1340785,0.0,0.0,NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals",2020-10-27
43.0,43.39,41.9,42.29,2496861,0.0,0.0,NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals",2020-10-28
42.4,44.35,42.2,44.11,2725620,0.0,0.0,NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals",2020-10-29
43.45,44.09,43.07,43.89,1548160,0.0,0.0,NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals",2020-10-30
44.46,45.0,43.92,44.94,1576148,0.0,0.0,NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals",2020-11-02
45.51,46.58,45.51,46.29,1970538,0.0,0.0,NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals",2020-11-03
45.52,46.27,44.9,45.17,2129679,0.0,0.0,NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals",2020-11-04
46.08,46.89,45.82,46.71,1406629,0.0,0.0,NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals",2020-11-05
47.08,47.34,46.34,47.01,1696570,0.0,0.0,NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals",2020-11-06
48.74,50.1,48.38,49.65,2895323,0.0,0.0,NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals",2020-11-09
49.1,50.49,49.08,50.01,2474549,0.0,0.0,NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals",2020-11-10
50.21,50.49,48.98,49.27,1506386,0.0,0.0,NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals",2020-11-11
49.04,49.4,46.74,47.48,1995823,0.0,0.0,NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals",2020-11-12
47.95,49.96,47.71,49.83,1444179,0.0,0.0,NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals",2020-11-13
50.18,51.61,50.18,51.58,1658214,0.0,0.0,NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals",2020-11-16
50.71,51.66,50.07,51.4,1183411,0.0,0.0,NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals",2020-11-17
51.41,52.46,51.22,51.54,2065510,0.0,0.0,NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals",2020-11-18
51.28,52.04,50.82,51.98,1176369,0.0,0.0,NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals",2020-11-19
52.15,52.54,51.74,51.89,1320489,0.0,0.0,NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals",2020-11-20
52.02,53.7,52.02,53.56,1604228,0.0,0.0,NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals",2020-11-23
54.19,55.73,54.0,55.36,2638856,0.0,0.0,NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals",2020-11-24
54.65,55.26,53.31,53.52,2576477,0.0,0.0,NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals",2020-11-25
53.53,54.03,53.03,53.26,739117,0.0,0.0,NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals",2020-11-27
53.21,53.37,52.33,53.31,4534035,0.0,0.0,NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals",2020-11-30
52.64,54.43,52.64,54.16,4005163,0.0,0.0,NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals",2020-12-01
57.86,60.43,56.89,59.23,9338832,0.0,0.0,NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals",2020-12-02
59.35,59.6,57.92,58.49,3474974,0.0,0.0,NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals",2020-12-03
58.65,60.08,58.5,59.99,1894273,0.0,0.0,NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals",2020-12-04
59.8,60.89,59.34,60.37,1910611,0.0,0.0,NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals",2020-12-07
60.17,61.18,59.91,60.55,1967895,0.0,0.0,NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals",2020-12-08
60.95,61.69,60.29,60.78,1409737,0.0,0.0,NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals",2020-12-09
59.49,61.51,59.49,61.12,1807636,0.0,0.0,NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals",2020-12-10
60.8,62.19,60.59,61.82,1877723,0.0,0.0,NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals",2020-12-11
62.22,62.99,61.33,61.67,2136804,0.0,0.0,NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals",2020-12-14
62.23,62.81,61.45,62.65,1867603,0.0,0.0,NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals",2020-12-15
64.01,65.04,63.93,64.07,3128297,0.0,0.0,NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals",2020-12-16
64.29,64.34,63.15,64.12,2538221,0.0,0.0,NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals",2020-12-17
64.15,64.93,63.81,64.82,4568401,0.0,0.0,NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals",2020-12-18
63.58,64.62,63.18,64.54,1695425,0.0,0.0,NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals",2020-12-21
65.79,66.68,65.51,66.18,2721725,0.0,0.0,NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals",2020-12-22
66.56,67.63,66.12,66.17,1421222,0.0,0.0,NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals",2020-12-23
66.11,66.27,65.45,65.8,509618,0.0,0.0,NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals",2020-12-24
66.69,67.38,65.73,65.9,1347172,0.0,0.0,NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals",2020-12-28
65.86,66.27,64.73,65.05,1146018,0.0,0.0,NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals",2020-12-29
65.03,66.52,65.03,65.33,1349432,0.0,0.0,NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals",2020-12-30
65.27,66.39,65.01,66.24,1032678,0.0,0.0,NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals",2020-12-31
66.47,66.72,64.19,64.86,2319930,0.0,0.0,NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals",2021-01-04
64.38,65.65,64.34,65.17,1860328,0.0,0.0,NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals",2021-01-05
64.74,66.51,64.67,65.23,2406416,0.0,0.0,NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals",2021-01-06
65.19,65.97,64.69,65.24,2014897,0.0,0.0,NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals",2021-01-07
65.31,65.82,64.56,64.97,2670827,0.0,0.0,NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals",2021-01-08
64.18,65.68,64.01,65.22,1440378,0.0,0.0,NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals",2021-01-11
65.85,66.56,65.41,66.16,1550377,0.0,0.0,NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals",2021-01-12
66.02,66.14,64.85,65.2,981947,0.0,0.0,NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals",2021-01-13
65.39,66.18,65.01,65.84,928181,0.0,0.0,NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals",2021-01-14
65.39,65.92,64.44,64.66,1475821,0.0,0.0,NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals",2021-01-15
65.0,65.35,63.8,64.28,1306652,0.0,0.0,NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals",2021-01-19
64.77,64.93,64.03,64.51,1062214,0.0,0.0,NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals",2021-01-20
64.32,65.28,63.92,64.97,980584,0.0,0.0,NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals",2021-01-21
63.93,64.93,63.4,64.76,1466662,0.0,0.0,NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals",2021-01-22
64.87,65.66,64.25,65.65,1693633,0.0,0.0,NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals",2021-01-25
65.85,66.26,64.93,65.7,1968459,0.0,0.0,NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals",2021-01-26
65.14,70.64,65.11,68.89,4425215,0.0,0.0,NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals",2021-01-27
68.77,70.0,67.36,67.4,2843604,0.0,0.0,NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals",2021-01-28
67.08,68.08,65.53,66.44,5979727,0.0,0.0,NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals",2021-01-29
66.83,67.44,66.04,66.08,1955411,0.0,0.0,NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals",2021-02-01
66.7,66.9,64.68,65.08,2336664,0.0,0.0,NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals",2021-02-02
65.35,67.2,65.02,66.66,1844806,0.0,0.0,NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals",2021-02-03
66.72,67.0,65.99,66.92,1102456,0.0,0.0,NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals",2021-02-04
67.24,67.88,66.64,67.38,1447772,0.0,0.0,NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals",2021-02-05
67.94,69.75,67.69,69.73,1105580,0.0,0.0,NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals",2021-02-08
69.73,70.4,69.13,69.87,1121168,0.0,0.0,NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals",2021-02-09
70.0,70.31,68.17,68.75,1847879,0.0,0.0,NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals",2021-02-10
69.58,69.84,68.27,69.16,1294203,0.0,0.0,NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals",2021-02-11
68.93,69.91,68.85,69.86,1048584,0.0,0.0,NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals",2021-02-12
69.89,70.07,68.8,68.85,1418877,0.0,0.0,NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals",2021-02-16
68.89,68.94,67.42,68.24,1490796,0.0,0.0,NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals",2021-02-17
67.83,68.74,67.54,68.07,1319525,0.0,0.0,NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals",2021-02-18
69.58,71.68,69.46,71.35,3231678,0.0,0.0,NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals",2021-02-19
70.56,71.57,69.93,71.07,2196961,0.0,0.0,NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals",2021-02-22
70.17,70.77,67.84,69.33,1691098,0.0,0.0,NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals",2021-02-23
68.83,71.57,68.75,71.57,2222333,0.0,0.0,NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals",2021-02-24
67.95,67.95,61.16,61.21,6272551,0.0,0.0,NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals",2021-02-25
62.35,63.95,61.33,62.6,4088977,0.0,0.0,NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals",2021-02-26
63.0,66.15,62.84,65.23,3143861,0.0,0.0,NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals",2021-03-01
64.75,65.39,63.68,63.72,2083076,0.0,0.0,NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals",2021-03-02
64.25,64.73,63.09,63.8,1495076,0.0,0.0,NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals",2021-03-03
63.48,63.99,60.06,61.08,2115467,0.0,0.0,NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals",2021-03-04
62.14,62.3,58.83,61.33,2175068,0.0,0.0,NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals",2021-03-05
61.9,63.16,61.48,62.59,2147321,0.0,0.0,NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals",2021-03-08
63.41,65.64,63.23,64.61,3685468,0.0,0.0,NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals",2021-03-09
66.14,68.04,66.08,66.66,3985783,0.0,0.0,NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals",2021-03-10
67.22,68.87,67.21,67.98,1701511,0.0,0.0,NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals",2021-03-11
67.36,67.94,66.93,67.56,1073524,0.0,0.0,NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals",2021-03-12
67.64,68.87,67.03,68.8,1674369,0.0,0.0,NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals",2021-03-15
68.68,69.64,68.0,69.1,1458710,0.0,0.0,NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals",2021-03-16
69.05,71.26,68.39,71.16,1780786,0.0,0.0,NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals",2021-03-17
70.12,72.03,69.96,70.31,1785331,0.0,0.0,NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals",2021-03-18
70.28,71.5,69.9,70.16,2952454,0.0,0.0,NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals",2021-03-19
70.2,71.04,69.31,70.54,986228,0.0,0.0,NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals",2021-03-22
