Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
83.43,83.65,80.97,82.23,751666,0.0,0.0,NTRS,Northern Trust,Financials,Asset Management & Custody Banks,2020-10-26
81.95,82.37,80.32,80.7,884258,0.0,0.0,NTRS,Northern Trust,Financials,Asset Management & Custody Banks,2020-10-27
79.34,79.77,77.38,77.8,896831,0.0,0.0,NTRS,Northern Trust,Financials,Asset Management & Custody Banks,2020-10-28
77.51,78.89,76.23,78.29,811197,0.0,0.0,NTRS,Northern Trust,Financials,Asset Management & Custody Banks,2020-10-29
77.71,78.57,76.2,78.27,866703,0.0,0.0,NTRS,Northern Trust,Financials,Asset Management & Custody Banks,2020-10-30
79.77,80.1,78.26,79.05,858977,0.0,0.0,NTRS,Northern Trust,Financials,Asset Management & Custody Banks,2020-11-02
80.62,83.48,80.3,82.54,950061,0.0,0.0,NTRS,Northern Trust,Financials,Asset Management & Custody Banks,2020-11-03
80.76,82.19,78.7,78.89,1016159,0.0,0.0,NTRS,Northern Trust,Financials,Asset Management & Custody Banks,2020-11-04
79.64,82.4,79.61,81.58,657747,0.0,0.0,NTRS,Northern Trust,Financials,Asset Management & Custody Banks,2020-11-05
81.94,82.4,81.12,81.66,1097490,0.0,0.0,NTRS,Northern Trust,Financials,Asset Management & Custody Banks,2020-11-06
88.29,92.12,88.28,90.8,1809587,0.0,0.0,NTRS,Northern Trust,Financials,Asset Management & Custody Banks,2020-11-09
91.37,92.6,89.76,91.85,1337331,0.0,0.0,NTRS,Northern Trust,Financials,Asset Management & Custody Banks,2020-11-10
92.05,92.78,88.65,89.21,610975,0.0,0.0,NTRS,Northern Trust,Financials,Asset Management & Custody Banks,2020-11-11
88.01,89.2,86.6,87.57,590318,0.0,0.0,NTRS,Northern Trust,Financials,Asset Management & Custody Banks,2020-11-12
88.76,91.34,87.73,90.8,792108,0.0,0.0,NTRS,Northern Trust,Financials,Asset Management & Custody Banks,2020-11-13
93.28,94.14,91.96,93.14,683011,0.0,0.0,NTRS,Northern Trust,Financials,Asset Management & Custody Banks,2020-11-16
91.36,93.9,90.82,93.79,844234,0.0,0.0,NTRS,Northern Trust,Financials,Asset Management & Custody Banks,2020-11-17
