Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
135.19,136.1,132.71,134.89,2856133,0.0,0.0,NXPI,NXP Semiconductors,Information Technology,Semiconductors,2020-10-26
136.38,136.57,131.65,133.23,2530490,0.0,0.0,NXPI,NXP Semiconductors,Information Technology,Semiconductors,2020-10-27
130.06,130.91,126.8,129.77,3015698,0.0,0.0,NXPI,NXP Semiconductors,Information Technology,Semiconductors,2020-10-28
128.79,137.51,128.79,136.17,2721746,0.0,0.0,NXPI,NXP Semiconductors,Information Technology,Semiconductors,2020-10-29
133.52,135.79,132.98,135.12,2286285,0.0,0.0,NXPI,NXP Semiconductors,Information Technology,Semiconductors,2020-10-30
137.09,138.34,136.01,137.31,1903499,0.0,0.0,NXPI,NXP Semiconductors,Information Technology,Semiconductors,2020-11-02
137.65,141.49,137.0,138.88,1747443,0.0,0.0,NXPI,NXP Semiconductors,Information Technology,Semiconductors,2020-11-03
141.05,141.49,136.7,139.38,2354748,0.0,0.0,NXPI,NXP Semiconductors,Information Technology,Semiconductors,2020-11-04
142.0,145.24,141.08,144.38,2242444,0.0,0.0,NXPI,NXP Semiconductors,Information Technology,Semiconductors,2020-11-05
144.28,147.47,143.62,146.72,2748176,0.0,0.0,NXPI,NXP Semiconductors,Information Technology,Semiconductors,2020-11-06
149.74,152.48,144.55,144.86,3523968,0.0,0.0,NXPI,NXP Semiconductors,Information Technology,Semiconductors,2020-11-09
142.78,144.49,139.94,140.24,2172299,0.0,0.0,NXPI,NXP Semiconductors,Information Technology,Semiconductors,2020-11-10
143.31,145.94,142.7,145.07,1659792,0.0,0.0,NXPI,NXP Semiconductors,Information Technology,Semiconductors,2020-11-11
146.0,146.59,143.63,144.3,1431866,0.0,0.0,NXPI,NXP Semiconductors,Information Technology,Semiconductors,2020-11-12
146.01,147.58,145.66,146.49,1084984,0.0,0.0,NXPI,NXP Semiconductors,Information Technology,Semiconductors,2020-11-13
149.39,151.22,148.3,149.99,1888311,0.0,0.0,NXPI,NXP Semiconductors,Information Technology,Semiconductors,2020-11-16
150.75,151.55,147.92,149.39,1798108,0.0,0.0,NXPI,NXP Semiconductors,Information Technology,Semiconductors,2020-11-17
149.49,150.61,147.82,148.15,1218392,0.0,0.0,NXPI,NXP Semiconductors,Information Technology,Semiconductors,2020-11-18
148.0,151.83,147.07,151.35,1765687,0.0,0.0,NXPI,NXP Semiconductors,Information Technology,Semiconductors,2020-11-19
151.93,153.03,150.55,150.57,1533167,0.0,0.0,NXPI,NXP Semiconductors,Information Technology,Semiconductors,2020-11-20
152.52,156.35,151.28,155.91,2137117,0.0,0.0,NXPI,NXP Semiconductors,Information Technology,Semiconductors,2020-11-23
