Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
99.13,99.69,98.04,99.2,1641798,0.0,0.0,ODFL,Old Dominion,Industrials,Cargo Ground Transportation,2020-10-26
97.6,101.0,94.5,94.8,1822066,0.0,0.0,ODFL,Old Dominion,Industrials,Cargo Ground Transportation,2020-10-27
93.45,94.76,92.6,93.33,1652576,0.0,0.0,ODFL,Old Dominion,Industrials,Cargo Ground Transportation,2020-10-28
93.28,95.51,92.6,95.18,1571780,0.0,0.0,ODFL,Old Dominion,Industrials,Cargo Ground Transportation,2020-10-29
94.22,96.7,94.22,95.18,1606320,0.0,0.0,ODFL,Old Dominion,Industrials,Cargo Ground Transportation,2020-10-30
96.94,97.46,95.62,96.88,1371930,0.0,0.0,ODFL,Old Dominion,Industrials,Cargo Ground Transportation,2020-11-02
97.86,99.95,97.44,99.07,1006964,0.0,0.0,ODFL,Old Dominion,Industrials,Cargo Ground Transportation,2020-11-03
100.33,102.12,99.94,100.2,1219044,0.0,0.0,ODFL,Old Dominion,Industrials,Cargo Ground Transportation,2020-11-04
101.75,103.68,100.52,103.08,1122094,0.0,0.0,ODFL,Old Dominion,Industrials,Cargo Ground Transportation,2020-11-05
102.76,104.43,102.68,103.51,848568,0.0,0.0,ODFL,Old Dominion,Industrials,Cargo Ground Transportation,2020-11-06
106.22,106.83,99.46,99.64,2020868,0.0,0.0,ODFL,Old Dominion,Industrials,Cargo Ground Transportation,2020-11-09
99.54,100.75,97.1,98.74,1734346,0.0,0.0,ODFL,Old Dominion,Industrials,Cargo Ground Transportation,2020-11-10
100.64,100.64,98.04,99.0,1704248,0.0,0.0,ODFL,Old Dominion,Industrials,Cargo Ground Transportation,2020-11-11
99.48,99.77,97.48,98.64,1552026,0.0,0.0,ODFL,Old Dominion,Industrials,Cargo Ground Transportation,2020-11-12
99.48,101.88,99.36,101.38,1258286,0.0,0.0,ODFL,Old Dominion,Industrials,Cargo Ground Transportation,2020-11-13
101.35,103.7,100.7,103.06,1552148,0.0,0.0,ODFL,Old Dominion,Industrials,Cargo Ground Transportation,2020-11-16
101.82,103.39,100.94,102.96,1068310,0.0,0.0,ODFL,Old Dominion,Industrials,Cargo Ground Transportation,2020-11-17
102.94,103.84,102.18,102.25,1034718,0.0,0.0,ODFL,Old Dominion,Industrials,Cargo Ground Transportation,2020-11-18
102.16,103.03,101.14,102.76,1077456,0.0,0.0,ODFL,Old Dominion,Industrials,Cargo Ground Transportation,2020-11-19
102.4,103.62,102.14,102.81,856394,0.0,0.0,ODFL,Old Dominion,Industrials,Cargo Ground Transportation,2020-11-20
103.26,104.65,100.85,101.12,1453742,0.0,0.0,ODFL,Old Dominion,Industrials,Cargo Ground Transportation,2020-11-23
101.32,102.8,100.62,101.74,1450714,0.0,0.0,ODFL,Old Dominion,Industrials,Cargo Ground Transportation,2020-11-24
102.28,102.5,100.12,101.46,1028970,0.0,0.0,ODFL,Old Dominion,Industrials,Cargo Ground Transportation,2020-11-25
100.66,101.44,100.11,101.0,484246,0.0,0.0,ODFL,Old Dominion,Industrials,Cargo Ground Transportation,2020-11-27
100.74,102.16,99.64,101.68,1931140,0.0,0.0,ODFL,Old Dominion,Industrials,Cargo Ground Transportation,2020-11-30
101.87,105.72,101.34,105.52,2686694,0.0,0.0,ODFL,Old Dominion,Industrials,Cargo Ground Transportation,2020-12-01
105.27,105.32,101.79,102.42,1607790,0.0,0.0,ODFL,Old Dominion,Industrials,Cargo Ground Transportation,2020-12-02
101.6,104.21,101.6,103.5,1190234,0.0,0.0,ODFL,Old Dominion,Industrials,Cargo Ground Transportation,2020-12-03
104.76,106.29,104.16,104.62,1345178,0.0,0.0,ODFL,Old Dominion,Industrials,Cargo Ground Transportation,2020-12-04
104.48,104.72,103.2,104.04,1027712,0.0,0.0,ODFL,Old Dominion,Industrials,Cargo Ground Transportation,2020-12-07
103.92,105.12,103.43,105.07,1024352,0.0,0.0,ODFL,Old Dominion,Industrials,Cargo Ground Transportation,2020-12-08
105.08,105.48,101.03,101.38,1352510,0.0,0.0,ODFL,Old Dominion,Industrials,Cargo Ground Transportation,2020-12-09
100.74,100.75,98.22,99.35,1508468,0.0,0.0,ODFL,Old Dominion,Industrials,Cargo Ground Transportation,2020-12-10
98.88,101.44,98.75,100.4,1179388,0.0,0.0,ODFL,Old Dominion,Industrials,Cargo Ground Transportation,2020-12-11
101.11,101.16,97.48,97.68,1614352,0.0,0.0,ODFL,Old Dominion,Industrials,Cargo Ground Transportation,2020-12-14
98.35,100.16,97.9,99.14,1031442,0.0,0.0,ODFL,Old Dominion,Industrials,Cargo Ground Transportation,2020-12-15
99.06,99.38,97.43,97.5,1141762,0.0,0.0,ODFL,Old Dominion,Industrials,Cargo Ground Transportation,2020-12-16
97.75,98.38,97.05,98.03,1884542,0.0,0.0,ODFL,Old Dominion,Industrials,Cargo Ground Transportation,2020-12-17
97.54,100.06,96.68,99.77,3163070,0.0,0.0,ODFL,Old Dominion,Industrials,Cargo Ground Transportation,2020-12-18
98.55,99.79,98.0,98.91,1078530,0.0,0.0,ODFL,Old Dominion,Industrials,Cargo Ground Transportation,2020-12-21
99.0,99.91,98.88,99.33,928210,0.0,0.0,ODFL,Old Dominion,Industrials,Cargo Ground Transportation,2020-12-22
99.61,100.21,98.36,98.42,695108,0.0,0.0,ODFL,Old Dominion,Industrials,Cargo Ground Transportation,2020-12-23
98.44,99.5,98.28,99.12,293710,0.0,0.0,ODFL,Old Dominion,Industrials,Cargo Ground Transportation,2020-12-24
99.6,99.94,97.4,97.46,791380,0.0,0.0,ODFL,Old Dominion,Industrials,Cargo Ground Transportation,2020-12-28
97.84,98.51,96.1,97.06,857418,0.0,0.0,ODFL,Old Dominion,Industrials,Cargo Ground Transportation,2020-12-29
97.45,97.64,95.98,96.81,992100,0.0,0.0,ODFL,Old Dominion,Industrials,Cargo Ground Transportation,2020-12-30
97.3,97.81,96.46,97.59,995424,0.0,0.0,ODFL,Old Dominion,Industrials,Cargo Ground Transportation,2020-12-31
97.56,98.26,95.14,95.34,2079512,0.0,0.0,ODFL,Old Dominion,Industrials,Cargo Ground Transportation,2021-01-04
95.14,96.74,94.72,95.88,2724904,0.0,0.0,ODFL,Old Dominion,Industrials,Cargo Ground Transportation,2021-01-05
95.35,97.86,95.35,96.65,2098106,0.0,0.0,ODFL,Old Dominion,Industrials,Cargo Ground Transportation,2021-01-06
97.98,101.56,97.48,100.98,2042082,0.0,0.0,ODFL,Old Dominion,Industrials,Cargo Ground Transportation,2021-01-07
101.09,103.5,101.09,102.78,1281788,0.0,0.0,ODFL,Old Dominion,Industrials,Cargo Ground Transportation,2021-01-08
102.09,103.01,100.98,101.17,1205026,0.0,0.0,ODFL,Old Dominion,Industrials,Cargo Ground Transportation,2021-01-11
101.58,102.91,100.41,101.68,752042,0.0,0.0,ODFL,Old Dominion,Industrials,Cargo Ground Transportation,2021-01-12
101.6,101.64,100.07,100.48,1079480,0.0,0.0,ODFL,Old Dominion,Industrials,Cargo Ground Transportation,2021-01-13
102.54,104.88,101.44,103.76,1350170,0.0,0.0,ODFL,Old Dominion,Industrials,Cargo Ground Transportation,2021-01-14
102.74,104.29,101.23,103.7,1554534,0.0,0.0,ODFL,Old Dominion,Industrials,Cargo Ground Transportation,2021-01-15
104.12,106.7,103.7,103.76,1074956,0.0,0.0,ODFL,Old Dominion,Industrials,Cargo Ground Transportation,2021-01-19
103.76,104.9,102.06,104.48,1578638,0.0,0.0,ODFL,Old Dominion,Industrials,Cargo Ground Transportation,2021-01-20
105.0,106.0,103.82,103.86,1196684,0.0,0.0,ODFL,Old Dominion,Industrials,Cargo Ground Transportation,2021-01-21
103.72,103.72,101.6,102.3,996576,0.0,0.0,ODFL,Old Dominion,Industrials,Cargo Ground Transportation,2021-01-22
101.96,105.76,101.95,105.56,1216854,0.0,0.0,ODFL,Old Dominion,Industrials,Cargo Ground Transportation,2021-01-25
106.02,106.28,103.29,103.77,1244164,0.0,0.0,ODFL,Old Dominion,Industrials,Cargo Ground Transportation,2021-01-26
102.3,102.3,96.38,97.16,1511822,0.0,0.0,ODFL,Old Dominion,Industrials,Cargo Ground Transportation,2021-01-27
97.65,100.24,97.06,99.51,1414516,0.0,0.0,ODFL,Old Dominion,Industrials,Cargo Ground Transportation,2021-01-28
