Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
30.13,30.17,29.1,29.51,5408303,0.0,0.0,OKE,Oneok,Energy,Oil & Gas Storage & Transportation,2020-10-26
29.46,29.95,29.25,29.32,4747977,0.0,0.0,OKE,Oneok,Energy,Oil & Gas Storage & Transportation,2020-10-27
30.34,30.62,28.13,29.09,8152828,0.0,0.0,OKE,Oneok,Energy,Oil & Gas Storage & Transportation,2020-10-28
28.9,30.53,28.01,30.4,6146742,0.0,0.0,OKE,Oneok,Energy,Oil & Gas Storage & Transportation,2020-10-29
29.4,29.74,28.26,29.0,5689444,0.0,0.0,OKE,Oneok,Energy,Oil & Gas Storage & Transportation,2020-10-30
29.15,29.56,28.6,29.23,4599860,0.0,0.0,OKE,Oneok,Energy,Oil & Gas Storage & Transportation,2020-11-02
29.59,29.95,28.86,28.92,4419040,0.0,0.0,OKE,Oneok,Energy,Oil & Gas Storage & Transportation,2020-11-03
29.0,29.46,28.14,28.6,6259151,0.0,0.0,OKE,Oneok,Energy,Oil & Gas Storage & Transportation,2020-11-04
28.59,29.1,28.26,28.54,4508706,0.0,0.0,OKE,Oneok,Energy,Oil & Gas Storage & Transportation,2020-11-05
28.42,29.28,26.76,26.89,6003451,0.0,0.0,OKE,Oneok,Energy,Oil & Gas Storage & Transportation,2020-11-06
29.75,31.96,29.5,31.35,10606499,0.0,0.0,OKE,Oneok,Energy,Oil & Gas Storage & Transportation,2020-11-09
31.91,32.65,31.01,32.54,6166640,0.0,0.0,OKE,Oneok,Energy,Oil & Gas Storage & Transportation,2020-11-10
33.0,33.15,31.81,32.12,4208703,0.0,0.0,OKE,Oneok,Energy,Oil & Gas Storage & Transportation,2020-11-11
31.49,32.0,30.15,30.77,4287393,0.0,0.0,OKE,Oneok,Energy,Oil & Gas Storage & Transportation,2020-11-12
31.37,31.93,30.85,31.66,3776475,0.0,0.0,OKE,Oneok,Energy,Oil & Gas Storage & Transportation,2020-11-13
32.72,33.34,31.97,32.35,4903548,0.0,0.0,OKE,Oneok,Energy,Oil & Gas Storage & Transportation,2020-11-16
31.91,33.32,31.72,33.31,3833560,0.0,0.0,OKE,Oneok,Energy,Oil & Gas Storage & Transportation,2020-11-17
33.23,34.19,32.3,32.31,4537455,0.0,0.0,OKE,Oneok,Energy,Oil & Gas Storage & Transportation,2020-11-18
31.92,33.44,31.62,33.3,3441288,0.0,0.0,OKE,Oneok,Energy,Oil & Gas Storage & Transportation,2020-11-19
33.18,33.53,32.67,32.96,2817891,0.0,0.0,OKE,Oneok,Energy,Oil & Gas Storage & Transportation,2020-11-20
33.51,35.22,33.44,35.18,3409751,0.0,0.0,OKE,Oneok,Energy,Oil & Gas Storage & Transportation,2020-11-23
36.91,37.89,36.34,37.66,5781357,0.0,0.0,OKE,Oneok,Energy,Oil & Gas Storage & Transportation,2020-11-24
37.3,38.44,36.6,37.54,4138686,0.0,0.0,OKE,Oneok,Energy,Oil & Gas Storage & Transportation,2020-11-25
37.18,37.7,36.82,37.23,1554258,0.0,0.0,OKE,Oneok,Energy,Oil & Gas Storage & Transportation,2020-11-27
36.81,37.21,35.6,35.87,5609731,0.0,0.0,OKE,Oneok,Energy,Oil & Gas Storage & Transportation,2020-11-30
37.0,37.19,36.08,36.47,3336920,0.0,0.0,OKE,Oneok,Energy,Oil & Gas Storage & Transportation,2020-12-01
36.13,37.95,36.1,37.47,3161855,0.0,0.0,OKE,Oneok,Energy,Oil & Gas Storage & Transportation,2020-12-02
37.55,39.07,37.17,38.49,3571094,0.0,0.0,OKE,Oneok,Energy,Oil & Gas Storage & Transportation,2020-12-03
39.47,40.71,39.43,40.63,3995876,0.0,0.0,OKE,Oneok,Energy,Oil & Gas Storage & Transportation,2020-12-04
40.16,40.61,39.22,40.31,4532385,0.0,0.0,OKE,Oneok,Energy,Oil & Gas Storage & Transportation,2020-12-07
39.93,41.56,39.81,40.79,3339492,0.0,0.0,OKE,Oneok,Energy,Oil & Gas Storage & Transportation,2020-12-08
41.46,41.94,39.65,40.22,3333941,0.0,0.0,OKE,Oneok,Energy,Oil & Gas Storage & Transportation,2020-12-09
40.33,41.95,40.26,41.75,4124429,0.0,0.0,OKE,Oneok,Energy,Oil & Gas Storage & Transportation,2020-12-10
41.08,41.66,40.74,41.57,2736564,0.0,0.0,OKE,Oneok,Energy,Oil & Gas Storage & Transportation,2020-12-11
42.0,42.16,39.93,40.14,4171737,0.0,0.0,OKE,Oneok,Energy,Oil & Gas Storage & Transportation,2020-12-14
40.61,41.46,39.93,41.31,3651684,0.0,0.0,OKE,Oneok,Energy,Oil & Gas Storage & Transportation,2020-12-15
41.3,41.38,40.3,40.65,3053353,0.0,0.0,OKE,Oneok,Energy,Oil & Gas Storage & Transportation,2020-12-16
41.01,41.23,40.08,40.73,3329038,0.0,0.0,OKE,Oneok,Energy,Oil & Gas Storage & Transportation,2020-12-17
40.68,40.91,39.63,39.87,7589612,0.0,0.0,OKE,Oneok,Energy,Oil & Gas Storage & Transportation,2020-12-18
38.37,39.81,38.03,39.39,3939832,0.0,0.0,OKE,Oneok,Energy,Oil & Gas Storage & Transportation,2020-12-21
39.42,39.94,38.6,38.63,2805282,0.0,0.0,OKE,Oneok,Energy,Oil & Gas Storage & Transportation,2020-12-22
39.0,39.58,38.47,38.8,2363024,0.0,0.0,OKE,Oneok,Energy,Oil & Gas Storage & Transportation,2020-12-23
38.82,38.85,37.9,38.8,1344130,0.0,0.0,OKE,Oneok,Energy,Oil & Gas Storage & Transportation,2020-12-24
38.88,39.26,38.01,38.41,2994791,0.0,0.0,OKE,Oneok,Energy,Oil & Gas Storage & Transportation,2020-12-28
38.65,38.74,37.67,38.13,2786256,0.0,0.0,OKE,Oneok,Energy,Oil & Gas Storage & Transportation,2020-12-29
38.02,38.74,37.95,38.12,2496085,0.0,0.0,OKE,Oneok,Energy,Oil & Gas Storage & Transportation,2020-12-30
37.91,38.47,37.66,38.38,2224458,0.0,0.0,OKE,Oneok,Energy,Oil & Gas Storage & Transportation,2020-12-31
39.0,39.11,37.39,37.5,3570597,0.0,0.0,OKE,Oneok,Energy,Oil & Gas Storage & Transportation,2021-01-04
37.85,40.4,37.83,39.38,3451875,0.0,0.0,OKE,Oneok,Energy,Oil & Gas Storage & Transportation,2021-01-05
40.0,40.48,39.13,39.83,3368802,0.0,0.0,OKE,Oneok,Energy,Oil & Gas Storage & Transportation,2021-01-06
40.49,40.83,39.8,40.7,3019096,0.0,0.0,OKE,Oneok,Energy,Oil & Gas Storage & Transportation,2021-01-07
41.05,41.1,39.57,39.93,3511628,0.0,0.0,OKE,Oneok,Energy,Oil & Gas Storage & Transportation,2021-01-08
39.08,41.38,38.66,41.23,3010532,0.0,0.0,OKE,Oneok,Energy,Oil & Gas Storage & Transportation,2021-01-11
41.72,43.62,41.44,43.51,3463320,0.0,0.0,OKE,Oneok,Energy,Oil & Gas Storage & Transportation,2021-01-12
43.4,44.44,43.05,43.71,2727648,0.0,0.0,OKE,Oneok,Energy,Oil & Gas Storage & Transportation,2021-01-13
44.11,45.71,44.02,44.76,3561374,0.0,0.0,OKE,Oneok,Energy,Oil & Gas Storage & Transportation,2021-01-14
44.5,44.71,43.02,44.17,2977092,0.0,0.0,OKE,Oneok,Energy,Oil & Gas Storage & Transportation,2021-01-15
44.46,44.54,43.7,44.11,2793927,0.0,0.0,OKE,Oneok,Energy,Oil & Gas Storage & Transportation,2021-01-19
44.48,44.65,43.44,44.01,2521225,0.0,0.0,OKE,Oneok,Energy,Oil & Gas Storage & Transportation,2021-01-20
44.0,44.18,42.22,42.87,2973931,0.0,0.0,OKE,Oneok,Energy,Oil & Gas Storage & Transportation,2021-01-21
41.78,42.96,41.43,42.84,3001828,0.0,0.0,OKE,Oneok,Energy,Oil & Gas Storage & Transportation,2021-01-22
42.57,42.69,41.33,42.23,3387721,0.0,0.0,OKE,Oneok,Energy,Oil & Gas Storage & Transportation,2021-01-25
42.69,44.21,42.03,42.12,3711861,0.0,0.0,OKE,Oneok,Energy,Oil & Gas Storage & Transportation,2021-01-26
42.0,42.0,40.45,40.55,4112082,0.0,0.0,OKE,Oneok,Energy,Oil & Gas Storage & Transportation,2021-01-27
40.93,42.29,40.71,42.11,3577076,0.0,0.0,OKE,Oneok,Energy,Oil & Gas Storage & Transportation,2021-01-28
40.61,41.3,39.33,39.83,3926780,0.0,0.0,OKE,Oneok,Energy,Oil & Gas Storage & Transportation,2021-01-29
40.36,40.75,38.9,40.02,2842776,0.0,0.0,OKE,Oneok,Energy,Oil & Gas Storage & Transportation,2021-02-01
41.04,41.6,40.45,41.21,2574549,0.0,0.0,OKE,Oneok,Energy,Oil & Gas Storage & Transportation,2021-02-02
41.39,42.85,41.28,42.48,2931143,0.0,0.0,OKE,Oneok,Energy,Oil & Gas Storage & Transportation,2021-02-03
42.7,42.94,42.08,42.46,1898400,0.0,0.0,OKE,Oneok,Energy,Oil & Gas Storage & Transportation,2021-02-04
43.4,43.73,42.71,42.84,2702670,0.0,0.0,OKE,Oneok,Energy,Oil & Gas Storage & Transportation,2021-02-05
43.05,43.8,42.84,43.43,2630686,0.0,0.0,OKE,Oneok,Energy,Oil & Gas Storage & Transportation,2021-02-08
43.4,43.54,42.65,43.36,2086088,0.0,0.0,OKE,Oneok,Energy,Oil & Gas Storage & Transportation,2021-02-09
43.81,44.77,43.6,44.75,3178854,0.0,0.0,OKE,Oneok,Energy,Oil & Gas Storage & Transportation,2021-02-10
44.61,45.2,43.54,44.28,2775963,0.0,0.0,OKE,Oneok,Energy,Oil & Gas Storage & Transportation,2021-02-11
44.17,45.26,44.02,45.11,3171541,0.0,0.0,OKE,Oneok,Energy,Oil & Gas Storage & Transportation,2021-02-12
46.0,46.66,45.81,45.95,2968300,0.0,0.0,OKE,Oneok,Energy,Oil & Gas Storage & Transportation,2021-02-16
46.15,46.34,45.06,45.99,2037408,0.0,0.0,OKE,Oneok,Energy,Oil & Gas Storage & Transportation,2021-02-17
45.64,45.72,44.45,44.86,2387173,0.0,0.0,OKE,Oneok,Energy,Oil & Gas Storage & Transportation,2021-02-18
44.92,45.99,44.79,45.82,2140460,0.0,0.0,OKE,Oneok,Energy,Oil & Gas Storage & Transportation,2021-02-19
45.93,46.9,45.82,46.1,2788890,0.0,0.0,OKE,Oneok,Energy,Oil & Gas Storage & Transportation,2021-02-22
45.5,45.88,42.55,45.62,5512372,0.0,0.0,OKE,Oneok,Energy,Oil & Gas Storage & Transportation,2021-02-23
46.09,47.13,44.92,46.71,3152476,0.0,0.0,OKE,Oneok,Energy,Oil & Gas Storage & Transportation,2021-02-24
47.1,47.19,45.1,45.4,2877431,0.0,0.0,OKE,Oneok,Energy,Oil & Gas Storage & Transportation,2021-02-25
45.15,45.6,43.42,44.29,4462369,0.0,0.0,OKE,Oneok,Energy,Oil & Gas Storage & Transportation,2021-02-26
45.51,47.99,45.33,47.47,4141921,0.0,0.0,OKE,Oneok,Energy,Oil & Gas Storage & Transportation,2021-03-01
47.3,47.63,46.73,46.89,2828485,0.0,0.0,OKE,Oneok,Energy,Oil & Gas Storage & Transportation,2021-03-02
47.35,49.4,47.29,47.77,2863551,0.0,0.0,OKE,Oneok,Energy,Oil & Gas Storage & Transportation,2021-03-03
48.09,49.49,47.34,48.25,3388119,0.0,0.0,OKE,Oneok,Energy,Oil & Gas Storage & Transportation,2021-03-04
49.5,49.79,47.32,49.57,3124391,0.0,0.0,OKE,Oneok,Energy,Oil & Gas Storage & Transportation,2021-03-05
50.0,51.22,49.3,49.54,3614847,0.0,0.0,OKE,Oneok,Energy,Oil & Gas Storage & Transportation,2021-03-08
49.48,50.72,48.42,48.64,3150503,0.0,0.0,OKE,Oneok,Energy,Oil & Gas Storage & Transportation,2021-03-09
49.0,51.1,48.7,50.95,2773757,0.0,0.0,OKE,Oneok,Energy,Oil & Gas Storage & Transportation,2021-03-10
50.95,51.66,50.35,50.4,2339443,0.0,0.0,OKE,Oneok,Energy,Oil & Gas Storage & Transportation,2021-03-11
51.06,51.6,50.4,51.6,3198966,0.0,0.0,OKE,Oneok,Energy,Oil & Gas Storage & Transportation,2021-03-12
51.6,51.91,50.2,51.29,2569451,0.0,0.0,OKE,Oneok,Energy,Oil & Gas Storage & Transportation,2021-03-15
50.57,50.71,49.39,49.54,2532930,0.0,0.0,OKE,Oneok,Energy,Oil & Gas Storage & Transportation,2021-03-16
49.1,50.52,48.72,50.32,2061066,0.0,0.0,OKE,Oneok,Energy,Oil & Gas Storage & Transportation,2021-03-17
50.07,50.22,47.97,48.2,2525950,0.0,0.0,OKE,Oneok,Energy,Oil & Gas Storage & Transportation,2021-03-18
48.34,49.72,47.83,48.46,8904859,0.0,0.0,OKE,Oneok,Energy,Oil & Gas Storage & Transportation,2021-03-19
49.09,49.3,48.31,48.49,3245539,0.0,0.0,OKE,Oneok,Energy,Oil & Gas Storage & Transportation,2021-03-22
47.5,48.51,47.01,47.45,3679049,0.0,0.0,OKE,Oneok,Energy,Oil & Gas Storage & Transportation,2021-03-23
48.25,49.5,48.2,48.74,3103359,0.0,0.0,OKE,Oneok,Energy,Oil & Gas Storage & Transportation,2021-03-24
47.65,49.9,47.35,49.69,2710655,0.0,0.0,OKE,Oneok,Energy,Oil & Gas Storage & Transportation,2021-03-25
50.38,51.24,49.92,51.18,2751514,0.0,0.0,OKE,Oneok,Energy,Oil & Gas Storage & Transportation,2021-03-26
50.9,51.09,49.74,50.57,2371269,0.0,0.0,OKE,Oneok,Energy,Oil & Gas Storage & Transportation,2021-03-29
50.0,50.5,49.75,50.26,1971814,0.0,0.0,OKE,Oneok,Energy,Oil & Gas Storage & Transportation,2021-03-30
50.26,50.82,50.03,50.66,2360640,0.0,0.0,OKE,Oneok,Energy,Oil & Gas Storage & Transportation,2021-03-31
50.82,51.36,49.85,51.35,2555664,0.0,0.0,OKE,Oneok,Energy,Oil & Gas Storage & Transportation,2021-04-01
51.35,51.44,50.6,51.03,2226659,0.0,0.0,OKE,Oneok,Energy,Oil & Gas Storage & Transportation,2021-04-05
51.31,52.11,51.19,51.26,2999454,0.0,0.0,OKE,Oneok,Energy,Oil & Gas Storage & Transportation,2021-04-06
51.63,51.9,50.86,51.14,2537212,0.0,0.0,OKE,Oneok,Energy,Oil & Gas Storage & Transportation,2021-04-07
50.8,50.8,49.71,50.46,3532722,0.0,0.0,OKE,Oneok,Energy,Oil & Gas Storage & Transportation,2021-04-08
50.13,51.11,50.04,50.92,2037539,0.0,0.0,OKE,Oneok,Energy,Oil & Gas Storage & Transportation,2021-04-09
51.1,51.49,50.64,50.91,2141173,0.0,0.0,OKE,Oneok,Energy,Oil & Gas Storage & Transportation,2021-04-12
50.85,51.37,50.22,51.09,2666467,0.0,0.0,OKE,Oneok,Energy,Oil & Gas Storage & Transportation,2021-04-13
51.45,52.38,51.31,51.51,3126956,0.0,0.0,OKE,Oneok,Energy,Oil & Gas Storage & Transportation,2021-04-14
51.89,52.53,51.21,52.39,2565211,0.0,0.0,OKE,Oneok,Energy,Oil & Gas Storage & Transportation,2021-04-15
52.75,52.77,51.4,51.6,2376353,0.0,0.0,OKE,Oneok,Energy,Oil & Gas Storage & Transportation,2021-04-16
51.85,52.18,51.05,51.78,2509064,0.0,0.0,OKE,Oneok,Energy,Oil & Gas Storage & Transportation,2021-04-19
51.66,51.75,49.97,50.63,2687789,0.0,0.0,OKE,Oneok,Energy,Oil & Gas Storage & Transportation,2021-04-20
50.19,52.3,49.93,52.16,2570270,0.0,0.0,OKE,Oneok,Energy,Oil & Gas Storage & Transportation,2021-04-21
52.22,52.3,51.02,51.04,3399106,0.0,0.0,OKE,Oneok,Energy,Oil & Gas Storage & Transportation,2021-04-22
50.42,50.67,49.67,50.6,4193769,0.0,0.0,OKE,Oneok,Energy,Oil & Gas Storage & Transportation,2021-04-23
50.41,50.76,50.21,50.46,2693825,0.0,0.0,OKE,Oneok,Energy,Oil & Gas Storage & Transportation,2021-04-26
50.51,51.04,50.37,50.88,2770146,0.0,0.0,OKE,Oneok,Energy,Oil & Gas Storage & Transportation,2021-04-27
51.19,52.5,51.04,52.13,4381806,0.0,0.0,OKE,Oneok,Energy,Oil & Gas Storage & Transportation,2021-04-28
52.64,53.67,51.84,52.6,2968804,0.0,0.0,OKE,Oneok,Energy,Oil & Gas Storage & Transportation,2021-04-29
52.03,53.34,51.78,52.34,2724693,0.0,0.0,OKE,Oneok,Energy,Oil & Gas Storage & Transportation,2021-04-30
52.89,53.0,52.16,52.72,2554018,0.0,0.0,OKE,Oneok,Energy,Oil & Gas Storage & Transportation,2021-05-03
52.97,53.06,52.08,52.58,2238461,0.0,0.0,OKE,Oneok,Energy,Oil & Gas Storage & Transportation,2021-05-04
53.06,53.96,52.67,53.15,2575134,0.0,0.0,OKE,Oneok,Energy,Oil & Gas Storage & Transportation,2021-05-05
53.27,53.55,52.33,53.41,2527012,0.0,0.0,OKE,Oneok,Energy,Oil & Gas Storage & Transportation,2021-05-06
52.82,53.76,52.65,53.38,3003974,0.0,0.0,OKE,Oneok,Energy,Oil & Gas Storage & Transportation,2021-05-07
53.93,54.78,53.79,53.96,3661827,0.0,0.0,OKE,Oneok,Energy,Oil & Gas Storage & Transportation,2021-05-10
53.0,53.44,51.91,53.27,2603545,0.0,0.0,OKE,Oneok,Energy,Oil & Gas Storage & Transportation,2021-05-11
53.42,54.57,52.38,52.56,3453099,0.0,0.0,OKE,Oneok,Energy,Oil & Gas Storage & Transportation,2021-05-12
52.12,53.48,51.64,52.78,2226707,0.0,0.0,OKE,Oneok,Energy,Oil & Gas Storage & Transportation,2021-05-13
53.75,54.51,53.53,54.35,2377532,0.0,0.0,OKE,Oneok,Energy,Oil & Gas Storage & Transportation,2021-05-14
54.21,55.06,53.77,55.01,2365017,0.0,0.0,OKE,Oneok,Energy,Oil & Gas Storage & Transportation,2021-05-17
54.83,55.1,53.96,53.98,2031282,0.0,0.0,OKE,Oneok,Energy,Oil & Gas Storage & Transportation,2021-05-18
52.9,53.23,52.1,52.86,3220609,0.0,0.0,OKE,Oneok,Energy,Oil & Gas Storage & Transportation,2021-05-19
52.56,53.92,52.14,53.69,2271233,0.0,0.0,OKE,Oneok,Energy,Oil & Gas Storage & Transportation,2021-05-20
54.08,54.47,53.21,53.26,3454202,0.0,0.0,OKE,Oneok,Energy,Oil & Gas Storage & Transportation,2021-05-21
53.87,54.4,53.27,54.14,2636926,0.0,0.0,OKE,Oneok,Energy,Oil & Gas Storage & Transportation,2021-05-24
54.1,54.4,52.59,52.66,2239409,0.0,0.0,OKE,Oneok,Energy,Oil & Gas Storage & Transportation,2021-05-25
52.89,52.94,51.78,52.51,4273930,0.0,0.0,OKE,Oneok,Energy,Oil & Gas Storage & Transportation,2021-05-26
53.0,53.46,52.38,52.8,3577478,0.0,0.0,OKE,Oneok,Energy,Oil & Gas Storage & Transportation,2021-05-27
53.25,53.25,52.45,52.74,3135158,0.0,0.0,OKE,Oneok,Energy,Oil & Gas Storage & Transportation,2021-05-28
53.66,54.12,53.43,53.77,2305213,0.0,0.0,OKE,Oneok,Energy,Oil & Gas Storage & Transportation,2021-06-01
53.99,54.71,53.66,54.25,2129304,0.0,0.0,OKE,Oneok,Energy,Oil & Gas Storage & Transportation,2021-06-02
53.99,54.54,53.6,53.72,2627377,0.0,0.0,OKE,Oneok,Energy,Oil & Gas Storage & Transportation,2021-06-03
54.05,54.31,53.34,53.95,2351950,0.0,0.0,OKE,Oneok,Energy,Oil & Gas Storage & Transportation,2021-06-04
54.01,55.46,54.0,55.17,3567898,0.0,0.0,OKE,Oneok,Energy,Oil & Gas Storage & Transportation,2021-06-07
55.04,56.09,54.74,55.78,4570502,0.0,0.0,OKE,Oneok,Energy,Oil & Gas Storage & Transportation,2021-06-08
55.95,56.18,54.82,54.84,2230965,0.0,0.0,OKE,Oneok,Energy,Oil & Gas Storage & Transportation,2021-06-09
55.5,55.74,54.07,54.78,3081787,0.0,0.0,OKE,Oneok,Energy,Oil & Gas Storage & Transportation,2021-06-10
