Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
58.1,58.48,56.52,57.49,19014335,0.0,0.0,ORCL,Oracle Corporation,Information Technology,Application Software,2020-10-26
57.64,57.98,57.02,57.08,10889519,0.0,0.0,ORCL,Oracle Corporation,Information Technology,Application Software,2020-10-27
56.27,56.6,55.53,55.59,14034563,0.0,0.0,ORCL,Oracle Corporation,Information Technology,Application Software,2020-10-28
55.2,56.76,55.14,56.02,13679072,0.0,0.0,ORCL,Oracle Corporation,Information Technology,Application Software,2020-10-29
55.75,56.64,55.45,56.11,12728708,0.0,0.0,ORCL,Oracle Corporation,Information Technology,Application Software,2020-10-30
56.44,57.47,56.12,56.45,11583618,0.0,0.0,ORCL,Oracle Corporation,Information Technology,Application Software,2020-11-02
57.0,57.5,56.56,56.8,9031874,0.0,0.0,ORCL,Oracle Corporation,Information Technology,Application Software,2020-11-03
58.0,58.09,56.35,56.49,12192165,0.0,0.0,ORCL,Oracle Corporation,Information Technology,Application Software,2020-11-04
57.46,57.65,56.42,56.66,9084528,0.0,0.0,ORCL,Oracle Corporation,Information Technology,Application Software,2020-11-05
56.77,56.98,56.15,56.8,7620359,0.0,0.0,ORCL,Oracle Corporation,Information Technology,Application Software,2020-11-06
58.19,59.08,56.77,56.84,11666393,0.0,0.0,ORCL,Oracle Corporation,Information Technology,Application Software,2020-11-09
56.91,57.24,56.2,56.67,9129609,0.0,0.0,ORCL,Oracle Corporation,Information Technology,Application Software,2020-11-10
57.06,57.63,56.8,57.2,7801515,0.0,0.0,ORCL,Oracle Corporation,Information Technology,Application Software,2020-11-11
57.26,57.49,56.1,56.45,7412869,0.0,0.0,ORCL,Oracle Corporation,Information Technology,Application Software,2020-11-12
56.88,57.09,56.54,56.91,5958278,0.0,0.0,ORCL,Oracle Corporation,Information Technology,Application Software,2020-11-13
57.02,57.61,56.88,57.15,6413490,0.0,0.0,ORCL,Oracle Corporation,Information Technology,Application Software,2020-11-16
57.0,57.39,56.81,57.12,5668897,0.0,0.0,ORCL,Oracle Corporation,Information Technology,Application Software,2020-11-17
57.12,57.29,56.24,56.25,9100913,0.0,0.0,ORCL,Oracle Corporation,Information Technology,Application Software,2020-11-18
56.09,56.48,55.56,56.45,9775092,0.0,0.0,ORCL,Oracle Corporation,Information Technology,Application Software,2020-11-19
56.36,56.44,55.68,55.7,8676515,0.0,0.0,ORCL,Oracle Corporation,Information Technology,Application Software,2020-11-20
55.85,56.57,55.77,56.08,8365770,0.0,0.0,ORCL,Oracle Corporation,Information Technology,Application Software,2020-11-23
56.6,57.9,56.36,57.57,10565666,0.0,0.0,ORCL,Oracle Corporation,Information Technology,Application Software,2020-11-24
57.72,57.76,57.26,57.41,6949546,0.0,0.0,ORCL,Oracle Corporation,Information Technology,Application Software,2020-11-25
57.4,57.87,57.15,57.76,5627039,0.0,0.0,ORCL,Oracle Corporation,Information Technology,Application Software,2020-11-27
57.61,58.2,57.2,57.72,26792183,0.0,0.0,ORCL,Oracle Corporation,Information Technology,Application Software,2020-11-30
58.2,59.28,58.01,58.74,11946588,0.0,0.0,ORCL,Oracle Corporation,Information Technology,Application Software,2020-12-01
58.29,59.26,58.14,59.08,9424286,0.0,0.0,ORCL,Oracle Corporation,Information Technology,Application Software,2020-12-02
59.22,59.98,59.06,59.27,9918734,0.0,0.0,ORCL,Oracle Corporation,Information Technology,Application Software,2020-12-03
59.31,60.55,59.27,59.96,10942165,0.0,0.0,ORCL,Oracle Corporation,Information Technology,Application Software,2020-12-04
59.96,60.2,59.63,59.8,15016791,0.0,0.0,ORCL,Oracle Corporation,Information Technology,Application Software,2020-12-07
58.99,59.71,58.22,59.03,15485956,0.0,0.0,ORCL,Oracle Corporation,Information Technology,Application Software,2020-12-08
58.89,59.91,58.8,59.73,12341218,0.0,0.0,ORCL,Oracle Corporation,Information Technology,Application Software,2020-12-09
59.51,59.81,59.04,59.48,14326279,0.0,0.0,ORCL,Oracle Corporation,Information Technology,Application Software,2020-12-10
60.94,61.0,59.42,60.61,16466467,0.0,0.0,ORCL,Oracle Corporation,Information Technology,Application Software,2020-12-11
60.83,61.66,60.69,60.76,16356833,0.0,0.0,ORCL,Oracle Corporation,Information Technology,Application Software,2020-12-14
