Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
30.68,30.83,29.99,30.4,6443880,0.0,0.0,ORLY,O’Reilly Automotive,Consumer Discretionary,Automotive Retail,2020-10-26
30.45,30.7,29.99,30.01,7992960,0.0,0.0,ORLY,O’Reilly Automotive,Consumer Discretionary,Automotive Retail,2020-10-27
29.79,29.91,29.31,29.49,9446610,0.0,0.0,ORLY,O’Reilly Automotive,Consumer Discretionary,Automotive Retail,2020-10-28
29.33,29.83,29.03,29.09,11970000,0.0,0.0,ORLY,O’Reilly Automotive,Consumer Discretionary,Automotive Retail,2020-10-29
28.75,29.23,28.75,29.11,10660950,0.0,0.0,ORLY,O’Reilly Automotive,Consumer Discretionary,Automotive Retail,2020-10-30
29.51,30.04,29.0,29.43,8358345,0.0,0.0,ORLY,O’Reilly Automotive,Consumer Discretionary,Automotive Retail,2020-11-02
29.67,30.31,29.67,29.94,7957560,0.0,0.0,ORLY,O’Reilly Automotive,Consumer Discretionary,Automotive Retail,2020-11-03
30.43,30.62,29.98,30.03,7737285,0.0,0.0,ORLY,O’Reilly Automotive,Consumer Discretionary,Automotive Retail,2020-11-04
30.35,30.7,29.88,30.01,9166020,0.0,0.0,ORLY,O’Reilly Automotive,Consumer Discretionary,Automotive Retail,2020-11-05
30.19,30.19,29.47,29.9,7797495,0.0,0.0,ORLY,O’Reilly Automotive,Consumer Discretionary,Automotive Retail,2020-11-06
30.67,31.36,30.31,30.34,10157730,0.0,0.0,ORLY,O’Reilly Automotive,Consumer Discretionary,Automotive Retail,2020-11-09
30.06,31.05,30.03,30.44,7760010,0.0,0.0,ORLY,O’Reilly Automotive,Consumer Discretionary,Automotive Retail,2020-11-10
30.65,31.24,30.46,30.89,7299045,0.0,0.0,ORLY,O’Reilly Automotive,Consumer Discretionary,Automotive Retail,2020-11-11
30.83,31.03,30.15,30.46,6718410,0.0,0.0,ORLY,O’Reilly Automotive,Consumer Discretionary,Automotive Retail,2020-11-12
30.48,30.85,30.47,30.78,5364480,0.0,0.0,ORLY,O’Reilly Automotive,Consumer Discretionary,Automotive Retail,2020-11-13
30.92,31.07,30.49,30.75,5488545,0.0,0.0,ORLY,O’Reilly Automotive,Consumer Discretionary,Automotive Retail,2020-11-16
30.47,30.67,29.96,30.02,7401060,0.0,0.0,ORLY,O’Reilly Automotive,Consumer Discretionary,Automotive Retail,2020-11-17
29.95,30.77,29.78,30.3,6668670,0.0,0.0,ORLY,O’Reilly Automotive,Consumer Discretionary,Automotive Retail,2020-11-18
30.12,30.24,29.81,30.09,5662320,0.0,0.0,ORLY,O’Reilly Automotive,Consumer Discretionary,Automotive Retail,2020-11-19
30.08,30.19,29.72,29.79,5655720,0.0,0.0,ORLY,O’Reilly Automotive,Consumer Discretionary,Automotive Retail,2020-11-20
29.86,29.93,29.31,29.47,7897860,0.0,0.0,ORLY,O’Reilly Automotive,Consumer Discretionary,Automotive Retail,2020-11-23
29.94,30.47,29.74,29.94,10061190,0.0,0.0,ORLY,O’Reilly Automotive,Consumer Discretionary,Automotive Retail,2020-11-24
29.93,30.0,29.26,29.61,9018360,0.0,0.0,ORLY,O’Reilly Automotive,Consumer Discretionary,Automotive Retail,2020-11-25
29.75,30.07,29.48,29.54,4577550,0.0,0.0,ORLY,O’Reilly Automotive,Consumer Discretionary,Automotive Retail,2020-11-27
