Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
60.42,60.44,59.28,59.83,2152167,0.0,0.0,O,Realty Income,Real Estate,Retail REITs,2020-10-26
59.99,60.3,58.73,58.73,1513411,0.0,0.0,O,Realty Income,Real Estate,Retail REITs,2020-10-27
58.0,58.49,57.59,57.81,2572537,0.0,0.0,O,Realty Income,Real Estate,Retail REITs,2020-10-28
58.05,59.02,57.09,58.52,2495081,0.0,0.0,O,Realty Income,Real Estate,Retail REITs,2020-10-29
58.09,58.81,57.34,57.86,2439283,0.0,0.0,O,Realty Income,Real Estate,Retail REITs,2020-10-30
58.39,59.98,58.33,59.64,2551649,0.0,0.0,O,Realty Income,Real Estate,Retail REITs,2020-11-02
59.21,59.85,58.55,59.25,2062302,0.0,0.0,O,Realty Income,Real Estate,Retail REITs,2020-11-03
59.0,59.42,58.46,58.5,2494037,0.0,0.0,O,Realty Income,Real Estate,Retail REITs,2020-11-04
58.88,59.06,57.97,58.0,2499692,0.0,0.0,O,Realty Income,Real Estate,Retail REITs,2020-11-05
58.37,59.68,57.68,57.99,4008376,0.0,0.0,O,Realty Income,Real Estate,Retail REITs,2020-11-06
61.5,64.3,61.21,61.6,6629544,0.0,0.0,O,Realty Income,Real Estate,Retail REITs,2020-11-09
61.79,64.76,61.38,64.67,3719231,0.0,0.0,O,Realty Income,Real Estate,Retail REITs,2020-11-10
64.32,64.33,62.44,63.44,2398505,0.0,0.0,O,Realty Income,Real Estate,Retail REITs,2020-11-11
62.9,62.9,61.14,61.77,2077516,0.0,0.0,O,Realty Income,Real Estate,Retail REITs,2020-11-12
61.93,63.2,61.93,63.05,1669631,0.0,0.0,O,Realty Income,Real Estate,Retail REITs,2020-11-13
64.9,65.09,63.48,64.47,2596793,0.0,0.0,O,Realty Income,Real Estate,Retail REITs,2020-11-16
63.76,63.81,62.36,62.82,2519437,0.0,0.0,O,Realty Income,Real Estate,Retail REITs,2020-11-17
62.9,63.6,61.14,61.19,2826245,0.0,0.0,O,Realty Income,Real Estate,Retail REITs,2020-11-18
61.05,61.48,60.08,61.11,3295043,0.0,0.0,O,Realty Income,Real Estate,Retail REITs,2020-11-19
60.92,61.24,60.22,60.39,3310126,0.0,0.0,O,Realty Income,Real Estate,Retail REITs,2020-11-20
60.76,62.05,60.6,60.89,2856355,0.0,0.0,O,Realty Income,Real Estate,Retail REITs,2020-11-23
61.82,62.98,61.74,61.84,3520694,0.0,0.0,O,Realty Income,Real Estate,Retail REITs,2020-11-24
62.0,63.1,61.47,62.9,3205320,0.0,0.0,O,Realty Income,Real Estate,Retail REITs,2020-11-25
63.0,63.0,61.5,61.64,1331091,0.0,0.0,O,Realty Income,Real Estate,Retail REITs,2020-11-27
61.8,61.83,59.93,59.97,5568997,0.0,0.0,O,Realty Income,Real Estate,Retail REITs,2020-11-30
60.52,61.03,60.18,60.37,2723815,0.0,0.0,O,Realty Income,Real Estate,Retail REITs,2020-12-01
60.48,61.04,60.03,60.78,2044324,0.0,0.0,O,Realty Income,Real Estate,Retail REITs,2020-12-02
60.83,61.68,60.68,61.09,1815062,0.0,0.0,O,Realty Income,Real Estate,Retail REITs,2020-12-03
61.57,61.89,60.89,61.26,1919701,0.0,0.0,O,Realty Income,Real Estate,Retail REITs,2020-12-04
61.24,61.35,60.61,60.75,2376256,0.0,0.0,O,Realty Income,Real Estate,Retail REITs,2020-12-07
60.67,61.12,60.39,60.4,2701202,0.0,0.0,O,Realty Income,Real Estate,Retail REITs,2020-12-08
60.45,61.29,60.19,60.69,4621728,0.0,0.0,O,Realty Income,Real Estate,Retail REITs,2020-12-09
60.41,60.62,59.84,59.93,3489302,0.0,0.0,O,Realty Income,Real Estate,Retail REITs,2020-12-10
60.0,60.6,59.88,60.46,3103592,0.0,0.0,O,Realty Income,Real Estate,Retail REITs,2020-12-11
60.9,61.9,60.42,60.62,3370564,0.0,0.0,O,Realty Income,Real Estate,Retail REITs,2020-12-14
60.87,61.75,60.36,61.75,2454574,0.0,0.0,O,Realty Income,Real Estate,Retail REITs,2020-12-15
61.78,62.1,61.28,61.35,2321309,0.0,0.0,O,Realty Income,Real Estate,Retail REITs,2020-12-16
61.67,61.77,60.92,61.03,2857030,0.0,0.0,O,Realty Income,Real Estate,Retail REITs,2020-12-17
60.87,61.54,59.27,59.52,5909562,0.0,0.0,O,Realty Income,Real Estate,Retail REITs,2020-12-18
59.28,59.78,58.71,59.77,2958423,0.0,0.0,O,Realty Income,Real Estate,Retail REITs,2020-12-21
59.89,60.93,59.52,60.93,2314407,0.0,0.0,O,Realty Income,Real Estate,Retail REITs,2020-12-22
60.97,61.43,60.4,60.46,2105084,0.0,0.0,O,Realty Income,Real Estate,Retail REITs,2020-12-23
60.66,61.12,60.29,61.09,772651,0.0,0.0,O,Realty Income,Real Estate,Retail REITs,2020-12-24
61.05,61.88,60.96,61.77,1947690,0.0,0.0,O,Realty Income,Real Estate,Retail REITs,2020-12-28
61.77,62.25,60.84,60.97,1599482,0.0,0.0,O,Realty Income,Real Estate,Retail REITs,2020-12-29
61.02,61.99,60.91,61.28,1434096,0.0,0.0,O,Realty Income,Real Estate,Retail REITs,2020-12-30
60.94,62.2,60.45,62.17,2308043,0.0,0.0,O,Realty Income,Real Estate,Retail REITs,2020-12-31
62.18,62.26,59.82,59.86,3904987,0.0,0.0,O,Realty Income,Real Estate,Retail REITs,2021-01-04
60.0,60.75,59.94,60.16,2750178,0.0,0.0,O,Realty Income,Real Estate,Retail REITs,2021-01-05
60.6,60.67,59.35,59.65,4171180,0.0,0.0,O,Realty Income,Real Estate,Retail REITs,2021-01-06
59.77,59.78,58.56,58.9,4208541,0.0,0.0,O,Realty Income,Real Estate,Retail REITs,2021-01-07
59.0,59.86,58.86,59.74,3241486,0.0,0.0,O,Realty Income,Real Estate,Retail REITs,2021-01-08
59.58,59.83,59.26,59.42,2606845,0.0,0.0,O,Realty Income,Real Estate,Retail REITs,2021-01-11
57.04,57.94,57.0,57.81,12328511,0.0,0.0,O,Realty Income,Real Estate,Retail REITs,2021-01-12
58.24,58.86,57.52,57.78,4366327,0.0,0.0,O,Realty Income,Real Estate,Retail REITs,2021-01-13
58.15,58.22,57.67,57.83,2966838,0.0,0.0,O,Realty Income,Real Estate,Retail REITs,2021-01-14
58.05,58.92,57.39,58.65,3430640,0.0,0.0,O,Realty Income,Real Estate,Retail REITs,2021-01-15
59.0,59.0,57.78,58.14,3353730,0.0,0.0,O,Realty Income,Real Estate,Retail REITs,2021-01-19
58.2,59.18,58.02,58.98,2619347,0.0,0.0,O,Realty Income,Real Estate,Retail REITs,2021-01-20
58.49,59.47,58.18,59.09,2600997,0.0,0.0,O,Realty Income,Real Estate,Retail REITs,2021-01-21
58.91,59.95,58.75,59.84,2844901,0.0,0.0,O,Realty Income,Real Estate,Retail REITs,2021-01-22
60.0,61.29,59.63,60.38,3696129,0.0,0.0,O,Realty Income,Real Estate,Retail REITs,2021-01-25
60.45,61.18,60.28,60.67,2490632,0.0,0.0,O,Realty Income,Real Estate,Retail REITs,2021-01-26
60.25,61.17,60.11,60.36,3489501,0.0,0.0,O,Realty Income,Real Estate,Retail REITs,2021-01-27
60.25,61.75,60.16,60.95,3069514,0.0,0.0,O,Realty Income,Real Estate,Retail REITs,2021-01-28
60.14,60.9,58.9,59.06,4771604,0.0,0.0,O,Realty Income,Real Estate,Retail REITs,2021-01-29
59.45,60.23,58.84,60.16,2489213,0.0,0.0,O,Realty Income,Real Estate,Retail REITs,2021-02-01
60.16,60.78,59.8,60.32,2322533,0.0,0.0,O,Realty Income,Real Estate,Retail REITs,2021-02-02
60.06,60.61,59.65,60.46,2352666,0.0,0.0,O,Realty Income,Real Estate,Retail REITs,2021-02-03
60.58,61.44,60.46,60.95,1924070,0.0,0.0,O,Realty Income,Real Estate,Retail REITs,2021-02-04
61.14,61.43,60.99,61.18,1601259,0.0,0.0,O,Realty Income,Real Estate,Retail REITs,2021-02-05
61.21,61.3,60.78,60.9,1948312,0.0,0.0,O,Realty Income,Real Estate,Retail REITs,2021-02-08
60.98,61.79,60.9,61.74,2163958,0.0,0.0,O,Realty Income,Real Estate,Retail REITs,2021-02-09
