Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
39.26,39.36,38.02,38.6,4544448,0.0,0.0,PANW,Palo Alto Networks,Information Technology,Systems Software,2020-10-26
38.88,39.0,38.54,38.59,3059730,0.0,0.0,PANW,Palo Alto Networks,Information Technology,Systems Software,2020-10-27
38.2,38.2,37.38,37.66,4938210,0.0,0.0,PANW,Palo Alto Networks,Information Technology,Systems Software,2020-10-28
37.66,38.36,37.64,38.13,4069260,0.0,0.0,PANW,Palo Alto Networks,Information Technology,Systems Software,2020-10-29
37.99,38.07,36.56,36.86,7441320,0.0,0.0,PANW,Palo Alto Networks,Information Technology,Systems Software,2020-10-30
37.13,37.58,36.83,36.98,4913934,0.0,0.0,PANW,Palo Alto Networks,Information Technology,Systems Software,2020-11-02
37.38,38.28,37.17,37.99,4589586,0.0,0.0,PANW,Palo Alto Networks,Information Technology,Systems Software,2020-11-03
38.33,39.85,38.14,39.2,6230832,0.0,0.0,PANW,Palo Alto Networks,Information Technology,Systems Software,2020-11-04
40.35,40.9,39.95,40.7,6469482,0.0,0.0,PANW,Palo Alto Networks,Information Technology,Systems Software,2020-11-05
40.67,41.86,40.52,41.67,6337212,0.0,0.0,PANW,Palo Alto Networks,Information Technology,Systems Software,2020-11-06
42.2,43.01,41.72,42.02,6503202,0.0,0.0,PANW,Palo Alto Networks,Information Technology,Systems Software,2020-11-09
41.4,41.89,39.88,40.45,6230268,0.0,0.0,PANW,Palo Alto Networks,Information Technology,Systems Software,2020-11-10
41.39,42.4,41.0,42.13,7157388,0.0,0.0,PANW,Palo Alto Networks,Information Technology,Systems Software,2020-11-11
42.01,42.39,41.54,41.99,5542128,0.0,0.0,PANW,Palo Alto Networks,Information Technology,Systems Software,2020-11-12
42.21,43.49,42.17,43.12,9810648,0.0,0.0,PANW,Palo Alto Networks,Information Technology,Systems Software,2020-11-13
44.95,46.51,44.38,46.42,20342070,0.0,0.0,PANW,Palo Alto Networks,Information Technology,Systems Software,2020-11-16
46.42,49.2,45.93,48.95,21592338,0.0,0.0,PANW,Palo Alto Networks,Information Technology,Systems Software,2020-11-17
48.33,48.66,46.86,46.86,10166418,0.0,0.0,PANW,Palo Alto Networks,Information Technology,Systems Software,2020-11-18
46.92,48.3,46.83,47.92,7075182,0.0,0.0,PANW,Palo Alto Networks,Information Technology,Systems Software,2020-11-19
48.0,49.15,47.85,48.67,5776710,0.0,0.0,PANW,Palo Alto Networks,Information Technology,Systems Software,2020-11-20
48.92,49.45,48.08,49.34,6900840,0.0,0.0,PANW,Palo Alto Networks,Information Technology,Systems Software,2020-11-23
49.47,49.57,48.83,49.53,5495496,0.0,0.0,PANW,Palo Alto Networks,Information Technology,Systems Software,2020-11-24
