Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
60.84,60.94,59.66,60.38,2845180,0.0,0.0,PCAR,Paccar,Industrials,Construction Machinery & Heavy Transportation Equipment,2020-10-26
60.51,60.93,58.91,58.97,2009536,0.0,0.0,PCAR,Paccar,Industrials,Construction Machinery & Heavy Transportation Equipment,2020-10-27
57.86,58.35,56.59,56.59,2782575,0.0,0.0,PCAR,Paccar,Industrials,Construction Machinery & Heavy Transportation Equipment,2020-10-28
56.43,57.72,56.15,57.11,1892490,0.0,0.0,PCAR,Paccar,Industrials,Construction Machinery & Heavy Transportation Equipment,2020-10-29
56.7,57.25,56.25,56.92,2036762,0.0,0.0,PCAR,Paccar,Industrials,Construction Machinery & Heavy Transportation Equipment,2020-10-30
57.77,59.27,57.59,59.22,2248092,0.0,0.0,PCAR,Paccar,Industrials,Construction Machinery & Heavy Transportation Equipment,2020-11-02
60.06,61.55,59.69,61.19,2461376,0.0,0.0,PCAR,Paccar,Industrials,Construction Machinery & Heavy Transportation Equipment,2020-11-03
61.81,62.2,59.07,59.17,2282158,0.0,0.0,PCAR,Paccar,Industrials,Construction Machinery & Heavy Transportation Equipment,2020-11-04
59.47,60.87,58.72,60.41,1827675,0.0,0.0,PCAR,Paccar,Industrials,Construction Machinery & Heavy Transportation Equipment,2020-11-05
61.09,61.09,59.78,60.06,1696848,0.0,0.0,PCAR,Paccar,Industrials,Construction Machinery & Heavy Transportation Equipment,2020-11-06
63.33,63.88,60.29,60.4,3680922,0.0,0.0,PCAR,Paccar,Industrials,Construction Machinery & Heavy Transportation Equipment,2020-11-09
59.93,61.74,59.79,60.75,3037256,0.0,0.0,PCAR,Paccar,Industrials,Construction Machinery & Heavy Transportation Equipment,2020-11-10
61.16,61.26,59.75,60.11,2242611,0.0,0.0,PCAR,Paccar,Industrials,Construction Machinery & Heavy Transportation Equipment,2020-11-11
59.83,60.1,58.95,59.33,1984240,0.0,0.0,PCAR,Paccar,Industrials,Construction Machinery & Heavy Transportation Equipment,2020-11-12
