Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
44.06,44.25,41.91,42.41,3541793,0.0,0.0,PHM,PulteGroup,Consumer Discretionary,Homebuilding,2020-10-26
42.34,42.81,40.93,41.33,3420335,0.0,0.0,PHM,PulteGroup,Consumer Discretionary,Homebuilding,2020-10-27
40.32,42.45,39.92,41.94,3769825,0.0,0.0,PHM,PulteGroup,Consumer Discretionary,Homebuilding,2020-10-28
42.16,42.54,40.96,41.41,2143995,0.0,0.0,PHM,PulteGroup,Consumer Discretionary,Homebuilding,2020-10-29
41.25,41.9,40.5,40.76,2862427,0.0,0.0,PHM,PulteGroup,Consumer Discretionary,Homebuilding,2020-10-30
41.65,42.44,41.13,42.15,3007870,0.0,0.0,PHM,PulteGroup,Consumer Discretionary,Homebuilding,2020-11-02
42.65,43.44,42.16,43.15,2919355,0.0,0.0,PHM,PulteGroup,Consumer Discretionary,Homebuilding,2020-11-03
44.19,47.14,44.08,46.32,4223687,0.0,0.0,PHM,PulteGroup,Consumer Discretionary,Homebuilding,2020-11-04
46.59,47.16,45.7,46.02,2356138,0.0,0.0,PHM,PulteGroup,Consumer Discretionary,Homebuilding,2020-11-05
45.94,45.94,43.89,44.11,2103687,0.0,0.0,PHM,PulteGroup,Consumer Discretionary,Homebuilding,2020-11-06
44.17,44.92,40.55,40.64,4851978,0.0,0.0,PHM,PulteGroup,Consumer Discretionary,Homebuilding,2020-11-09
41.53,42.8,40.6,42.57,5251304,0.0,0.0,PHM,PulteGroup,Consumer Discretionary,Homebuilding,2020-11-10
42.75,42.89,42.11,42.82,2474886,0.0,0.0,PHM,PulteGroup,Consumer Discretionary,Homebuilding,2020-11-11
42.72,43.67,41.31,41.71,2787509,0.0,0.0,PHM,PulteGroup,Consumer Discretionary,Homebuilding,2020-11-12
42.07,43.33,41.79,42.93,2194916,0.0,0.0,PHM,PulteGroup,Consumer Discretionary,Homebuilding,2020-11-13
43.11,43.19,41.89,42.87,3409421,0.0,0.0,PHM,PulteGroup,Consumer Discretionary,Homebuilding,2020-11-16
42.8,43.78,42.36,43.01,2741027,0.0,0.0,PHM,PulteGroup,Consumer Discretionary,Homebuilding,2020-11-17
43.02,44.39,42.83,43.73,2564974,0.0,0.0,PHM,PulteGroup,Consumer Discretionary,Homebuilding,2020-11-18
44.21,44.75,43.02,43.63,3562738,0.0,0.0,PHM,PulteGroup,Consumer Discretionary,Homebuilding,2020-11-19
43.82,44.18,43.36,43.67,2874766,0.0,0.0,PHM,PulteGroup,Consumer Discretionary,Homebuilding,2020-11-20
43.99,45.37,43.72,45.19,1928182,0.0,0.0,PHM,PulteGroup,Consumer Discretionary,Homebuilding,2020-11-23
45.52,45.68,43.73,43.98,2637510,0.0,0.0,PHM,PulteGroup,Consumer Discretionary,Homebuilding,2020-11-24
44.25,44.94,43.83,44.61,1978498,0.0,0.0,PHM,PulteGroup,Consumer Discretionary,Homebuilding,2020-11-25
44.31,45.03,44.11,44.36,1356184,0.0,0.0,PHM,PulteGroup,Consumer Discretionary,Homebuilding,2020-11-27
44.32,44.62,42.78,43.63,5648548,0.0,0.0,PHM,PulteGroup,Consumer Discretionary,Homebuilding,2020-11-30
43.87,43.98,42.29,42.66,5353812,0.0,0.0,PHM,PulteGroup,Consumer Discretionary,Homebuilding,2020-12-01
42.47,42.6,41.23,41.55,5248712,0.0,0.0,PHM,PulteGroup,Consumer Discretionary,Homebuilding,2020-12-02
41.46,43.28,41.45,43.17,3188018,0.0,0.0,PHM,PulteGroup,Consumer Discretionary,Homebuilding,2020-12-03
43.13,43.2,41.95,42.06,4269892,0.0,0.0,PHM,PulteGroup,Consumer Discretionary,Homebuilding,2020-12-04
42.18,43.68,41.76,43.62,3177749,0.0,0.0,PHM,PulteGroup,Consumer Discretionary,Homebuilding,2020-12-07
42.8,42.82,41.51,42.04,2933414,0.0,0.0,PHM,PulteGroup,Consumer Discretionary,Homebuilding,2020-12-08
42.51,42.62,41.45,42.08,3033343,0.0,0.0,PHM,PulteGroup,Consumer Discretionary,Homebuilding,2020-12-09
41.71,42.3,41.51,42.16,2561773,0.0,0.0,PHM,PulteGroup,Consumer Discretionary,Homebuilding,2020-12-10
42.11,42.62,41.96,42.35,2672200,0.0,0.0,PHM,PulteGroup,Consumer Discretionary,Homebuilding,2020-12-11
42.67,43.25,42.1,42.12,2768528,0.0,0.0,PHM,PulteGroup,Consumer Discretionary,Homebuilding,2020-12-14
42.2,42.89,42.05,42.42,2506604,0.0,0.0,PHM,PulteGroup,Consumer Discretionary,Homebuilding,2020-12-15
42.75,42.85,42.0,42.5,3074292,0.0,0.0,PHM,PulteGroup,Consumer Discretionary,Homebuilding,2020-12-16
42.98,45.09,42.98,44.78,5692415,0.0,0.0,PHM,PulteGroup,Consumer Discretionary,Homebuilding,2020-12-17
45.17,45.76,44.87,45.1,6582397,0.0,0.0,PHM,PulteGroup,Consumer Discretionary,Homebuilding,2020-12-18
44.18,45.23,43.64,44.75,2491017,0.0,0.0,PHM,PulteGroup,Consumer Discretionary,Homebuilding,2020-12-21
44.93,45.63,44.54,45.41,1870454,0.0,0.0,PHM,PulteGroup,Consumer Discretionary,Homebuilding,2020-12-22
45.49,45.57,44.12,44.29,1804650,0.0,0.0,PHM,PulteGroup,Consumer Discretionary,Homebuilding,2020-12-23
44.33,45.27,43.89,45.2,1089363,0.0,0.0,PHM,PulteGroup,Consumer Discretionary,Homebuilding,2020-12-24
45.42,45.56,44.29,44.47,1282424,0.0,0.0,PHM,PulteGroup,Consumer Discretionary,Homebuilding,2020-12-28
44.68,44.89,43.78,44.15,1243723,0.0,0.0,PHM,PulteGroup,Consumer Discretionary,Homebuilding,2020-12-29
44.2,44.83,43.97,44.09,1238517,0.0,0.0,PHM,PulteGroup,Consumer Discretionary,Homebuilding,2020-12-30
44.23,44.23,43.01,43.12,1751461,0.0,0.0,PHM,PulteGroup,Consumer Discretionary,Homebuilding,2020-12-31
43.29,43.43,41.33,42.21,3687375,0.0,0.0,PHM,PulteGroup,Consumer Discretionary,Homebuilding,2021-01-04
40.76,41.7,40.36,41.07,4728134,0.0,0.0,PHM,PulteGroup,Consumer Discretionary,Homebuilding,2021-01-05
40.53,41.18,39.92,40.85,3905410,0.0,0.0,PHM,PulteGroup,Consumer Discretionary,Homebuilding,2021-01-06
