Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
101.95,102.13,99.9,100.47,1941233,0.0,0.0,PLD,Prologis,Real Estate,Industrial REITs,2020-10-26
100.39,101.35,99.12,99.14,1817145,0.0,0.0,PLD,Prologis,Real Estate,Industrial REITs,2020-10-27
97.44,99.14,96.87,97.51,2694397,0.0,0.0,PLD,Prologis,Real Estate,Industrial REITs,2020-10-28
97.3,101.1,96.57,100.18,2265868,0.0,0.0,PLD,Prologis,Real Estate,Industrial REITs,2020-10-29
99.47,100.39,97.99,99.2,2290490,0.0,0.0,PLD,Prologis,Real Estate,Industrial REITs,2020-10-30
100.72,102.28,100.36,101.87,1862440,0.0,0.0,PLD,Prologis,Real Estate,Industrial REITs,2020-11-02
102.66,105.16,102.27,104.39,1542507,0.0,0.0,PLD,Prologis,Real Estate,Industrial REITs,2020-11-03
104.8,107.63,104.29,105.81,1982686,0.0,0.0,PLD,Prologis,Real Estate,Industrial REITs,2020-11-04
106.7,106.88,105.29,105.88,1615432,0.0,0.0,PLD,Prologis,Real Estate,Industrial REITs,2020-11-05
105.57,106.4,104.5,104.89,1801316,0.0,0.0,PLD,Prologis,Real Estate,Industrial REITs,2020-11-06
111.56,112.37,99.3,99.61,6009783,0.0,0.0,PLD,Prologis,Real Estate,Industrial REITs,2020-11-09
100.0,100.56,98.14,99.94,5798729,0.0,0.0,PLD,Prologis,Real Estate,Industrial REITs,2020-11-10
100.82,102.32,99.65,102.02,3929685,0.0,0.0,PLD,Prologis,Real Estate,Industrial REITs,2020-11-11
102.62,103.69,101.5,102.62,2989079,0.0,0.0,PLD,Prologis,Real Estate,Industrial REITs,2020-11-12
103.17,103.98,102.6,103.53,2482951,0.0,0.0,PLD,Prologis,Real Estate,Industrial REITs,2020-11-13
104.46,104.68,100.85,103.26,2107025,0.0,0.0,PLD,Prologis,Real Estate,Industrial REITs,2020-11-16
102.63,104.37,101.33,104.2,2003480,0.0,0.0,PLD,Prologis,Real Estate,Industrial REITs,2020-11-17
104.18,104.64,101.37,101.4,2039926,0.0,0.0,PLD,Prologis,Real Estate,Industrial REITs,2020-11-18
101.02,101.6,99.7,99.99,2310638,0.0,0.0,PLD,Prologis,Real Estate,Industrial REITs,2020-11-19
100.05,100.82,98.62,100.27,2634834,0.0,0.0,PLD,Prologis,Real Estate,Industrial REITs,2020-11-20
99.96,100.88,99.49,99.56,2575396,0.0,0.0,PLD,Prologis,Real Estate,Industrial REITs,2020-11-23
100.38,100.73,98.53,98.81,2776904,0.0,0.0,PLD,Prologis,Real Estate,Industrial REITs,2020-11-24
99.24,99.53,98.5,99.01,2042052,0.0,0.0,PLD,Prologis,Real Estate,Industrial REITs,2020-11-25
99.45,100.84,98.8,100.6,1273086,0.0,0.0,PLD,Prologis,Real Estate,Industrial REITs,2020-11-27
100.47,101.01,99.09,100.05,3757599,0.0,0.0,PLD,Prologis,Real Estate,Industrial REITs,2020-11-30
100.84,101.91,100.14,100.2,3679446,0.0,0.0,PLD,Prologis,Real Estate,Industrial REITs,2020-12-01
99.82,100.15,97.46,97.52,2811444,0.0,0.0,PLD,Prologis,Real Estate,Industrial REITs,2020-12-02
97.26,97.96,96.59,97.1,4375273,0.0,0.0,PLD,Prologis,Real Estate,Industrial REITs,2020-12-03
97.61,98.75,97.25,98.66,3308320,0.0,0.0,PLD,Prologis,Real Estate,Industrial REITs,2020-12-04
98.05,98.79,97.31,97.53,2289520,0.0,0.0,PLD,Prologis,Real Estate,Industrial REITs,2020-12-07
97.72,98.2,96.48,96.91,2399351,0.0,0.0,PLD,Prologis,Real Estate,Industrial REITs,2020-12-08
97.22,97.29,95.16,96.43,2945945,0.0,0.0,PLD,Prologis,Real Estate,Industrial REITs,2020-12-09
96.37,97.88,96.04,97.18,3859242,0.0,0.0,PLD,Prologis,Real Estate,Industrial REITs,2020-12-10
96.76,97.51,95.69,97.37,3206719,0.0,0.0,PLD,Prologis,Real Estate,Industrial REITs,2020-12-11
97.9,99.26,96.62,96.87,2787273,0.0,0.0,PLD,Prologis,Real Estate,Industrial REITs,2020-12-14
97.55,99.56,96.84,99.55,3032071,0.0,0.0,PLD,Prologis,Real Estate,Industrial REITs,2020-12-15
99.38,100.62,99.05,99.85,2916138,0.0,0.0,PLD,Prologis,Real Estate,Industrial REITs,2020-12-16
100.13,100.68,99.52,100.58,3870207,0.0,0.0,PLD,Prologis,Real Estate,Industrial REITs,2020-12-17
100.47,100.76,97.06,98.07,7871047,0.0,0.0,PLD,Prologis,Real Estate,Industrial REITs,2020-12-18
96.31,97.6,95.99,97.25,3531811,0.0,0.0,PLD,Prologis,Real Estate,Industrial REITs,2020-12-21
97.9,98.08,97.01,97.65,2457237,0.0,0.0,PLD,Prologis,Real Estate,Industrial REITs,2020-12-22
98.0,98.92,96.16,96.19,2240038,0.0,0.0,PLD,Prologis,Real Estate,Industrial REITs,2020-12-23
96.66,97.51,96.34,97.24,714040,0.0,0.0,PLD,Prologis,Real Estate,Industrial REITs,2020-12-24
97.89,98.49,97.28,98.22,1351325,0.0,0.0,PLD,Prologis,Real Estate,Industrial REITs,2020-12-28
99.04,99.38,97.68,97.72,1536160,0.0,0.0,PLD,Prologis,Real Estate,Industrial REITs,2020-12-29
97.98,99.33,97.9,98.82,1584374,0.0,0.0,PLD,Prologis,Real Estate,Industrial REITs,2020-12-30
98.66,99.8,98.06,99.66,1583969,0.0,0.0,PLD,Prologis,Real Estate,Industrial REITs,2020-12-31
99.55,99.89,95.99,96.04,4486607,0.0,0.0,PLD,Prologis,Real Estate,Industrial REITs,2021-01-04
96.15,97.24,95.91,96.19,3861409,0.0,0.0,PLD,Prologis,Real Estate,Industrial REITs,2021-01-05
96.09,96.36,93.39,93.91,4812668,0.0,0.0,PLD,Prologis,Real Estate,Industrial REITs,2021-01-06
93.91,95.36,93.71,95.32,3213885,0.0,0.0,PLD,Prologis,Real Estate,Industrial REITs,2021-01-07
95.27,97.6,95.14,96.6,2221008,0.0,0.0,PLD,Prologis,Real Estate,Industrial REITs,2021-01-08
95.97,96.48,94.14,94.66,2289511,0.0,0.0,PLD,Prologis,Real Estate,Industrial REITs,2021-01-11
94.51,94.97,93.08,94.71,2499127,0.0,0.0,PLD,Prologis,Real Estate,Industrial REITs,2021-01-12
94.98,96.44,94.98,95.41,2651920,0.0,0.0,PLD,Prologis,Real Estate,Industrial REITs,2021-01-13
95.88,96.12,94.46,95.5,3312470,0.0,0.0,PLD,Prologis,Real Estate,Industrial REITs,2021-01-14
95.27,97.73,95.25,97.68,2990316,0.0,0.0,PLD,Prologis,Real Estate,Industrial REITs,2021-01-15
98.4,98.59,96.95,98.01,2576693,0.0,0.0,PLD,Prologis,Real Estate,Industrial REITs,2021-01-19
97.73,101.21,97.11,100.34,3021713,0.0,0.0,PLD,Prologis,Real Estate,Industrial REITs,2021-01-20
100.1,100.53,98.98,100.43,2404473,0.0,0.0,PLD,Prologis,Real Estate,Industrial REITs,2021-01-21
100.09,101.77,100.01,101.22,3093658,0.0,0.0,PLD,Prologis,Real Estate,Industrial REITs,2021-01-22
101.39,103.88,101.14,102.7,3003658,0.0,0.0,PLD,Prologis,Real Estate,Industrial REITs,2021-01-25
103.03,106.95,103.0,106.05,4396957,0.0,0.0,PLD,Prologis,Real Estate,Industrial REITs,2021-01-26
105.72,106.89,101.81,103.28,2928772,0.0,0.0,PLD,Prologis,Real Estate,Industrial REITs,2021-01-27
103.02,104.81,101.66,103.4,2426100,0.0,0.0,PLD,Prologis,Real Estate,Industrial REITs,2021-01-28
102.2,104.69,100.82,103.2,3120703,0.0,0.0,PLD,Prologis,Real Estate,Industrial REITs,2021-01-29
104.01,106.03,102.25,105.91,3014643,0.0,0.0,PLD,Prologis,Real Estate,Industrial REITs,2021-02-01
106.61,107.44,105.4,106.88,2180697,0.0,0.0,PLD,Prologis,Real Estate,Industrial REITs,2021-02-02
106.88,107.0,104.62,106.04,2492983,0.0,0.0,PLD,Prologis,Real Estate,Industrial REITs,2021-02-03
106.64,107.37,106.04,106.41,2738777,0.0,0.0,PLD,Prologis,Real Estate,Industrial REITs,2021-02-04
106.29,107.2,105.85,106.7,1727283,0.0,0.0,PLD,Prologis,Real Estate,Industrial REITs,2021-02-05
106.75,107.12,105.91,107.08,1785368,0.0,0.0,PLD,Prologis,Real Estate,Industrial REITs,2021-02-08
106.92,107.43,106.05,107.42,1348900,0.0,0.0,PLD,Prologis,Real Estate,Industrial REITs,2021-02-09
108.38,109.09,107.29,107.52,1657408,0.0,0.0,PLD,Prologis,Real Estate,Industrial REITs,2021-02-10
107.62,108.54,106.99,107.76,1403591,0.0,0.0,PLD,Prologis,Real Estate,Industrial REITs,2021-02-11
107.21,107.77,106.75,107.67,1416221,0.0,0.0,PLD,Prologis,Real Estate,Industrial REITs,2021-02-12
108.04,108.29,105.1,106.58,3177597,0.0,0.0,PLD,Prologis,Real Estate,Industrial REITs,2021-02-16
106.77,106.96,104.9,105.83,2051879,0.0,0.0,PLD,Prologis,Real Estate,Industrial REITs,2021-02-17
105.82,106.01,104.92,105.78,1976653,0.0,0.0,PLD,Prologis,Real Estate,Industrial REITs,2021-02-18
106.28,106.58,105.18,105.3,2118407,0.0,0.0,PLD,Prologis,Real Estate,Industrial REITs,2021-02-19
104.5,105.1,103.5,104.72,2421820,0.0,0.0,PLD,Prologis,Real Estate,Industrial REITs,2021-02-22
105.61,105.87,104.04,104.55,2252014,0.0,0.0,PLD,Prologis,Real Estate,Industrial REITs,2021-02-23
104.49,104.52,102.95,103.24,3170212,0.0,0.0,PLD,Prologis,Real Estate,Industrial REITs,2021-02-24
103.09,103.45,100.76,101.39,3674045,0.0,0.0,PLD,Prologis,Real Estate,Industrial REITs,2021-02-25
101.92,102.12,99.01,99.07,5967074,0.0,0.0,PLD,Prologis,Real Estate,Industrial REITs,2021-02-26
100.11,101.1,99.31,99.43,3093867,0.0,0.0,PLD,Prologis,Real Estate,Industrial REITs,2021-03-01
99.54,99.92,97.57,99.09,4894215,0.0,0.0,PLD,Prologis,Real Estate,Industrial REITs,2021-03-02
98.5,99.01,95.93,96.11,3417359,0.0,0.0,PLD,Prologis,Real Estate,Industrial REITs,2021-03-03
96.42,97.95,95.06,95.64,3436575,0.0,0.0,PLD,Prologis,Real Estate,Industrial REITs,2021-03-04
95.99,97.81,94.14,97.37,3570433,0.0,0.0,PLD,Prologis,Real Estate,Industrial REITs,2021-03-05
97.34,98.0,95.92,95.95,3652036,0.0,0.0,PLD,Prologis,Real Estate,Industrial REITs,2021-03-08
97.22,99.71,97.22,98.32,3396668,0.0,0.0,PLD,Prologis,Real Estate,Industrial REITs,2021-03-09
98.64,99.05,97.6,97.72,2740645,0.0,0.0,PLD,Prologis,Real Estate,Industrial REITs,2021-03-10
97.92,100.31,97.72,99.56,2393784,0.0,0.0,PLD,Prologis,Real Estate,Industrial REITs,2021-03-11
99.05,101.29,98.62,101.29,2689778,0.0,0.0,PLD,Prologis,Real Estate,Industrial REITs,2021-03-12
101.24,103.0,100.42,102.78,3005267,0.0,0.0,PLD,Prologis,Real Estate,Industrial REITs,2021-03-15
103.35,104.69,102.4,104.23,3404424,0.0,0.0,PLD,Prologis,Real Estate,Industrial REITs,2021-03-16
103.42,103.42,100.71,102.1,4021157,0.0,0.0,PLD,Prologis,Real Estate,Industrial REITs,2021-03-17
100.55,102.36,99.66,102.11,3102988,0.0,0.0,PLD,Prologis,Real Estate,Industrial REITs,2021-03-18
102.28,102.91,100.31,100.38,5149401,0.0,0.0,PLD,Prologis,Real Estate,Industrial REITs,2021-03-19
100.65,103.7,100.04,103.65,2715656,0.0,0.0,PLD,Prologis,Real Estate,Industrial REITs,2021-03-22
103.52,105.58,103.15,105.2,3643846,0.0,0.0,PLD,Prologis,Real Estate,Industrial REITs,2021-03-23
104.44,105.27,103.54,103.82,2814333,0.0,0.0,PLD,Prologis,Real Estate,Industrial REITs,2021-03-24
103.55,104.65,102.42,104.43,1779907,0.0,0.0,PLD,Prologis,Real Estate,Industrial REITs,2021-03-25
105.0,106.96,104.08,106.78,2402342,0.0,0.0,PLD,Prologis,Real Estate,Industrial REITs,2021-03-26
106.73,107.24,104.99,106.77,2965751,0.0,0.0,PLD,Prologis,Real Estate,Industrial REITs,2021-03-29
106.48,107.03,105.77,106.76,2333885,0.0,0.0,PLD,Prologis,Real Estate,Industrial REITs,2021-03-30
106.45,107.34,105.2,106.0,4954219,0.0,0.0,PLD,Prologis,Real Estate,Industrial REITs,2021-03-31
106.8,108.61,105.86,108.5,2969771,0.0,0.0,PLD,Prologis,Real Estate,Industrial REITs,2021-04-01
109.0,109.24,107.76,108.37,3894525,0.0,0.0,PLD,Prologis,Real Estate,Industrial REITs,2021-04-05
108.03,109.38,107.92,109.32,2985173,0.0,0.0,PLD,Prologis,Real Estate,Industrial REITs,2021-04-06
109.31,109.78,108.69,109.63,3431985,0.0,0.0,PLD,Prologis,Real Estate,Industrial REITs,2021-04-07
109.43,110.32,108.23,108.44,2078155,0.0,0.0,PLD,Prologis,Real Estate,Industrial REITs,2021-04-08
108.56,109.94,108.32,109.51,2485716,0.0,0.0,PLD,Prologis,Real Estate,Industrial REITs,2021-04-09
109.58,109.89,108.34,109.84,1758415,0.0,0.0,PLD,Prologis,Real Estate,Industrial REITs,2021-04-12
110.2,110.88,109.64,110.78,2195627,0.0,0.0,PLD,Prologis,Real Estate,Industrial REITs,2021-04-13
110.62,111.25,109.52,109.66,1929136,0.0,0.0,PLD,Prologis,Real Estate,Industrial REITs,2021-04-14
110.64,112.5,110.01,112.36,2563963,0.0,0.0,PLD,Prologis,Real Estate,Industrial REITs,2021-04-15
112.7,113.03,112.12,112.56,2569160,0.0,0.0,PLD,Prologis,Real Estate,Industrial REITs,2021-04-16
112.0,113.0,110.69,112.25,2580135,0.0,0.0,PLD,Prologis,Real Estate,Industrial REITs,2021-04-19
112.38,115.7,111.51,114.75,3381432,0.0,0.0,PLD,Prologis,Real Estate,Industrial REITs,2021-04-20
115.03,115.86,114.55,114.71,2349088,0.0,0.0,PLD,Prologis,Real Estate,Industrial REITs,2021-04-21
114.43,115.08,113.68,114.68,2129211,0.0,0.0,PLD,Prologis,Real Estate,Industrial REITs,2021-04-22
115.09,115.39,114.14,114.87,1770676,0.0,0.0,PLD,Prologis,Real Estate,Industrial REITs,2021-04-23
115.23,115.99,114.71,115.22,1619314,0.0,0.0,PLD,Prologis,Real Estate,Industrial REITs,2021-04-26
115.32,115.48,114.77,114.85,2389841,0.0,0.0,PLD,Prologis,Real Estate,Industrial REITs,2021-04-27
115.01,115.8,114.84,115.1,2272683,0.0,0.0,PLD,Prologis,Real Estate,Industrial REITs,2021-04-28
115.39,116.48,115.26,116.27,1774789,0.0,0.0,PLD,Prologis,Real Estate,Industrial REITs,2021-04-29
116.24,116.97,115.32,116.53,3345285,0.0,0.0,PLD,Prologis,Real Estate,Industrial REITs,2021-04-30
116.84,116.93,115.64,116.01,2062881,0.0,0.0,PLD,Prologis,Real Estate,Industrial REITs,2021-05-03
116.0,116.58,114.72,115.6,2742464,0.0,0.0,PLD,Prologis,Real Estate,Industrial REITs,2021-05-04
115.41,115.49,112.47,113.01,2532188,0.0,0.0,PLD,Prologis,Real Estate,Industrial REITs,2021-05-05
113.33,115.0,113.04,114.72,1882254,0.0,0.0,PLD,Prologis,Real Estate,Industrial REITs,2021-05-06
114.89,116.08,114.89,116.02,2635366,0.0,0.0,PLD,Prologis,Real Estate,Industrial REITs,2021-05-07
116.06,117.61,115.81,116.2,1919693,0.0,0.0,PLD,Prologis,Real Estate,Industrial REITs,2021-05-10
115.48,115.59,113.32,114.86,1903920,0.0,0.0,PLD,Prologis,Real Estate,Industrial REITs,2021-05-11
113.92,114.58,112.0,112.37,2108559,0.0,0.0,PLD,Prologis,Real Estate,Industrial REITs,2021-05-12
112.74,114.54,112.04,113.5,2090094,0.0,0.0,PLD,Prologis,Real Estate,Industrial REITs,2021-05-13
