Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
113.36,113.4,110.08,111.63,1758528,0.0,0.0,PNC,PNC Financial Services,Financials,Diversified Banks,2020-10-26
111.06,111.08,108.98,109.19,1814404,0.0,0.0,PNC,PNC Financial Services,Financials,Diversified Banks,2020-10-27
107.71,110.07,107.64,108.72,3259280,0.0,0.0,PNC,PNC Financial Services,Financials,Diversified Banks,2020-10-28
108.19,110.66,106.85,109.82,1828974,0.0,0.0,PNC,PNC Financial Services,Financials,Diversified Banks,2020-10-29
109.46,112.01,108.58,111.88,2279388,0.0,0.0,PNC,PNC Financial Services,Financials,Diversified Banks,2020-10-30
113.49,116.14,112.19,114.45,3428160,0.0,0.0,PNC,PNC Financial Services,Financials,Diversified Banks,2020-11-02
117.29,120.08,116.86,119.39,3085148,0.0,0.0,PNC,PNC Financial Services,Financials,Diversified Banks,2020-11-03
116.2,116.49,112.2,112.86,2161899,0.0,0.0,PNC,PNC Financial Services,Financials,Diversified Banks,2020-11-04
113.13,117.6,113.1,117.17,2104582,0.0,0.0,PNC,PNC Financial Services,Financials,Diversified Banks,2020-11-05
117.84,117.84,114.14,114.68,1701085,0.0,0.0,PNC,PNC Financial Services,Financials,Diversified Banks,2020-11-06
125.56,129.56,125.05,127.98,4047410,0.0,0.0,PNC,PNC Financial Services,Financials,Diversified Banks,2020-11-09
129.0,129.0,126.0,126.74,3800472,0.0,0.0,PNC,PNC Financial Services,Financials,Diversified Banks,2020-11-10
127.4,127.4,123.02,125.44,3146036,0.0,0.0,PNC,PNC Financial Services,Financials,Diversified Banks,2020-11-11
123.31,123.31,118.79,121.0,2283862,0.0,0.0,PNC,PNC Financial Services,Financials,Diversified Banks,2020-11-12
122.0,123.78,121.5,122.78,1575410,0.0,0.0,PNC,PNC Financial Services,Financials,Diversified Banks,2020-11-13
125.77,127.02,124.5,126.29,5492756,0.0,0.0,PNC,PNC Financial Services,Financials,Diversified Banks,2020-11-16
124.92,127.07,123.27,126.89,3701847,0.0,0.0,PNC,PNC Financial Services,Financials,Diversified Banks,2020-11-17
127.52,131.31,126.57,129.3,3813910,0.0,0.0,PNC,PNC Financial Services,Financials,Diversified Banks,2020-11-18
128.06,130.36,126.25,130.3,2228688,0.0,0.0,PNC,PNC Financial Services,Financials,Diversified Banks,2020-11-19
128.81,130.32,127.75,128.9,2337175,0.0,0.0,PNC,PNC Financial Services,Financials,Diversified Banks,2020-11-20
132.22,134.16,130.66,133.65,2193053,0.0,0.0,PNC,PNC Financial Services,Financials,Diversified Banks,2020-11-23
136.64,140.24,136.15,140.11,2966554,0.0,0.0,PNC,PNC Financial Services,Financials,Diversified Banks,2020-11-24
139.1,141.82,137.48,140.65,3105823,0.0,0.0,PNC,PNC Financial Services,Financials,Diversified Banks,2020-11-25
140.6,140.69,138.75,139.79,1178239,0.0,0.0,PNC,PNC Financial Services,Financials,Diversified Banks,2020-11-27
138.28,139.54,137.77,138.07,4331430,0.0,0.0,PNC,PNC Financial Services,Financials,Diversified Banks,2020-11-30
140.24,141.4,139.89,140.72,3146754,0.0,0.0,PNC,PNC Financial Services,Financials,Diversified Banks,2020-12-01
139.9,141.68,139.64,141.38,1886683,0.0,0.0,PNC,PNC Financial Services,Financials,Diversified Banks,2020-12-02
140.72,142.13,139.84,141.25,2633339,0.0,0.0,PNC,PNC Financial Services,Financials,Diversified Banks,2020-12-03
142.8,143.5,141.43,142.53,1547129,0.0,0.0,PNC,PNC Financial Services,Financials,Diversified Banks,2020-12-04
141.44,141.95,139.52,141.81,1675649,0.0,0.0,PNC,PNC Financial Services,Financials,Diversified Banks,2020-12-07
140.06,142.43,139.8,141.43,1405563,0.0,0.0,PNC,PNC Financial Services,Financials,Diversified Banks,2020-12-08
142.66,143.82,141.49,143.28,2073278,0.0,0.0,PNC,PNC Financial Services,Financials,Diversified Banks,2020-12-09
142.5,144.15,141.66,143.99,1665995,0.0,0.0,PNC,PNC Financial Services,Financials,Diversified Banks,2020-12-10
142.94,143.76,139.3,143.66,1565914,0.0,0.0,PNC,PNC Financial Services,Financials,Diversified Banks,2020-12-11
145.37,145.42,141.03,141.79,2232014,0.0,0.0,PNC,PNC Financial Services,Financials,Diversified Banks,2020-12-14
142.64,143.65,141.07,143.15,2217062,0.0,0.0,PNC,PNC Financial Services,Financials,Diversified Banks,2020-12-15
143.85,145.48,142.88,145.25,1784717,0.0,0.0,PNC,PNC Financial Services,Financials,Diversified Banks,2020-12-16
144.97,145.69,143.58,145.02,1581359,0.0,0.0,PNC,PNC Financial Services,Financials,Diversified Banks,2020-12-17
144.98,145.49,143.23,144.91,4837768,0.0,0.0,PNC,PNC Financial Services,Financials,Diversified Banks,2020-12-18
146.05,147.23,142.66,144.6,2676070,0.0,0.0,PNC,PNC Financial Services,Financials,Diversified Banks,2020-12-21
144.91,145.18,142.5,143.73,2211068,0.0,0.0,PNC,PNC Financial Services,Financials,Diversified Banks,2020-12-22
144.79,147.67,144.16,146.7,1329037,0.0,0.0,PNC,PNC Financial Services,Financials,Diversified Banks,2020-12-23
146.43,146.69,144.67,146.15,518813,0.0,0.0,PNC,PNC Financial Services,Financials,Diversified Banks,2020-12-24
147.02,148.38,145.85,146.54,1704547,0.0,0.0,PNC,PNC Financial Services,Financials,Diversified Banks,2020-12-28
146.59,146.67,144.64,144.87,1026411,0.0,0.0,PNC,PNC Financial Services,Financials,Diversified Banks,2020-12-29
145.47,147.34,145.08,146.89,1008877,0.0,0.0,PNC,PNC Financial Services,Financials,Diversified Banks,2020-12-30
146.75,149.31,145.83,149.0,1361871,0.0,0.0,PNC,PNC Financial Services,Financials,Diversified Banks,2020-12-31
149.68,149.76,146.05,149.15,2255652,0.0,0.0,PNC,PNC Financial Services,Financials,Diversified Banks,2021-01-04
149.2,150.56,147.29,148.36,2923304,0.0,0.0,PNC,PNC Financial Services,Financials,Diversified Banks,2021-01-05
152.31,158.25,152.15,156.51,3097206,0.0,0.0,PNC,PNC Financial Services,Financials,Diversified Banks,2021-01-06
159.11,162.74,158.95,159.0,2542246,0.0,0.0,PNC,PNC Financial Services,Financials,Diversified Banks,2021-01-07
158.48,159.22,156.1,158.19,1873591,0.0,0.0,PNC,PNC Financial Services,Financials,Diversified Banks,2021-01-08
157.2,159.96,155.46,159.38,2001515,0.0,0.0,PNC,PNC Financial Services,Financials,Diversified Banks,2021-01-11
161.0,162.65,159.58,161.73,2056030,0.0,0.0,PNC,PNC Financial Services,Financials,Diversified Banks,2021-01-12
160.06,161.5,158.28,159.1,2018191,0.0,0.0,PNC,PNC Financial Services,Financials,Diversified Banks,2021-01-13
160.11,162.07,159.54,161.5,2056905,0.0,0.0,PNC,PNC Financial Services,Financials,Diversified Banks,2021-01-14
157.18,158.74,154.37,154.78,3451605,0.0,0.0,PNC,PNC Financial Services,Financials,Diversified Banks,2021-01-15
155.76,156.52,154.21,156.0,2604462,0.0,0.0,PNC,PNC Financial Services,Financials,Diversified Banks,2021-01-19
156.0,156.43,154.66,156.26,1660206,0.0,0.0,PNC,PNC Financial Services,Financials,Diversified Banks,2021-01-20
156.29,156.29,152.99,153.69,2303046,0.0,0.0,PNC,PNC Financial Services,Financials,Diversified Banks,2021-01-21
151.47,153.06,151.33,152.57,1859262,0.0,0.0,PNC,PNC Financial Services,Financials,Diversified Banks,2021-01-22
150.36,151.1,146.87,150.47,2074349,0.0,0.0,PNC,PNC Financial Services,Financials,Diversified Banks,2021-01-25
151.37,151.7,147.82,148.06,1791085,0.0,0.0,PNC,PNC Financial Services,Financials,Diversified Banks,2021-01-26
145.83,145.83,141.6,144.44,3003474,0.0,0.0,PNC,PNC Financial Services,Financials,Diversified Banks,2021-01-27
146.76,148.78,145.48,147.79,1533772,0.0,0.0,PNC,PNC Financial Services,Financials,Diversified Banks,2021-01-28
147.67,147.77,142.98,143.52,2707917,0.0,0.0,PNC,PNC Financial Services,Financials,Diversified Banks,2021-01-29
144.74,146.3,143.69,145.86,1499310,0.0,0.0,PNC,PNC Financial Services,Financials,Diversified Banks,2021-02-01
147.83,152.9,147.56,150.4,1797140,0.0,0.0,PNC,PNC Financial Services,Financials,Diversified Banks,2021-02-02
149.95,152.5,149.9,152.2,1810305,0.0,0.0,PNC,PNC Financial Services,Financials,Diversified Banks,2021-02-03
153.39,156.76,153.33,156.68,1588156,0.0,0.0,PNC,PNC Financial Services,Financials,Diversified Banks,2021-02-04
158.02,158.5,155.88,156.94,1288667,0.0,0.0,PNC,PNC Financial Services,Financials,Diversified Banks,2021-02-05
156.81,158.83,156.69,158.79,1337200,0.0,0.0,PNC,PNC Financial Services,Financials,Diversified Banks,2021-02-08
157.98,158.66,156.62,158.14,1571668,0.0,0.0,PNC,PNC Financial Services,Financials,Diversified Banks,2021-02-09
159.43,160.98,157.91,160.11,1644053,0.0,0.0,PNC,PNC Financial Services,Financials,Diversified Banks,2021-02-10
159.82,161.3,157.71,159.31,1402718,0.0,0.0,PNC,PNC Financial Services,Financials,Diversified Banks,2021-02-11
159.59,162.5,159.33,162.27,1242131,0.0,0.0,PNC,PNC Financial Services,Financials,Diversified Banks,2021-02-12
163.52,171.0,162.75,169.91,2979599,0.0,0.0,PNC,PNC Financial Services,Financials,Diversified Banks,2021-02-16
169.36,170.12,166.68,167.55,2317070,0.0,0.0,PNC,PNC Financial Services,Financials,Diversified Banks,2021-02-17
166.21,167.45,164.46,166.91,1288372,0.0,0.0,PNC,PNC Financial Services,Financials,Diversified Banks,2021-02-18
167.32,171.22,167.07,170.41,1462615,0.0,0.0,PNC,PNC Financial Services,Financials,Diversified Banks,2021-02-19
169.98,172.01,169.6,170.52,1879992,0.0,0.0,PNC,PNC Financial Services,Financials,Diversified Banks,2021-02-22
173.52,174.01,170.16,173.22,2484445,0.0,0.0,PNC,PNC Financial Services,Financials,Diversified Banks,2021-02-23
173.67,179.36,173.67,178.48,2026593,0.0,0.0,PNC,PNC Financial Services,Financials,Diversified Banks,2021-02-24
180.3,180.85,173.2,173.26,1816025,0.0,0.0,PNC,PNC Financial Services,Financials,Diversified Banks,2021-02-25
172.13,172.62,168.28,168.36,2764493,0.0,0.0,PNC,PNC Financial Services,Financials,Diversified Banks,2021-02-26
171.37,174.48,169.71,173.07,2163165,0.0,0.0,PNC,PNC Financial Services,Financials,Diversified Banks,2021-03-01
173.22,177.81,171.84,173.09,1821016,0.0,0.0,PNC,PNC Financial Services,Financials,Diversified Banks,2021-03-02
174.54,176.87,173.0,173.35,2119539,0.0,0.0,PNC,PNC Financial Services,Financials,Diversified Banks,2021-03-03
173.14,174.87,169.08,172.58,2081131,0.0,0.0,PNC,PNC Financial Services,Financials,Diversified Banks,2021-03-04
175.4,176.9,169.64,176.46,2117127,0.0,0.0,PNC,PNC Financial Services,Financials,Diversified Banks,2021-03-05
177.74,181.35,177.08,178.82,2050928,0.0,0.0,PNC,PNC Financial Services,Financials,Diversified Banks,2021-03-08
175.26,176.98,172.04,173.63,2374705,0.0,0.0,PNC,PNC Financial Services,Financials,Diversified Banks,2021-03-09
173.54,178.38,173.15,177.78,1569189,0.0,0.0,PNC,PNC Financial Services,Financials,Diversified Banks,2021-03-10
176.37,178.32,175.04,176.93,1322396,0.0,0.0,PNC,PNC Financial Services,Financials,Diversified Banks,2021-03-11
179.95,181.53,178.93,181.41,1983828,0.0,0.0,PNC,PNC Financial Services,Financials,Diversified Banks,2021-03-12
180.79,181.06,176.6,178.53,1868803,0.0,0.0,PNC,PNC Financial Services,Financials,Diversified Banks,2021-03-15
176.6,176.9,173.74,176.58,1653898,0.0,0.0,PNC,PNC Financial Services,Financials,Diversified Banks,2021-03-16
179.25,180.96,176.62,178.43,1478738,0.0,0.0,PNC,PNC Financial Services,Financials,Diversified Banks,2021-03-17
180.87,184.33,178.99,179.86,2017115,0.0,0.0,PNC,PNC Financial Services,Financials,Diversified Banks,2021-03-18
176.61,178.06,174.17,175.79,6729724,0.0,0.0,PNC,PNC Financial Services,Financials,Diversified Banks,2021-03-19
172.71,173.56,169.59,171.22,2006984,0.0,0.0,PNC,PNC Financial Services,Financials,Diversified Banks,2021-03-22
169.69,172.3,168.44,169.4,1362399,0.0,0.0,PNC,PNC Financial Services,Financials,Diversified Banks,2021-03-23
171.36,173.14,170.24,170.25,1500548,0.0,0.0,PNC,PNC Financial Services,Financials,Diversified Banks,2021-03-24
170.64,177.23,169.61,177.0,2016057,0.0,0.0,PNC,PNC Financial Services,Financials,Diversified Banks,2021-03-25
179.23,180.31,177.1,179.68,2150953,0.0,0.0,PNC,PNC Financial Services,Financials,Diversified Banks,2021-03-26
176.82,177.66,173.2,174.49,1949963,0.0,0.0,PNC,PNC Financial Services,Financials,Diversified Banks,2021-03-29
176.0,179.06,175.78,177.62,1574657,0.0,0.0,PNC,PNC Financial Services,Financials,Diversified Banks,2021-03-30
177.49,177.84,174.64,175.41,1989155,0.0,0.0,PNC,PNC Financial Services,Financials,Diversified Banks,2021-03-31
174.45,177.49,174.38,177.41,1526658,0.0,0.0,PNC,PNC Financial Services,Financials,Diversified Banks,2021-04-01
179.53,180.36,177.84,178.76,1881831,0.0,0.0,PNC,PNC Financial Services,Financials,Diversified Banks,2021-04-05
177.66,178.83,175.96,177.4,1857375,0.0,0.0,PNC,PNC Financial Services,Financials,Diversified Banks,2021-04-06
178.3,179.65,176.61,178.25,1967103,0.0,0.0,PNC,PNC Financial Services,Financials,Diversified Banks,2021-04-07
177.33,178.52,174.5,178.11,1212547,0.0,0.0,PNC,PNC Financial Services,Financials,Diversified Banks,2021-04-08
179.76,180.36,178.3,180.21,1321382,0.0,0.0,PNC,PNC Financial Services,Financials,Diversified Banks,2021-04-09
180.63,181.4,179.77,180.81,1346311,0.0,0.0,PNC,PNC Financial Services,Financials,Diversified Banks,2021-04-12
179.71,179.8,177.11,177.62,1449252,0.0,0.0,PNC,PNC Financial Services,Financials,Diversified Banks,2021-04-13
177.01,180.74,176.71,179.34,1954529,0.0,0.0,PNC,PNC Financial Services,Financials,Diversified Banks,2021-04-14
178.38,178.54,172.12,174.79,3236592,0.0,0.0,PNC,PNC Financial Services,Financials,Diversified Banks,2021-04-15
177.51,180.25,176.62,178.86,2620840,0.0,0.0,PNC,PNC Financial Services,Financials,Diversified Banks,2021-04-16
179.35,180.78,176.94,177.72,1534179,0.0,0.0,PNC,PNC Financial Services,Financials,Diversified Banks,2021-04-19
175.62,176.2,170.96,171.73,2294395,0.0,0.0,PNC,PNC Financial Services,Financials,Diversified Banks,2021-04-20
171.03,175.24,170.14,175.13,1611641,0.0,0.0,PNC,PNC Financial Services,Financials,Diversified Banks,2021-04-21
175.03,175.6,173.09,173.84,2173266,0.0,0.0,PNC,PNC Financial Services,Financials,Diversified Banks,2021-04-22
174.31,179.14,173.53,178.04,2045291,0.0,0.0,PNC,PNC Financial Services,Financials,Diversified Banks,2021-04-23
179.27,181.74,179.0,180.24,1642918,0.0,0.0,PNC,PNC Financial Services,Financials,Diversified Banks,2021-04-26
179.5,183.83,179.5,183.58,1847999,0.0,0.0,PNC,PNC Financial Services,Financials,Diversified Banks,2021-04-27
184.02,186.13,183.95,185.26,1632955,0.0,0.0,PNC,PNC Financial Services,Financials,Diversified Banks,2021-04-28
187.49,189.42,187.09,189.17,1345843,0.0,0.0,PNC,PNC Financial Services,Financials,Diversified Banks,2021-04-29
187.94,189.12,186.75,186.95,1358073,0.0,0.0,PNC,PNC Financial Services,Financials,Diversified Banks,2021-04-30
188.67,189.26,186.72,188.12,1266177,0.0,0.0,PNC,PNC Financial Services,Financials,Diversified Banks,2021-05-03
186.96,193.66,186.08,193.32,2750914,0.0,0.0,PNC,PNC Financial Services,Financials,Diversified Banks,2021-05-04
193.66,196.5,191.44,194.61,1892841,0.0,0.0,PNC,PNC Financial Services,Financials,Diversified Banks,2021-05-05
196.37,198.28,193.13,198.18,1660990,0.0,0.0,PNC,PNC Financial Services,Financials,Diversified Banks,2021-05-06
194.27,199.19,193.94,198.91,1211705,0.0,0.0,PNC,PNC Financial Services,Financials,Diversified Banks,2021-05-07
203.01,203.88,198.43,198.56,2046713,0.0,0.0,PNC,PNC Financial Services,Financials,Diversified Banks,2021-05-10
197.78,200.47,193.22,194.04,2865215,0.0,0.0,PNC,PNC Financial Services,Financials,Diversified Banks,2021-05-11
196.81,197.3,189.64,190.41,2345499,0.0,0.0,PNC,PNC Financial Services,Financials,Diversified Banks,2021-05-12
189.8,197.51,189.7,196.01,1319552,0.0,0.0,PNC,PNC Financial Services,Financials,Diversified Banks,2021-05-13
