Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
51.23,51.37,49.71,50.41,831283,0.0,0.0,PNR,Pentair,Industrials,Industrial Machinery & Supplies & Components,2020-10-26
50.33,50.45,49.45,49.94,1318231,0.0,0.0,PNR,Pentair,Industrials,Industrial Machinery & Supplies & Components,2020-10-27
48.95,49.56,48.5,49.04,1136659,0.0,0.0,PNR,Pentair,Industrials,Industrial Machinery & Supplies & Components,2020-10-28
48.96,50.13,48.85,49.75,1373634,0.0,0.0,PNR,Pentair,Industrials,Industrial Machinery & Supplies & Components,2020-10-29
49.54,50.06,49.09,49.76,2515070,0.0,0.0,PNR,Pentair,Industrials,Industrial Machinery & Supplies & Components,2020-10-30
50.53,51.09,50.34,50.7,1122978,0.0,0.0,PNR,Pentair,Industrials,Industrial Machinery & Supplies & Components,2020-11-02
51.56,53.08,51.37,52.81,1194471,0.0,0.0,PNR,Pentair,Industrials,Industrial Machinery & Supplies & Components,2020-11-03
52.6,53.24,51.58,51.9,1175989,0.0,0.0,PNR,Pentair,Industrials,Industrial Machinery & Supplies & Components,2020-11-04
52.58,54.37,52.58,53.77,1045443,0.0,0.0,PNR,Pentair,Industrials,Industrial Machinery & Supplies & Components,2020-11-05
53.96,54.54,53.61,54.15,1250579,0.0,0.0,PNR,Pentair,Industrials,Industrial Machinery & Supplies & Components,2020-11-06
56.75,58.82,52.69,52.83,2453826,0.0,0.0,PNR,Pentair,Industrials,Industrial Machinery & Supplies & Components,2020-11-09
52.77,54.34,52.61,53.78,2096248,0.0,0.0,PNR,Pentair,Industrials,Industrial Machinery & Supplies & Components,2020-11-10
52.0,52.87,50.82,52.09,1963556,0.0,0.0,PNR,Pentair,Industrials,Industrial Machinery & Supplies & Components,2020-11-11
52.05,52.51,50.69,51.25,1125559,0.0,0.0,PNR,Pentair,Industrials,Industrial Machinery & Supplies & Components,2020-11-12
51.76,52.8,51.58,52.66,869220,0.0,0.0,PNR,Pentair,Industrials,Industrial Machinery & Supplies & Components,2020-11-13
53.36,53.69,52.87,53.39,887897,0.0,0.0,PNR,Pentair,Industrials,Industrial Machinery & Supplies & Components,2020-11-16
52.63,53.14,51.82,52.89,1389809,0.0,0.0,PNR,Pentair,Industrials,Industrial Machinery & Supplies & Components,2020-11-17
53.36,53.44,52.38,52.45,924045,0.0,0.0,PNR,Pentair,Industrials,Industrial Machinery & Supplies & Components,2020-11-18
