Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
246.58,254.41,246.09,253.53,303552,0.0,0.0,PODD,Insulet Corporation,Health Care,Health Care Equipment,2020-10-26
251.62,253.2,244.51,246.04,285836,0.0,0.0,PODD,Insulet Corporation,Health Care,Health Care Equipment,2020-10-27
243.32,243.76,227.63,228.41,624030,0.0,0.0,PODD,Insulet Corporation,Health Care,Health Care Equipment,2020-10-28
230.0,233.0,227.39,228.72,383140,0.0,0.0,PODD,Insulet Corporation,Health Care,Health Care Equipment,2020-10-29
228.53,230.12,221.33,222.25,441006,0.0,0.0,PODD,Insulet Corporation,Health Care,Health Care Equipment,2020-10-30
224.79,225.85,214.93,215.97,747647,0.0,0.0,PODD,Insulet Corporation,Health Care,Health Care Equipment,2020-11-02
217.86,227.12,217.5,223.1,578971,0.0,0.0,PODD,Insulet Corporation,Health Care,Health Care Equipment,2020-11-03
230.0,239.44,229.95,231.43,608321,0.0,0.0,PODD,Insulet Corporation,Health Care,Health Care Equipment,2020-11-04
240.92,259.39,240.0,255.68,842538,0.0,0.0,PODD,Insulet Corporation,Health Care,Health Care Equipment,2020-11-05
252.81,259.3,248.94,257.01,463430,0.0,0.0,PODD,Insulet Corporation,Health Care,Health Care Equipment,2020-11-06
258.56,264.44,249.94,255.33,493930,0.0,0.0,PODD,Insulet Corporation,Health Care,Health Care Equipment,2020-11-09
249.03,262.05,244.42,260.0,476377,0.0,0.0,PODD,Insulet Corporation,Health Care,Health Care Equipment,2020-11-10
259.27,262.58,253.48,256.74,526431,0.0,0.0,PODD,Insulet Corporation,Health Care,Health Care Equipment,2020-11-11
258.2,268.33,257.26,260.65,444232,0.0,0.0,PODD,Insulet Corporation,Health Care,Health Care Equipment,2020-11-12
260.98,265.47,252.77,256.0,373632,0.0,0.0,PODD,Insulet Corporation,Health Care,Health Care Equipment,2020-11-13
256.88,258.0,251.21,253.04,523346,0.0,0.0,PODD,Insulet Corporation,Health Care,Health Care Equipment,2020-11-16
252.16,261.88,245.28,259.61,312074,0.0,0.0,PODD,Insulet Corporation,Health Care,Health Care Equipment,2020-11-17
258.9,262.89,254.43,259.27,272025,0.0,0.0,PODD,Insulet Corporation,Health Care,Health Care Equipment,2020-11-18
259.27,265.12,255.92,264.24,235147,0.0,0.0,PODD,Insulet Corporation,Health Care,Health Care Equipment,2020-11-19
263.8,269.42,259.56,265.24,381886,0.0,0.0,PODD,Insulet Corporation,Health Care,Health Care Equipment,2020-11-20
267.34,268.8,261.28,265.89,353220,0.0,0.0,PODD,Insulet Corporation,Health Care,Health Care Equipment,2020-11-23
267.82,268.2,251.84,253.61,528081,0.0,0.0,PODD,Insulet Corporation,Health Care,Health Care Equipment,2020-11-24
252.13,256.76,247.61,248.86,392465,0.0,0.0,PODD,Insulet Corporation,Health Care,Health Care Equipment,2020-11-25
250.59,252.79,246.91,251.48,172832,0.0,0.0,PODD,Insulet Corporation,Health Care,Health Care Equipment,2020-11-27
254.6,258.65,247.24,257.71,558728,0.0,0.0,PODD,Insulet Corporation,Health Care,Health Care Equipment,2020-11-30
259.76,264.57,253.71,262.57,327933,0.0,0.0,PODD,Insulet Corporation,Health Care,Health Care Equipment,2020-12-01
261.62,263.22,255.04,255.07,311316,0.0,0.0,PODD,Insulet Corporation,Health Care,Health Care Equipment,2020-12-02
254.73,257.63,253.29,255.54,424325,0.0,0.0,PODD,Insulet Corporation,Health Care,Health Care Equipment,2020-12-03
255.81,261.58,253.73,258.88,263452,0.0,0.0,PODD,Insulet Corporation,Health Care,Health Care Equipment,2020-12-04
260.0,260.0,248.59,249.69,414703,0.0,0.0,PODD,Insulet Corporation,Health Care,Health Care Equipment,2020-12-07
251.39,251.68,243.99,245.65,491518,0.0,0.0,PODD,Insulet Corporation,Health Care,Health Care Equipment,2020-12-08
245.36,247.52,238.09,243.88,637901,0.0,0.0,PODD,Insulet Corporation,Health Care,Health Care Equipment,2020-12-09
243.64,250.59,241.91,246.97,457016,0.0,0.0,PODD,Insulet Corporation,Health Care,Health Care Equipment,2020-12-10
246.96,248.19,237.42,238.96,464474,0.0,0.0,PODD,Insulet Corporation,Health Care,Health Care Equipment,2020-12-11
240.42,245.67,238.24,239.05,666841,0.0,0.0,PODD,Insulet Corporation,Health Care,Health Care Equipment,2020-12-14
240.66,245.56,235.71,241.76,506664,0.0,0.0,PODD,Insulet Corporation,Health Care,Health Care Equipment,2020-12-15
239.34,243.11,236.01,238.3,945716,0.0,0.0,PODD,Insulet Corporation,Health Care,Health Care Equipment,2020-12-16
238.93,241.86,233.98,240.92,698424,0.0,0.0,PODD,Insulet Corporation,Health Care,Health Care Equipment,2020-12-17
244.86,246.0,237.38,240.65,906355,0.0,0.0,PODD,Insulet Corporation,Health Care,Health Care Equipment,2020-12-18
241.22,243.33,234.94,237.41,568881,0.0,0.0,PODD,Insulet Corporation,Health Care,Health Care Equipment,2020-12-21
238.23,255.85,237.68,254.46,694174,0.0,0.0,PODD,Insulet Corporation,Health Care,Health Care Equipment,2020-12-22
255.53,262.66,254.0,260.98,570450,0.0,0.0,PODD,Insulet Corporation,Health Care,Health Care Equipment,2020-12-23
259.92,261.35,253.09,257.28,167211,0.0,0.0,PODD,Insulet Corporation,Health Care,Health Care Equipment,2020-12-24
257.28,259.68,253.0,255.95,266212,0.0,0.0,PODD,Insulet Corporation,Health Care,Health Care Equipment,2020-12-28
257.81,261.01,252.24,260.65,272746,0.0,0.0,PODD,Insulet Corporation,Health Care,Health Care Equipment,2020-12-29
262.27,264.29,255.3,260.55,381148,0.0,0.0,PODD,Insulet Corporation,Health Care,Health Care Equipment,2020-12-30
261.27,261.27,255.01,255.63,354052,0.0,0.0,PODD,Insulet Corporation,Health Care,Health Care Equipment,2020-12-31
257.76,258.29,244.53,251.62,352265,0.0,0.0,PODD,Insulet Corporation,Health Care,Health Care Equipment,2021-01-04
253.06,255.38,249.21,253.66,275090,0.0,0.0,PODD,Insulet Corporation,Health Care,Health Care Equipment,2021-01-05
250.65,255.21,249.95,252.37,341092,0.0,0.0,PODD,Insulet Corporation,Health Care,Health Care Equipment,2021-01-06
252.38,260.52,252.38,259.21,344342,0.0,0.0,PODD,Insulet Corporation,Health Care,Health Care Equipment,2021-01-07
259.21,267.2,259.21,265.75,346485,0.0,0.0,PODD,Insulet Corporation,Health Care,Health Care Equipment,2021-01-08
263.38,268.21,253.39,254.65,395489,0.0,0.0,PODD,Insulet Corporation,Health Care,Health Care Equipment,2021-01-11
254.23,268.54,254.0,265.82,551347,0.0,0.0,PODD,Insulet Corporation,Health Care,Health Care Equipment,2021-01-12
267.24,274.07,260.0,270.4,898306,0.0,0.0,PODD,Insulet Corporation,Health Care,Health Care Equipment,2021-01-13
269.39,285.3,269.01,284.14,960703,0.0,0.0,PODD,Insulet Corporation,Health Care,Health Care Equipment,2021-01-14
285.28,288.53,274.11,281.2,768195,0.0,0.0,PODD,Insulet Corporation,Health Care,Health Care Equipment,2021-01-15
285.31,289.45,281.07,284.46,410298,0.0,0.0,PODD,Insulet Corporation,Health Care,Health Care Equipment,2021-01-19
285.18,298.43,285.18,293.05,533182,0.0,0.0,PODD,Insulet Corporation,Health Care,Health Care Equipment,2021-01-20
295.44,296.81,288.33,290.62,481339,0.0,0.0,PODD,Insulet Corporation,Health Care,Health Care Equipment,2021-01-21
290.62,292.29,285.7,290.3,249544,0.0,0.0,PODD,Insulet Corporation,Health Care,Health Care Equipment,2021-01-22
292.58,298.39,286.15,288.91,403351,0.0,0.0,PODD,Insulet Corporation,Health Care,Health Care Equipment,2021-01-25
290.29,295.08,277.93,284.58,430004,0.0,0.0,PODD,Insulet Corporation,Health Care,Health Care Equipment,2021-01-26
280.73,281.75,259.18,260.0,715999,0.0,0.0,PODD,Insulet Corporation,Health Care,Health Care Equipment,2021-01-27
259.82,277.0,258.0,275.03,425879,0.0,0.0,PODD,Insulet Corporation,Health Care,Health Care Equipment,2021-01-28
270.0,276.75,263.98,267.18,406221,0.0,0.0,PODD,Insulet Corporation,Health Care,Health Care Equipment,2021-01-29
272.52,274.21,263.3,263.75,400368,0.0,0.0,PODD,Insulet Corporation,Health Care,Health Care Equipment,2021-02-01
268.94,277.2,268.28,274.84,308460,0.0,0.0,PODD,Insulet Corporation,Health Care,Health Care Equipment,2021-02-02
275.64,277.1,270.01,274.4,139956,0.0,0.0,PODD,Insulet Corporation,Health Care,Health Care Equipment,2021-02-03
275.44,281.62,275.44,278.0,172523,0.0,0.0,PODD,Insulet Corporation,Health Care,Health Care Equipment,2021-02-04
279.0,283.58,278.46,281.17,206475,0.0,0.0,PODD,Insulet Corporation,Health Care,Health Care Equipment,2021-02-05
282.9,285.79,279.55,280.89,183860,0.0,0.0,PODD,Insulet Corporation,Health Care,Health Care Equipment,2021-02-08
280.67,283.77,277.64,282.03,212055,0.0,0.0,PODD,Insulet Corporation,Health Care,Health Care Equipment,2021-02-09
284.0,286.26,279.64,280.15,206003,0.0,0.0,PODD,Insulet Corporation,Health Care,Health Care Equipment,2021-02-10
283.99,287.6,280.29,287.11,153478,0.0,0.0,PODD,Insulet Corporation,Health Care,Health Care Equipment,2021-02-11
285.14,290.63,282.94,289.77,175949,0.0,0.0,PODD,Insulet Corporation,Health Care,Health Care Equipment,2021-02-12
291.96,292.21,276.15,282.22,364935,0.0,0.0,PODD,Insulet Corporation,Health Care,Health Care Equipment,2021-02-16
281.55,281.76,273.39,279.69,304741,0.0,0.0,PODD,Insulet Corporation,Health Care,Health Care Equipment,2021-02-17
276.24,278.61,272.42,273.31,305590,0.0,0.0,PODD,Insulet Corporation,Health Care,Health Care Equipment,2021-02-18
276.04,280.9,272.52,274.03,225255,0.0,0.0,PODD,Insulet Corporation,Health Care,Health Care Equipment,2021-02-19
274.12,276.18,255.29,256.51,612366,0.0,0.0,PODD,Insulet Corporation,Health Care,Health Care Equipment,2021-02-22
252.76,263.52,244.02,260.74,508299,0.0,0.0,PODD,Insulet Corporation,Health Care,Health Care Equipment,2021-02-23
260.76,282.0,260.58,262.36,798781,0.0,0.0,PODD,Insulet Corporation,Health Care,Health Care Equipment,2021-02-24
262.36,273.92,258.36,262.67,479038,0.0,0.0,PODD,Insulet Corporation,Health Care,Health Care Equipment,2021-02-25
265.81,270.27,258.3,259.1,698365,0.0,0.0,PODD,Insulet Corporation,Health Care,Health Care Equipment,2021-02-26
263.98,271.94,259.7,270.26,421626,0.0,0.0,PODD,Insulet Corporation,Health Care,Health Care Equipment,2021-03-01
270.29,271.87,259.28,265.91,295317,0.0,0.0,PODD,Insulet Corporation,Health Care,Health Care Equipment,2021-03-02
263.92,265.8,249.3,253.1,489851,0.0,0.0,PODD,Insulet Corporation,Health Care,Health Care Equipment,2021-03-03
250.32,254.1,240.06,242.36,610205,0.0,0.0,PODD,Insulet Corporation,Health Care,Health Care Equipment,2021-03-04
244.69,253.01,231.44,252.0,531372,0.0,0.0,PODD,Insulet Corporation,Health Care,Health Care Equipment,2021-03-05
250.0,250.0,233.55,235.95,532070,0.0,0.0,PODD,Insulet Corporation,Health Care,Health Care Equipment,2021-03-08
242.75,254.5,240.26,247.56,488930,0.0,0.0,PODD,Insulet Corporation,Health Care,Health Care Equipment,2021-03-09
252.03,254.49,244.16,245.42,430217,0.0,0.0,PODD,Insulet Corporation,Health Care,Health Care Equipment,2021-03-10
249.9,259.79,245.82,259.76,299051,0.0,0.0,PODD,Insulet Corporation,Health Care,Health Care Equipment,2021-03-11
254.26,262.21,252.29,261.88,510028,0.0,0.0,PODD,Insulet Corporation,Health Care,Health Care Equipment,2021-03-12
262.0,273.88,260.96,269.54,587090,0.0,0.0,PODD,Insulet Corporation,Health Care,Health Care Equipment,2021-03-15
271.58,272.26,262.85,265.66,1233465,0.0,0.0,PODD,Insulet Corporation,Health Care,Health Care Equipment,2021-03-16
263.45,265.58,252.62,259.92,935183,0.0,0.0,PODD,Insulet Corporation,Health Care,Health Care Equipment,2021-03-17
254.54,257.22,249.7,252.0,649143,0.0,0.0,PODD,Insulet Corporation,Health Care,Health Care Equipment,2021-03-18
254.72,261.45,252.9,261.03,662733,0.0,0.0,PODD,Insulet Corporation,Health Care,Health Care Equipment,2021-03-19
260.29,272.52,257.74,269.32,721900,0.0,0.0,PODD,Insulet Corporation,Health Care,Health Care Equipment,2021-03-22
271.05,280.98,267.65,277.05,839436,0.0,0.0,PODD,Insulet Corporation,Health Care,Health Care Equipment,2021-03-23
275.32,276.42,257.56,263.63,701446,0.0,0.0,PODD,Insulet Corporation,Health Care,Health Care Equipment,2021-03-24
259.7,264.21,250.31,259.17,529876,0.0,0.0,PODD,Insulet Corporation,Health Care,Health Care Equipment,2021-03-25
257.39,268.0,255.89,266.8,387926,0.0,0.0,PODD,Insulet Corporation,Health Care,Health Care Equipment,2021-03-26
267.06,267.06,258.32,259.83,367933,0.0,0.0,PODD,Insulet Corporation,Health Care,Health Care Equipment,2021-03-29
258.28,266.32,255.4,261.38,376319,0.0,0.0,PODD,Insulet Corporation,Health Care,Health Care Equipment,2021-03-30
263.0,265.81,258.65,260.92,628745,0.0,0.0,PODD,Insulet Corporation,Health Care,Health Care Equipment,2021-03-31
270.0,273.0,262.64,264.82,394587,0.0,0.0,PODD,Insulet Corporation,Health Care,Health Care Equipment,2021-04-01
268.51,269.64,261.64,269.12,369112,0.0,0.0,PODD,Insulet Corporation,Health Care,Health Care Equipment,2021-04-05
271.92,281.0,269.07,276.95,356581,0.0,0.0,PODD,Insulet Corporation,Health Care,Health Care Equipment,2021-04-06
276.29,279.81,274.57,278.5,282523,0.0,0.0,PODD,Insulet Corporation,Health Care,Health Care Equipment,2021-04-07
282.4,290.0,282.4,284.56,362345,0.0,0.0,PODD,Insulet Corporation,Health Care,Health Care Equipment,2021-04-08
283.22,287.29,280.44,287.13,214137,0.0,0.0,PODD,Insulet Corporation,Health Care,Health Care Equipment,2021-04-09
284.06,285.81,278.85,284.72,163076,0.0,0.0,PODD,Insulet Corporation,Health Care,Health Care Equipment,2021-04-12
284.22,289.62,284.22,288.13,170064,0.0,0.0,PODD,Insulet Corporation,Health Care,Health Care Equipment,2021-04-13
289.0,292.96,284.2,284.7,582488,0.0,0.0,PODD,Insulet Corporation,Health Care,Health Care Equipment,2021-04-14
285.73,295.54,284.78,294.88,278626,0.0,0.0,PODD,Insulet Corporation,Health Care,Health Care Equipment,2021-04-15
296.51,298.06,292.21,297.0,314068,0.0,0.0,PODD,Insulet Corporation,Health Care,Health Care Equipment,2021-04-16
295.39,295.85,277.6,281.51,386872,0.0,0.0,PODD,Insulet Corporation,Health Care,Health Care Equipment,2021-04-19
280.13,285.75,278.47,283.48,315122,0.0,0.0,PODD,Insulet Corporation,Health Care,Health Care Equipment,2021-04-20
283.16,288.27,281.03,285.19,224021,0.0,0.0,PODD,Insulet Corporation,Health Care,Health Care Equipment,2021-04-21
291.1,291.1,281.28,283.64,244551,0.0,0.0,PODD,Insulet Corporation,Health Care,Health Care Equipment,2021-04-22
284.89,297.49,283.46,295.5,471002,0.0,0.0,PODD,Insulet Corporation,Health Care,Health Care Equipment,2021-04-23
295.94,300.25,289.2,299.1,259584,0.0,0.0,PODD,Insulet Corporation,Health Care,Health Care Equipment,2021-04-26
300.0,305.0,293.04,304.06,284196,0.0,0.0,PODD,Insulet Corporation,Health Care,Health Care Equipment,2021-04-27
301.79,306.09,299.09,303.18,276743,0.0,0.0,PODD,Insulet Corporation,Health Care,Health Care Equipment,2021-04-28
306.46,306.46,299.52,301.56,193436,0.0,0.0,PODD,Insulet Corporation,Health Care,Health Care Equipment,2021-04-29
298.49,303.2,292.65,295.22,735712,0.0,0.0,PODD,Insulet Corporation,Health Care,Health Care Equipment,2021-04-30
297.01,297.01,280.76,282.09,346599,0.0,0.0,PODD,Insulet Corporation,Health Care,Health Care Equipment,2021-05-03
278.13,280.32,268.55,271.96,411534,0.0,0.0,PODD,Insulet Corporation,Health Care,Health Care Equipment,2021-05-04
274.34,275.24,263.77,264.45,506371,0.0,0.0,PODD,Insulet Corporation,Health Care,Health Care Equipment,2021-05-05
261.82,264.4,245.45,253.16,1286983,0.0,0.0,PODD,Insulet Corporation,Health Care,Health Care Equipment,2021-05-06
240.03,248.01,232.2,234.19,2925114,0.0,0.0,PODD,Insulet Corporation,Health Care,Health Care Equipment,2021-05-07
233.08,238.67,224.2,226.75,1754605,0.0,0.0,PODD,Insulet Corporation,Health Care,Health Care Equipment,2021-05-10
