Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
358.57,362.75,356.96,362.55,357759,0.0,0.0,POOL,Pool Corporation,Consumer Discretionary,Distributors,2020-10-26
367.0,370.12,361.98,366.99,333458,0.0,0.0,POOL,Pool Corporation,Consumer Discretionary,Distributors,2020-10-27
363.03,366.6,357.61,362.85,306822,0.0,0.0,POOL,Pool Corporation,Consumer Discretionary,Distributors,2020-10-28
361.11,367.38,359.75,360.64,350494,0.0,0.0,POOL,Pool Corporation,Consumer Discretionary,Distributors,2020-10-29
357.62,359.5,344.74,349.83,326466,0.0,0.0,POOL,Pool Corporation,Consumer Discretionary,Distributors,2020-10-30
353.49,360.46,349.63,357.29,337273,0.0,0.0,POOL,Pool Corporation,Consumer Discretionary,Distributors,2020-11-02
360.18,367.71,357.92,364.18,255982,0.0,0.0,POOL,Pool Corporation,Consumer Discretionary,Distributors,2020-11-03
368.53,381.15,365.0,377.17,433034,0.0,0.0,POOL,Pool Corporation,Consumer Discretionary,Distributors,2020-11-04
380.95,391.11,379.4,383.92,326650,0.0,0.0,POOL,Pool Corporation,Consumer Discretionary,Distributors,2020-11-05
386.27,391.5,380.89,382.89,440075,0.0,0.0,POOL,Pool Corporation,Consumer Discretionary,Distributors,2020-11-06
373.17,376.5,320.92,322.3,975522,0.0,0.0,POOL,Pool Corporation,Consumer Discretionary,Distributors,2020-11-09
322.68,340.8,322.49,339.71,566133,0.0,0.0,POOL,Pool Corporation,Consumer Discretionary,Distributors,2020-11-10
340.58,349.72,336.03,346.07,496611,0.0,0.0,POOL,Pool Corporation,Consumer Discretionary,Distributors,2020-11-11
349.36,350.74,336.97,339.53,272486,0.0,0.0,POOL,Pool Corporation,Consumer Discretionary,Distributors,2020-11-12
340.41,344.78,338.24,340.63,265192,0.0,0.0,POOL,Pool Corporation,Consumer Discretionary,Distributors,2020-11-13
338.16,341.26,333.54,340.8,381079,0.0,0.0,POOL,Pool Corporation,Consumer Discretionary,Distributors,2020-11-16
341.72,344.62,327.15,329.45,420867,0.0,0.0,POOL,Pool Corporation,Consumer Discretionary,Distributors,2020-11-17
330.16,332.18,321.57,322.44,552349,0.0,0.0,POOL,Pool Corporation,Consumer Discretionary,Distributors,2020-11-18
326.43,340.36,326.43,338.65,546102,0.0,0.0,POOL,Pool Corporation,Consumer Discretionary,Distributors,2020-11-19
336.52,341.18,330.88,339.87,431915,0.0,0.0,POOL,Pool Corporation,Consumer Discretionary,Distributors,2020-11-20
339.22,343.82,333.21,334.13,541927,0.0,0.0,POOL,Pool Corporation,Consumer Discretionary,Distributors,2020-11-23
332.65,337.71,325.38,328.28,417650,0.0,0.0,POOL,Pool Corporation,Consumer Discretionary,Distributors,2020-11-24
330.37,337.68,329.5,333.59,449121,0.0,0.0,POOL,Pool Corporation,Consumer Discretionary,Distributors,2020-11-25
336.55,344.22,333.75,343.12,310762,0.0,0.0,POOL,Pool Corporation,Consumer Discretionary,Distributors,2020-11-27
343.99,346.82,337.57,346.11,3029351,0.0,0.0,POOL,Pool Corporation,Consumer Discretionary,Distributors,2020-11-30
