Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
132.5,132.82,129.46,131.33,1212175,0.0,0.0,PPG,PPG Industries,Materials,Specialty Chemicals,2020-10-26
131.13,131.7,127.3,127.39,1202424,0.0,0.0,PPG,PPG Industries,Materials,Specialty Chemicals,2020-10-27
124.62,127.58,124.5,125.21,1477429,0.0,0.0,PPG,PPG Industries,Materials,Specialty Chemicals,2020-10-28
124.71,129.38,123.52,128.1,1249139,0.0,0.0,PPG,PPG Industries,Materials,Specialty Chemicals,2020-10-29
127.48,130.01,126.8,129.72,2193852,0.0,0.0,PPG,PPG Industries,Materials,Specialty Chemicals,2020-10-30
131.84,135.9,130.81,135.18,1957160,0.0,0.0,PPG,PPG Industries,Materials,Specialty Chemicals,2020-11-02
136.46,138.03,134.64,136.86,1489482,0.0,0.0,PPG,PPG Industries,Materials,Specialty Chemicals,2020-11-03
135.19,136.07,131.15,132.81,1905812,0.0,0.0,PPG,PPG Industries,Materials,Specialty Chemicals,2020-11-04
135.5,139.63,135.38,138.26,1192041,0.0,0.0,PPG,PPG Industries,Materials,Specialty Chemicals,2020-11-05
138.46,139.6,137.04,138.76,834222,0.0,0.0,PPG,PPG Industries,Materials,Specialty Chemicals,2020-11-06
146.41,149.34,139.92,141.87,1818347,0.0,0.0,PPG,PPG Industries,Materials,Specialty Chemicals,2020-11-09
142.11,143.97,140.9,142.82,1152721,0.0,0.0,PPG,PPG Industries,Materials,Specialty Chemicals,2020-11-10
143.77,143.77,141.29,142.65,1111769,0.0,0.0,PPG,PPG Industries,Materials,Specialty Chemicals,2020-11-11
141.75,142.22,138.41,139.87,781201,0.0,0.0,PPG,PPG Industries,Materials,Specialty Chemicals,2020-11-12
141.23,143.23,140.7,142.82,757883,0.0,0.0,PPG,PPG Industries,Materials,Specialty Chemicals,2020-11-13
145.0,145.67,142.9,144.27,1053247,0.0,0.0,PPG,PPG Industries,Materials,Specialty Chemicals,2020-11-16
143.05,143.73,140.55,143.27,935365,0.0,0.0,PPG,PPG Industries,Materials,Specialty Chemicals,2020-11-17
144.08,144.87,142.69,142.8,886000,0.0,0.0,PPG,PPG Industries,Materials,Specialty Chemicals,2020-11-18
142.03,143.78,140.66,143.22,755933,0.0,0.0,PPG,PPG Industries,Materials,Specialty Chemicals,2020-11-19
142.96,143.9,141.33,143.04,943665,0.0,0.0,PPG,PPG Industries,Materials,Specialty Chemicals,2020-11-20
144.19,145.69,143.55,144.78,830331,0.0,0.0,PPG,PPG Industries,Materials,Specialty Chemicals,2020-11-23
146.4,148.09,145.89,147.93,1489693,0.0,0.0,PPG,PPG Industries,Materials,Specialty Chemicals,2020-11-24
147.5,147.83,145.83,146.69,791006,0.0,0.0,PPG,PPG Industries,Materials,Specialty Chemicals,2020-11-25
146.99,147.9,146.42,147.78,321946,0.0,0.0,PPG,PPG Industries,Materials,Specialty Chemicals,2020-11-27
147.3,147.35,144.35,146.77,1427066,0.0,0.0,PPG,PPG Industries,Materials,Specialty Chemicals,2020-11-30
149.16,149.88,147.84,149.11,1268261,0.0,0.0,PPG,PPG Industries,Materials,Specialty Chemicals,2020-12-01
148.63,149.3,146.86,147.11,810978,0.0,0.0,PPG,PPG Industries,Materials,Specialty Chemicals,2020-12-02
147.16,148.03,145.16,145.43,1001355,0.0,0.0,PPG,PPG Industries,Materials,Specialty Chemicals,2020-12-03
146.28,147.74,146.02,146.93,1120652,0.0,0.0,PPG,PPG Industries,Materials,Specialty Chemicals,2020-12-04
146.5,146.9,144.72,144.9,925474,0.0,0.0,PPG,PPG Industries,Materials,Specialty Chemicals,2020-12-07
144.18,145.83,143.97,144.88,1037925,0.0,0.0,PPG,PPG Industries,Materials,Specialty Chemicals,2020-12-08
145.2,145.81,143.52,145.39,967849,0.0,0.0,PPG,PPG Industries,Materials,Specialty Chemicals,2020-12-09
144.46,145.44,142.61,143.33,1122766,0.0,0.0,PPG,PPG Industries,Materials,Specialty Chemicals,2020-12-10
142.34,143.46,141.42,142.93,1235353,0.0,0.0,PPG,PPG Industries,Materials,Specialty Chemicals,2020-12-11
143.8,144.01,141.36,141.76,1003280,0.0,0.0,PPG,PPG Industries,Materials,Specialty Chemicals,2020-12-14
143.19,144.69,142.43,144.12,1218793,0.0,0.0,PPG,PPG Industries,Materials,Specialty Chemicals,2020-12-15
144.86,145.34,142.18,142.89,1173720,0.0,0.0,PPG,PPG Industries,Materials,Specialty Chemicals,2020-12-16
