Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
28.35,28.93,28.28,28.92,4713200,0.0,0.0,PPL,PPL Corporation,Utilities,Electric Utilities,2020-10-26
28.91,28.98,28.52,28.54,3778630,0.0,0.0,PPL,PPL Corporation,Utilities,Electric Utilities,2020-10-27
27.96,28.34,27.25,27.3,5448623,0.0,0.0,PPL,PPL Corporation,Utilities,Electric Utilities,2020-10-28
27.14,27.96,26.73,27.59,3916793,0.0,0.0,PPL,PPL Corporation,Utilities,Electric Utilities,2020-10-29
27.33,27.72,27.22,27.5,4009268,0.0,0.0,PPL,PPL Corporation,Utilities,Electric Utilities,2020-10-30
27.76,28.21,27.51,28.11,4064371,0.0,0.0,PPL,PPL Corporation,Utilities,Electric Utilities,2020-11-02
28.47,28.97,28.41,28.84,5604462,0.0,0.0,PPL,PPL Corporation,Utilities,Electric Utilities,2020-11-03
28.57,28.87,27.92,27.92,4117944,0.0,0.0,PPL,PPL Corporation,Utilities,Electric Utilities,2020-11-04
28.21,28.61,27.82,28.06,2844524,0.0,0.0,PPL,PPL Corporation,Utilities,Electric Utilities,2020-11-05
28.06,28.44,27.46,27.61,3408291,0.0,0.0,PPL,PPL Corporation,Utilities,Electric Utilities,2020-11-06
28.56,29.58,28.38,28.75,6673972,0.0,0.0,PPL,PPL Corporation,Utilities,Electric Utilities,2020-11-09
28.75,29.81,28.73,29.74,6310447,0.0,0.0,PPL,PPL Corporation,Utilities,Electric Utilities,2020-11-10
29.85,29.96,29.26,29.41,3983631,0.0,0.0,PPL,PPL Corporation,Utilities,Electric Utilities,2020-11-11
29.08,29.42,28.72,28.89,5764249,0.0,0.0,PPL,PPL Corporation,Utilities,Electric Utilities,2020-11-12
29.0,30.02,29.0,29.81,4294283,0.0,0.0,PPL,PPL Corporation,Utilities,Electric Utilities,2020-11-13
30.34,30.52,29.97,30.3,5418387,0.0,0.0,PPL,PPL Corporation,Utilities,Electric Utilities,2020-11-16
30.07,30.24,29.4,29.53,3734718,0.0,0.0,PPL,PPL Corporation,Utilities,Electric Utilities,2020-11-17
29.73,30.12,29.24,29.25,3993058,0.0,0.0,PPL,PPL Corporation,Utilities,Electric Utilities,2020-11-18
29.2,29.36,28.98,29.23,3810090,0.0,0.0,PPL,PPL Corporation,Utilities,Electric Utilities,2020-11-19
29.2,29.47,29.1,29.15,3614168,0.0,0.0,PPL,PPL Corporation,Utilities,Electric Utilities,2020-11-20
29.25,30.07,29.16,29.99,4286623,0.0,0.0,PPL,PPL Corporation,Utilities,Electric Utilities,2020-11-23
30.31,30.8,30.21,30.68,5054394,0.0,0.0,PPL,PPL Corporation,Utilities,Electric Utilities,2020-11-24
30.55,30.6,28.72,29.39,9273753,0.0,0.0,PPL,PPL Corporation,Utilities,Electric Utilities,2020-11-25
