Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
61.36,61.51,60.35,61.14,1425070,0.0,0.0,PWR,Quanta Services,Industrials,Construction & Engineering,2020-10-26
61.63,61.98,60.31,60.77,937034,0.0,0.0,PWR,Quanta Services,Industrials,Construction & Engineering,2020-10-27
59.31,61.31,58.93,60.88,2249446,0.0,0.0,PWR,Quanta Services,Industrials,Construction & Engineering,2020-10-28
59.87,64.25,59.6,62.66,1851702,0.0,0.0,PWR,Quanta Services,Industrials,Construction & Engineering,2020-10-29
61.9,63.37,60.94,62.43,1302039,0.0,0.0,PWR,Quanta Services,Industrials,Construction & Engineering,2020-10-30
63.65,66.94,62.78,66.45,2904324,0.0,0.0,PWR,Quanta Services,Industrials,Construction & Engineering,2020-11-02
66.95,68.27,65.97,67.32,2151965,0.0,0.0,PWR,Quanta Services,Industrials,Construction & Engineering,2020-11-03
65.97,66.3,61.74,63.46,3051076,0.0,0.0,PWR,Quanta Services,Industrials,Construction & Engineering,2020-11-04
65.07,66.26,64.45,64.49,1505823,0.0,0.0,PWR,Quanta Services,Industrials,Construction & Engineering,2020-11-05
64.7,65.99,64.1,65.12,1225402,0.0,0.0,PWR,Quanta Services,Industrials,Construction & Engineering,2020-11-06
68.87,70.32,65.4,65.49,1281138,0.0,0.0,PWR,Quanta Services,Industrials,Construction & Engineering,2020-11-09
65.86,68.41,65.68,66.58,1786488,0.0,0.0,PWR,Quanta Services,Industrials,Construction & Engineering,2020-11-10
66.94,67.8,64.75,67.54,1749826,0.0,0.0,PWR,Quanta Services,Industrials,Construction & Engineering,2020-11-11
66.97,67.58,66.07,67.07,1604432,0.0,0.0,PWR,Quanta Services,Industrials,Construction & Engineering,2020-11-12
67.62,69.28,67.1,68.94,1026529,0.0,0.0,PWR,Quanta Services,Industrials,Construction & Engineering,2020-11-13
70.0,70.19,68.7,69.35,997040,0.0,0.0,PWR,Quanta Services,Industrials,Construction & Engineering,2020-11-16
68.67,68.87,67.06,67.39,1852815,0.0,0.0,PWR,Quanta Services,Industrials,Construction & Engineering,2020-11-17
67.94,68.73,67.27,67.58,1473242,0.0,0.0,PWR,Quanta Services,Industrials,Construction & Engineering,2020-11-18
67.64,69.01,66.92,68.22,1264452,0.0,0.0,PWR,Quanta Services,Industrials,Construction & Engineering,2020-11-19
68.16,68.39,66.63,66.88,1433402,0.0,0.0,PWR,Quanta Services,Industrials,Construction & Engineering,2020-11-20
67.62,68.96,67.32,68.91,929917,0.0,0.0,PWR,Quanta Services,Industrials,Construction & Engineering,2020-11-23
69.14,70.92,68.24,70.63,1419330,0.0,0.0,PWR,Quanta Services,Industrials,Construction & Engineering,2020-11-24
70.06,70.32,68.77,69.69,717452,0.0,0.0,PWR,Quanta Services,Industrials,Construction & Engineering,2020-11-25
69.84,70.11,69.23,69.93,400907,0.0,0.0,PWR,Quanta Services,Industrials,Construction & Engineering,2020-11-27
69.73,70.2,67.91,68.34,1340602,0.0,0.0,PWR,Quanta Services,Industrials,Construction & Engineering,2020-11-30
69.42,70.48,68.95,69.96,1224570,0.0,0.0,PWR,Quanta Services,Industrials,Construction & Engineering,2020-12-01
69.83,69.86,68.22,68.57,989185,0.0,0.0,PWR,Quanta Services,Industrials,Construction & Engineering,2020-12-02
68.6,69.78,68.0,69.37,1664662,0.0,0.0,PWR,Quanta Services,Industrials,Construction & Engineering,2020-12-03
69.58,71.67,69.34,70.73,1336875,0.0,0.0,PWR,Quanta Services,Industrials,Construction & Engineering,2020-12-04
70.79,71.62,70.38,71.51,818638,0.0,0.0,PWR,Quanta Services,Industrials,Construction & Engineering,2020-12-07
71.37,72.4,71.18,71.73,1039315,0.0,0.0,PWR,Quanta Services,Industrials,Construction & Engineering,2020-12-08
72.12,73.52,72.12,73.1,1081069,0.0,0.0,PWR,Quanta Services,Industrials,Construction & Engineering,2020-12-09
72.54,73.98,71.59,73.01,1338826,0.0,0.0,PWR,Quanta Services,Industrials,Construction & Engineering,2020-12-10
73.5,73.76,72.0,72.07,1474756,0.0,0.0,PWR,Quanta Services,Industrials,Construction & Engineering,2020-12-11
72.23,72.42,68.29,68.51,2116544,0.0,0.0,PWR,Quanta Services,Industrials,Construction & Engineering,2020-12-14
68.9,69.62,68.6,69.24,1901008,0.0,0.0,PWR,Quanta Services,Industrials,Construction & Engineering,2020-12-15
68.61,69.22,67.19,68.4,4622652,0.0,0.0,PWR,Quanta Services,Industrials,Construction & Engineering,2020-12-16
68.79,69.2,68.15,68.82,1436279,0.0,0.0,PWR,Quanta Services,Industrials,Construction & Engineering,2020-12-17
68.91,69.3,67.41,68.29,2289055,0.0,0.0,PWR,Quanta Services,Industrials,Construction & Engineering,2020-12-18
67.38,68.63,66.75,68.58,1289457,0.0,0.0,PWR,Quanta Services,Industrials,Construction & Engineering,2020-12-21
68.46,69.48,68.31,69.13,1214566,0.0,0.0,PWR,Quanta Services,Industrials,Construction & Engineering,2020-12-22
69.4,71.08,69.37,70.81,1214203,0.0,0.0,PWR,Quanta Services,Industrials,Construction & Engineering,2020-12-23
71.05,71.18,70.39,70.93,243851,0.0,0.0,PWR,Quanta Services,Industrials,Construction & Engineering,2020-12-24
71.55,71.99,70.58,70.71,632553,0.0,0.0,PWR,Quanta Services,Industrials,Construction & Engineering,2020-12-28
71.43,71.43,69.77,70.62,599383,0.0,0.0,PWR,Quanta Services,Industrials,Construction & Engineering,2020-12-29
70.79,71.64,70.63,71.15,617239,0.0,0.0,PWR,Quanta Services,Industrials,Construction & Engineering,2020-12-30
71.32,72.2,70.94,72.02,530071,0.0,0.0,PWR,Quanta Services,Industrials,Construction & Engineering,2020-12-31
70.9,71.82,67.6,68.25,3453424,0.0,0.0,PWR,Quanta Services,Industrials,Construction & Engineering,2021-01-04
68.25,70.02,68.15,69.57,1950264,0.0,0.0,PWR,Quanta Services,Industrials,Construction & Engineering,2021-01-05
70.92,74.96,70.7,74.8,1957410,0.0,0.0,PWR,Quanta Services,Industrials,Construction & Engineering,2021-01-06
75.92,77.4,74.9,76.39,1186931,0.0,0.0,PWR,Quanta Services,Industrials,Construction & Engineering,2021-01-07
76.62,76.8,75.01,75.98,820910,0.0,0.0,PWR,Quanta Services,Industrials,Construction & Engineering,2021-01-08
75.06,76.64,75.0,75.31,930143,0.0,0.0,PWR,Quanta Services,Industrials,Construction & Engineering,2021-01-11
75.89,76.59,74.43,76.26,744594,0.0,0.0,PWR,Quanta Services,Industrials,Construction & Engineering,2021-01-12
75.85,76.26,74.0,74.77,897134,0.0,0.0,PWR,Quanta Services,Industrials,Construction & Engineering,2021-01-13
75.21,77.89,74.62,77.58,1317794,0.0,0.0,PWR,Quanta Services,Industrials,Construction & Engineering,2021-01-14
76.78,77.2,74.8,76.16,1076275,0.0,0.0,PWR,Quanta Services,Industrials,Construction & Engineering,2021-01-15
77.2,78.37,76.62,78.25,1178559,0.0,0.0,PWR,Quanta Services,Industrials,Construction & Engineering,2021-01-19
78.62,79.86,78.12,79.27,1348811,0.0,0.0,PWR,Quanta Services,Industrials,Construction & Engineering,2021-01-20
79.16,79.81,77.35,77.81,838560,0.0,0.0,PWR,Quanta Services,Industrials,Construction & Engineering,2021-01-21
77.56,78.12,76.64,77.66,1046659,0.0,0.0,PWR,Quanta Services,Industrials,Construction & Engineering,2021-01-22
77.54,77.77,74.41,75.72,708919,0.0,0.0,PWR,Quanta Services,Industrials,Construction & Engineering,2021-01-25
76.29,76.29,74.74,74.84,708121,0.0,0.0,PWR,Quanta Services,Industrials,Construction & Engineering,2021-01-26
