Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
200.66,203.89,195.05,197.22,7643148,0.0,0.0,PYPL,PayPal,Financials,Transaction & Payment Processing Services,2020-10-26
198.79,201.32,197.72,200.43,4754359,0.0,0.0,PYPL,PayPal,Financials,Transaction & Payment Processing Services,2020-10-27
196.96,198.39,191.5,192.31,8050042,0.0,0.0,PYPL,PayPal,Financials,Transaction & Payment Processing Services,2020-10-28
194.08,197.59,192.31,195.04,7627102,0.0,0.0,PYPL,PayPal,Financials,Transaction & Payment Processing Services,2020-10-29
193.29,195.33,182.92,186.13,12041236,0.0,0.0,PYPL,PayPal,Financials,Transaction & Payment Processing Services,2020-10-30
189.01,192.7,185.05,187.76,14376424,0.0,0.0,PYPL,PayPal,Financials,Transaction & Payment Processing Services,2020-11-02
177.94,188.75,174.81,179.81,31655751,0.0,0.0,PYPL,PayPal,Financials,Transaction & Payment Processing Services,2020-11-03
186.76,195.0,184.11,194.29,16106952,0.0,0.0,PYPL,PayPal,Financials,Transaction & Payment Processing Services,2020-11-04
202.3,204.92,199.37,204.56,15188527,0.0,0.0,PYPL,PayPal,Financials,Transaction & Payment Processing Services,2020-11-05
204.6,204.92,198.55,202.73,8075064,0.0,0.0,PYPL,PayPal,Financials,Transaction & Payment Processing Services,2020-11-06
195.74,196.07,184.44,184.72,18986391,0.0,0.0,PYPL,PayPal,Financials,Transaction & Payment Processing Services,2020-11-09
184.98,186.71,178.6,183.36,13144319,0.0,0.0,PYPL,PayPal,Financials,Transaction & Payment Processing Services,2020-11-10
187.5,193.1,186.4,192.34,9151685,0.0,0.0,PYPL,PayPal,Financials,Transaction & Payment Processing Services,2020-11-11
193.95,194.9,188.43,189.1,7103620,0.0,0.0,PYPL,PayPal,Financials,Transaction & Payment Processing Services,2020-11-12
191.11,191.73,186.85,188.62,6020699,0.0,0.0,PYPL,PayPal,Financials,Transaction & Payment Processing Services,2020-11-13
185.19,192.38,183.54,191.94,10127757,0.0,0.0,PYPL,PayPal,Financials,Transaction & Payment Processing Services,2020-11-16
192.13,194.63,190.63,192.3,6448805,0.0,0.0,PYPL,PayPal,Financials,Transaction & Payment Processing Services,2020-11-17
192.59,192.95,189.54,190.12,8095357,0.0,0.0,PYPL,PayPal,Financials,Transaction & Payment Processing Services,2020-11-18
190.82,192.75,189.57,190.9,9391530,0.0,0.0,PYPL,PayPal,Financials,Transaction & Payment Processing Services,2020-11-19
192.47,194.73,190.96,192.67,11518655,0.0,0.0,PYPL,PayPal,Financials,Transaction & Payment Processing Services,2020-11-20
194.53,202.16,193.92,200.82,12019989,0.0,0.0,PYPL,PayPal,Financials,Transaction & Payment Processing Services,2020-11-23
204.0,207.08,198.86,206.0,14781555,0.0,0.0,PYPL,PayPal,Financials,Transaction & Payment Processing Services,2020-11-24
206.29,216.07,206.23,214.46,13794973,0.0,0.0,PYPL,PayPal,Financials,Transaction & Payment Processing Services,2020-11-25
213.2,213.84,208.62,211.39,5303151,0.0,0.0,PYPL,PayPal,Financials,Transaction & Payment Processing Services,2020-11-27
212.51,215.83,207.09,214.12,12976149,0.0,0.0,PYPL,PayPal,Financials,Transaction & Payment Processing Services,2020-11-30
217.15,220.57,214.34,216.54,10146956,0.0,0.0,PYPL,PayPal,Financials,Transaction & Payment Processing Services,2020-12-01
215.6,215.75,210.5,212.56,7537366,0.0,0.0,PYPL,PayPal,Financials,Transaction & Payment Processing Services,2020-12-02
213.33,216.93,213.11,214.54,7645193,0.0,0.0,PYPL,PayPal,Financials,Transaction & Payment Processing Services,2020-12-03
214.88,218.55,213.01,217.77,6214640,0.0,0.0,PYPL,PayPal,Financials,Transaction & Payment Processing Services,2020-12-04
217.39,219.32,216.31,217.93,5363365,0.0,0.0,PYPL,PayPal,Financials,Transaction & Payment Processing Services,2020-12-07
216.32,218.72,215.57,216.94,5419592,0.0,0.0,PYPL,PayPal,Financials,Transaction & Payment Processing Services,2020-12-08
217.0,218.94,209.25,210.8,7807532,0.0,0.0,PYPL,PayPal,Financials,Transaction & Payment Processing Services,2020-12-09
208.36,216.23,206.65,215.34,6556822,0.0,0.0,PYPL,PayPal,Financials,Transaction & Payment Processing Services,2020-12-10
213.39,215.0,210.42,214.06,4283354,0.0,0.0,PYPL,PayPal,Financials,Transaction & Payment Processing Services,2020-12-11
215.95,223.16,215.0,220.79,9759424,0.0,0.0,PYPL,PayPal,Financials,Transaction & Payment Processing Services,2020-12-14
221.93,222.31,217.12,221.6,6508117,0.0,0.0,PYPL,PayPal,Financials,Transaction & Payment Processing Services,2020-12-15
224.8,231.15,224.61,230.2,10110033,0.0,0.0,PYPL,PayPal,Financials,Transaction & Payment Processing Services,2020-12-16
234.51,238.1,232.4,235.51,8914060,0.0,0.0,PYPL,PayPal,Financials,Transaction & Payment Processing Services,2020-12-17
236.66,237.17,232.28,236.45,11424717,0.0,0.0,PYPL,PayPal,Financials,Transaction & Payment Processing Services,2020-12-18
232.62,239.75,232.2,237.72,8156045,0.0,0.0,PYPL,PayPal,Financials,Transaction & Payment Processing Services,2020-12-21
240.16,243.68,238.09,243.49,6340935,0.0,0.0,PYPL,PayPal,Financials,Transaction & Payment Processing Services,2020-12-22
243.6,244.25,238.33,239.44,6421336,0.0,0.0,PYPL,PayPal,Financials,Transaction & Payment Processing Services,2020-12-23
240.36,242.12,238.09,238.64,3053752,0.0,0.0,PYPL,PayPal,Financials,Transaction & Payment Processing Services,2020-12-24
243.5,243.5,235.25,235.73,7079520,0.0,0.0,PYPL,PayPal,Financials,Transaction & Payment Processing Services,2020-12-28
236.0,236.25,229.68,231.03,8316075,0.0,0.0,PYPL,PayPal,Financials,Transaction & Payment Processing Services,2020-12-29
232.19,233.84,230.02,231.51,6017643,0.0,0.0,PYPL,PayPal,Financials,Transaction & Payment Processing Services,2020-12-30
232.0,234.69,229.69,234.2,5002663,0.0,0.0,PYPL,PayPal,Financials,Transaction & Payment Processing Services,2020-12-31
237.8,238.0,227.53,231.92,8148695,0.0,0.0,PYPL,PayPal,Financials,Transaction & Payment Processing Services,2021-01-04
230.47,235.64,229.8,234.91,5047831,0.0,0.0,PYPL,PayPal,Financials,Transaction & Payment Processing Services,2021-01-05
228.94,232.49,225.7,226.83,9211701,0.0,0.0,PYPL,PayPal,Financials,Transaction & Payment Processing Services,2021-01-06
229.46,235.6,229.22,235.04,7107892,0.0,0.0,PYPL,PayPal,Financials,Transaction & Payment Processing Services,2021-01-07
237.43,242.91,236.07,242.46,6758739,0.0,0.0,PYPL,PayPal,Financials,Transaction & Payment Processing Services,2021-01-08
238.04,240.84,234.09,237.5,5073071,0.0,0.0,PYPL,PayPal,Financials,Transaction & Payment Processing Services,2021-01-11
237.62,238.8,233.83,237.64,4145557,0.0,0.0,PYPL,PayPal,Financials,Transaction & Payment Processing Services,2021-01-12
236.57,247.44,236.54,244.9,7354936,0.0,0.0,PYPL,PayPal,Financials,Transaction & Payment Processing Services,2021-01-13
246.87,249.85,241.54,242.06,6976718,0.0,0.0,PYPL,PayPal,Financials,Transaction & Payment Processing Services,2021-01-14
242.25,244.56,235.03,239.79,8373333,0.0,0.0,PYPL,PayPal,Financials,Transaction & Payment Processing Services,2021-01-15
243.3,248.74,241.0,247.25,7436752,0.0,0.0,PYPL,PayPal,Financials,Transaction & Payment Processing Services,2021-01-19
248.85,249.65,244.14,244.26,5803248,0.0,0.0,PYPL,PayPal,Financials,Transaction & Payment Processing Services,2021-01-20
246.67,250.37,243.58,248.64,10336554,0.0,0.0,PYPL,PayPal,Financials,Transaction & Payment Processing Services,2021-01-21
246.65,254.39,246.2,252.0,7800506,0.0,0.0,PYPL,PayPal,Financials,Transaction & Payment Processing Services,2021-01-22
253.8,254.39,242.22,247.75,8499384,0.0,0.0,PYPL,PayPal,Financials,Transaction & Payment Processing Services,2021-01-25
