Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
37.86,38.29,37.12,37.55,753920,0.0,0.0,REG,Regency Centers,Real Estate,Retail REITs,2020-10-26
37.34,37.79,36.22,36.22,715613,0.0,0.0,REG,Regency Centers,Real Estate,Retail REITs,2020-10-27
35.58,35.94,35.04,35.36,834438,0.0,0.0,REG,Regency Centers,Real Estate,Retail REITs,2020-10-28
35.04,36.02,34.57,35.46,1113021,0.0,0.0,REG,Regency Centers,Real Estate,Retail REITs,2020-10-29
35.49,35.88,34.62,35.59,826477,0.0,0.0,REG,Regency Centers,Real Estate,Retail REITs,2020-10-30
35.88,36.26,35.11,36.2,887084,0.0,0.0,REG,Regency Centers,Real Estate,Retail REITs,2020-11-02
36.88,37.72,36.37,37.43,1389337,0.0,0.0,REG,Regency Centers,Real Estate,Retail REITs,2020-11-03
37.72,37.72,35.85,35.9,1099668,0.0,0.0,REG,Regency Centers,Real Estate,Retail REITs,2020-11-04
36.2,36.76,35.75,36.18,898850,0.0,0.0,REG,Regency Centers,Real Estate,Retail REITs,2020-11-05
36.58,36.71,33.29,34.05,2641846,0.0,0.0,REG,Regency Centers,Real Estate,Retail REITs,2020-11-06
38.0,47.22,37.63,45.96,5281189,0.0,0.0,REG,Regency Centers,Real Estate,Retail REITs,2020-11-09
45.95,48.12,45.75,46.75,2789186,0.0,0.0,REG,Regency Centers,Real Estate,Retail REITs,2020-11-10
46.34,46.64,44.07,46.07,2857034,0.0,0.0,REG,Regency Centers,Real Estate,Retail REITs,2020-11-11
46.91,46.91,42.95,43.9,1851010,0.0,0.0,REG,Regency Centers,Real Estate,Retail REITs,2020-11-12
44.47,45.99,43.92,45.73,922515,0.0,0.0,REG,Regency Centers,Real Estate,Retail REITs,2020-11-13
47.83,49.52,46.62,49.01,1537826,0.0,0.0,REG,Regency Centers,Real Estate,Retail REITs,2020-11-16
48.15,48.89,47.18,48.27,779114,0.0,0.0,REG,Regency Centers,Real Estate,Retail REITs,2020-11-17
48.06,49.82,47.04,47.12,1453936,0.0,0.0,REG,Regency Centers,Real Estate,Retail REITs,2020-11-18
46.28,47.96,45.31,47.76,1030337,0.0,0.0,REG,Regency Centers,Real Estate,Retail REITs,2020-11-19
47.72,47.83,46.83,47.26,816386,0.0,0.0,REG,Regency Centers,Real Estate,Retail REITs,2020-11-20
47.78,49.58,47.25,48.46,1370645,0.0,0.0,REG,Regency Centers,Real Estate,Retail REITs,2020-11-23
49.33,50.65,48.7,48.79,1680407,0.0,0.0,REG,Regency Centers,Real Estate,Retail REITs,2020-11-24
48.3,48.3,47.0,47.59,1154599,0.0,0.0,REG,Regency Centers,Real Estate,Retail REITs,2020-11-25
47.37,47.86,46.68,46.89,369954,0.0,0.0,REG,Regency Centers,Real Estate,Retail REITs,2020-11-27
