Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
13.59,13.62,13.27,13.35,9554034,0.0,0.0,RF,Regions Financial Corporation,Financials,Regional Banks,2020-10-26
13.31,13.32,12.9,12.9,8484128,0.0,0.0,RF,Regions Financial Corporation,Financials,Regional Banks,2020-10-27
12.63,12.94,12.59,12.73,9687100,0.0,0.0,RF,Regions Financial Corporation,Financials,Regional Banks,2020-10-28
12.64,13.32,12.52,13.2,8229738,0.0,0.0,RF,Regions Financial Corporation,Financials,Regional Banks,2020-10-29
13.15,13.35,13.0,13.3,7312530,0.0,0.0,RF,Regions Financial Corporation,Financials,Regional Banks,2020-10-30
13.54,13.8,13.22,13.76,7601982,0.0,0.0,RF,Regions Financial Corporation,Financials,Regional Banks,2020-11-02
14.06,14.15,13.86,14.03,8599956,0.0,0.0,RF,Regions Financial Corporation,Financials,Regional Banks,2020-11-03
13.62,13.62,12.88,13.13,11040136,0.0,0.0,RF,Regions Financial Corporation,Financials,Regional Banks,2020-11-04
13.17,13.98,13.17,13.68,10675462,0.0,0.0,RF,Regions Financial Corporation,Financials,Regional Banks,2020-11-05
13.65,13.72,12.98,13.05,10854945,0.0,0.0,RF,Regions Financial Corporation,Financials,Regional Banks,2020-11-06
14.24,15.6,14.23,15.22,22904255,0.0,0.0,RF,Regions Financial Corporation,Financials,Regional Banks,2020-11-09
15.39,15.45,15.0,15.23,11106943,0.0,0.0,RF,Regions Financial Corporation,Financials,Regional Banks,2020-11-10
15.26,15.29,14.64,14.87,8874375,0.0,0.0,RF,Regions Financial Corporation,Financials,Regional Banks,2020-11-11
14.55,14.73,14.19,14.42,8936732,0.0,0.0,RF,Regions Financial Corporation,Financials,Regional Banks,2020-11-12
14.6,14.97,14.57,14.9,6111427,0.0,0.0,RF,Regions Financial Corporation,Financials,Regional Banks,2020-11-13
15.57,15.79,15.37,15.61,9978882,0.0,0.0,RF,Regions Financial Corporation,Financials,Regional Banks,2020-11-16
15.32,15.64,15.18,15.62,9675106,0.0,0.0,RF,Regions Financial Corporation,Financials,Regional Banks,2020-11-17
15.68,15.88,15.38,15.41,7090268,0.0,0.0,RF,Regions Financial Corporation,Financials,Regional Banks,2020-11-18
15.27,15.48,15.03,15.46,5847121,0.0,0.0,RF,Regions Financial Corporation,Financials,Regional Banks,2020-11-19
15.3,15.32,14.98,15.11,6303513,0.0,0.0,RF,Regions Financial Corporation,Financials,Regional Banks,2020-11-20
15.36,15.54,15.28,15.39,6012120,0.0,0.0,RF,Regions Financial Corporation,Financials,Regional Banks,2020-11-23
15.9,16.23,15.67,16.09,12530519,0.0,0.0,RF,Regions Financial Corporation,Financials,Regional Banks,2020-11-24
15.88,15.89,15.61,15.75,6174133,0.0,0.0,RF,Regions Financial Corporation,Financials,Regional Banks,2020-11-25
15.75,15.95,15.5,15.62,3711064,0.0,0.0,RF,Regions Financial Corporation,Financials,Regional Banks,2020-11-27
15.95,15.96,15.24,15.27,12241281,0.0,0.0,RF,Regions Financial Corporation,Financials,Regional Banks,2020-11-30
15.69,16.05,15.6,15.87,9007525,0.0,0.0,RF,Regions Financial Corporation,Financials,Regional Banks,2020-12-01
15.73,16.21,15.6,16.17,9256367,0.0,0.0,RF,Regions Financial Corporation,Financials,Regional Banks,2020-12-02
16.04,16.14,15.8,16.03,14409173,0.0,0.0,RF,Regions Financial Corporation,Financials,Regional Banks,2020-12-03
16.18,16.35,16.0,16.17,16285945,0.0,0.0,RF,Regions Financial Corporation,Financials,Regional Banks,2020-12-04
16.11,16.13,15.85,15.97,7498195,0.0,0.0,RF,Regions Financial Corporation,Financials,Regional Banks,2020-12-07
15.87,16.1,15.77,15.95,9030512,0.0,0.0,RF,Regions Financial Corporation,Financials,Regional Banks,2020-12-08
16.08,16.11,15.72,15.87,9816941,0.0,0.0,RF,Regions Financial Corporation,Financials,Regional Banks,2020-12-09
15.73,15.88,15.6,15.85,10610870,0.0,0.0,RF,Regions Financial Corporation,Financials,Regional Banks,2020-12-10
15.59,15.65,15.36,15.54,8691723,0.0,0.0,RF,Regions Financial Corporation,Financials,Regional Banks,2020-12-11
15.82,15.82,15.07,15.15,9053296,0.0,0.0,RF,Regions Financial Corporation,Financials,Regional Banks,2020-12-14
15.29,15.41,15.08,15.38,8655796,0.0,0.0,RF,Regions Financial Corporation,Financials,Regional Banks,2020-12-15
15.4,15.63,15.33,15.6,9173654,0.0,0.0,RF,Regions Financial Corporation,Financials,Regional Banks,2020-12-16
15.61,15.63,15.29,15.56,10899351,0.0,0.0,RF,Regions Financial Corporation,Financials,Regional Banks,2020-12-17
