Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
53.25,53.28,52.55,53.21,705652,0.0,0.0,RJF,Raymond James Financial,Financials,Investment Banking & Brokerage,2020-10-26
52.99,53.31,52.11,52.16,651424,0.0,0.0,RJF,Raymond James Financial,Financials,Investment Banking & Brokerage,2020-10-27
51.06,51.22,49.67,50.14,1707753,0.0,0.0,RJF,Raymond James Financial,Financials,Investment Banking & Brokerage,2020-10-28
50.11,50.92,48.86,50.37,1256894,0.0,0.0,RJF,Raymond James Financial,Financials,Investment Banking & Brokerage,2020-10-29
50.19,51.23,49.99,50.96,811326,0.0,0.0,RJF,Raymond James Financial,Financials,Investment Banking & Brokerage,2020-10-30
51.81,52.56,51.24,52.31,935592,0.0,0.0,RJF,Raymond James Financial,Financials,Investment Banking & Brokerage,2020-11-02
53.43,53.96,53.05,53.32,937428,0.0,0.0,RJF,Raymond James Financial,Financials,Investment Banking & Brokerage,2020-11-03
52.17,52.83,50.7,51.39,972430,0.0,0.0,RJF,Raymond James Financial,Financials,Investment Banking & Brokerage,2020-11-04
51.7,53.75,51.7,53.09,767896,0.0,0.0,RJF,Raymond James Financial,Financials,Investment Banking & Brokerage,2020-11-05
53.26,53.55,51.45,51.67,759160,0.0,0.0,RJF,Raymond James Financial,Financials,Investment Banking & Brokerage,2020-11-06
56.22,58.21,55.93,57.06,2193024,0.0,0.0,RJF,Raymond James Financial,Financials,Investment Banking & Brokerage,2020-11-09
57.45,57.53,56.73,57.21,918177,0.0,0.0,RJF,Raymond James Financial,Financials,Investment Banking & Brokerage,2020-11-10
57.79,57.81,56.37,56.51,1599438,0.0,0.0,RJF,Raymond James Financial,Financials,Investment Banking & Brokerage,2020-11-11
55.85,56.33,54.51,55.19,942636,0.0,0.0,RJF,Raymond James Financial,Financials,Investment Banking & Brokerage,2020-11-12
55.8,57.27,55.74,56.83,804477,0.0,0.0,RJF,Raymond James Financial,Financials,Investment Banking & Brokerage,2020-11-13
58.65,58.65,57.1,58.48,1002634,0.0,0.0,RJF,Raymond James Financial,Financials,Investment Banking & Brokerage,2020-11-16
58.27,59.96,57.2,59.62,1162182,0.0,0.0,RJF,Raymond James Financial,Financials,Investment Banking & Brokerage,2020-11-17
59.73,60.81,59.36,59.39,1348785,0.0,0.0,RJF,Raymond James Financial,Financials,Investment Banking & Brokerage,2020-11-18
58.71,59.76,58.13,59.47,1093334,0.0,0.0,RJF,Raymond James Financial,Financials,Investment Banking & Brokerage,2020-11-19
59.17,59.36,58.53,59.01,740721,0.0,0.0,RJF,Raymond James Financial,Financials,Investment Banking & Brokerage,2020-11-20
59.93,60.53,59.5,60.32,1131399,0.0,0.0,RJF,Raymond James Financial,Financials,Investment Banking & Brokerage,2020-11-23
61.37,62.69,61.11,62.64,756542,0.0,0.0,RJF,Raymond James Financial,Financials,Investment Banking & Brokerage,2020-11-24
62.06,62.48,61.43,62.33,673396,0.0,0.0,RJF,Raymond James Financial,Financials,Investment Banking & Brokerage,2020-11-25
62.46,62.66,61.72,61.81,257768,0.0,0.0,RJF,Raymond James Financial,Financials,Investment Banking & Brokerage,2020-11-27
61.57,61.88,60.39,60.63,1883244,0.0,0.0,RJF,Raymond James Financial,Financials,Investment Banking & Brokerage,2020-11-30
62.07,62.5,61.3,61.99,1145226,0.0,0.0,RJF,Raymond James Financial,Financials,Investment Banking & Brokerage,2020-12-01
61.64,63.16,61.45,63.13,806124,0.0,0.0,RJF,Raymond James Financial,Financials,Investment Banking & Brokerage,2020-12-02
62.89,63.45,62.46,62.9,1231047,0.0,0.0,RJF,Raymond James Financial,Financials,Investment Banking & Brokerage,2020-12-03
63.69,64.57,63.48,63.89,686865,0.0,0.0,RJF,Raymond James Financial,Financials,Investment Banking & Brokerage,2020-12-04
63.21,63.36,62.53,63.01,693542,0.0,0.0,RJF,Raymond James Financial,Financials,Investment Banking & Brokerage,2020-12-07
62.06,62.83,61.53,61.95,1715054,0.0,0.0,RJF,Raymond James Financial,Financials,Investment Banking & Brokerage,2020-12-08
62.09,62.2,61.2,61.71,1618696,0.0,0.0,RJF,Raymond James Financial,Financials,Investment Banking & Brokerage,2020-12-09
61.05,61.9,60.83,61.77,2005482,0.0,0.0,RJF,Raymond James Financial,Financials,Investment Banking & Brokerage,2020-12-10
61.03,61.81,60.56,61.56,989294,0.0,0.0,RJF,Raymond James Financial,Financials,Investment Banking & Brokerage,2020-12-11
62.76,62.89,60.89,60.97,2055774,0.0,0.0,RJF,Raymond James Financial,Financials,Investment Banking & Brokerage,2020-12-14
61.7,62.49,60.66,62.33,1483234,0.0,0.0,RJF,Raymond James Financial,Financials,Investment Banking & Brokerage,2020-12-15
62.66,62.66,61.89,62.24,920388,0.0,0.0,RJF,Raymond James Financial,Financials,Investment Banking & Brokerage,2020-12-16
62.27,63.23,61.61,63.18,1097024,0.0,0.0,RJF,Raymond James Financial,Financials,Investment Banking & Brokerage,2020-12-17
63.08,63.29,62.02,62.57,2347726,0.0,0.0,RJF,Raymond James Financial,Financials,Investment Banking & Brokerage,2020-12-18
62.71,62.85,61.3,62.63,1230672,0.0,0.0,RJF,Raymond James Financial,Financials,Investment Banking & Brokerage,2020-12-21
62.85,62.89,62.28,62.49,655929,0.0,0.0,RJF,Raymond James Financial,Financials,Investment Banking & Brokerage,2020-12-22
62.91,63.72,62.59,62.7,1120221,0.0,0.0,RJF,Raymond James Financial,Financials,Investment Banking & Brokerage,2020-12-23
63.19,63.19,61.68,61.95,329030,0.0,0.0,RJF,Raymond James Financial,Financials,Investment Banking & Brokerage,2020-12-24
62.37,63.69,62.29,63.19,804428,0.0,0.0,RJF,Raymond James Financial,Financials,Investment Banking & Brokerage,2020-12-28
63.35,63.87,62.42,62.66,454236,0.0,0.0,RJF,Raymond James Financial,Financials,Investment Banking & Brokerage,2020-12-29
62.83,63.42,62.77,62.82,490708,0.0,0.0,RJF,Raymond James Financial,Financials,Investment Banking & Brokerage,2020-12-30
62.91,63.87,62.66,63.78,500362,0.0,0.0,RJF,Raymond James Financial,Financials,Investment Banking & Brokerage,2020-12-31
63.75,63.75,62.02,62.69,997740,0.0,0.0,RJF,Raymond James Financial,Financials,Investment Banking & Brokerage,2021-01-04
64.03,64.03,62.39,62.93,1131747,0.0,0.0,RJF,Raymond James Financial,Financials,Investment Banking & Brokerage,2021-01-05
64.18,67.28,63.53,66.66,1928816,0.0,0.0,RJF,Raymond James Financial,Financials,Investment Banking & Brokerage,2021-01-06
67.62,68.63,67.21,67.82,1341376,0.0,0.0,RJF,Raymond James Financial,Financials,Investment Banking & Brokerage,2021-01-07
67.94,68.32,67.0,68.0,909153,0.0,0.0,RJF,Raymond James Financial,Financials,Investment Banking & Brokerage,2021-01-08
67.39,69.28,67.02,68.87,1130452,0.0,0.0,RJF,Raymond James Financial,Financials,Investment Banking & Brokerage,2021-01-11
68.93,70.12,68.89,69.02,1711556,0.0,0.0,RJF,Raymond James Financial,Financials,Investment Banking & Brokerage,2021-01-12
68.64,68.92,67.23,67.92,1159326,0.0,0.0,RJF,Raymond James Financial,Financials,Investment Banking & Brokerage,2021-01-13
68.19,68.81,67.97,68.47,1813508,0.0,0.0,RJF,Raymond James Financial,Financials,Investment Banking & Brokerage,2021-01-14
68.07,69.17,67.69,68.63,973095,0.0,0.0,RJF,Raymond James Financial,Financials,Investment Banking & Brokerage,2021-01-15
68.87,69.67,68.55,69.24,1106336,0.0,0.0,RJF,Raymond James Financial,Financials,Investment Banking & Brokerage,2021-01-19
69.02,69.41,68.48,68.99,963708,0.0,0.0,RJF,Raymond James Financial,Financials,Investment Banking & Brokerage,2021-01-20
69.06,69.44,68.27,68.4,758662,0.0,0.0,RJF,Raymond James Financial,Financials,Investment Banking & Brokerage,2021-01-21
67.56,68.17,67.51,68.03,1003209,0.0,0.0,RJF,Raymond James Financial,Financials,Investment Banking & Brokerage,2021-01-22
67.2,68.23,66.4,66.78,1179294,0.0,0.0,RJF,Raymond James Financial,Financials,Investment Banking & Brokerage,2021-01-25
67.25,67.32,65.7,65.77,759009,0.0,0.0,RJF,Raymond James Financial,Financials,Investment Banking & Brokerage,2021-01-26
