Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
76.63,77.47,75.06,76.8,1226763,0.0,0.0,RL,Ralph Lauren Corporation,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",2020-10-26
76.04,77.34,74.09,74.47,1195169,0.0,0.0,RL,Ralph Lauren Corporation,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",2020-10-27
72.95,75.1,72.16,74.3,1955827,0.0,0.0,RL,Ralph Lauren Corporation,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",2020-10-28
73.98,73.98,67.5,70.58,3772291,0.0,0.0,RL,Ralph Lauren Corporation,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",2020-10-29
70.18,70.34,65.2,66.85,2958399,0.0,0.0,RL,Ralph Lauren Corporation,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",2020-10-30
67.43,69.34,66.7,67.43,1602021,0.0,0.0,RL,Ralph Lauren Corporation,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",2020-11-02
68.25,70.25,67.98,69.12,1281414,0.0,0.0,RL,Ralph Lauren Corporation,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",2020-11-03
70.43,71.43,67.83,68.71,1285866,0.0,0.0,RL,Ralph Lauren Corporation,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",2020-11-04
68.93,70.24,68.35,69.93,908132,0.0,0.0,RL,Ralph Lauren Corporation,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",2020-11-05
69.69,70.9,67.41,68.23,1316061,0.0,0.0,RL,Ralph Lauren Corporation,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",2020-11-06
77.05,83.39,75.5,81.74,3847723,0.0,0.0,RL,Ralph Lauren Corporation,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",2020-11-09
81.01,83.46,80.62,81.35,1956312,0.0,0.0,RL,Ralph Lauren Corporation,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",2020-11-10
80.96,81.26,75.54,76.21,1599491,0.0,0.0,RL,Ralph Lauren Corporation,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",2020-11-11
75.23,76.2,73.13,74.27,1365446,0.0,0.0,RL,Ralph Lauren Corporation,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",2020-11-12
74.86,77.81,74.65,77.61,1786666,0.0,0.0,RL,Ralph Lauren Corporation,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",2020-11-13
81.0,81.0,77.48,79.34,1967617,0.0,0.0,RL,Ralph Lauren Corporation,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",2020-11-16
