Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
181.16,182.16,179.25,180.53,370420,0.0,0.0,RMD,ResMed,Health Care,Health Care Equipment,2020-10-26
181.99,187.59,181.01,184.85,665494,0.0,0.0,RMD,ResMed,Health Care,Health Care Equipment,2020-10-27
181.81,182.97,180.32,180.66,618646,0.0,0.0,RMD,ResMed,Health Care,Health Care Equipment,2020-10-28
180.0,181.74,177.7,179.51,587726,0.0,0.0,RMD,ResMed,Health Care,Health Care Equipment,2020-10-29
195.8,198.0,189.13,191.94,912361,0.0,0.0,RMD,ResMed,Health Care,Health Care Equipment,2020-10-30
195.16,197.4,193.19,196.8,882582,0.0,0.0,RMD,ResMed,Health Care,Health Care Equipment,2020-11-02
197.2,203.55,196.67,202.46,714294,0.0,0.0,RMD,ResMed,Health Care,Health Care Equipment,2020-11-03
203.59,212.28,203.25,209.42,682991,0.0,0.0,RMD,ResMed,Health Care,Health Care Equipment,2020-11-04
212.0,215.64,210.45,212.81,573116,0.0,0.0,RMD,ResMed,Health Care,Health Care Equipment,2020-11-05
212.03,216.06,211.08,214.19,557400,0.0,0.0,RMD,ResMed,Health Care,Health Care Equipment,2020-11-06
219.54,224.24,218.0,220.59,1161771,0.0,0.0,RMD,ResMed,Health Care,Health Care Equipment,2020-11-09
219.15,219.15,210.95,212.11,795148,0.0,0.0,RMD,ResMed,Health Care,Health Care Equipment,2020-11-10
214.56,218.25,214.14,215.83,572033,0.0,0.0,RMD,ResMed,Health Care,Health Care Equipment,2020-11-11
215.02,215.79,210.57,212.79,406582,0.0,0.0,RMD,ResMed,Health Care,Health Care Equipment,2020-11-12
213.43,214.94,212.08,214.74,268033,0.0,0.0,RMD,ResMed,Health Care,Health Care Equipment,2020-11-13
215.59,216.62,213.59,215.54,314486,0.0,0.0,RMD,ResMed,Health Care,Health Care Equipment,2020-11-16
213.51,215.17,211.51,214.15,336849,0.0,0.0,RMD,ResMed,Health Care,Health Care Equipment,2020-11-17
214.7,214.85,210.94,211.07,393066,0.0,0.0,RMD,ResMed,Health Care,Health Care Equipment,2020-11-18
211.76,213.17,210.32,211.76,324047,0.0,0.0,RMD,ResMed,Health Care,Health Care Equipment,2020-11-19
211.63,212.1,210.25,211.02,401845,0.0,0.0,RMD,ResMed,Health Care,Health Care Equipment,2020-11-20
211.52,213.6,207.9,209.57,398904,0.0,0.0,RMD,ResMed,Health Care,Health Care Equipment,2020-11-23
210.6,211.0,204.79,206.53,593835,0.0,0.0,RMD,ResMed,Health Care,Health Care Equipment,2020-11-24
206.21,206.95,204.58,206.03,312923,0.0,0.0,RMD,ResMed,Health Care,Health Care Equipment,2020-11-25
207.24,210.25,205.68,209.64,260973,0.0,0.0,RMD,ResMed,Health Care,Health Care Equipment,2020-11-27
208.94,211.02,207.87,209.6,836897,0.0,0.0,RMD,ResMed,Health Care,Health Care Equipment,2020-11-30
210.46,212.36,209.74,211.61,566720,0.0,0.0,RMD,ResMed,Health Care,Health Care Equipment,2020-12-01
209.57,210.58,208.3,209.26,386854,0.0,0.0,RMD,ResMed,Health Care,Health Care Equipment,2020-12-02
208.36,209.25,206.75,207.4,385149,0.0,0.0,RMD,ResMed,Health Care,Health Care Equipment,2020-12-03
207.42,209.92,206.88,209.69,309899,0.0,0.0,RMD,ResMed,Health Care,Health Care Equipment,2020-12-04
209.52,211.47,208.58,209.21,294852,0.0,0.0,RMD,ResMed,Health Care,Health Care Equipment,2020-12-07
208.26,212.39,207.48,212.11,433143,0.0,0.0,RMD,ResMed,Health Care,Health Care Equipment,2020-12-08
212.53,213.26,210.44,211.77,372151,0.0,0.0,RMD,ResMed,Health Care,Health Care Equipment,2020-12-09
211.06,213.02,208.04,208.73,407591,0.0,0.0,RMD,ResMed,Health Care,Health Care Equipment,2020-12-10
207.32,207.87,203.61,204.53,591083,0.0,0.0,RMD,ResMed,Health Care,Health Care Equipment,2020-12-11
206.17,210.18,205.73,206.38,488983,0.0,0.0,RMD,ResMed,Health Care,Health Care Equipment,2020-12-14
207.8,209.2,206.37,208.65,556941,0.0,0.0,RMD,ResMed,Health Care,Health Care Equipment,2020-12-15
209.52,211.77,207.73,210.51,504048,0.0,0.0,RMD,ResMed,Health Care,Health Care Equipment,2020-12-16
211.0,213.88,210.52,213.73,408112,0.0,0.0,RMD,ResMed,Health Care,Health Care Equipment,2020-12-17
214.15,219.28,212.42,218.45,1160385,0.0,0.0,RMD,ResMed,Health Care,Health Care Equipment,2020-12-18
214.0,215.26,207.88,213.47,444245,0.0,0.0,RMD,ResMed,Health Care,Health Care Equipment,2020-12-21
213.15,214.12,210.85,211.67,325979,0.0,0.0,RMD,ResMed,Health Care,Health Care Equipment,2020-12-22
212.95,213.1,209.92,209.98,301913,0.0,0.0,RMD,ResMed,Health Care,Health Care Equipment,2020-12-23
210.23,212.93,209.71,212.42,99574,0.0,0.0,RMD,ResMed,Health Care,Health Care Equipment,2020-12-24
215.29,216.26,210.85,211.43,241573,0.0,0.0,RMD,ResMed,Health Care,Health Care Equipment,2020-12-28
213.64,213.64,210.18,211.26,331617,0.0,0.0,RMD,ResMed,Health Care,Health Care Equipment,2020-12-29
212.64,212.64,209.37,209.72,251583,0.0,0.0,RMD,ResMed,Health Care,Health Care Equipment,2020-12-30
210.34,213.12,208.54,212.56,324605,0.0,0.0,RMD,ResMed,Health Care,Health Care Equipment,2020-12-31
213.24,214.99,208.17,212.18,475813,0.0,0.0,RMD,ResMed,Health Care,Health Care Equipment,2021-01-04
211.94,215.66,211.7,214.61,523565,0.0,0.0,RMD,ResMed,Health Care,Health Care Equipment,2021-01-05
211.58,215.88,211.27,213.21,644443,0.0,0.0,RMD,ResMed,Health Care,Health Care Equipment,2021-01-06
210.56,216.09,208.94,215.26,595577,0.0,0.0,RMD,ResMed,Health Care,Health Care Equipment,2021-01-07
214.6,219.14,214.09,218.94,513665,0.0,0.0,RMD,ResMed,Health Care,Health Care Equipment,2021-01-08
218.7,221.19,217.49,220.3,326229,0.0,0.0,RMD,ResMed,Health Care,Health Care Equipment,2021-01-11
219.71,220.2,215.57,216.88,343910,0.0,0.0,RMD,ResMed,Health Care,Health Care Equipment,2021-01-12
216.72,217.5,215.14,216.48,441620,0.0,0.0,RMD,ResMed,Health Care,Health Care Equipment,2021-01-13
217.1,217.86,213.03,213.28,425520,0.0,0.0,RMD,ResMed,Health Care,Health Care Equipment,2021-01-14
212.86,213.92,210.24,211.62,441477,0.0,0.0,RMD,ResMed,Health Care,Health Care Equipment,2021-01-15
213.65,216.67,212.57,214.9,404162,0.0,0.0,RMD,ResMed,Health Care,Health Care Equipment,2021-01-19
215.84,218.86,213.76,217.96,449960,0.0,0.0,RMD,ResMed,Health Care,Health Care Equipment,2021-01-20
218.29,218.56,214.07,217.07,414227,0.0,0.0,RMD,ResMed,Health Care,Health Care Equipment,2021-01-21
217.42,217.47,214.61,215.52,302808,0.0,0.0,RMD,ResMed,Health Care,Health Care Equipment,2021-01-22
215.93,224.0,215.74,221.68,498346,0.0,0.0,RMD,ResMed,Health Care,Health Care Equipment,2021-01-25
221.46,224.43,219.25,222.28,460866,0.0,0.0,RMD,ResMed,Health Care,Health Care Equipment,2021-01-26
219.13,220.75,213.02,214.06,533389,0.0,0.0,RMD,ResMed,Health Care,Health Care Equipment,2021-01-27
215.72,219.98,214.28,215.93,507720,0.0,0.0,RMD,ResMed,Health Care,Health Care Equipment,2021-01-28
212.7,212.7,198.9,201.57,1159891,0.0,0.0,RMD,ResMed,Health Care,Health Care Equipment,2021-01-29
203.76,203.93,198.82,202.67,863308,0.0,0.0,RMD,ResMed,Health Care,Health Care Equipment,2021-02-01
204.29,208.88,203.93,206.67,1060300,0.0,0.0,RMD,ResMed,Health Care,Health Care Equipment,2021-02-02
204.42,206.24,203.0,203.21,981692,0.0,0.0,RMD,ResMed,Health Care,Health Care Equipment,2021-02-03
203.15,206.22,201.83,204.06,765639,0.0,0.0,RMD,ResMed,Health Care,Health Care Equipment,2021-02-04
204.89,207.08,200.76,202.17,831527,0.0,0.0,RMD,ResMed,Health Care,Health Care Equipment,2021-02-05
202.61,204.03,200.8,201.55,756214,0.0,0.0,RMD,ResMed,Health Care,Health Care Equipment,2021-02-08
201.61,203.47,199.59,199.86,1232971,0.0,0.0,RMD,ResMed,Health Care,Health Care Equipment,2021-02-09
201.37,201.55,199.11,200.4,951761,0.0,0.0,RMD,ResMed,Health Care,Health Care Equipment,2021-02-10
201.64,202.2,199.52,200.53,844374,0.0,0.0,RMD,ResMed,Health Care,Health Care Equipment,2021-02-11
199.86,200.95,198.74,200.55,1230046,0.0,0.0,RMD,ResMed,Health Care,Health Care Equipment,2021-02-12
200.46,200.46,193.02,194.1,887975,0.0,0.0,RMD,ResMed,Health Care,Health Care Equipment,2021-02-16
193.27,201.59,191.1,199.73,768752,0.0,0.0,RMD,ResMed,Health Care,Health Care Equipment,2021-02-17
197.68,201.45,196.21,199.88,623116,0.0,0.0,RMD,ResMed,Health Care,Health Care Equipment,2021-02-18
200.07,203.22,200.07,201.18,952738,0.0,0.0,RMD,ResMed,Health Care,Health Care Equipment,2021-02-19
200.06,201.12,198.44,200.02,792511,0.0,0.0,RMD,ResMed,Health Care,Health Care Equipment,2021-02-22
200.25,201.7,198.54,200.09,811465,0.0,0.0,RMD,ResMed,Health Care,Health Care Equipment,2021-02-23
199.56,202.97,199.01,200.97,440782,0.0,0.0,RMD,ResMed,Health Care,Health Care Equipment,2021-02-24
199.67,200.82,193.91,194.98,623052,0.0,0.0,RMD,ResMed,Health Care,Health Care Equipment,2021-02-25
195.23,195.47,190.74,192.78,728118,0.0,0.0,RMD,ResMed,Health Care,Health Care Equipment,2021-02-26
194.34,196.9,194.34,195.62,473421,0.0,0.0,RMD,ResMed,Health Care,Health Care Equipment,2021-03-01
195.82,196.38,192.35,193.21,504431,0.0,0.0,RMD,ResMed,Health Care,Health Care Equipment,2021-03-02
191.8,191.8,188.47,190.21,392693,0.0,0.0,RMD,ResMed,Health Care,Health Care Equipment,2021-03-03
189.52,190.16,181.28,183.05,996353,0.0,0.0,RMD,ResMed,Health Care,Health Care Equipment,2021-03-04
185.78,185.78,181.27,185.05,975818,0.0,0.0,RMD,ResMed,Health Care,Health Care Equipment,2021-03-05
185.05,186.1,179.37,179.46,902492,0.0,0.0,RMD,ResMed,Health Care,Health Care Equipment,2021-03-08
181.25,185.24,180.72,182.26,1232047,0.0,0.0,RMD,ResMed,Health Care,Health Care Equipment,2021-03-09
184.85,186.77,183.69,185.39,749590,0.0,0.0,RMD,ResMed,Health Care,Health Care Equipment,2021-03-10
187.53,188.3,186.25,186.71,606240,0.0,0.0,RMD,ResMed,Health Care,Health Care Equipment,2021-03-11
185.74,186.54,184.48,185.12,512251,0.0,0.0,RMD,ResMed,Health Care,Health Care Equipment,2021-03-12
185.48,187.62,185.48,187.09,908728,0.0,0.0,RMD,ResMed,Health Care,Health Care Equipment,2021-03-15
192.04,193.48,190.6,191.99,758719,0.0,0.0,RMD,ResMed,Health Care,Health Care Equipment,2021-03-16
191.26,192.1,189.61,191.47,592571,0.0,0.0,RMD,ResMed,Health Care,Health Care Equipment,2021-03-17
190.01,191.1,184.85,185.09,632273,0.0,0.0,RMD,ResMed,Health Care,Health Care Equipment,2021-03-18
185.62,186.41,184.61,185.6,1117906,0.0,0.0,RMD,ResMed,Health Care,Health Care Equipment,2021-03-19
185.17,189.84,184.73,189.79,463507,0.0,0.0,RMD,ResMed,Health Care,Health Care Equipment,2021-03-22
191.07,192.23,188.93,190.74,582623,0.0,0.0,RMD,ResMed,Health Care,Health Care Equipment,2021-03-23
193.51,195.46,191.39,192.18,875588,0.0,0.0,RMD,ResMed,Health Care,Health Care Equipment,2021-03-24
191.99,191.99,186.09,187.53,667733,0.0,0.0,RMD,ResMed,Health Care,Health Care Equipment,2021-03-25
186.64,191.04,185.61,190.93,422681,0.0,0.0,RMD,ResMed,Health Care,Health Care Equipment,2021-03-26
190.0,192.42,189.59,191.05,601922,0.0,0.0,RMD,ResMed,Health Care,Health Care Equipment,2021-03-29
190.03,191.19,187.19,189.31,499251,0.0,0.0,RMD,ResMed,Health Care,Health Care Equipment,2021-03-30
191.34,195.87,190.4,194.02,839516,0.0,0.0,RMD,ResMed,Health Care,Health Care Equipment,2021-03-31
194.14,194.98,192.47,194.44,496145,0.0,0.0,RMD,ResMed,Health Care,Health Care Equipment,2021-04-01
196.15,196.52,194.09,195.11,475937,0.0,0.0,RMD,ResMed,Health Care,Health Care Equipment,2021-04-05
195.33,197.29,194.89,196.29,684353,0.0,0.0,RMD,ResMed,Health Care,Health Care Equipment,2021-04-06
196.99,198.7,195.79,197.12,645419,0.0,0.0,RMD,ResMed,Health Care,Health Care Equipment,2021-04-07
198.61,198.81,196.57,197.24,585224,0.0,0.0,RMD,ResMed,Health Care,Health Care Equipment,2021-04-08
198.09,199.17,197.44,199.16,398906,0.0,0.0,RMD,ResMed,Health Care,Health Care Equipment,2021-04-09
198.47,201.84,198.47,201.74,462514,0.0,0.0,RMD,ResMed,Health Care,Health Care Equipment,2021-04-12
202.0,206.09,201.17,205.45,663450,0.0,0.0,RMD,ResMed,Health Care,Health Care Equipment,2021-04-13
205.08,208.93,205.08,207.68,941099,0.0,0.0,RMD,ResMed,Health Care,Health Care Equipment,2021-04-14
207.45,208.28,203.75,204.2,701448,0.0,0.0,RMD,ResMed,Health Care,Health Care Equipment,2021-04-15
205.63,207.82,204.48,207.51,513474,0.0,0.0,RMD,ResMed,Health Care,Health Care Equipment,2021-04-16
206.63,207.0,204.6,205.66,405010,0.0,0.0,RMD,ResMed,Health Care,Health Care Equipment,2021-04-19
206.05,207.38,204.89,205.7,358546,0.0,0.0,RMD,ResMed,Health Care,Health Care Equipment,2021-04-20
206.88,208.99,206.38,208.51,273683,0.0,0.0,RMD,ResMed,Health Care,Health Care Equipment,2021-04-21
208.38,209.87,207.32,208.22,334462,0.0,0.0,RMD,ResMed,Health Care,Health Care Equipment,2021-04-22
208.8,209.57,207.23,209.3,284621,0.0,0.0,RMD,ResMed,Health Care,Health Care Equipment,2021-04-23
209.71,212.75,209.02,210.89,523921,0.0,0.0,RMD,ResMed,Health Care,Health Care Equipment,2021-04-26
210.75,212.24,209.76,210.67,534920,0.0,0.0,RMD,ResMed,Health Care,Health Care Equipment,2021-04-27
210.04,211.8,209.45,210.14,316100,0.0,0.0,RMD,ResMed,Health Care,Health Care Equipment,2021-04-28
210.67,211.71,206.74,207.91,429576,0.0,0.0,RMD,ResMed,Health Care,Health Care Equipment,2021-04-29
198.0,198.5,187.09,187.97,1537372,0.0,0.0,RMD,ResMed,Health Care,Health Care Equipment,2021-04-30
190.55,194.9,189.39,194.74,1299130,0.0,0.0,RMD,ResMed,Health Care,Health Care Equipment,2021-05-03
193.41,194.01,187.63,192.17,936557,0.0,0.0,RMD,ResMed,Health Care,Health Care Equipment,2021-05-04
192.08,193.0,190.07,192.6,762351,0.0,0.0,RMD,ResMed,Health Care,Health Care Equipment,2021-05-05
192.13,193.29,189.62,193.1,730411,0.0,0.0,RMD,ResMed,Health Care,Health Care Equipment,2021-05-06
193.85,197.5,193.6,195.16,411113,0.0,0.0,RMD,ResMed,Health Care,Health Care Equipment,2021-05-07
196.0,196.48,193.19,193.21,618880,0.0,0.0,RMD,ResMed,Health Care,Health Care Equipment,2021-05-10
191.8,195.95,191.04,194.75,863714,0.0,0.0,RMD,ResMed,Health Care,Health Care Equipment,2021-05-11
191.9,193.68,189.83,192.32,613830,0.0,0.0,RMD,ResMed,Health Care,Health Care Equipment,2021-05-12
193.5,196.36,193.0,194.86,544808,0.0,0.0,RMD,ResMed,Health Care,Health Care Equipment,2021-05-13
195.38,196.73,194.52,195.42,350296,0.0,0.0,RMD,ResMed,Health Care,Health Care Equipment,2021-05-14
195.0,195.92,194.19,195.0,460987,0.0,0.0,RMD,ResMed,Health Care,Health Care Equipment,2021-05-17
193.93,195.09,192.73,193.54,573487,0.0,0.0,RMD,ResMed,Health Care,Health Care Equipment,2021-05-18
192.26,194.12,189.94,193.86,476229,0.0,0.0,RMD,ResMed,Health Care,Health Care Equipment,2021-05-19
194.99,199.69,194.75,198.75,517819,0.0,0.0,RMD,ResMed,Health Care,Health Care Equipment,2021-05-20
