Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
39.94,39.94,39.35,39.67,1692152,0.0,0.0,ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,2020-10-26
39.77,39.89,39.29,39.53,1476308,0.0,0.0,ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,2020-10-27
38.88,41.62,38.12,40.91,3683154,0.0,0.0,ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,2020-10-28
41.15,41.15,39.47,39.47,3367328,0.0,0.0,ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,2020-10-29
39.26,39.43,38.21,38.57,2431772,0.0,0.0,ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,2020-10-30
38.79,39.29,38.59,38.77,2160705,0.0,0.0,ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,2020-11-02
39.11,39.7,39.01,39.61,1969742,0.0,0.0,ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,2020-11-03
39.79,41.24,39.57,40.89,1602438,0.0,0.0,ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,2020-11-04
41.35,42.56,41.33,42.19,1682205,0.0,0.0,ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,2020-11-05
42.24,42.59,41.93,42.11,953010,0.0,0.0,ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,2020-11-06
42.63,43.0,37.96,37.96,2569880,0.0,0.0,ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,2020-11-09
37.97,38.58,37.46,37.87,1870256,0.0,0.0,ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,2020-11-10
38.07,39.75,37.93,39.59,1546702,0.0,0.0,ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,2020-11-11
39.68,39.96,38.85,39.03,819020,0.0,0.0,ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,2020-11-12
39.19,39.57,38.77,39.22,888992,0.0,0.0,ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,2020-11-13
39.08,39.44,37.91,39.29,1296921,0.0,0.0,ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,2020-11-16
39.17,39.7,38.46,38.67,1169307,0.0,0.0,ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,2020-11-17
38.69,39.11,38.34,38.43,1274883,0.0,0.0,ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,2020-11-18
38.67,39.31,38.22,39.13,1463822,0.0,0.0,ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,2020-11-19
39.27,39.28,38.33,38.41,1388415,0.0,0.0,ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,2020-11-20
38.63,38.77,37.81,38.05,1506194,0.0,0.0,ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,2020-11-23
38.13,38.17,37.59,37.69,2367141,0.0,0.0,ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,2020-11-24
37.69,38.01,37.15,37.29,1706463,0.0,0.0,ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,2020-11-25
37.41,38.03,37.1,38.02,737974,0.0,0.0,ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,2020-11-27
38.11,38.31,37.57,38.12,5483484,0.0,0.0,ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,2020-11-30
37.96,38.78,37.91,38.36,1969416,0.0,0.0,ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,2020-12-01
38.36,38.36,36.76,36.77,1443362,0.0,0.0,ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,2020-12-02
36.66,37.35,36.66,36.77,1452718,0.0,0.0,ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,2020-12-03
36.76,37.42,36.76,37.03,1114724,0.0,0.0,ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,2020-12-04
37.03,37.61,36.87,37.34,1029676,0.0,0.0,ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,2020-12-07
37.21,37.77,36.93,37.67,1850540,0.0,0.0,ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,2020-12-08
37.78,38.01,36.33,36.37,1652541,0.0,0.0,ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,2020-12-09
36.33,36.57,35.88,36.09,1439332,0.0,0.0,ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,2020-12-10
36.26,37.15,35.99,36.67,1732046,0.0,0.0,ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,2020-12-11
36.67,38.61,36.52,38.46,2204955,0.0,0.0,ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,2020-12-14
38.74,39.39,38.2,38.93,1556145,0.0,0.0,ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,2020-12-15
39.11,39.89,39.06,39.2,1507275,0.0,0.0,ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,2020-12-16
39.29,40.26,39.13,40.21,1498586,0.0,0.0,ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,2020-12-17
40.18,40.92,39.98,40.6,4445857,0.0,0.0,ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,2020-12-18
40.01,40.24,38.81,39.77,1675529,0.0,0.0,ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,2020-12-21
39.86,40.94,39.77,40.85,1152534,0.0,0.0,ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,2020-12-22
40.96,41.22,39.81,39.84,946798,0.0,0.0,ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,2020-12-23
40.01,40.41,39.84,40.05,412010,0.0,0.0,ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,2020-12-24
40.24,40.25,38.54,38.81,1322887,0.0,0.0,ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,2020-12-28
39.05,39.14,37.94,38.12,1194205,0.0,0.0,ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,2020-12-29
37.89,38.62,37.87,38.25,1096054,0.0,0.0,ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,2020-12-30
38.27,39.13,37.85,39.07,2943998,0.0,0.0,ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,2020-12-31
39.31,39.98,38.02,38.24,1660731,0.0,0.0,ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,2021-01-04
38.07,38.94,38.02,38.87,1364031,0.0,0.0,ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,2021-01-05
38.58,39.84,38.26,39.51,1386765,0.0,0.0,ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,2021-01-06
39.65,40.26,39.4,40.17,1247250,0.0,0.0,ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,2021-01-07
40.27,40.86,40.15,40.8,1187654,0.0,0.0,ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,2021-01-08
40.5,41.23,40.5,40.91,809784,0.0,0.0,ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,2021-01-11
41.0,41.76,40.9,41.51,992550,0.0,0.0,ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,2021-01-12
41.83,41.83,39.81,39.86,1261622,0.0,0.0,ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,2021-01-13
39.79,39.79,37.38,37.47,1750209,0.0,0.0,ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,2021-01-14
37.47,38.0,37.02,37.24,2245121,0.0,0.0,ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,2021-01-15
37.47,37.65,36.47,36.86,1680696,0.0,0.0,ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,2021-01-19
37.0,37.96,36.62,37.76,1327688,0.0,0.0,ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,2021-01-20
37.61,37.86,37.05,37.2,1176410,0.0,0.0,ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,2021-01-21
37.21,37.28,36.26,37.02,1615726,0.0,0.0,ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,2021-01-22
36.94,37.19,36.38,37.15,1485582,0.0,0.0,ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,2021-01-25
37.24,37.36,35.69,37.04,2137275,0.0,0.0,ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,2021-01-26
36.41,36.69,34.09,34.95,3672210,0.0,0.0,ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,2021-01-27
35.3,36.4,34.65,35.98,1915139,0.0,0.0,ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,2021-01-28
35.88,36.51,35.74,36.02,2719658,0.0,0.0,ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,2021-01-29
36.59,36.75,35.89,36.22,2266260,0.0,0.0,ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,2021-02-01
36.43,37.35,36.32,37.0,1477300,0.0,0.0,ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,2021-02-02
36.99,37.47,36.18,36.61,1506933,0.0,0.0,ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,2021-02-03
36.67,37.29,36.58,37.18,1360391,0.0,0.0,ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,2021-02-04
37.46,37.6,37.18,37.55,1860112,0.0,0.0,ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,2021-02-05
37.78,37.95,36.92,37.23,1321329,0.0,0.0,ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,2021-02-08
37.34,37.98,37.13,37.92,1306483,0.0,0.0,ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,2021-02-09
38.1,38.24,37.58,37.93,1362869,0.0,0.0,ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,2021-02-10
38.06,38.32,37.45,37.65,1291562,0.0,0.0,ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,2021-02-11
37.38,37.66,37.16,37.59,918006,0.0,0.0,ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,2021-02-12
37.58,37.62,36.83,36.84,1392631,0.0,0.0,ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,2021-02-16
36.66,36.76,36.06,36.6,1037948,0.0,0.0,ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,2021-02-17
36.4,36.92,36.32,36.56,1010885,0.0,0.0,ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,2021-02-18
36.68,36.68,35.76,35.81,1834122,0.0,0.0,ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,2021-02-19
35.7,35.76,35.01,35.08,1747072,0.0,0.0,ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,2021-02-22
35.0,35.54,34.6,35.39,1237843,0.0,0.0,ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,2021-02-23
35.34,35.89,34.81,35.46,1371258,0.0,0.0,ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,2021-02-24
35.3,35.75,33.86,34.0,1480818,0.0,0.0,ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,2021-02-25
34.04,34.18,33.13,33.17,2053056,0.0,0.0,ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,2021-02-26
33.26,34.43,33.26,34.07,1392580,0.0,0.0,ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,2021-03-01
34.09,34.16,33.42,33.5,1149561,0.0,0.0,ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,2021-03-02
33.5,33.5,32.45,32.46,1360233,0.0,0.0,ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,2021-03-03
32.45,32.78,31.58,31.9,1186472,0.0,0.0,ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,2021-03-04
32.16,33.04,31.44,32.94,1178044,0.0,0.0,ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,2021-03-05
33.02,33.27,32.47,32.49,1102981,0.0,0.0,ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,2021-03-08
32.96,33.59,32.76,32.92,1411705,0.0,0.0,ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,2021-03-09
33.01,33.57,32.98,33.27,943370,0.0,0.0,ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,2021-03-10
33.6,33.86,33.22,33.25,1014193,0.0,0.0,ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,2021-03-11
33.2,33.43,32.63,33.04,1081652,0.0,0.0,ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,2021-03-12
33.03,33.79,32.57,33.62,1215620,0.0,0.0,ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,2021-03-15
33.41,33.65,32.83,32.98,1191146,0.0,0.0,ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,2021-03-16
32.89,33.08,32.58,32.67,1299363,0.0,0.0,ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,2021-03-17
32.53,33.36,32.2,33.01,1462748,0.0,0.0,ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,2021-03-18
33.04,34.01,32.36,33.78,7580838,0.0,0.0,ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,2021-03-19
33.98,34.48,33.54,34.37,2151527,0.0,0.0,ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,2021-03-22
34.32,34.65,33.9,33.96,1528016,0.0,0.0,ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,2021-03-23
33.74,34.05,33.47,33.81,1249175,0.0,0.0,ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,2021-03-24
33.81,34.06,33.31,33.91,1301113,0.0,0.0,ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,2021-03-25
33.95,34.3,33.64,34.19,1179829,0.0,0.0,ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,2021-03-26
34.12,34.43,33.93,34.18,1369780,0.0,0.0,ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,2021-03-29
34.15,34.2,33.8,33.92,885414,0.0,0.0,ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,2021-03-30
33.96,34.96,33.93,34.42,1898710,0.0,0.0,ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,2021-03-31
34.76,35.17,34.5,34.83,1107303,0.0,0.0,ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,2021-04-01
34.85,35.52,34.85,35.39,1166422,0.0,0.0,ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,2021-04-05
35.36,35.7,35.01,35.29,1051439,0.0,0.0,ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,2021-04-06
35.32,35.32,34.47,34.48,869431,0.0,0.0,ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,2021-04-07
34.74,35.06,34.52,34.96,1583792,0.0,0.0,ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,2021-04-08
34.95,35.5,34.83,35.43,746439,0.0,0.0,ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,2021-04-09
35.4,35.63,35.2,35.62,993428,0.0,0.0,ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,2021-04-12
35.29,35.48,34.81,34.91,2170938,0.0,0.0,ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,2021-04-13
34.96,35.24,34.56,34.7,1376709,0.0,0.0,ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,2021-04-14
34.89,35.26,34.74,35.23,949496,0.0,0.0,ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,2021-04-15
35.4,35.4,35.0,35.27,974455,0.0,0.0,ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,2021-04-16
35.3,35.4,34.65,34.81,1157198,0.0,0.0,ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,2021-04-19
34.75,35.3,34.75,35.18,910137,0.0,0.0,ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,2021-04-20
35.24,35.52,35.1,35.18,884900,0.0,0.0,ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,2021-04-21
35.3,35.69,35.25,35.29,1474562,0.0,0.0,ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,2021-04-22
35.39,35.99,35.3,35.8,1335527,0.0,0.0,ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,2021-04-23
35.87,36.22,35.73,35.91,1753291,0.0,0.0,ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,2021-04-26
36.05,36.28,35.5,35.92,1794437,0.0,0.0,ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,2021-04-27
36.63,37.4,36.14,36.41,1593633,0.0,0.0,ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,2021-04-28
36.65,37.5,36.25,37.36,1691278,0.0,0.0,ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,2021-04-29
37.26,37.34,36.86,37.28,1790668,0.0,0.0,ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,2021-04-30
37.5,38.11,37.45,37.75,1301178,0.0,0.0,ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,2021-05-03
37.65,37.88,37.25,37.61,1223082,0.0,0.0,ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,2021-05-04
37.91,38.08,37.02,37.1,1047954,0.0,0.0,ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,2021-05-05
37.04,37.16,36.52,36.97,883613,0.0,0.0,ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,2021-05-06
36.81,37.24,36.63,37.12,893940,0.0,0.0,ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,2021-05-07
37.16,37.69,36.99,37.22,731531,0.0,0.0,ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,2021-05-10
36.9,37.02,36.57,36.95,956533,0.0,0.0,ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,2021-05-11
36.6,36.68,35.75,35.75,1170436,0.0,0.0,ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,2021-05-12
35.88,36.54,35.73,36.34,889290,0.0,0.0,ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,2021-05-13
36.45,37.1,36.23,36.92,966885,0.0,0.0,ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,2021-05-14
