Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
225.7,226.61,221.41,223.46,1469967,0.0,0.0,SHW,Sherwin-Williams,Materials,Specialty Chemicals,2020-10-26
225.72,227.44,222.59,224.49,1803495,0.0,0.0,SHW,Sherwin-Williams,Materials,Specialty Chemicals,2020-10-27
224.74,228.67,221.98,226.22,2432280,0.0,0.0,SHW,Sherwin-Williams,Materials,Specialty Chemicals,2020-10-28
225.97,231.68,224.86,230.7,1865946,0.0,0.0,SHW,Sherwin-Williams,Materials,Specialty Chemicals,2020-10-29
228.75,231.67,227.1,229.33,2078469,0.0,0.0,SHW,Sherwin-Williams,Materials,Specialty Chemicals,2020-10-30
232.29,238.48,231.67,236.43,1880535,0.0,0.0,SHW,Sherwin-Williams,Materials,Specialty Chemicals,2020-11-02
236.64,239.58,235.09,236.7,1413534,0.0,0.0,SHW,Sherwin-Williams,Materials,Specialty Chemicals,2020-11-03
236.88,243.11,236.88,241.33,1425993,0.0,0.0,SHW,Sherwin-Williams,Materials,Specialty Chemicals,2020-11-04
243.33,246.91,242.83,243.27,1126089,0.0,0.0,SHW,Sherwin-Williams,Materials,Specialty Chemicals,2020-11-05
244.29,245.73,241.89,245.37,1248354,0.0,0.0,SHW,Sherwin-Williams,Materials,Specialty Chemicals,2020-11-06
248.5,252.67,230.22,230.25,3051306,0.0,0.0,SHW,Sherwin-Williams,Materials,Specialty Chemicals,2020-11-09
230.86,241.37,230.86,240.8,2398113,0.0,0.0,SHW,Sherwin-Williams,Materials,Specialty Chemicals,2020-11-10
242.1,243.48,240.18,242.49,1168977,0.0,0.0,SHW,Sherwin-Williams,Materials,Specialty Chemicals,2020-11-11
241.58,242.78,237.48,239.1,1703376,0.0,0.0,SHW,Sherwin-Williams,Materials,Specialty Chemicals,2020-11-12
241.05,242.85,240.07,242.09,988677,0.0,0.0,SHW,Sherwin-Williams,Materials,Specialty Chemicals,2020-11-13
242.71,244.77,240.83,243.9,1544637,0.0,0.0,SHW,Sherwin-Williams,Materials,Specialty Chemicals,2020-11-16
