Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
15.15,15.26,14.86,15.17,17582721,0.0,0.0,SLB,Schlumberger,Energy,Oil & Gas Equipment & Services,2020-10-26
15.11,15.23,14.74,15.09,14873719,0.0,0.0,SLB,Schlumberger,Energy,Oil & Gas Equipment & Services,2020-10-27
14.5,14.75,14.15,14.18,18381638,0.0,0.0,SLB,Schlumberger,Energy,Oil & Gas Equipment & Services,2020-10-28
13.9,14.49,13.7,14.45,16496330,0.0,0.0,SLB,Schlumberger,Energy,Oil & Gas Equipment & Services,2020-10-29
14.41,14.96,14.32,14.94,17611903,0.0,0.0,SLB,Schlumberger,Energy,Oil & Gas Equipment & Services,2020-10-30
15.12,15.8,14.78,15.58,18628709,0.0,0.0,SLB,Schlumberger,Energy,Oil & Gas Equipment & Services,2020-11-02
15.92,16.05,15.56,15.76,13176972,0.0,0.0,SLB,Schlumberger,Energy,Oil & Gas Equipment & Services,2020-11-03
15.7,16.2,15.07,15.97,17834355,0.0,0.0,SLB,Schlumberger,Energy,Oil & Gas Equipment & Services,2020-11-04
15.9,16.13,15.5,15.52,15187032,0.0,0.0,SLB,Schlumberger,Energy,Oil & Gas Equipment & Services,2020-11-05
15.49,15.83,15.14,15.22,10469417,0.0,0.0,SLB,Schlumberger,Energy,Oil & Gas Equipment & Services,2020-11-06
17.02,18.76,16.93,18.25,32806327,0.0,0.0,SLB,Schlumberger,Energy,Oil & Gas Equipment & Services,2020-11-09
18.77,18.91,18.0,18.31,19469125,0.0,0.0,SLB,Schlumberger,Energy,Oil & Gas Equipment & Services,2020-11-10
18.5,18.51,17.4,17.71,16543521,0.0,0.0,SLB,Schlumberger,Energy,Oil & Gas Equipment & Services,2020-11-11
17.35,17.88,17.16,17.3,10972618,0.0,0.0,SLB,Schlumberger,Energy,Oil & Gas Equipment & Services,2020-11-12
17.44,18.11,17.42,18.0,9422900,0.0,0.0,SLB,Schlumberger,Energy,Oil & Gas Equipment & Services,2020-11-13
18.89,20.05,18.56,20.04,23339722,0.0,0.0,SLB,Schlumberger,Energy,Oil & Gas Equipment & Services,2020-11-16
19.44,20.1,19.27,20.09,14257430,0.0,0.0,SLB,Schlumberger,Energy,Oil & Gas Equipment & Services,2020-11-17
20.18,20.56,19.92,19.97,15651045,0.0,0.0,SLB,Schlumberger,Energy,Oil & Gas Equipment & Services,2020-11-18
19.69,20.5,19.55,20.46,12008579,0.0,0.0,SLB,Schlumberger,Energy,Oil & Gas Equipment & Services,2020-11-19
20.36,20.5,19.98,20.21,10542539,0.0,0.0,SLB,Schlumberger,Energy,Oil & Gas Equipment & Services,2020-11-20
20.6,21.65,20.45,21.61,14968568,0.0,0.0,SLB,Schlumberger,Energy,Oil & Gas Equipment & Services,2020-11-23
22.44,22.5,21.92,22.23,21092915,0.0,0.0,SLB,Schlumberger,Energy,Oil & Gas Equipment & Services,2020-11-24
21.73,22.31,21.66,22.1,12429844,0.0,0.0,SLB,Schlumberger,Energy,Oil & Gas Equipment & Services,2020-11-25
21.97,22.11,21.71,21.88,6550850,0.0,0.0,SLB,Schlumberger,Energy,Oil & Gas Equipment & Services,2020-11-27
21.96,21.98,20.78,20.79,21903685,0.0,0.0,SLB,Schlumberger,Energy,Oil & Gas Equipment & Services,2020-11-30
21.37,21.58,20.87,21.07,12893180,0.0,0.0,SLB,Schlumberger,Energy,Oil & Gas Equipment & Services,2020-12-01
20.95,22.07,20.87,21.64,9931709,0.0,0.0,SLB,Schlumberger,Energy,Oil & Gas Equipment & Services,2020-12-02
21.85,22.44,21.74,22.07,12727994,0.0,0.0,SLB,Schlumberger,Energy,Oil & Gas Equipment & Services,2020-12-03
22.56,23.5,22.46,23.45,16359098,0.0,0.0,SLB,Schlumberger,Energy,Oil & Gas Equipment & Services,2020-12-04
