Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
223.9,226.25,217.85,220.63,600281,0.0,0.0,SNPS,Synopsys,Information Technology,Application Software,2020-10-26
222.64,225.0,221.42,222.91,536232,0.0,0.0,SNPS,Synopsys,Information Technology,Application Software,2020-10-27
220.07,224.92,216.1,217.82,671501,0.0,0.0,SNPS,Synopsys,Information Technology,Application Software,2020-10-28
218.06,221.94,217.77,219.46,500364,0.0,0.0,SNPS,Synopsys,Information Technology,Application Software,2020-10-29
217.1,219.41,212.21,213.86,777410,0.0,0.0,SNPS,Synopsys,Information Technology,Application Software,2020-10-30
215.52,218.48,212.33,215.78,765037,0.0,0.0,SNPS,Synopsys,Information Technology,Application Software,2020-11-02
218.93,223.47,217.38,221.74,502129,0.0,0.0,SNPS,Synopsys,Information Technology,Application Software,2020-11-03
229.72,234.97,227.75,233.31,1006996,0.0,0.0,SNPS,Synopsys,Information Technology,Application Software,2020-11-04
239.53,241.82,237.17,240.56,634357,0.0,0.0,SNPS,Synopsys,Information Technology,Application Software,2020-11-05
240.88,243.66,237.75,241.78,586594,0.0,0.0,SNPS,Synopsys,Information Technology,Application Software,2020-11-06
243.51,246.69,233.79,233.79,983850,0.0,0.0,SNPS,Synopsys,Information Technology,Application Software,2020-11-09
229.67,229.67,218.58,219.33,1315664,0.0,0.0,SNPS,Synopsys,Information Technology,Application Software,2020-11-10
222.44,227.78,222.07,224.9,842841,0.0,0.0,SNPS,Synopsys,Information Technology,Application Software,2020-11-11
227.66,229.01,222.81,223.76,472752,0.0,0.0,SNPS,Synopsys,Information Technology,Application Software,2020-11-12
226.02,227.5,223.88,226.23,430017,0.0,0.0,SNPS,Synopsys,Information Technology,Application Software,2020-11-13
224.58,226.17,220.66,222.34,639387,0.0,0.0,SNPS,Synopsys,Information Technology,Application Software,2020-11-16
221.82,222.96,219.04,221.2,1071497,0.0,0.0,SNPS,Synopsys,Information Technology,Application Software,2020-11-17
220.27,221.0,216.16,218.19,1041888,0.0,0.0,SNPS,Synopsys,Information Technology,Application Software,2020-11-18
218.12,223.16,216.3,221.28,819740,0.0,0.0,SNPS,Synopsys,Information Technology,Application Software,2020-11-19
221.6,224.25,218.07,218.51,723002,0.0,0.0,SNPS,Synopsys,Information Technology,Application Software,2020-11-20
218.88,220.49,213.25,216.0,708397,0.0,0.0,SNPS,Synopsys,Information Technology,Application Software,2020-11-23
215.55,217.16,211.2,215.49,914609,0.0,0.0,SNPS,Synopsys,Information Technology,Application Software,2020-11-24
216.98,220.76,216.4,217.02,701456,0.0,0.0,SNPS,Synopsys,Information Technology,Application Software,2020-11-25
219.83,225.79,219.33,225.42,384800,0.0,0.0,SNPS,Synopsys,Information Technology,Application Software,2020-11-27
225.72,228.2,222.79,227.5,1071221,0.0,0.0,SNPS,Synopsys,Information Technology,Application Software,2020-11-30
226.36,231.12,224.07,230.02,791560,0.0,0.0,SNPS,Synopsys,Information Technology,Application Software,2020-12-01
228.35,228.5,223.92,224.72,818870,0.0,0.0,SNPS,Synopsys,Information Technology,Application Software,2020-12-02
225.34,237.92,222.0,234.47,2008519,0.0,0.0,SNPS,Synopsys,Information Technology,Application Software,2020-12-03
235.28,240.12,234.57,236.88,1057433,0.0,0.0,SNPS,Synopsys,Information Technology,Application Software,2020-12-04
238.38,241.0,236.82,239.17,623006,0.0,0.0,SNPS,Synopsys,Information Technology,Application Software,2020-12-07
241.3,241.3,236.64,238.76,747132,0.0,0.0,SNPS,Synopsys,Information Technology,Application Software,2020-12-08
238.65,238.65,231.26,232.77,801700,0.0,0.0,SNPS,Synopsys,Information Technology,Application Software,2020-12-09
231.62,235.08,229.21,234.17,702808,0.0,0.0,SNPS,Synopsys,Information Technology,Application Software,2020-12-10
234.01,236.58,232.3,236.39,718608,0.0,0.0,SNPS,Synopsys,Information Technology,Application Software,2020-12-11
236.91,242.73,235.88,238.86,715520,0.0,0.0,SNPS,Synopsys,Information Technology,Application Software,2020-12-14
241.11,243.14,239.49,242.74,581605,0.0,0.0,SNPS,Synopsys,Information Technology,Application Software,2020-12-15
244.38,249.1,243.51,248.1,912599,0.0,0.0,SNPS,Synopsys,Information Technology,Application Software,2020-12-16
249.79,253.1,246.38,250.29,847991,0.0,0.0,SNPS,Synopsys,Information Technology,Application Software,2020-12-17
