Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
66.42,66.42,65.14,65.66,2436930,0.0,0.0,SRE,Sempra,Utilities,Multi-Utilities,2020-10-26
65.55,66.23,65.12,65.14,2724590,0.0,0.0,SRE,Sempra,Utilities,Multi-Utilities,2020-10-27
64.15,65.08,62.86,63.05,3369278,0.0,0.0,SRE,Sempra,Utilities,Multi-Utilities,2020-10-28
62.78,64.61,62.34,63.61,2518254,0.0,0.0,SRE,Sempra,Utilities,Multi-Utilities,2020-10-29
63.18,63.78,61.99,62.68,3083044,0.0,0.0,SRE,Sempra,Utilities,Multi-Utilities,2020-10-30
63.5,64.02,62.92,63.81,2716750,0.0,0.0,SRE,Sempra,Utilities,Multi-Utilities,2020-11-02
64.62,65.2,64.3,64.55,1889628,0.0,0.0,SRE,Sempra,Utilities,Multi-Utilities,2020-11-03
64.4,65.95,64.03,64.22,1880650,0.0,0.0,SRE,Sempra,Utilities,Multi-Utilities,2020-11-04
63.38,65.46,63.38,63.5,3164506,0.0,0.0,SRE,Sempra,Utilities,Multi-Utilities,2020-11-05
63.68,64.14,62.32,62.42,3317444,0.0,0.0,SRE,Sempra,Utilities,Multi-Utilities,2020-11-06
65.62,66.79,64.99,65.19,4363252,0.0,0.0,SRE,Sempra,Utilities,Multi-Utilities,2020-11-09
65.26,68.4,65.22,67.98,5562856,0.0,0.0,SRE,Sempra,Utilities,Multi-Utilities,2020-11-10
68.18,68.31,66.4,66.82,4016464,0.0,0.0,SRE,Sempra,Utilities,Multi-Utilities,2020-11-11
66.42,66.68,65.16,66.15,3346662,0.0,0.0,SRE,Sempra,Utilities,Multi-Utilities,2020-11-12
66.68,67.64,66.07,67.28,3088540,0.0,0.0,SRE,Sempra,Utilities,Multi-Utilities,2020-11-13
68.47,68.74,67.17,67.72,2833288,0.0,0.0,SRE,Sempra,Utilities,Multi-Utilities,2020-11-16
67.39,67.72,66.87,67.03,3288704,0.0,0.0,SRE,Sempra,Utilities,Multi-Utilities,2020-11-17
67.6,68.18,66.51,66.52,3413330,0.0,0.0,SRE,Sempra,Utilities,Multi-Utilities,2020-11-18
66.14,66.52,64.73,65.12,3460144,0.0,0.0,SRE,Sempra,Utilities,Multi-Utilities,2020-11-19
65.18,65.96,65.05,65.21,2790782,0.0,0.0,SRE,Sempra,Utilities,Multi-Utilities,2020-11-20
65.42,65.97,64.9,65.52,2746796,0.0,0.0,SRE,Sempra,Utilities,Multi-Utilities,2020-11-23
