Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
32.21,32.21,31.17,31.35,1259749,0.0,0.0,STLD,Steel Dynamics,Materials,Steel,2020-10-26
31.42,31.68,31.16,31.4,1294883,0.0,0.0,STLD,Steel Dynamics,Materials,Steel,2020-10-27
30.72,30.92,30.26,30.57,1747636,0.0,0.0,STLD,Steel Dynamics,Materials,Steel,2020-10-28
30.44,31.99,30.28,31.62,2305886,0.0,0.0,STLD,Steel Dynamics,Materials,Steel,2020-10-29
31.4,31.8,31.01,31.48,2052499,0.0,0.0,STLD,Steel Dynamics,Materials,Steel,2020-10-30
32.15,32.15,31.49,31.89,1498015,0.0,0.0,STLD,Steel Dynamics,Materials,Steel,2020-11-02
32.46,32.57,31.91,32.32,1720469,0.0,0.0,STLD,Steel Dynamics,Materials,Steel,2020-11-03
32.18,32.18,30.6,30.76,2483033,0.0,0.0,STLD,Steel Dynamics,Materials,Steel,2020-11-04
31.16,32.81,31.1,32.25,1527800,0.0,0.0,STLD,Steel Dynamics,Materials,Steel,2020-11-05
32.83,32.92,31.99,32.04,1794792,0.0,0.0,STLD,Steel Dynamics,Materials,Steel,2020-11-06
33.9,34.94,33.15,33.35,1956826,0.0,0.0,STLD,Steel Dynamics,Materials,Steel,2020-11-09
33.76,34.61,33.36,33.91,2233378,0.0,0.0,STLD,Steel Dynamics,Materials,Steel,2020-11-10
33.98,34.04,33.42,33.84,1429283,0.0,0.0,STLD,Steel Dynamics,Materials,Steel,2020-11-11
33.42,33.7,32.63,33.11,1169019,0.0,0.0,STLD,Steel Dynamics,Materials,Steel,2020-11-12
33.49,34.8,33.49,34.62,1934871,0.0,0.0,STLD,Steel Dynamics,Materials,Steel,2020-11-13
35.26,37.34,35.26,36.91,3321735,0.0,0.0,STLD,Steel Dynamics,Materials,Steel,2020-11-16
36.16,37.06,35.98,36.57,1825296,0.0,0.0,STLD,Steel Dynamics,Materials,Steel,2020-11-17
36.79,37.02,35.62,35.62,1611785,0.0,0.0,STLD,Steel Dynamics,Materials,Steel,2020-11-18
35.56,36.18,35.36,35.82,1186652,0.0,0.0,STLD,Steel Dynamics,Materials,Steel,2020-11-19
35.61,35.99,35.18,35.25,1947959,0.0,0.0,STLD,Steel Dynamics,Materials,Steel,2020-11-20
35.87,36.47,35.52,36.26,1545466,0.0,0.0,STLD,Steel Dynamics,Materials,Steel,2020-11-23
36.73,38.64,36.61,38.63,2376873,0.0,0.0,STLD,Steel Dynamics,Materials,Steel,2020-11-24
38.38,38.4,37.24,37.88,1654369,0.0,0.0,STLD,Steel Dynamics,Materials,Steel,2020-11-25
37.81,38.04,37.26,37.65,579749,0.0,0.0,STLD,Steel Dynamics,Materials,Steel,2020-11-27
37.58,37.58,36.15,36.21,3730093,0.0,0.0,STLD,Steel Dynamics,Materials,Steel,2020-11-30
37.22,37.76,36.93,37.34,1688409,0.0,0.0,STLD,Steel Dynamics,Materials,Steel,2020-12-01
37.27,37.54,36.93,37.16,1348830,0.0,0.0,STLD,Steel Dynamics,Materials,Steel,2020-12-02
37.17,37.74,36.74,37.61,1478904,0.0,0.0,STLD,Steel Dynamics,Materials,Steel,2020-12-03
37.95,39.09,37.6,38.84,1968619,0.0,0.0,STLD,Steel Dynamics,Materials,Steel,2020-12-04
38.45,38.84,38.12,38.42,1318860,0.0,0.0,STLD,Steel Dynamics,Materials,Steel,2020-12-07
38.01,39.09,38.01,38.4,1198991,0.0,0.0,STLD,Steel Dynamics,Materials,Steel,2020-12-08
39.66,39.69,38.39,38.78,1343671,0.0,0.0,STLD,Steel Dynamics,Materials,Steel,2020-12-09
38.45,40.22,38.32,39.61,4076721,0.0,0.0,STLD,Steel Dynamics,Materials,Steel,2020-12-10
40.17,40.17,38.47,39.13,1975910,0.0,0.0,STLD,Steel Dynamics,Materials,Steel,2020-12-11
40.0,40.0,37.91,37.94,1509324,0.0,0.0,STLD,Steel Dynamics,Materials,Steel,2020-12-14
38.35,38.79,37.62,38.62,1324764,0.0,0.0,STLD,Steel Dynamics,Materials,Steel,2020-12-15
38.98,38.99,37.76,38.32,1169891,0.0,0.0,STLD,Steel Dynamics,Materials,Steel,2020-12-16
38.55,38.63,37.22,37.59,2800771,0.0,0.0,STLD,Steel Dynamics,Materials,Steel,2020-12-17
37.6,37.78,36.01,36.12,4437142,0.0,0.0,STLD,Steel Dynamics,Materials,Steel,2020-12-18
35.54,37.01,35.5,36.95,1613540,0.0,0.0,STLD,Steel Dynamics,Materials,Steel,2020-12-21
37.01,37.17,35.96,36.34,1480937,0.0,0.0,STLD,Steel Dynamics,Materials,Steel,2020-12-22
36.48,36.91,36.2,36.37,1218224,0.0,0.0,STLD,Steel Dynamics,Materials,Steel,2020-12-23
36.64,36.8,35.9,36.38,534414,0.0,0.0,STLD,Steel Dynamics,Materials,Steel,2020-12-24
36.57,36.83,35.93,35.98,972004,0.0,0.0,STLD,Steel Dynamics,Materials,Steel,2020-12-28
36.12,36.95,36.01,36.37,1524504,0.0,0.0,STLD,Steel Dynamics,Materials,Steel,2020-12-29
36.22,36.96,36.22,36.59,914218,0.0,0.0,STLD,Steel Dynamics,Materials,Steel,2020-12-30
36.58,37.15,36.15,36.87,1002294,0.0,0.0,STLD,Steel Dynamics,Materials,Steel,2020-12-31
37.66,38.11,36.49,36.62,1372543,0.0,0.0,STLD,Steel Dynamics,Materials,Steel,2021-01-04
36.72,38.45,36.67,37.95,1202016,0.0,0.0,STLD,Steel Dynamics,Materials,Steel,2021-01-05
