Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
27.27,27.29,26.37,26.89,5316770,0.0,0.0,SYF,Synchrony Financial,Financials,Consumer Finance,2020-10-26
26.89,27.0,26.22,26.23,3711632,0.0,0.0,SYF,Synchrony Financial,Financials,Consumer Finance,2020-10-27
25.39,25.82,24.88,25.17,6144311,0.0,0.0,SYF,Synchrony Financial,Financials,Consumer Finance,2020-10-28
25.08,25.6,24.76,25.46,4357733,0.0,0.0,SYF,Synchrony Financial,Financials,Consumer Finance,2020-10-29
25.01,25.35,24.47,25.02,4713122,0.0,0.0,SYF,Synchrony Financial,Financials,Consumer Finance,2020-10-30
25.51,26.18,25.35,25.96,3608583,0.0,0.0,SYF,Synchrony Financial,Financials,Consumer Finance,2020-11-02
26.74,26.95,26.42,26.66,4072153,0.0,0.0,SYF,Synchrony Financial,Financials,Consumer Finance,2020-11-03
25.94,27.31,25.18,26.52,6760437,0.0,0.0,SYF,Synchrony Financial,Financials,Consumer Finance,2020-11-04
26.86,27.66,26.83,27.48,4276875,0.0,0.0,SYF,Synchrony Financial,Financials,Consumer Finance,2020-11-05
27.53,27.76,26.65,26.8,3134152,0.0,0.0,SYF,Synchrony Financial,Financials,Consumer Finance,2020-11-06
29.99,31.0,29.75,29.85,11446502,0.0,0.0,SYF,Synchrony Financial,Financials,Consumer Finance,2020-11-09
29.87,30.36,29.57,29.61,5743884,0.0,0.0,SYF,Synchrony Financial,Financials,Consumer Finance,2020-11-10
29.74,29.8,28.55,29.4,5672304,0.0,0.0,SYF,Synchrony Financial,Financials,Consumer Finance,2020-11-11
28.92,29.82,28.7,29.11,4290298,0.0,0.0,SYF,Synchrony Financial,Financials,Consumer Finance,2020-11-12
29.51,30.24,29.34,30.02,4055207,0.0,0.0,SYF,Synchrony Financial,Financials,Consumer Finance,2020-11-13
31.0,31.52,30.58,31.11,6089697,0.0,0.0,SYF,Synchrony Financial,Financials,Consumer Finance,2020-11-16
30.55,30.76,29.56,30.57,3959529,0.0,0.0,SYF,Synchrony Financial,Financials,Consumer Finance,2020-11-17
30.62,31.36,30.08,30.08,4557810,0.0,0.0,SYF,Synchrony Financial,Financials,Consumer Finance,2020-11-18
29.8,30.17,29.48,30.05,3163538,0.0,0.0,SYF,Synchrony Financial,Financials,Consumer Finance,2020-11-19
29.78,29.87,29.32,29.45,4158414,0.0,0.0,SYF,Synchrony Financial,Financials,Consumer Finance,2020-11-20
30.08,30.9,29.84,30.63,3453069,0.0,0.0,SYF,Synchrony Financial,Financials,Consumer Finance,2020-11-23
31.5,31.99,31.16,31.97,5563283,0.0,0.0,SYF,Synchrony Financial,Financials,Consumer Finance,2020-11-24
31.6,31.6,31.0,31.38,3203400,0.0,0.0,SYF,Synchrony Financial,Financials,Consumer Finance,2020-11-25
31.2,31.32,30.86,31.09,1351073,0.0,0.0,SYF,Synchrony Financial,Financials,Consumer Finance,2020-11-27
31.6,31.91,30.44,30.47,6805720,0.0,0.0,SYF,Synchrony Financial,Financials,Consumer Finance,2020-11-30
31.25,32.04,31.09,31.47,4808588,0.0,0.0,SYF,Synchrony Financial,Financials,Consumer Finance,2020-12-01
31.4,32.47,31.03,32.33,4489648,0.0,0.0,SYF,Synchrony Financial,Financials,Consumer Finance,2020-12-02
32.19,32.73,32.05,32.35,3203008,0.0,0.0,SYF,Synchrony Financial,Financials,Consumer Finance,2020-12-03
32.76,33.04,32.18,32.97,4183212,0.0,0.0,SYF,Synchrony Financial,Financials,Consumer Finance,2020-12-04
32.83,32.95,32.33,32.57,4627962,0.0,0.0,SYF,Synchrony Financial,Financials,Consumer Finance,2020-12-07
32.07,32.52,31.87,32.39,3878082,0.0,0.0,SYF,Synchrony Financial,Financials,Consumer Finance,2020-12-08
32.55,32.85,32.05,32.35,5000436,0.0,0.0,SYF,Synchrony Financial,Financials,Consumer Finance,2020-12-09
32.3,33.1,31.89,32.98,4816104,0.0,0.0,SYF,Synchrony Financial,Financials,Consumer Finance,2020-12-10
32.61,32.7,32.01,32.27,4859524,0.0,0.0,SYF,Synchrony Financial,Financials,Consumer Finance,2020-12-11
32.75,32.78,31.64,31.91,3072545,0.0,0.0,SYF,Synchrony Financial,Financials,Consumer Finance,2020-12-14
32.35,32.76,31.7,32.73,4414059,0.0,0.0,SYF,Synchrony Financial,Financials,Consumer Finance,2020-12-15
32.92,33.1,32.28,32.96,3116883,0.0,0.0,SYF,Synchrony Financial,Financials,Consumer Finance,2020-12-16
33.09,33.33,32.81,33.3,3069847,0.0,0.0,SYF,Synchrony Financial,Financials,Consumer Finance,2020-12-17
33.21,33.25,32.17,32.35,9369714,0.0,0.0,SYF,Synchrony Financial,Financials,Consumer Finance,2020-12-18
32.7,33.88,32.31,33.38,6694688,0.0,0.0,SYF,Synchrony Financial,Financials,Consumer Finance,2020-12-21
33.51,33.94,33.24,33.26,3699787,0.0,0.0,SYF,Synchrony Financial,Financials,Consumer Finance,2020-12-22
33.6,34.4,33.53,34.13,3008268,0.0,0.0,SYF,Synchrony Financial,Financials,Consumer Finance,2020-12-23
34.2,34.2,33.61,33.96,844443,0.0,0.0,SYF,Synchrony Financial,Financials,Consumer Finance,2020-12-24
34.17,34.52,33.95,33.95,1928126,0.0,0.0,SYF,Synchrony Financial,Financials,Consumer Finance,2020-12-28
34.07,34.21,33.45,33.93,2242019,0.0,0.0,SYF,Synchrony Financial,Financials,Consumer Finance,2020-12-29
