Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
218.79,218.92,212.69,214.74,1335671,0.0,0.0,SYK,Stryker Corporation,Health Care,Health Care Equipment,2020-10-26
214.69,216.77,213.02,213.46,876334,0.0,0.0,SYK,Stryker Corporation,Health Care,Health Care Equipment,2020-10-27
208.83,209.1,203.66,204.95,1200415,0.0,0.0,SYK,Stryker Corporation,Health Care,Health Care Equipment,2020-10-28
204.96,208.52,202.27,205.39,1077021,0.0,0.0,SYK,Stryker Corporation,Health Care,Health Care Equipment,2020-10-29
209.28,212.48,196.09,202.01,2406143,0.0,0.0,SYK,Stryker Corporation,Health Care,Health Care Equipment,2020-10-30
204.0,206.08,200.25,202.78,1299888,0.0,0.0,SYK,Stryker Corporation,Health Care,Health Care Equipment,2020-11-02
206.0,209.66,205.11,208.26,1057481,0.0,0.0,SYK,Stryker Corporation,Health Care,Health Care Equipment,2020-11-03
209.82,215.0,207.05,207.73,1151701,0.0,0.0,SYK,Stryker Corporation,Health Care,Health Care Equipment,2020-11-04
211.12,212.28,208.85,210.6,1127006,0.0,0.0,SYK,Stryker Corporation,Health Care,Health Care Equipment,2020-11-05
210.88,215.0,208.92,213.44,1136931,0.0,0.0,SYK,Stryker Corporation,Health Care,Health Care Equipment,2020-11-06
231.35,241.53,230.64,234.35,3190645,0.0,0.0,SYK,Stryker Corporation,Health Care,Health Care Equipment,2020-11-09
232.66,233.0,227.25,230.57,1413695,0.0,0.0,SYK,Stryker Corporation,Health Care,Health Care Equipment,2020-11-10
232.46,232.46,223.83,225.24,1177827,0.0,0.0,SYK,Stryker Corporation,Health Care,Health Care Equipment,2020-11-11
224.28,227.44,222.6,225.22,838248,0.0,0.0,SYK,Stryker Corporation,Health Care,Health Care Equipment,2020-11-12
226.33,232.39,226.0,231.94,949862,0.0,0.0,SYK,Stryker Corporation,Health Care,Health Care Equipment,2020-11-13
235.15,236.03,231.76,235.78,1671733,0.0,0.0,SYK,Stryker Corporation,Health Care,Health Care Equipment,2020-11-16
232.35,233.58,227.5,231.44,1016294,0.0,0.0,SYK,Stryker Corporation,Health Care,Health Care Equipment,2020-11-17
231.37,234.95,231.0,231.76,865041,0.0,0.0,SYK,Stryker Corporation,Health Care,Health Care Equipment,2020-11-18
231.0,234.01,229.44,233.57,1117309,0.0,0.0,SYK,Stryker Corporation,Health Care,Health Care Equipment,2020-11-19
232.74,234.27,231.02,232.86,1163755,0.0,0.0,SYK,Stryker Corporation,Health Care,Health Care Equipment,2020-11-20
233.45,235.41,232.19,233.01,712691,0.0,0.0,SYK,Stryker Corporation,Health Care,Health Care Equipment,2020-11-23
235.39,242.51,235.08,240.31,1534368,0.0,0.0,SYK,Stryker Corporation,Health Care,Health Care Equipment,2020-11-24
240.29,240.51,233.06,233.72,1924958,0.0,0.0,SYK,Stryker Corporation,Health Care,Health Care Equipment,2020-11-25
235.68,236.6,231.81,232.81,787609,0.0,0.0,SYK,Stryker Corporation,Health Care,Health Care Equipment,2020-11-27
233.57,234.74,230.76,233.4,1689514,0.0,0.0,SYK,Stryker Corporation,Health Care,Health Care Equipment,2020-11-30
235.63,236.11,230.19,231.0,1478100,0.0,0.0,SYK,Stryker Corporation,Health Care,Health Care Equipment,2020-12-01
230.93,234.31,229.55,234.26,799912,0.0,0.0,SYK,Stryker Corporation,Health Care,Health Care Equipment,2020-12-02
234.27,236.37,232.9,234.78,1083729,0.0,0.0,SYK,Stryker Corporation,Health Care,Health Care Equipment,2020-12-03
234.71,239.59,234.19,239.59,853511,0.0,0.0,SYK,Stryker Corporation,Health Care,Health Care Equipment,2020-12-04
237.5,239.33,235.62,236.8,720213,0.0,0.0,SYK,Stryker Corporation,Health Care,Health Care Equipment,2020-12-07
234.76,236.68,234.1,235.45,940189,0.0,0.0,SYK,Stryker Corporation,Health Care,Health Care Equipment,2020-12-08
236.22,237.8,235.05,235.93,1016293,0.0,0.0,SYK,Stryker Corporation,Health Care,Health Care Equipment,2020-12-09
235.0,237.26,233.44,235.13,891232,0.0,0.0,SYK,Stryker Corporation,Health Care,Health Care Equipment,2020-12-10
234.0,234.77,230.26,232.2,1078619,0.0,0.0,SYK,Stryker Corporation,Health Care,Health Care Equipment,2020-12-11
233.86,236.45,230.8,230.95,1084829,0.0,0.0,SYK,Stryker Corporation,Health Care,Health Care Equipment,2020-12-14
233.82,235.8,230.56,234.06,1028305,0.0,0.0,SYK,Stryker Corporation,Health Care,Health Care Equipment,2020-12-15
233.51,236.12,231.79,235.13,806029,0.0,0.0,SYK,Stryker Corporation,Health Care,Health Care Equipment,2020-12-16
236.0,238.23,235.18,238.1,792904,0.0,0.0,SYK,Stryker Corporation,Health Care,Health Care Equipment,2020-12-17
238.15,240.49,236.14,240.0,2709515,0.0,0.0,SYK,Stryker Corporation,Health Care,Health Care Equipment,2020-12-18
235.43,236.57,230.6,234.86,956932,0.0,0.0,SYK,Stryker Corporation,Health Care,Health Care Equipment,2020-12-21
234.79,236.58,231.43,235.29,827181,0.0,0.0,SYK,Stryker Corporation,Health Care,Health Care Equipment,2020-12-22
236.78,239.0,236.31,236.33,629442,0.0,0.0,SYK,Stryker Corporation,Health Care,Health Care Equipment,2020-12-23
237.18,238.25,236.33,237.06,256448,0.0,0.0,SYK,Stryker Corporation,Health Care,Health Care Equipment,2020-12-24
239.0,240.45,237.92,238.54,639068,0.0,0.0,SYK,Stryker Corporation,Health Care,Health Care Equipment,2020-12-28
240.89,242.45,239.86,240.85,838824,0.0,0.0,SYK,Stryker Corporation,Health Care,Health Care Equipment,2020-12-29
240.32,242.82,240.32,242.06,866450,0.0,0.0,SYK,Stryker Corporation,Health Care,Health Care Equipment,2020-12-30
242.1,245.34,240.53,245.04,648484,0.0,0.0,SYK,Stryker Corporation,Health Care,Health Care Equipment,2020-12-31
245.34,245.53,236.23,239.02,1135738,0.0,0.0,SYK,Stryker Corporation,Health Care,Health Care Equipment,2021-01-04
239.36,241.54,238.25,239.66,1379716,0.0,0.0,SYK,Stryker Corporation,Health Care,Health Care Equipment,2021-01-05
238.88,242.72,236.77,242.45,1996953,0.0,0.0,SYK,Stryker Corporation,Health Care,Health Care Equipment,2021-01-06
242.79,244.23,239.65,243.72,938686,0.0,0.0,SYK,Stryker Corporation,Health Care,Health Care Equipment,2021-01-07
244.59,247.44,241.64,243.66,1391579,0.0,0.0,SYK,Stryker Corporation,Health Care,Health Care Equipment,2021-01-08
242.62,243.33,240.79,241.85,559320,0.0,0.0,SYK,Stryker Corporation,Health Care,Health Care Equipment,2021-01-11
240.35,241.82,237.29,239.21,839887,0.0,0.0,SYK,Stryker Corporation,Health Care,Health Care Equipment,2021-01-12
239.2,244.25,238.59,243.2,704687,0.0,0.0,SYK,Stryker Corporation,Health Care,Health Care Equipment,2021-01-13
242.9,244.11,240.81,242.13,1082894,0.0,0.0,SYK,Stryker Corporation,Health Care,Health Care Equipment,2021-01-14
241.84,243.66,238.75,241.99,1396959,0.0,0.0,SYK,Stryker Corporation,Health Care,Health Care Equipment,2021-01-15
243.0,244.25,240.56,242.07,855513,0.0,0.0,SYK,Stryker Corporation,Health Care,Health Care Equipment,2021-01-19
242.4,246.69,240.68,245.21,970680,0.0,0.0,SYK,Stryker Corporation,Health Care,Health Care Equipment,2021-01-20
244.38,245.34,240.48,243.6,1004530,0.0,0.0,SYK,Stryker Corporation,Health Care,Health Care Equipment,2021-01-21
242.6,243.01,239.92,239.93,920305,0.0,0.0,SYK,Stryker Corporation,Health Care,Health Care Equipment,2021-01-22
239.21,239.97,236.87,239.55,1390673,0.0,0.0,SYK,Stryker Corporation,Health Care,Health Care Equipment,2021-01-25
240.03,242.15,237.73,238.0,1066772,0.0,0.0,SYK,Stryker Corporation,Health Care,Health Care Equipment,2021-01-26
235.0,235.46,229.58,230.75,1513524,0.0,0.0,SYK,Stryker Corporation,Health Care,Health Care Equipment,2021-01-27
232.49,234.59,226.88,230.0,2025390,0.0,0.0,SYK,Stryker Corporation,Health Care,Health Care Equipment,2021-01-28
229.0,229.76,220.9,221.01,2211167,0.0,0.0,SYK,Stryker Corporation,Health Care,Health Care Equipment,2021-01-29
223.52,227.42,222.69,226.54,2119456,0.0,0.0,SYK,Stryker Corporation,Health Care,Health Care Equipment,2021-02-01
