Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
63.83,63.9,60.33,60.8,3189624,0.0,0.0,SYY,Sysco,Consumer Staples,Food Distributors,2020-10-26
60.59,61.15,58.33,58.34,3553503,0.0,0.0,SYY,Sysco,Consumer Staples,Food Distributors,2020-10-27
56.8,57.5,54.73,54.79,4256520,0.0,0.0,SYY,Sysco,Consumer Staples,Food Distributors,2020-10-28
54.62,56.18,53.85,55.29,3909056,0.0,0.0,SYY,Sysco,Consumer Staples,Food Distributors,2020-10-29
54.97,55.42,53.93,55.31,4716141,0.0,0.0,SYY,Sysco,Consumer Staples,Food Distributors,2020-10-30
56.16,57.46,55.28,57.09,3695370,0.0,0.0,SYY,Sysco,Consumer Staples,Food Distributors,2020-11-02
59.67,61.16,58.7,60.25,4204855,0.0,0.0,SYY,Sysco,Consumer Staples,Food Distributors,2020-11-03
60.91,62.41,60.52,60.74,3238562,0.0,0.0,SYY,Sysco,Consumer Staples,Food Distributors,2020-11-04
60.94,61.72,60.05,60.83,3131281,0.0,0.0,SYY,Sysco,Consumer Staples,Food Distributors,2020-11-05
61.19,61.67,60.31,60.86,1652368,0.0,0.0,SYY,Sysco,Consumer Staples,Food Distributors,2020-11-06
67.1,76.73,67.06,71.08,8181494,0.0,0.0,SYY,Sysco,Consumer Staples,Food Distributors,2020-11-09
73.31,73.94,71.02,72.28,4001420,0.0,0.0,SYY,Sysco,Consumer Staples,Food Distributors,2020-11-10
71.84,72.5,67.78,68.49,3600256,0.0,0.0,SYY,Sysco,Consumer Staples,Food Distributors,2020-11-11
67.72,69.15,67.3,68.01,3044614,0.0,0.0,SYY,Sysco,Consumer Staples,Food Distributors,2020-11-12
68.74,71.76,68.74,71.54,3127440,0.0,0.0,SYY,Sysco,Consumer Staples,Food Distributors,2020-11-13
74.77,75.04,72.31,74.97,3948238,0.0,0.0,SYY,Sysco,Consumer Staples,Food Distributors,2020-11-16
73.72,75.11,73.0,74.23,2912803,0.0,0.0,SYY,Sysco,Consumer Staples,Food Distributors,2020-11-17
74.12,74.78,71.65,71.68,3631444,0.0,0.0,SYY,Sysco,Consumer Staples,Food Distributors,2020-11-18
71.34,72.57,70.84,71.99,3289241,0.0,0.0,SYY,Sysco,Consumer Staples,Food Distributors,2020-11-19
71.42,71.45,69.58,70.0,2995399,0.0,0.0,SYY,Sysco,Consumer Staples,Food Distributors,2020-11-20
70.61,71.62,69.88,71.31,2121637,0.0,0.0,SYY,Sysco,Consumer Staples,Food Distributors,2020-11-23
72.64,73.82,72.04,72.45,2349388,0.0,0.0,SYY,Sysco,Consumer Staples,Food Distributors,2020-11-24
72.21,72.56,70.83,71.68,2526939,0.0,0.0,SYY,Sysco,Consumer Staples,Food Distributors,2020-11-25
71.35,72.29,70.85,71.24,865313,0.0,0.0,SYY,Sysco,Consumer Staples,Food Distributors,2020-11-27
70.72,71.32,69.88,71.29,3677849,0.0,0.0,SYY,Sysco,Consumer Staples,Food Distributors,2020-11-30
71.42,74.07,71.42,73.43,3036434,0.0,0.0,SYY,Sysco,Consumer Staples,Food Distributors,2020-12-01
72.81,73.26,72.01,72.75,3142398,0.0,0.0,SYY,Sysco,Consumer Staples,Food Distributors,2020-12-02
72.78,75.75,72.3,74.68,3528547,0.0,0.0,SYY,Sysco,Consumer Staples,Food Distributors,2020-12-03
75.27,78.14,74.89,78.12,4339188,0.0,0.0,SYY,Sysco,Consumer Staples,Food Distributors,2020-12-04
76.91,77.97,75.32,75.87,2793568,0.0,0.0,SYY,Sysco,Consumer Staples,Food Distributors,2020-12-07
75.74,77.05,75.26,76.72,1801260,0.0,0.0,SYY,Sysco,Consumer Staples,Food Distributors,2020-12-08
76.6,77.0,75.63,76.41,2648553,0.0,0.0,SYY,Sysco,Consumer Staples,Food Distributors,2020-12-09
75.73,77.5,75.46,77.24,2768499,0.0,0.0,SYY,Sysco,Consumer Staples,Food Distributors,2020-12-10
76.68,77.5,75.38,75.88,4425082,0.0,0.0,SYY,Sysco,Consumer Staples,Food Distributors,2020-12-11
76.62,76.62,73.31,73.43,3478701,0.0,0.0,SYY,Sysco,Consumer Staples,Food Distributors,2020-12-14
73.88,74.7,72.8,74.31,2742739,0.0,0.0,SYY,Sysco,Consumer Staples,Food Distributors,2020-12-15
74.31,74.35,72.59,73.88,3135200,0.0,0.0,SYY,Sysco,Consumer Staples,Food Distributors,2020-12-16
74.57,75.92,74.22,74.44,2873049,0.0,0.0,SYY,Sysco,Consumer Staples,Food Distributors,2020-12-17
74.33,74.39,71.91,72.28,8060457,0.0,0.0,SYY,Sysco,Consumer Staples,Food Distributors,2020-12-18
70.52,73.0,70.32,72.47,4535640,0.0,0.0,SYY,Sysco,Consumer Staples,Food Distributors,2020-12-21
72.26,72.47,71.06,71.92,2193130,0.0,0.0,SYY,Sysco,Consumer Staples,Food Distributors,2020-12-22
72.66,73.43,72.51,72.87,1772880,0.0,0.0,SYY,Sysco,Consumer Staples,Food Distributors,2020-12-23
72.74,72.8,71.5,72.42,730194,0.0,0.0,SYY,Sysco,Consumer Staples,Food Distributors,2020-12-24
72.85,74.38,72.73,73.83,1994617,0.0,0.0,SYY,Sysco,Consumer Staples,Food Distributors,2020-12-28
74.19,75.24,72.71,72.83,1425566,0.0,0.0,SYY,Sysco,Consumer Staples,Food Distributors,2020-12-29
72.71,73.52,72.69,73.29,1121312,0.0,0.0,SYY,Sysco,Consumer Staples,Food Distributors,2020-12-30
73.43,74.47,72.66,74.26,1174495,0.0,0.0,SYY,Sysco,Consumer Staples,Food Distributors,2020-12-31
74.14,74.38,70.75,72.31,2541782,0.0,0.0,SYY,Sysco,Consumer Staples,Food Distributors,2021-01-04
72.02,73.77,72.02,72.77,1686460,0.0,0.0,SYY,Sysco,Consumer Staples,Food Distributors,2021-01-05
73.24,76.06,73.01,76.0,3671175,0.0,0.0,SYY,Sysco,Consumer Staples,Food Distributors,2021-01-06
75.94,76.39,74.48,75.59,4228058,0.0,0.0,SYY,Sysco,Consumer Staples,Food Distributors,2021-01-07
75.53,77.82,75.21,77.55,3710931,0.0,0.0,SYY,Sysco,Consumer Staples,Food Distributors,2021-01-08
76.46,78.84,75.86,77.55,3059251,0.0,0.0,SYY,Sysco,Consumer Staples,Food Distributors,2021-01-11
77.24,79.96,77.02,78.37,3303521,0.0,0.0,SYY,Sysco,Consumer Staples,Food Distributors,2021-01-12
78.35,78.35,76.13,76.14,2303780,0.0,0.0,SYY,Sysco,Consumer Staples,Food Distributors,2021-01-13
76.6,77.5,74.96,75.51,2689266,0.0,0.0,SYY,Sysco,Consumer Staples,Food Distributors,2021-01-14
75.25,76.04,74.72,75.57,2245801,0.0,0.0,SYY,Sysco,Consumer Staples,Food Distributors,2021-01-15
76.04,76.21,74.82,74.87,1802437,0.0,0.0,SYY,Sysco,Consumer Staples,Food Distributors,2021-01-19
74.55,77.19,74.15,77.02,2304656,0.0,0.0,SYY,Sysco,Consumer Staples,Food Distributors,2021-01-20
76.9,77.24,76.32,76.83,2017397,0.0,0.0,SYY,Sysco,Consumer Staples,Food Distributors,2021-01-21
76.36,76.61,75.14,75.19,1558045,0.0,0.0,SYY,Sysco,Consumer Staples,Food Distributors,2021-01-22
73.0,74.13,71.88,73.0,4160534,0.0,0.0,SYY,Sysco,Consumer Staples,Food Distributors,2021-01-25
