Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
336.64,338.15,324.98,326.69,166335,0.0,0.0,TDY,Teledyne Technologies,Information Technology,Electronic Equipment & Instruments,2020-10-26
324.82,326.5,315.49,315.67,183503,0.0,0.0,TDY,Teledyne Technologies,Information Technology,Electronic Equipment & Instruments,2020-10-27
310.73,314.98,306.4,306.95,200487,0.0,0.0,TDY,Teledyne Technologies,Information Technology,Electronic Equipment & Instruments,2020-10-28
305.24,311.63,304.18,309.36,149694,0.0,0.0,TDY,Teledyne Technologies,Information Technology,Electronic Equipment & Instruments,2020-10-29
307.92,314.0,304.58,309.15,143527,0.0,0.0,TDY,Teledyne Technologies,Information Technology,Electronic Equipment & Instruments,2020-10-30
314.94,317.14,309.3,313.38,234123,0.0,0.0,TDY,Teledyne Technologies,Information Technology,Electronic Equipment & Instruments,2020-11-02
319.05,329.82,316.56,326.98,145397,0.0,0.0,TDY,Teledyne Technologies,Information Technology,Electronic Equipment & Instruments,2020-11-03
329.06,338.36,325.6,331.82,164945,0.0,0.0,TDY,Teledyne Technologies,Information Technology,Electronic Equipment & Instruments,2020-11-04
334.31,342.19,334.31,336.21,104186,0.0,0.0,TDY,Teledyne Technologies,Information Technology,Electronic Equipment & Instruments,2020-11-05
336.0,342.9,333.62,336.83,108849,0.0,0.0,TDY,Teledyne Technologies,Information Technology,Electronic Equipment & Instruments,2020-11-06
354.99,373.43,349.39,364.12,322267,0.0,0.0,TDY,Teledyne Technologies,Information Technology,Electronic Equipment & Instruments,2020-11-09
366.23,374.61,365.37,369.72,175766,0.0,0.0,TDY,Teledyne Technologies,Information Technology,Electronic Equipment & Instruments,2020-11-10
372.71,372.71,360.85,367.25,135310,0.0,0.0,TDY,Teledyne Technologies,Information Technology,Electronic Equipment & Instruments,2020-11-11
363.38,367.14,356.66,366.79,169534,0.0,0.0,TDY,Teledyne Technologies,Information Technology,Electronic Equipment & Instruments,2020-11-12
370.55,380.62,368.0,379.31,204503,0.0,0.0,TDY,Teledyne Technologies,Information Technology,Electronic Equipment & Instruments,2020-11-13
388.66,393.02,381.39,390.88,264104,0.0,0.0,TDY,Teledyne Technologies,Information Technology,Electronic Equipment & Instruments,2020-11-16
385.96,395.86,382.82,394.17,203836,0.0,0.0,TDY,Teledyne Technologies,Information Technology,Electronic Equipment & Instruments,2020-11-17
395.61,398.68,389.54,391.87,142366,0.0,0.0,TDY,Teledyne Technologies,Information Technology,Electronic Equipment & Instruments,2020-11-18
388.76,391.84,384.22,390.82,131786,0.0,0.0,TDY,Teledyne Technologies,Information Technology,Electronic Equipment & Instruments,2020-11-19
390.6,390.6,380.15,382.02,172478,0.0,0.0,TDY,Teledyne Technologies,Information Technology,Electronic Equipment & Instruments,2020-11-20
385.2,385.63,381.05,383.86,148571,0.0,0.0,TDY,Teledyne Technologies,Information Technology,Electronic Equipment & Instruments,2020-11-23
389.38,394.06,384.76,392.33,202437,0.0,0.0,TDY,Teledyne Technologies,Information Technology,Electronic Equipment & Instruments,2020-11-24
