Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
104.76,104.82,103.23,103.97,1492728,0.0,0.0,TEL,TE Connectivity,Information Technology,Electronic Manufacturing Services,2020-10-26
103.61,104.28,101.57,101.67,1659474,0.0,0.0,TEL,TE Connectivity,Information Technology,Electronic Manufacturing Services,2020-10-27
100.29,100.99,96.7,96.87,2068388,0.0,0.0,TEL,TE Connectivity,Information Technology,Electronic Manufacturing Services,2020-10-28
96.28,98.38,95.96,96.05,1907100,0.0,0.0,TEL,TE Connectivity,Information Technology,Electronic Manufacturing Services,2020-10-29
95.58,96.9,94.16,96.88,1314577,0.0,0.0,TEL,TE Connectivity,Information Technology,Electronic Manufacturing Services,2020-10-30
98.3,100.54,98.02,99.5,2240290,0.0,0.0,TEL,TE Connectivity,Information Technology,Electronic Manufacturing Services,2020-11-02
101.14,102.92,100.76,101.78,1231420,0.0,0.0,TEL,TE Connectivity,Information Technology,Electronic Manufacturing Services,2020-11-03
102.06,103.32,100.04,101.35,1868899,0.0,0.0,TEL,TE Connectivity,Information Technology,Electronic Manufacturing Services,2020-11-04
103.06,106.11,101.65,104.78,1884845,0.0,0.0,TEL,TE Connectivity,Information Technology,Electronic Manufacturing Services,2020-11-05
104.77,105.92,104.4,105.3,1141014,0.0,0.0,TEL,TE Connectivity,Information Technology,Electronic Manufacturing Services,2020-11-06
113.34,114.42,105.76,105.86,2653326,0.0,0.0,TEL,TE Connectivity,Information Technology,Electronic Manufacturing Services,2020-11-09
106.31,108.78,106.18,106.88,1607565,0.0,0.0,TEL,TE Connectivity,Information Technology,Electronic Manufacturing Services,2020-11-10
108.01,109.72,106.83,108.62,2147110,0.0,0.0,TEL,TE Connectivity,Information Technology,Electronic Manufacturing Services,2020-11-11
107.47,108.49,105.59,106.33,1600010,0.0,0.0,TEL,TE Connectivity,Information Technology,Electronic Manufacturing Services,2020-11-12
107.09,109.78,107.09,109.54,1509121,0.0,0.0,TEL,TE Connectivity,Information Technology,Electronic Manufacturing Services,2020-11-13
108.27,111.57,108.17,111.05,1752015,0.0,0.0,TEL,TE Connectivity,Information Technology,Electronic Manufacturing Services,2020-11-16
110.13,112.02,109.48,111.18,1409851,0.0,0.0,TEL,TE Connectivity,Information Technology,Electronic Manufacturing Services,2020-11-17
111.33,112.32,110.3,110.31,2053699,0.0,0.0,TEL,TE Connectivity,Information Technology,Electronic Manufacturing Services,2020-11-18
109.48,111.64,108.68,111.34,1397220,0.0,0.0,TEL,TE Connectivity,Information Technology,Electronic Manufacturing Services,2020-11-19
111.35,111.47,110.56,110.68,1234837,0.0,0.0,TEL,TE Connectivity,Information Technology,Electronic Manufacturing Services,2020-11-20
112.0,113.38,111.37,112.97,1208834,0.0,0.0,TEL,TE Connectivity,Information Technology,Electronic Manufacturing Services,2020-11-23
113.78,117.0,113.69,116.93,1859017,0.0,0.0,TEL,TE Connectivity,Information Technology,Electronic Manufacturing Services,2020-11-24
116.08,116.49,114.38,114.93,1018419,0.0,0.0,TEL,TE Connectivity,Information Technology,Electronic Manufacturing Services,2020-11-25
