Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
43.13,43.31,42.53,43.03,4919994,0.0,0.0,TFC,Truist Financial,Financials,Diversified Banks,2020-10-26
42.78,42.92,41.71,41.73,4057684,0.0,0.0,TFC,Truist Financial,Financials,Diversified Banks,2020-10-27
40.56,41.77,40.52,41.12,7216975,0.0,0.0,TFC,Truist Financial,Financials,Diversified Banks,2020-10-28
40.79,42.12,40.05,41.85,4475235,0.0,0.0,TFC,Truist Financial,Financials,Diversified Banks,2020-10-29
41.7,42.18,41.22,42.12,5448974,0.0,0.0,TFC,Truist Financial,Financials,Diversified Banks,2020-10-30
42.76,43.77,42.09,43.48,6525720,0.0,0.0,TFC,Truist Financial,Financials,Diversified Banks,2020-11-02
44.73,45.18,44.19,44.76,5910043,0.0,0.0,TFC,Truist Financial,Financials,Diversified Banks,2020-11-03
43.26,43.88,41.98,42.68,5261109,0.0,0.0,TFC,Truist Financial,Financials,Diversified Banks,2020-11-04
42.7,45.2,42.66,44.93,6653370,0.0,0.0,TFC,Truist Financial,Financials,Diversified Banks,2020-11-05
45.2,45.2,42.8,42.99,4945418,0.0,0.0,TFC,Truist Financial,Financials,Diversified Banks,2020-11-06
47.42,49.72,47.4,48.52,10734139,0.0,0.0,TFC,Truist Financial,Financials,Diversified Banks,2020-11-09
47.44,49.32,46.98,49.04,6392695,0.0,0.0,TFC,Truist Financial,Financials,Diversified Banks,2020-11-10
49.2,49.28,47.91,48.82,5825287,0.0,0.0,TFC,Truist Financial,Financials,Diversified Banks,2020-11-11
47.27,47.63,45.63,46.33,4689954,0.0,0.0,TFC,Truist Financial,Financials,Diversified Banks,2020-11-12
46.51,47.65,46.5,47.19,4835903,0.0,0.0,TFC,Truist Financial,Financials,Diversified Banks,2020-11-13
49.0,49.15,48.07,48.57,6053836,0.0,0.0,TFC,Truist Financial,Financials,Diversified Banks,2020-11-16
47.62,48.32,47.07,48.17,5205363,0.0,0.0,TFC,Truist Financial,Financials,Diversified Banks,2020-11-17
48.33,48.88,47.44,47.45,5375863,0.0,0.0,TFC,Truist Financial,Financials,Diversified Banks,2020-11-18
46.7,47.03,46.15,46.9,6441765,0.0,0.0,TFC,Truist Financial,Financials,Diversified Banks,2020-11-19
46.73,46.89,46.07,46.21,6194336,0.0,0.0,TFC,Truist Financial,Financials,Diversified Banks,2020-11-20
47.0,47.24,46.45,46.98,4745971,0.0,0.0,TFC,Truist Financial,Financials,Diversified Banks,2020-11-23
48.1,49.15,48.0,48.97,6639582,0.0,0.0,TFC,Truist Financial,Financials,Diversified Banks,2020-11-24
48.38,48.8,47.64,48.51,4063171,0.0,0.0,TFC,Truist Financial,Financials,Diversified Banks,2020-11-25
48.61,49.03,48.17,48.5,2898483,0.0,0.0,TFC,Truist Financial,Financials,Diversified Banks,2020-11-27
48.18,48.49,46.36,46.42,6891756,0.0,0.0,TFC,Truist Financial,Financials,Diversified Banks,2020-11-30
47.85,48.26,47.3,47.52,6366778,0.0,0.0,TFC,Truist Financial,Financials,Diversified Banks,2020-12-01
47.14,47.72,46.83,47.56,5061233,0.0,0.0,TFC,Truist Financial,Financials,Diversified Banks,2020-12-02
47.65,47.78,46.96,47.41,4819688,0.0,0.0,TFC,Truist Financial,Financials,Diversified Banks,2020-12-03
47.65,48.3,47.41,48.23,4943446,0.0,0.0,TFC,Truist Financial,Financials,Diversified Banks,2020-12-04
47.67,48.14,47.14,47.86,3899352,0.0,0.0,TFC,Truist Financial,Financials,Diversified Banks,2020-12-07
47.59,48.06,47.22,47.71,3854371,0.0,0.0,TFC,Truist Financial,Financials,Diversified Banks,2020-12-08
48.19,48.32,47.58,47.88,5593213,0.0,0.0,TFC,Truist Financial,Financials,Diversified Banks,2020-12-09
47.19,48.12,47.06,47.95,8498947,0.0,0.0,TFC,Truist Financial,Financials,Diversified Banks,2020-12-10
