Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
158.84,159.39,156.3,157.97,2342708,0.0,0.0,TGT,Target Corporation,Consumer Staples,Consumer Staples Merchandise Retail,2020-10-26
158.07,158.88,156.68,157.03,2435777,0.0,0.0,TGT,Target Corporation,Consumer Staples,Consumer Staples Merchandise Retail,2020-10-27
154.91,157.27,154.11,155.21,2694844,0.0,0.0,TGT,Target Corporation,Consumer Staples,Consumer Staples Merchandise Retail,2020-10-28
155.24,156.09,153.37,154.25,2187283,0.0,0.0,TGT,Target Corporation,Consumer Staples,Consumer Staples Merchandise Retail,2020-10-29
153.32,154.14,150.8,152.22,3721306,0.0,0.0,TGT,Target Corporation,Consumer Staples,Consumer Staples Merchandise Retail,2020-10-30
154.0,155.12,152.8,154.39,2717831,0.0,0.0,TGT,Target Corporation,Consumer Staples,Consumer Staples Merchandise Retail,2020-11-02
156.32,158.71,155.43,156.73,2579364,0.0,0.0,TGT,Target Corporation,Consumer Staples,Consumer Staples Merchandise Retail,2020-11-03
157.22,159.49,155.25,156.62,3199092,0.0,0.0,TGT,Target Corporation,Consumer Staples,Consumer Staples Merchandise Retail,2020-11-04
159.74,159.87,156.54,158.63,3160318,0.0,0.0,TGT,Target Corporation,Consumer Staples,Consumer Staples Merchandise Retail,2020-11-05
158.65,161.9,158.53,161.5,3533580,0.0,0.0,TGT,Target Corporation,Consumer Staples,Consumer Staples Merchandise Retail,2020-11-06
163.15,163.16,154.75,154.91,5206748,0.0,0.0,TGT,Target Corporation,Consumer Staples,Consumer Staples Merchandise Retail,2020-11-09
157.04,159.06,156.56,158.07,3627347,0.0,0.0,TGT,Target Corporation,Consumer Staples,Consumer Staples Merchandise Retail,2020-11-10
159.45,162.57,158.75,159.69,3373341,0.0,0.0,TGT,Target Corporation,Consumer Staples,Consumer Staples Merchandise Retail,2020-11-11
159.67,160.99,158.64,159.53,2739814,0.0,0.0,TGT,Target Corporation,Consumer Staples,Consumer Staples Merchandise Retail,2020-11-12
160.99,163.45,160.6,162.88,2819388,0.0,0.0,TGT,Target Corporation,Consumer Staples,Consumer Staples Merchandise Retail,2020-11-13
165.0,165.99,163.35,165.18,5138625,0.0,0.0,TGT,Target Corporation,Consumer Staples,Consumer Staples Merchandise Retail,2020-11-16
164.0,164.71,160.51,163.04,6381965,0.0,0.0,TGT,Target Corporation,Consumer Staples,Consumer Staples Merchandise Retail,2020-11-17
165.94,172.12,164.55,166.85,13203455,0.0,0.0,TGT,Target Corporation,Consumer Staples,Consumer Staples Merchandise Retail,2020-11-18
168.71,173.44,167.9,171.37,6938581,0.0,0.0,TGT,Target Corporation,Consumer Staples,Consumer Staples Merchandise Retail,2020-11-19
172.22,174.41,171.45,172.31,6798503,0.0,0.0,TGT,Target Corporation,Consumer Staples,Consumer Staples Merchandise Retail,2020-11-20
174.25,179.02,173.59,177.56,5843463,0.0,0.0,TGT,Target Corporation,Consumer Staples,Consumer Staples Merchandise Retail,2020-11-23
179.76,179.84,177.1,177.86,4736178,0.0,0.0,TGT,Target Corporation,Consumer Staples,Consumer Staples Merchandise Retail,2020-11-24
177.73,180.48,177.35,179.82,3803243,0.0,0.0,TGT,Target Corporation,Consumer Staples,Consumer Staples Merchandise Retail,2020-11-25
180.81,181.11,178.95,179.77,2371901,0.0,0.0,TGT,Target Corporation,Consumer Staples,Consumer Staples Merchandise Retail,2020-11-27
178.25,180.07,176.24,179.53,8082828,0.0,0.0,TGT,Target Corporation,Consumer Staples,Consumer Staples Merchandise Retail,2020-11-30
179.81,181.17,177.1,179.05,5093448,0.0,0.0,TGT,Target Corporation,Consumer Staples,Consumer Staples Merchandise Retail,2020-12-01
178.02,178.21,175.47,176.41,3053145,0.0,0.0,TGT,Target Corporation,Consumer Staples,Consumer Staples Merchandise Retail,2020-12-02
176.47,176.47,173.78,174.92,4228252,0.0,0.0,TGT,Target Corporation,Consumer Staples,Consumer Staples Merchandise Retail,2020-12-03
174.38,175.16,173.23,175.03,2972240,0.0,0.0,TGT,Target Corporation,Consumer Staples,Consumer Staples Merchandise Retail,2020-12-04
174.27,174.95,171.41,172.91,3461025,0.0,0.0,TGT,Target Corporation,Consumer Staples,Consumer Staples Merchandise Retail,2020-12-07
172.5,173.78,171.74,172.72,2733621,0.0,0.0,TGT,Target Corporation,Consumer Staples,Consumer Staples Merchandise Retail,2020-12-08
173.35,174.92,172.41,174.07,2901139,0.0,0.0,TGT,Target Corporation,Consumer Staples,Consumer Staples Merchandise Retail,2020-12-09
173.59,174.24,172.07,172.4,2691471,0.0,0.0,TGT,Target Corporation,Consumer Staples,Consumer Staples Merchandise Retail,2020-12-10
171.5,172.75,171.07,171.71,2712600,0.0,0.0,TGT,Target Corporation,Consumer Staples,Consumer Staples Merchandise Retail,2020-12-11
172.96,172.96,170.17,170.99,4054138,0.0,0.0,TGT,Target Corporation,Consumer Staples,Consumer Staples Merchandise Retail,2020-12-14
170.65,172.78,170.65,171.41,3531556,0.0,0.0,TGT,Target Corporation,Consumer Staples,Consumer Staples Merchandise Retail,2020-12-15
