Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
111.18,112.04,110.02,111.78,2764670,0.0,0.0,TMUS,T-Mobile US,Communication Services,Wireless Telecommunication Services,2020-10-26
111.78,113.56,111.13,112.82,2628909,0.0,0.0,TMUS,T-Mobile US,Communication Services,Wireless Telecommunication Services,2020-10-27
111.3,111.93,109.66,109.8,3661845,0.0,0.0,TMUS,T-Mobile US,Communication Services,Wireless Telecommunication Services,2020-10-28
109.28,111.04,108.9,109.51,2895872,0.0,0.0,TMUS,T-Mobile US,Communication Services,Wireless Telecommunication Services,2020-10-29
108.86,109.76,107.56,109.57,4041188,0.0,0.0,TMUS,T-Mobile US,Communication Services,Wireless Telecommunication Services,2020-10-30
111.14,111.14,108.75,110.39,3145029,0.0,0.0,TMUS,T-Mobile US,Communication Services,Wireless Telecommunication Services,2020-11-02
111.25,112.39,110.71,111.12,3341389,0.0,0.0,TMUS,T-Mobile US,Communication Services,Wireless Telecommunication Services,2020-11-03
113.91,116.88,112.81,116.02,5025909,0.0,0.0,TMUS,T-Mobile US,Communication Services,Wireless Telecommunication Services,2020-11-04
117.57,119.31,116.28,117.26,7669706,0.0,0.0,TMUS,T-Mobile US,Communication Services,Wireless Telecommunication Services,2020-11-05
127.0,127.03,122.7,123.56,8931300,0.0,0.0,TMUS,T-Mobile US,Communication Services,Wireless Telecommunication Services,2020-11-06
125.48,126.96,122.57,122.78,6190557,0.0,0.0,TMUS,T-Mobile US,Communication Services,Wireless Telecommunication Services,2020-11-09
119.03,123.24,118.6,121.72,4454849,0.0,0.0,TMUS,T-Mobile US,Communication Services,Wireless Telecommunication Services,2020-11-10
122.63,126.03,122.04,125.15,3931577,0.0,0.0,TMUS,T-Mobile US,Communication Services,Wireless Telecommunication Services,2020-11-11
125.41,127.8,124.73,126.81,3558580,0.0,0.0,TMUS,T-Mobile US,Communication Services,Wireless Telecommunication Services,2020-11-12
127.33,128.52,126.31,128.23,3399950,0.0,0.0,TMUS,T-Mobile US,Communication Services,Wireless Telecommunication Services,2020-11-13
129.82,130.11,127.56,128.65,3444455,0.0,0.0,TMUS,T-Mobile US,Communication Services,Wireless Telecommunication Services,2020-11-16
130.6,132.33,128.72,129.0,3648464,0.0,0.0,TMUS,T-Mobile US,Communication Services,Wireless Telecommunication Services,2020-11-17
129.63,130.51,127.84,127.85,3222918,0.0,0.0,TMUS,T-Mobile US,Communication Services,Wireless Telecommunication Services,2020-11-18
127.3,130.23,127.11,129.19,2427023,0.0,0.0,TMUS,T-Mobile US,Communication Services,Wireless Telecommunication Services,2020-11-19
129.66,130.34,128.36,129.68,4388200,0.0,0.0,TMUS,T-Mobile US,Communication Services,Wireless Telecommunication Services,2020-11-20
129.87,130.15,126.91,127.88,4177210,0.0,0.0,TMUS,T-Mobile US,Communication Services,Wireless Telecommunication Services,2020-11-23
127.47,129.02,125.76,128.06,4694679,0.0,0.0,TMUS,T-Mobile US,Communication Services,Wireless Telecommunication Services,2020-11-24
128.79,129.63,127.76,128.74,3562674,0.0,0.0,TMUS,T-Mobile US,Communication Services,Wireless Telecommunication Services,2020-11-25
129.12,132.47,128.87,131.9,2278372,0.0,0.0,TMUS,T-Mobile US,Communication Services,Wireless Telecommunication Services,2020-11-27
131.9,133.05,130.13,132.94,5746041,0.0,0.0,TMUS,T-Mobile US,Communication Services,Wireless Telecommunication Services,2020-11-30
132.92,133.94,132.24,133.73,3968513,0.0,0.0,TMUS,T-Mobile US,Communication Services,Wireless Telecommunication Services,2020-12-01
133.64,134.24,132.41,133.14,2926991,0.0,0.0,TMUS,T-Mobile US,Communication Services,Wireless Telecommunication Services,2020-12-02
131.65,132.97,131.09,131.19,3587959,0.0,0.0,TMUS,T-Mobile US,Communication Services,Wireless Telecommunication Services,2020-12-03
131.63,131.98,130.68,131.8,2029174,0.0,0.0,TMUS,T-Mobile US,Communication Services,Wireless Telecommunication Services,2020-12-04
132.08,133.08,131.92,132.96,2637360,0.0,0.0,TMUS,T-Mobile US,Communication Services,Wireless Telecommunication Services,2020-12-07
132.83,133.43,131.82,133.15,2442876,0.0,0.0,TMUS,T-Mobile US,Communication Services,Wireless Telecommunication Services,2020-12-08
133.88,133.88,130.57,131.12,3660502,0.0,0.0,TMUS,T-Mobile US,Communication Services,Wireless Telecommunication Services,2020-12-09
130.73,131.88,130.04,130.56,4164484,0.0,0.0,TMUS,T-Mobile US,Communication Services,Wireless Telecommunication Services,2020-12-10
130.57,131.63,129.69,131.23,2405262,0.0,0.0,TMUS,T-Mobile US,Communication Services,Wireless Telecommunication Services,2020-12-11
131.02,132.97,129.23,129.36,5296987,0.0,0.0,TMUS,T-Mobile US,Communication Services,Wireless Telecommunication Services,2020-12-14
129.7,130.71,128.78,130.0,2906341,0.0,0.0,TMUS,T-Mobile US,Communication Services,Wireless Telecommunication Services,2020-12-15
130.65,130.65,129.11,129.81,3262167,0.0,0.0,TMUS,T-Mobile US,Communication Services,Wireless Telecommunication Services,2020-12-16
130.32,130.76,129.65,130.01,4132224,0.0,0.0,TMUS,T-Mobile US,Communication Services,Wireless Telecommunication Services,2020-12-17
130.3,132.14,129.51,131.92,8782907,0.0,0.0,TMUS,T-Mobile US,Communication Services,Wireless Telecommunication Services,2020-12-18
130.0,131.23,127.63,130.22,3259744,0.0,0.0,TMUS,T-Mobile US,Communication Services,Wireless Telecommunication Services,2020-12-21
