Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
158.93,158.93,154.33,157.66,54414,0.0,0.0,TPL,Texas Pacific Land Corporation,Energy,Oil & Gas Exploration & Production,2020-10-26
158.4,158.43,154.4,154.4,35244,0.0,0.0,TPL,Texas Pacific Land Corporation,Energy,Oil & Gas Exploration & Production,2020-10-27
152.67,152.67,146.67,149.83,99123,0.0,0.0,TPL,Texas Pacific Land Corporation,Energy,Oil & Gas Exploration & Production,2020-10-28
149.3,155.57,146.35,154.87,50688,0.0,0.0,TPL,Texas Pacific Land Corporation,Energy,Oil & Gas Exploration & Production,2020-10-29
152.97,155.0,150.14,150.14,44307,0.0,0.0,TPL,Texas Pacific Land Corporation,Energy,Oil & Gas Exploration & Production,2020-10-30
152.4,160.0,152.4,155.15,68829,0.0,0.0,TPL,Texas Pacific Land Corporation,Energy,Oil & Gas Exploration & Production,2020-11-02
158.38,166.0,157.0,161.33,115941,0.0,0.0,TPL,Texas Pacific Land Corporation,Energy,Oil & Gas Exploration & Production,2020-11-03
159.85,160.4,157.4,158.17,29421,0.0,0.0,TPL,Texas Pacific Land Corporation,Energy,Oil & Gas Exploration & Production,2020-11-04
158.91,170.27,156.68,168.94,99432,0.0,0.0,TPL,Texas Pacific Land Corporation,Energy,Oil & Gas Exploration & Production,2020-11-05
168.33,169.33,165.86,165.86,38028,0.0,0.0,TPL,Texas Pacific Land Corporation,Energy,Oil & Gas Exploration & Production,2020-11-06
177.17,198.33,177.14,191.66,268740,0.0,0.0,TPL,Texas Pacific Land Corporation,Energy,Oil & Gas Exploration & Production,2020-11-09
191.79,193.33,183.83,185.34,73236,0.0,0.0,TPL,Texas Pacific Land Corporation,Energy,Oil & Gas Exploration & Production,2020-11-10
186.79,188.17,180.08,180.08,72762,0.0,0.0,TPL,Texas Pacific Land Corporation,Energy,Oil & Gas Exploration & Production,2020-11-11
179.8,182.67,176.67,179.07,40395,0.0,0.0,TPL,Texas Pacific Land Corporation,Energy,Oil & Gas Exploration & Production,2020-11-12
180.0,183.28,180.0,183.28,25104,0.0,0.0,TPL,Texas Pacific Land Corporation,Energy,Oil & Gas Exploration & Production,2020-11-13
