Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
16.81,16.84,15.93,16.06,2332344,0.0,0.0,TRGP,Targa Resources,Energy,Oil & Gas Storage & Transportation,2020-10-26
16.09,16.44,15.87,16.35,2502959,0.0,0.0,TRGP,Targa Resources,Energy,Oil & Gas Storage & Transportation,2020-10-27
15.85,16.08,15.55,15.76,2817956,0.0,0.0,TRGP,Targa Resources,Energy,Oil & Gas Storage & Transportation,2020-10-28
15.46,16.09,15.21,16.01,5312685,0.0,0.0,TRGP,Targa Resources,Energy,Oil & Gas Storage & Transportation,2020-10-29
15.95,16.23,15.74,16.05,3555227,0.0,0.0,TRGP,Targa Resources,Energy,Oil & Gas Storage & Transportation,2020-10-30
16.24,16.38,15.98,16.07,2919867,0.0,0.0,TRGP,Targa Resources,Energy,Oil & Gas Storage & Transportation,2020-11-02
16.5,16.96,16.24,16.59,2575504,0.0,0.0,TRGP,Targa Resources,Energy,Oil & Gas Storage & Transportation,2020-11-03
16.69,17.21,15.98,16.72,2880169,0.0,0.0,TRGP,Targa Resources,Energy,Oil & Gas Storage & Transportation,2020-11-04
16.82,17.97,16.82,17.74,3723627,0.0,0.0,TRGP,Targa Resources,Energy,Oil & Gas Storage & Transportation,2020-11-05
18.13,18.4,16.9,16.95,2980235,0.0,0.0,TRGP,Targa Resources,Energy,Oil & Gas Storage & Transportation,2020-11-06
19.05,20.25,18.86,19.57,4282978,0.0,0.0,TRGP,Targa Resources,Energy,Oil & Gas Storage & Transportation,2020-11-09
19.92,20.27,19.13,20.24,3683639,0.0,0.0,TRGP,Targa Resources,Energy,Oil & Gas Storage & Transportation,2020-11-10
20.48,20.88,19.98,20.24,2704500,0.0,0.0,TRGP,Targa Resources,Energy,Oil & Gas Storage & Transportation,2020-11-11
19.88,20.78,19.78,19.98,3150479,0.0,0.0,TRGP,Targa Resources,Energy,Oil & Gas Storage & Transportation,2020-11-12
20.26,20.76,20.07,20.53,2048590,0.0,0.0,TRGP,Targa Resources,Energy,Oil & Gas Storage & Transportation,2020-11-13
22.0,22.11,21.19,21.58,2424149,0.0,0.0,TRGP,Targa Resources,Energy,Oil & Gas Storage & Transportation,2020-11-16
21.03,22.71,21.01,22.65,2374009,0.0,0.0,TRGP,Targa Resources,Energy,Oil & Gas Storage & Transportation,2020-11-17
22.89,23.75,22.66,22.68,3764705,0.0,0.0,TRGP,Targa Resources,Energy,Oil & Gas Storage & Transportation,2020-11-18
22.3,23.32,21.96,23.24,2791049,0.0,0.0,TRGP,Targa Resources,Energy,Oil & Gas Storage & Transportation,2020-11-19
23.24,23.69,22.81,23.08,2162924,0.0,0.0,TRGP,Targa Resources,Energy,Oil & Gas Storage & Transportation,2020-11-20
23.66,24.78,23.39,24.76,2529100,0.0,0.0,TRGP,Targa Resources,Energy,Oil & Gas Storage & Transportation,2020-11-23
25.62,26.3,24.97,25.2,3106788,0.0,0.0,TRGP,Targa Resources,Energy,Oil & Gas Storage & Transportation,2020-11-24
24.81,25.55,24.54,24.98,2004762,0.0,0.0,TRGP,Targa Resources,Energy,Oil & Gas Storage & Transportation,2020-11-25
24.7,25.28,24.42,24.5,799847,0.0,0.0,TRGP,Targa Resources,Energy,Oil & Gas Storage & Transportation,2020-11-27
24.62,24.72,23.38,23.5,3153922,0.0,0.0,TRGP,Targa Resources,Energy,Oil & Gas Storage & Transportation,2020-11-30
24.3,24.59,23.33,23.61,1786081,0.0,0.0,TRGP,Targa Resources,Energy,Oil & Gas Storage & Transportation,2020-12-01
23.64,24.67,23.46,24.17,2369666,0.0,0.0,TRGP,Targa Resources,Energy,Oil & Gas Storage & Transportation,2020-12-02
24.71,25.37,24.27,24.9,2521496,0.0,0.0,TRGP,Targa Resources,Energy,Oil & Gas Storage & Transportation,2020-12-03
25.44,26.74,25.41,26.52,2942625,0.0,0.0,TRGP,Targa Resources,Energy,Oil & Gas Storage & Transportation,2020-12-04
26.4,26.41,25.37,25.72,2333352,0.0,0.0,TRGP,Targa Resources,Energy,Oil & Gas Storage & Transportation,2020-12-07
25.45,26.78,25.4,26.27,2299759,0.0,0.0,TRGP,Targa Resources,Energy,Oil & Gas Storage & Transportation,2020-12-08
26.8,27.04,25.58,26.0,1880028,0.0,0.0,TRGP,Targa Resources,Energy,Oil & Gas Storage & Transportation,2020-12-09
25.99,28.07,25.96,28.06,2429467,0.0,0.0,TRGP,Targa Resources,Energy,Oil & Gas Storage & Transportation,2020-12-10
27.67,28.26,27.14,28.25,2491875,0.0,0.0,TRGP,Targa Resources,Energy,Oil & Gas Storage & Transportation,2020-12-11
28.69,28.69,27.44,27.44,3480673,0.0,0.0,TRGP,Targa Resources,Energy,Oil & Gas Storage & Transportation,2020-12-14
27.5,28.2,27.09,28.18,1783853,0.0,0.0,TRGP,Targa Resources,Energy,Oil & Gas Storage & Transportation,2020-12-15
28.36,28.47,27.62,28.28,2005419,0.0,0.0,TRGP,Targa Resources,Energy,Oil & Gas Storage & Transportation,2020-12-16
28.51,28.64,27.33,27.75,2389398,0.0,0.0,TRGP,Targa Resources,Energy,Oil & Gas Storage & Transportation,2020-12-17
27.45,27.89,26.67,26.95,5085002,0.0,0.0,TRGP,Targa Resources,Energy,Oil & Gas Storage & Transportation,2020-12-18
26.24,27.3,25.94,27.08,1958832,0.0,0.0,TRGP,Targa Resources,Energy,Oil & Gas Storage & Transportation,2020-12-21
27.05,27.41,26.63,26.66,1108765,0.0,0.0,TRGP,Targa Resources,Energy,Oil & Gas Storage & Transportation,2020-12-22
26.97,27.38,26.74,26.85,1533890,0.0,0.0,TRGP,Targa Resources,Energy,Oil & Gas Storage & Transportation,2020-12-23
26.71,26.88,26.1,26.55,504749,0.0,0.0,TRGP,Targa Resources,Energy,Oil & Gas Storage & Transportation,2020-12-24
26.68,26.79,25.5,25.73,1615752,0.0,0.0,TRGP,Targa Resources,Energy,Oil & Gas Storage & Transportation,2020-12-28
25.94,26.24,25.5,26.12,1551824,0.0,0.0,TRGP,Targa Resources,Energy,Oil & Gas Storage & Transportation,2020-12-29
26.08,26.71,25.92,26.18,1704394,0.0,0.0,TRGP,Targa Resources,Energy,Oil & Gas Storage & Transportation,2020-12-30
26.05,26.49,25.8,26.38,1465518,0.0,0.0,TRGP,Targa Resources,Energy,Oil & Gas Storage & Transportation,2020-12-31
26.79,27.2,25.85,26.16,1769468,0.0,0.0,TRGP,Targa Resources,Energy,Oil & Gas Storage & Transportation,2021-01-04
26.46,28.28,26.31,27.78,2225927,0.0,0.0,TRGP,Targa Resources,Energy,Oil & Gas Storage & Transportation,2021-01-05
28.49,28.77,27.56,28.55,2544098,0.0,0.0,TRGP,Targa Resources,Energy,Oil & Gas Storage & Transportation,2021-01-06
28.95,30.6,28.7,30.47,4876309,0.0,0.0,TRGP,Targa Resources,Energy,Oil & Gas Storage & Transportation,2021-01-07
30.8,30.86,28.86,29.2,2522438,0.0,0.0,TRGP,Targa Resources,Energy,Oil & Gas Storage & Transportation,2021-01-08
28.46,29.46,28.22,29.21,1764562,0.0,0.0,TRGP,Targa Resources,Energy,Oil & Gas Storage & Transportation,2021-01-11
29.5,31.07,29.44,31.01,2053176,0.0,0.0,TRGP,Targa Resources,Energy,Oil & Gas Storage & Transportation,2021-01-12
31.54,31.59,30.48,30.69,1942197,0.0,0.0,TRGP,Targa Resources,Energy,Oil & Gas Storage & Transportation,2021-01-13
30.88,31.48,30.7,31.07,1666449,0.0,0.0,TRGP,Targa Resources,Energy,Oil & Gas Storage & Transportation,2021-01-14
30.6,30.78,29.8,30.03,1603150,0.0,0.0,TRGP,Targa Resources,Energy,Oil & Gas Storage & Transportation,2021-01-15
30.2,30.36,29.9,30.08,1418156,0.0,0.0,TRGP,Targa Resources,Energy,Oil & Gas Storage & Transportation,2021-01-19
30.51,30.62,29.39,29.77,1658998,0.0,0.0,TRGP,Targa Resources,Energy,Oil & Gas Storage & Transportation,2021-01-20
29.89,29.99,28.04,28.77,2064974,0.0,0.0,TRGP,Targa Resources,Energy,Oil & Gas Storage & Transportation,2021-01-21
28.27,28.82,28.0,28.77,1609490,0.0,0.0,TRGP,Targa Resources,Energy,Oil & Gas Storage & Transportation,2021-01-22
