Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
123.85,124.02,120.51,121.54,1341481,0.0,0.0,TRV,Travelers Companies (The),Financials,Property & Casualty Insurance,2020-10-26
121.02,122.45,119.03,119.09,1172051,0.0,0.0,TRV,Travelers Companies (The),Financials,Property & Casualty Insurance,2020-10-27
117.18,122.32,116.71,121.5,2916677,0.0,0.0,TRV,Travelers Companies (The),Financials,Property & Casualty Insurance,2020-10-28
121.04,123.74,118.92,122.46,2611559,0.0,0.0,TRV,Travelers Companies (The),Financials,Property & Casualty Insurance,2020-10-29
121.67,122.79,118.85,120.71,2639769,0.0,0.0,TRV,Travelers Companies (The),Financials,Property & Casualty Insurance,2020-10-30
123.07,124.3,120.42,123.92,1790115,0.0,0.0,TRV,Travelers Companies (The),Financials,Property & Casualty Insurance,2020-11-02
125.5,127.51,125.11,126.34,1561218,0.0,0.0,TRV,Travelers Companies (The),Financials,Property & Casualty Insurance,2020-11-03
122.7,127.11,122.51,123.4,2450324,0.0,0.0,TRV,Travelers Companies (The),Financials,Property & Casualty Insurance,2020-11-04
124.03,128.55,123.64,127.51,1376916,0.0,0.0,TRV,Travelers Companies (The),Financials,Property & Casualty Insurance,2020-11-05
127.84,129.08,126.57,127.0,1054443,0.0,0.0,TRV,Travelers Companies (The),Financials,Property & Casualty Insurance,2020-11-06
138.45,138.47,134.13,134.28,2786203,0.0,0.0,TRV,Travelers Companies (The),Financials,Property & Casualty Insurance,2020-11-09
135.28,136.82,134.1,136.36,1605252,0.0,0.0,TRV,Travelers Companies (The),Financials,Property & Casualty Insurance,2020-11-10
136.09,136.6,133.85,134.96,1003344,0.0,0.0,TRV,Travelers Companies (The),Financials,Property & Casualty Insurance,2020-11-11
133.98,133.98,131.19,132.4,1299391,0.0,0.0,TRV,Travelers Companies (The),Financials,Property & Casualty Insurance,2020-11-12
133.77,135.09,132.63,134.63,1144773,0.0,0.0,TRV,Travelers Companies (The),Financials,Property & Casualty Insurance,2020-11-13
137.8,138.98,134.98,136.29,1181321,0.0,0.0,TRV,Travelers Companies (The),Financials,Property & Casualty Insurance,2020-11-16
136.08,136.18,134.08,135.04,1234598,0.0,0.0,TRV,Travelers Companies (The),Financials,Property & Casualty Insurance,2020-11-17
135.44,137.28,134.26,134.37,1347114,0.0,0.0,TRV,Travelers Companies (The),Financials,Property & Casualty Insurance,2020-11-18
133.12,134.18,131.46,133.87,1143290,0.0,0.0,TRV,Travelers Companies (The),Financials,Property & Casualty Insurance,2020-11-19
132.95,134.8,132.68,134.55,1358392,0.0,0.0,TRV,Travelers Companies (The),Financials,Property & Casualty Insurance,2020-11-20
135.56,135.56,133.63,134.63,931044,0.0,0.0,TRV,Travelers Companies (The),Financials,Property & Casualty Insurance,2020-11-23
136.8,136.94,134.76,136.39,2112059,0.0,0.0,TRV,Travelers Companies (The),Financials,Property & Casualty Insurance,2020-11-24
135.56,136.5,134.03,136.02,996771,0.0,0.0,TRV,Travelers Companies (The),Financials,Property & Casualty Insurance,2020-11-25
135.68,135.68,133.55,134.44,537957,0.0,0.0,TRV,Travelers Companies (The),Financials,Property & Casualty Insurance,2020-11-27
133.16,134.0,129.57,129.65,2699311,0.0,0.0,TRV,Travelers Companies (The),Financials,Property & Casualty Insurance,2020-11-30
132.51,134.24,131.99,133.41,1231234,0.0,0.0,TRV,Travelers Companies (The),Financials,Property & Casualty Insurance,2020-12-01
132.58,134.28,132.42,134.04,963140,0.0,0.0,TRV,Travelers Companies (The),Financials,Property & Casualty Insurance,2020-12-02
133.75,135.62,132.43,135.09,991100,0.0,0.0,TRV,Travelers Companies (The),Financials,Property & Casualty Insurance,2020-12-03
135.54,136.19,134.21,136.16,946019,0.0,0.0,TRV,Travelers Companies (The),Financials,Property & Casualty Insurance,2020-12-04
134.62,135.05,133.43,133.9,981983,0.0,0.0,TRV,Travelers Companies (The),Financials,Property & Casualty Insurance,2020-12-07
133.07,135.8,132.75,135.26,1128238,0.0,0.0,TRV,Travelers Companies (The),Financials,Property & Casualty Insurance,2020-12-08
134.9,135.81,134.39,134.91,1610377,0.0,0.0,TRV,Travelers Companies (The),Financials,Property & Casualty Insurance,2020-12-09
134.48,137.54,134.4,136.71,1361604,0.0,0.0,TRV,Travelers Companies (The),Financials,Property & Casualty Insurance,2020-12-10
134.8,136.65,133.66,134.95,1291094,0.0,0.0,TRV,Travelers Companies (The),Financials,Property & Casualty Insurance,2020-12-11
136.19,136.78,133.67,133.99,1353811,0.0,0.0,TRV,Travelers Companies (The),Financials,Property & Casualty Insurance,2020-12-14
134.71,137.32,134.32,137.26,985791,0.0,0.0,TRV,Travelers Companies (The),Financials,Property & Casualty Insurance,2020-12-15
137.73,137.97,136.22,137.44,1265692,0.0,0.0,TRV,Travelers Companies (The),Financials,Property & Casualty Insurance,2020-12-16
137.75,138.83,137.75,138.03,1442124,0.0,0.0,TRV,Travelers Companies (The),Financials,Property & Casualty Insurance,2020-12-17
