Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
27.78,27.95,26.83,27.17,8192460,0.0,0.0,TSCO,Tractor Supply,Consumer Discretionary,Other Specialty Retail,2020-10-26
27.32,27.53,26.82,26.83,6728195,0.0,0.0,TSCO,Tractor Supply,Consumer Discretionary,Other Specialty Retail,2020-10-27
26.48,27.18,26.25,26.51,6405230,0.0,0.0,TSCO,Tractor Supply,Consumer Discretionary,Other Specialty Retail,2020-10-28
26.51,26.83,26.19,26.6,6327965,0.0,0.0,TSCO,Tractor Supply,Consumer Discretionary,Other Specialty Retail,2020-10-29
26.53,26.72,26.2,26.64,6968790,0.0,0.0,TSCO,Tractor Supply,Consumer Discretionary,Other Specialty Retail,2020-10-30
26.92,27.16,26.31,26.68,6605650,0.0,0.0,TSCO,Tractor Supply,Consumer Discretionary,Other Specialty Retail,2020-11-02
27.0,27.47,26.91,27.2,6252300,0.0,0.0,TSCO,Tractor Supply,Consumer Discretionary,Other Specialty Retail,2020-11-03
27.51,27.69,27.07,27.17,7542650,0.0,0.0,TSCO,Tractor Supply,Consumer Discretionary,Other Specialty Retail,2020-11-04
27.38,28.06,27.26,27.8,6350625,0.0,0.0,TSCO,Tractor Supply,Consumer Discretionary,Other Specialty Retail,2020-11-05
27.78,28.17,27.43,28.09,4239910,0.0,0.0,TSCO,Tractor Supply,Consumer Discretionary,Other Specialty Retail,2020-11-06
27.09,27.4,25.92,25.92,11129925,0.0,0.0,TSCO,Tractor Supply,Consumer Discretionary,Other Specialty Retail,2020-11-09
25.64,26.07,25.56,25.97,9859940,0.0,0.0,TSCO,Tractor Supply,Consumer Discretionary,Other Specialty Retail,2020-11-10
26.34,26.77,26.28,26.61,4771370,0.0,0.0,TSCO,Tractor Supply,Consumer Discretionary,Other Specialty Retail,2020-11-11
26.58,26.72,25.8,26.16,5706980,0.0,0.0,TSCO,Tractor Supply,Consumer Discretionary,Other Specialty Retail,2020-11-12
26.3,26.61,26.04,26.4,5013180,0.0,0.0,TSCO,Tractor Supply,Consumer Discretionary,Other Specialty Retail,2020-11-13
26.39,26.63,26.2,26.56,9591195,0.0,0.0,TSCO,Tractor Supply,Consumer Discretionary,Other Specialty Retail,2020-11-16
26.42,26.84,26.22,26.34,7297170,0.0,0.0,TSCO,Tractor Supply,Consumer Discretionary,Other Specialty Retail,2020-11-17
26.4,26.51,25.62,25.68,7430405,0.0,0.0,TSCO,Tractor Supply,Consumer Discretionary,Other Specialty Retail,2020-11-18
25.69,26.36,25.6,26.25,6241115,0.0,0.0,TSCO,Tractor Supply,Consumer Discretionary,Other Specialty Retail,2020-11-19
26.01,26.28,25.68,25.94,6622630,0.0,0.0,TSCO,Tractor Supply,Consumer Discretionary,Other Specialty Retail,2020-11-20
26.05,26.98,26.05,26.78,9566870,0.0,0.0,TSCO,Tractor Supply,Consumer Discretionary,Other Specialty Retail,2020-11-23
27.03,27.15,26.62,26.8,8476960,0.0,0.0,TSCO,Tractor Supply,Consumer Discretionary,Other Specialty Retail,2020-11-24
26.78,26.92,26.43,26.78,6155405,0.0,0.0,TSCO,Tractor Supply,Consumer Discretionary,Other Specialty Retail,2020-11-25
