Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
61.2,63.14,59.62,60.83,5483100,0.0,0.0,TTD,Trade Desk (The),Communication Services,Advertising,2020-10-26
61.5,62.14,60.67,61.34,4665770,0.0,0.0,TTD,Trade Desk (The),Communication Services,Advertising,2020-10-27
60.02,60.12,58.54,59.65,6019280,0.0,0.0,TTD,Trade Desk (The),Communication Services,Advertising,2020-10-28
60.31,62.4,59.98,61.8,5630990,0.0,0.0,TTD,Trade Desk (The),Communication Services,Advertising,2020-10-29
61.21,61.67,56.21,56.64,10840590,0.0,0.0,TTD,Trade Desk (The),Communication Services,Advertising,2020-10-30
57.15,57.16,54.35,55.92,8700840,0.0,0.0,TTD,Trade Desk (The),Communication Services,Advertising,2020-11-02
56.5,58.95,56.05,58.61,6100550,0.0,0.0,TTD,Trade Desk (The),Communication Services,Advertising,2020-11-03
61.0,64.8,60.6,63.24,12171570,0.0,0.0,TTD,Trade Desk (The),Communication Services,Advertising,2020-11-04
65.16,66.44,64.23,64.73,14040940,0.0,0.0,TTD,Trade Desk (The),Communication Services,Advertising,2020-11-05
73.14,84.75,72.53,81.93,44645230,0.0,0.0,TTD,Trade Desk (The),Communication Services,Advertising,2020-11-06
80.0,81.93,75.91,76.14,16339320,0.0,0.0,TTD,Trade Desk (The),Communication Services,Advertising,2020-11-09
76.5,77.0,69.74,70.73,16536610,0.0,0.0,TTD,Trade Desk (The),Communication Services,Advertising,2020-11-10
72.65,74.89,71.26,74.2,11845520,0.0,0.0,TTD,Trade Desk (The),Communication Services,Advertising,2020-11-11
74.54,76.19,73.63,74.0,6049510,0.0,0.0,TTD,Trade Desk (The),Communication Services,Advertising,2020-11-12
74.6,75.37,72.31,73.48,6291160,0.0,0.0,TTD,Trade Desk (The),Communication Services,Advertising,2020-11-13
72.0,74.94,71.44,74.61,8524750,0.0,0.0,TTD,Trade Desk (The),Communication Services,Advertising,2020-11-16
75.34,79.61,74.7,79.51,11543380,0.0,0.0,TTD,Trade Desk (The),Communication Services,Advertising,2020-11-17
78.65,80.4,76.65,77.24,7320690,0.0,0.0,TTD,Trade Desk (The),Communication Services,Advertising,2020-11-18
77.6,82.34,77.44,80.59,10220010,0.0,0.0,TTD,Trade Desk (The),Communication Services,Advertising,2020-11-19
80.89,83.7,80.65,82.7,7545280,0.0,0.0,TTD,Trade Desk (The),Communication Services,Advertising,2020-11-20
84.1,84.33,81.67,83.96,9198010,0.0,0.0,TTD,Trade Desk (The),Communication Services,Advertising,2020-11-23
83.75,85.87,82.95,84.41,8011130,0.0,0.0,TTD,Trade Desk (The),Communication Services,Advertising,2020-11-24
84.8,86.82,84.42,86.23,5930040,0.0,0.0,TTD,Trade Desk (The),Communication Services,Advertising,2020-11-25
