Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
27.63,27.65,27.09,27.38,42114103,0.0,0.0,T,AT&T,Communication Services,Integrated Telecommunication Services,2020-10-26
27.24,27.27,26.9,26.92,35705087,0.0,0.0,T,AT&T,Communication Services,Integrated Telecommunication Services,2020-10-27
26.7,26.88,26.45,26.5,49714368,0.0,0.0,T,AT&T,Communication Services,Integrated Telecommunication Services,2020-10-28
26.5,27.05,26.35,26.76,45092597,0.0,0.0,T,AT&T,Communication Services,Integrated Telecommunication Services,2020-10-29
26.74,27.04,26.69,27.02,48916258,0.0,0.0,T,AT&T,Communication Services,Integrated Telecommunication Services,2020-10-30
27.4,27.6,27.01,27.34,50325370,0.0,0.0,T,AT&T,Communication Services,Integrated Telecommunication Services,2020-11-02
27.51,27.8,27.4,27.46,33690683,0.0,0.0,T,AT&T,Communication Services,Integrated Telecommunication Services,2020-11-03
27.21,27.44,26.86,27.04,46105254,0.0,0.0,T,AT&T,Communication Services,Integrated Telecommunication Services,2020-11-04
27.19,27.85,27.18,27.51,35764608,0.0,0.0,T,AT&T,Communication Services,Integrated Telecommunication Services,2020-11-05
27.49,27.7,27.38,27.44,26752849,0.0,0.0,T,AT&T,Communication Services,Integrated Telecommunication Services,2020-11-06
28.24,28.79,28.15,28.3,72749430,0.0,0.0,T,AT&T,Communication Services,Integrated Telecommunication Services,2020-11-09
28.55,28.97,28.49,28.85,45131216,0.0,0.0,T,AT&T,Communication Services,Integrated Telecommunication Services,2020-11-10
28.97,29.0,28.43,28.73,40224755,0.0,0.0,T,AT&T,Communication Services,Integrated Telecommunication Services,2020-11-11
28.5,28.58,28.19,28.44,30936315,0.0,0.0,T,AT&T,Communication Services,Integrated Telecommunication Services,2020-11-12
28.57,28.99,28.47,28.91,27902986,0.0,0.0,T,AT&T,Communication Services,Integrated Telecommunication Services,2020-11-13
29.11,29.23,28.9,28.97,51161656,0.0,0.0,T,AT&T,Communication Services,Integrated Telecommunication Services,2020-11-16
28.78,29.13,28.68,29.03,29227575,0.0,0.0,T,AT&T,Communication Services,Integrated Telecommunication Services,2020-11-17
29.05,29.17,28.61,28.62,30089278,0.0,0.0,T,AT&T,Communication Services,Integrated Telecommunication Services,2020-11-18
28.51,28.51,28.11,28.28,42183164,0.0,0.0,T,AT&T,Communication Services,Integrated Telecommunication Services,2020-11-19
28.22,28.42,28.16,28.32,29349568,0.0,0.0,T,AT&T,Communication Services,Integrated Telecommunication Services,2020-11-20
28.39,28.7,28.35,28.62,28433905,0.0,0.0,T,AT&T,Communication Services,Integrated Telecommunication Services,2020-11-23
28.93,29.44,28.91,29.23,44679708,0.0,0.0,T,AT&T,Communication Services,Integrated Telecommunication Services,2020-11-24
29.28,29.29,28.9,28.99,25093530,0.0,0.0,T,AT&T,Communication Services,Integrated Telecommunication Services,2020-11-25
29.07,29.19,28.88,29.03,15649805,0.0,0.0,T,AT&T,Communication Services,Integrated Telecommunication Services,2020-11-27
28.87,29.02,28.7,28.75,43987543,0.0,0.0,T,AT&T,Communication Services,Integrated Telecommunication Services,2020-11-30
28.82,29.14,28.74,28.87,42192349,0.0,0.0,T,AT&T,Communication Services,Integrated Telecommunication Services,2020-12-01
28.82,29.2,28.78,29.09,30054223,0.0,0.0,T,AT&T,Communication Services,Integrated Telecommunication Services,2020-12-02
29.03,29.24,28.9,29.23,35415193,0.0,0.0,T,AT&T,Communication Services,Integrated Telecommunication Services,2020-12-03
29.37,29.76,29.31,29.54,38431182,0.0,0.0,T,AT&T,Communication Services,Integrated Telecommunication Services,2020-12-04
29.78,29.78,29.52,29.64,35241753,0.0,0.0,T,AT&T,Communication Services,Integrated Telecommunication Services,2020-12-07
29.49,30.93,29.46,30.81,74391919,0.0,0.0,T,AT&T,Communication Services,Integrated Telecommunication Services,2020-12-08
