Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
36.5,36.74,35.12,35.49,12606172,0.0,0.0,UBER,Uber,Industrials,Passenger Ground Transportation,2020-10-26
35.51,35.7,34.02,34.16,13789644,0.0,0.0,UBER,Uber,Industrials,Passenger Ground Transportation,2020-10-27
33.62,33.66,32.9,33.65,16022634,0.0,0.0,UBER,Uber,Industrials,Passenger Ground Transportation,2020-10-28
33.71,34.94,33.33,34.06,13849421,0.0,0.0,UBER,Uber,Industrials,Passenger Ground Transportation,2020-10-29
33.91,34.39,33.16,33.41,13622345,0.0,0.0,UBER,Uber,Industrials,Passenger Ground Transportation,2020-10-30
34.15,35.05,34.06,34.81,18537594,0.0,0.0,UBER,Uber,Industrials,Passenger Ground Transportation,2020-11-02
35.27,36.15,35.15,35.77,16307019,0.0,0.0,UBER,Uber,Industrials,Passenger Ground Transportation,2020-11-03
40.66,42.15,39.0,40.99,103938971,0.0,0.0,UBER,Uber,Industrials,Passenger Ground Transportation,2020-11-04
40.33,42.05,40.01,41.96,34891374,0.0,0.0,UBER,Uber,Industrials,Passenger Ground Transportation,2020-11-05
42.09,45.38,41.62,44.87,58226689,0.0,0.0,UBER,Uber,Industrials,Passenger Ground Transportation,2020-11-06
48.01,49.62,47.3,48.18,62844433,0.0,0.0,UBER,Uber,Industrials,Passenger Ground Transportation,2020-11-09
46.74,49.36,46.04,47.0,33423602,0.0,0.0,UBER,Uber,Industrials,Passenger Ground Transportation,2020-11-10
46.72,47.52,45.91,46.23,19467163,0.0,0.0,UBER,Uber,Industrials,Passenger Ground Transportation,2020-11-11
45.39,47.47,45.05,46.4,16554692,0.0,0.0,UBER,Uber,Industrials,Passenger Ground Transportation,2020-11-12
47.11,47.79,45.93,47.61,15455104,0.0,0.0,UBER,Uber,Industrials,Passenger Ground Transportation,2020-11-13
48.74,50.09,48.48,49.21,29729661,0.0,0.0,UBER,Uber,Industrials,Passenger Ground Transportation,2020-11-16
48.72,49.62,48.5,48.89,16883426,0.0,0.0,UBER,Uber,Industrials,Passenger Ground Transportation,2020-11-17
48.77,49.95,48.33,49.11,17960859,0.0,0.0,UBER,Uber,Industrials,Passenger Ground Transportation,2020-11-18
49.1,49.91,48.65,49.26,13712272,0.0,0.0,UBER,Uber,Industrials,Passenger Ground Transportation,2020-11-19
49.98,50.75,48.27,48.43,17591199,0.0,0.0,UBER,Uber,Industrials,Passenger Ground Transportation,2020-11-20
48.66,50.88,48.51,50.04,17331533,0.0,0.0,UBER,Uber,Industrials,Passenger Ground Transportation,2020-11-23
50.62,52.15,50.48,51.26,16419289,0.0,0.0,UBER,Uber,Industrials,Passenger Ground Transportation,2020-11-24
51.27,51.45,49.92,50.8,11844838,0.0,0.0,UBER,Uber,Industrials,Passenger Ground Transportation,2020-11-25
50.93,51.19,50.2,50.72,8339157,0.0,0.0,UBER,Uber,Industrials,Passenger Ground Transportation,2020-11-27
50.22,51.0,48.53,49.66,17462326,0.0,0.0,UBER,Uber,Industrials,Passenger Ground Transportation,2020-11-30
50.0,51.41,49.07,49.63,20831943,0.0,0.0,UBER,Uber,Industrials,Passenger Ground Transportation,2020-12-01
49.26,53.45,48.53,53.09,30567762,0.0,0.0,UBER,Uber,Industrials,Passenger Ground Transportation,2020-12-02
53.3,53.49,52.12,52.52,13417210,0.0,0.0,UBER,Uber,Industrials,Passenger Ground Transportation,2020-12-03
52.71,54.86,52.71,54.86,22489101,0.0,0.0,UBER,Uber,Industrials,Passenger Ground Transportation,2020-12-04
54.59,54.87,53.65,53.8,14007124,0.0,0.0,UBER,Uber,Industrials,Passenger Ground Transportation,2020-12-07
52.4,54.22,52.35,53.01,26628537,0.0,0.0,UBER,Uber,Industrials,Passenger Ground Transportation,2020-12-08
53.98,56.02,53.06,53.79,47087800,0.0,0.0,UBER,Uber,Industrials,Passenger Ground Transportation,2020-12-09
52.33,54.62,51.3,54.35,20478057,0.0,0.0,UBER,Uber,Industrials,Passenger Ground Transportation,2020-12-10
54.47,55.02,52.33,52.63,17031562,0.0,0.0,UBER,Uber,Industrials,Passenger Ground Transportation,2020-12-11
53.27,53.44,51.24,51.46,19355347,0.0,0.0,UBER,Uber,Industrials,Passenger Ground Transportation,2020-12-14
52.12,52.82,50.87,51.0,17715351,0.0,0.0,UBER,Uber,Industrials,Passenger Ground Transportation,2020-12-15
51.18,51.68,50.29,50.49,19748712,0.0,0.0,UBER,Uber,Industrials,Passenger Ground Transportation,2020-12-16
50.59,51.3,50.17,50.63,19884728,0.0,0.0,UBER,Uber,Industrials,Passenger Ground Transportation,2020-12-17
50.81,50.95,49.52,50.62,25068624,0.0,0.0,UBER,Uber,Industrials,Passenger Ground Transportation,2020-12-18
49.0,52.35,48.79,51.8,23923363,0.0,0.0,UBER,Uber,Industrials,Passenger Ground Transportation,2020-12-21
52.11,54.36,51.92,53.78,24111202,0.0,0.0,UBER,Uber,Industrials,Passenger Ground Transportation,2020-12-22
53.8,54.09,52.99,53.71,12945432,0.0,0.0,UBER,Uber,Industrials,Passenger Ground Transportation,2020-12-23
53.6,53.62,52.29,52.88,6316761,0.0,0.0,UBER,Uber,Industrials,Passenger Ground Transportation,2020-12-24
53.02,53.13,51.56,51.97,12070315,0.0,0.0,UBER,Uber,Industrials,Passenger Ground Transportation,2020-12-28
52.33,52.99,51.47,52.27,10229064,0.0,0.0,UBER,Uber,Industrials,Passenger Ground Transportation,2020-12-29
52.72,53.85,52.22,53.15,9596602,0.0,0.0,UBER,Uber,Industrials,Passenger Ground Transportation,2020-12-30
53.28,53.28,51.0,51.0,13340736,0.0,0.0,UBER,Uber,Industrials,Passenger Ground Transportation,2020-12-31
52.22,52.32,49.64,51.14,17576887,0.0,0.0,UBER,Uber,Industrials,Passenger Ground Transportation,2021-01-04
51.0,54.19,50.76,54.01,21517077,0.0,0.0,UBER,Uber,Industrials,Passenger Ground Transportation,2021-01-05
53.31,54.07,52.0,52.48,17947335,0.0,0.0,UBER,Uber,Industrials,Passenger Ground Transportation,2021-01-06
53.37,56.25,53.2,56.13,23901424,0.0,0.0,UBER,Uber,Industrials,Passenger Ground Transportation,2021-01-07
54.4,54.79,52.58,53.28,38497275,0.0,0.0,UBER,Uber,Industrials,Passenger Ground Transportation,2021-01-08
53.11,55.0,52.99,54.59,23480557,0.0,0.0,UBER,Uber,Industrials,Passenger Ground Transportation,2021-01-11
55.5,59.39,55.0,58.54,52469415,0.0,0.0,UBER,Uber,Industrials,Passenger Ground Transportation,2021-01-12
58.54,59.88,57.53,59.4,24479682,0.0,0.0,UBER,Uber,Industrials,Passenger Ground Transportation,2021-01-13
60.0,60.03,56.7,56.91,26815298,0.0,0.0,UBER,Uber,Industrials,Passenger Ground Transportation,2021-01-14
57.49,57.9,55.0,55.52,24003915,0.0,0.0,UBER,Uber,Industrials,Passenger Ground Transportation,2021-01-15
56.39,56.84,55.0,56.3,17252001,0.0,0.0,UBER,Uber,Industrials,Passenger Ground Transportation,2021-01-19
57.0,57.98,55.47,56.38,17090284,0.0,0.0,UBER,Uber,Industrials,Passenger Ground Transportation,2021-01-20
56.57,57.0,55.31,55.79,13548089,0.0,0.0,UBER,Uber,Industrials,Passenger Ground Transportation,2021-01-21
55.25,55.47,54.01,54.31,19704774,0.0,0.0,UBER,Uber,Industrials,Passenger Ground Transportation,2021-01-22
54.5,54.52,49.65,54.29,41072764,0.0,0.0,UBER,Uber,Industrials,Passenger Ground Transportation,2021-01-25
54.62,55.52,51.53,51.92,25876139,0.0,0.0,UBER,Uber,Industrials,Passenger Ground Transportation,2021-01-26
49.97,50.86,47.15,48.11,33695668,0.0,0.0,UBER,Uber,Industrials,Passenger Ground Transportation,2021-01-27
50.12,52.52,49.88,51.58,28540421,0.0,0.0,UBER,Uber,Industrials,Passenger Ground Transportation,2021-01-28
50.63,51.49,49.64,50.93,18930782,0.0,0.0,UBER,Uber,Industrials,Passenger Ground Transportation,2021-01-29
52.12,52.9,51.35,52.76,15814126,0.0,0.0,UBER,Uber,Industrials,Passenger Ground Transportation,2021-02-01
55.11,58.03,54.89,56.46,30705946,0.0,0.0,UBER,Uber,Industrials,Passenger Ground Transportation,2021-02-02
57.87,58.13,56.74,57.12,13809755,0.0,0.0,UBER,Uber,Industrials,Passenger Ground Transportation,2021-02-03
56.45,57.85,56.11,57.85,14110381,0.0,0.0,UBER,Uber,Industrials,Passenger Ground Transportation,2021-02-04
58.16,58.71,57.37,58.58,15935709,0.0,0.0,UBER,Uber,Industrials,Passenger Ground Transportation,2021-02-05
59.7,60.11,58.69,59.29,18841699,0.0,0.0,UBER,Uber,Industrials,Passenger Ground Transportation,2021-02-08
58.91,61.06,58.62,59.61,23762012,0.0,0.0,UBER,Uber,Industrials,Passenger Ground Transportation,2021-02-09
62.0,63.5,60.8,63.18,37428949,0.0,0.0,UBER,Uber,Industrials,Passenger Ground Transportation,2021-02-10
63.25,64.05,60.4,60.71,42041195,0.0,0.0,UBER,Uber,Industrials,Passenger Ground Transportation,2021-02-11
