Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
32.5,32.66,31.65,31.95,1964039,0.0,0.0,UDR,"UDR, Inc.",Real Estate,Multi-Family Residential REITs,2020-10-26
31.86,32.28,31.08,31.09,2098389,0.0,0.0,UDR,"UDR, Inc.",Real Estate,Multi-Family Residential REITs,2020-10-27
30.41,30.71,29.44,29.6,3176950,0.0,0.0,UDR,"UDR, Inc.",Real Estate,Multi-Family Residential REITs,2020-10-28
29.6,30.51,29.34,29.92,3463864,0.0,0.0,UDR,"UDR, Inc.",Real Estate,Multi-Family Residential REITs,2020-10-29
29.7,31.55,29.7,31.24,3791614,0.0,0.0,UDR,"UDR, Inc.",Real Estate,Multi-Family Residential REITs,2020-10-30
31.6,32.83,31.35,32.79,2972210,0.0,0.0,UDR,"UDR, Inc.",Real Estate,Multi-Family Residential REITs,2020-11-02
33.09,34.81,33.06,34.57,2967460,0.0,0.0,UDR,"UDR, Inc.",Real Estate,Multi-Family Residential REITs,2020-11-03
34.42,34.67,33.59,34.23,3486401,0.0,0.0,UDR,"UDR, Inc.",Real Estate,Multi-Family Residential REITs,2020-11-04
34.34,34.52,33.83,33.85,2813276,0.0,0.0,UDR,"UDR, Inc.",Real Estate,Multi-Family Residential REITs,2020-11-05
33.79,34.5,33.4,33.52,1690584,0.0,0.0,UDR,"UDR, Inc.",Real Estate,Multi-Family Residential REITs,2020-11-06
36.67,41.3,36.64,38.15,3542639,0.0,0.0,UDR,"UDR, Inc.",Real Estate,Multi-Family Residential REITs,2020-11-09
38.3,40.34,38.24,39.92,4263854,0.0,0.0,UDR,"UDR, Inc.",Real Estate,Multi-Family Residential REITs,2020-11-10
39.93,40.22,38.4,38.68,2690867,0.0,0.0,UDR,"UDR, Inc.",Real Estate,Multi-Family Residential REITs,2020-11-11
38.39,38.68,37.46,38.12,1760752,0.0,0.0,UDR,"UDR, Inc.",Real Estate,Multi-Family Residential REITs,2020-11-12
38.32,39.01,38.29,38.87,1755658,0.0,0.0,UDR,"UDR, Inc.",Real Estate,Multi-Family Residential REITs,2020-11-13
40.28,40.64,39.3,40.27,2124792,0.0,0.0,UDR,"UDR, Inc.",Real Estate,Multi-Family Residential REITs,2020-11-16
39.79,40.48,39.41,40.28,1384530,0.0,0.0,UDR,"UDR, Inc.",Real Estate,Multi-Family Residential REITs,2020-11-17
40.31,40.44,38.61,38.62,1953303,0.0,0.0,UDR,"UDR, Inc.",Real Estate,Multi-Family Residential REITs,2020-11-18
38.23,38.87,37.69,38.8,2015561,0.0,0.0,UDR,"UDR, Inc.",Real Estate,Multi-Family Residential REITs,2020-11-19
39.05,39.38,38.64,39.23,1863289,0.0,0.0,UDR,"UDR, Inc.",Real Estate,Multi-Family Residential REITs,2020-11-20
39.61,40.03,39.21,39.67,2279004,0.0,0.0,UDR,"UDR, Inc.",Real Estate,Multi-Family Residential REITs,2020-11-23
40.37,40.6,39.94,40.14,2104149,0.0,0.0,UDR,"UDR, Inc.",Real Estate,Multi-Family Residential REITs,2020-11-24
40.02,40.07,39.34,39.76,2202336,0.0,0.0,UDR,"UDR, Inc.",Real Estate,Multi-Family Residential REITs,2020-11-25
