Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
113.31,115.76,112.16,114.79,875874,0.0,0.0,UHS,Universal Health Services,Health Care,Health Care Facilities,2020-10-26
114.17,115.25,111.12,111.39,461006,0.0,0.0,UHS,Universal Health Services,Health Care,Health Care Facilities,2020-10-27
109.13,110.24,105.78,106.37,771081,0.0,0.0,UHS,Universal Health Services,Health Care,Health Care Facilities,2020-10-28
105.79,106.98,103.35,105.45,692186,0.0,0.0,UHS,Universal Health Services,Health Care,Health Care Facilities,2020-10-29
109.49,112.65,106.01,109.55,1223287,0.0,0.0,UHS,Universal Health Services,Health Care,Health Care Facilities,2020-10-30
111.51,114.15,110.22,113.88,975722,0.0,0.0,UHS,Universal Health Services,Health Care,Health Care Facilities,2020-11-02
115.14,118.88,113.8,118.21,957771,0.0,0.0,UHS,Universal Health Services,Health Care,Health Care Facilities,2020-11-03
119.34,119.34,111.13,112.28,1533759,0.0,0.0,UHS,Universal Health Services,Health Care,Health Care Facilities,2020-11-04
113.46,119.69,113.04,117.82,628575,0.0,0.0,UHS,Universal Health Services,Health Care,Health Care Facilities,2020-11-05
117.47,118.44,116.5,116.62,409077,0.0,0.0,UHS,Universal Health Services,Health Care,Health Care Facilities,2020-11-06
126.42,134.52,125.35,126.77,1005734,0.0,0.0,UHS,Universal Health Services,Health Care,Health Care Facilities,2020-11-09
127.83,133.99,127.76,132.51,702890,0.0,0.0,UHS,Universal Health Services,Health Care,Health Care Facilities,2020-11-10
132.4,132.57,127.28,129.61,629140,0.0,0.0,UHS,Universal Health Services,Health Care,Health Care Facilities,2020-11-11
128.52,131.59,125.42,127.14,628331,0.0,0.0,UHS,Universal Health Services,Health Care,Health Care Facilities,2020-11-12
128.3,134.14,127.2,133.2,435236,0.0,0.0,UHS,Universal Health Services,Health Care,Health Care Facilities,2020-11-13
136.45,136.61,131.58,132.91,481912,0.0,0.0,UHS,Universal Health Services,Health Care,Health Care Facilities,2020-11-16
131.55,134.07,129.7,133.27,502123,0.0,0.0,UHS,Universal Health Services,Health Care,Health Care Facilities,2020-11-17
133.07,134.78,131.03,132.61,521865,0.0,0.0,UHS,Universal Health Services,Health Care,Health Care Facilities,2020-11-18
131.69,134.18,129.18,133.95,516884,0.0,0.0,UHS,Universal Health Services,Health Care,Health Care Facilities,2020-11-19
134.18,134.38,130.15,130.97,447435,0.0,0.0,UHS,Universal Health Services,Health Care,Health Care Facilities,2020-11-20
132.1,133.54,130.24,131.23,449295,0.0,0.0,UHS,Universal Health Services,Health Care,Health Care Facilities,2020-11-23
132.55,134.77,131.68,133.95,526324,0.0,0.0,UHS,Universal Health Services,Health Care,Health Care Facilities,2020-11-24
133.43,134.29,131.31,133.25,417290,0.0,0.0,UHS,Universal Health Services,Health Care,Health Care Facilities,2020-11-25
133.76,134.29,131.34,132.11,308962,0.0,0.0,UHS,Universal Health Services,Health Care,Health Care Facilities,2020-11-27
131.99,131.99,129.06,130.58,1635288,0.0,0.0,UHS,Universal Health Services,Health Care,Health Care Facilities,2020-11-30
133.05,134.33,130.19,130.84,620217,0.0,0.0,UHS,Universal Health Services,Health Care,Health Care Facilities,2020-12-01
